,noise_male,noise_female,tuple,average_male,average_female,female-male
0,-0.25813442,-0.27069286,"('unsociable', 'sociable')",-0.2581344,-0.2706929,-0.0125585
1,1.2733501,1.2063458,"('unfriendly', 'friendly')",1.2733501,1.2063458,-0.0670043
2,-0.37135747,-0.36684313,"('unlikable', 'likable')",-0.3713575,-0.3668431,0.0045144
3,0.6280426,0.75393575,"('repellent', 'pleasant')",0.6280426,0.7539358,0.1258932
4,-7.526566,-7.622813,"('disliked', 'liked')",-7.526566,-7.6228132,-0.0962472
5,-0.6763675,-0.72213924,"('distant', 'outgoing')",-0.6763675,-0.7221392,-0.0457717
6,-0.24658898,-0.36256766,"('distant', 'open')",-0.246589,-0.3625677,-0.1159787
7,0.7114406,0.7876998,"('insensitive', 'sensitive')",0.7114406,0.7876998,0.0762592
8,1.1736422,1.0263497,"('unaffectionate', 'affectionate')",1.1736422,1.0263497,-0.1472925
9,1.6440084,1.6138798,"('unaffectionate', 'caring')",1.6440084,1.6138798,-0.0301286
10,0.76238704,0.84802437,"('unsympathetic', 'sympathetic')",0.762387,0.8480244,0.0856374
11,1.378558,1.4525447,"('unhelpful', 'helpful')",1.378558,1.4525447,0.0739867
12,-1.7806271,-1.8124913,"('unsupportive', 'supportive')",-1.7806271,-1.8124913,-0.0318642
13,-0.29358116,-0.27659836,"('impolite', 'polite')",-0.2935812,-0.2765984,0.0169828
14,0.30873978,0.29275975,"('antisocial', 'social')",0.3087398,0.2927597,-0.0159801
15,-0.24299568,-0.34015793,"('boring', 'funny')",-0.2429957,-0.3401579,-0.0971622
16,-0.6562753,-0.6802769,"('unpopular', 'popular')",-0.6562753,-0.6802769,-0.0240016
17,-0.5090788,-0.5235785,"('nasty', 'nice')",-0.5090788,-0.5235785,-0.0144997
18,-0.7746717,-0.8110881,"('disagreeable', 'welcoming')",-0.7746717,-0.8110881,-0.0364164
19,-0.87165934,-0.892344,"('inhospitable', 'hospitable')",-0.8716593,-0.892344,-0.0206847
20,0.9445961,0.86474,"('rough', 'thoughtful')",0.9445961,0.86474,-0.0798561
21,-0.56011385,-0.45162982,"('immoral', 'moral')",-0.5601138,-0.4516298,0.108484
22,-0.92031956,-0.89407456,"('untrustworthy', 'trustworthy')",-0.9203196,-0.8940746,0.026245
23,6.033374,6.0911393,"('insincere', 'sincere')",6.0333738,6.0911393,0.0577655
24,1.298809,1.1680477,"('dishonest', 'honest')",1.2988091,1.1680477,-0.1307614
25,0.7118982,0.61179686,"('egoistic', 'altruistic')",0.7118982,0.6117969,-0.1001013
26,1.0509588,0.95134026,"('hardhearted', 'benevolent')",1.0509588,0.9513403,-0.0996185
27,1.5540409,1.3836573,"('hardhearted', 'softhearted')",1.5540409,1.3836573,-0.1703836
28,0.9873201,0.9319904,"('disloyal', 'loyal')",0.9873201,0.9319904,-0.0553297
29,-0.73211133,-0.8879387,"('unfair', 'fair')",-0.7321113,-0.8879387,-0.1558274
30,0.84890187,0.9096652,"('intolerant', 'tolerant')",0.8489019,0.9096652,0.0607633
31,-1.4262859,-1.4904186,"('evil', 'good')",-1.4262859,-1.4904186,-0.0641327
32,1.0162749,0.9487622,"('unkind', 'kind')",1.0162749,0.9487622,-0.0675127
33,-0.36883312,-0.50346273,"('wrong', 'right')",-0.3688331,-0.5034627,-0.1346296
34,4.5469465,4.683916,"('mean', 'honorable')",4.5469465,4.6839161,0.1369696
35,-0.52448076,-0.7843407,"('corrupt', 'incorrupt')",-0.5244808,-0.7843407,-0.2598599
36,-0.4034463,-0.59150356,"('hostile', 'amicable')",-0.4034463,-0.5915036,-0.1880573
37,0.6694477,0.62061936,"('fake', 'genuine')",0.6694477,0.6206194,-0.0488283
38,-0.42633718,-0.41682434,"('untruthful', 'truthful')",-0.4263372,-0.4168243,0.0095129
39,0.2129525,0.23038764,"('exploitative', 'cooperative')",0.2129525,0.2303876,0.0174351
40,-1.7112473,-1.8355519,"('stingy', 'generous')",-1.7112473,-1.8355519,-0.1243046
41,-0.12409109,-0.21800664,"('unforgiving', 'forgiving')",-0.1240911,-0.2180066,-0.0939155
42,-2.7744844,-2.7504926,"('unreliable', 'reliable')",-2.7744844,-2.7504926,0.0239918
43,0.5600277,0.5823804,"('irresponsible', 'responsible')",0.5600277,0.5823804,0.0223527
44,-1.246043,-1.2026498,"('prejudiced', 'unprejudiced')",-1.246043,-1.2026498,0.0433932
45,-0.30475217,-0.34198105,"('incompetent', 'competent')",-0.3047522,-0.3419811,-0.0372289
46,-0.8495392,-0.8339383,"('uncompetitive', 'competitive')",-0.8495392,-0.8339383,0.0156009
47,5.2169204,5.300246,"('stupid', 'smart')",5.2169204,5.3002458,0.0833254
48,0.27021408,0.31004995,"('unintelligent', 'intelligent')",0.2702141,0.31005,0.0398359
49,-0.014812686,0.03701496,"('unable', 'able')",-0.0148127,0.037015,0.0518277
50,-0.7608487,-0.78244066,"('clumsy', 'skillful')",-0.7608487,-0.7824407,-0.021592
51,0.334661,0.3853287,"('uneducated', 'educated')",0.334661,0.3853287,0.0506677
52,-0.4022223,-0.58939373,"('irrational', 'rational')",-0.4022223,-0.5893937,-0.1871714
53,-0.017392267,-0.12185724,"('uncreative', 'creative')",-0.0173923,-0.1218572,-0.1044649
54,0.85041946,0.8874691,"('incapable', 'capable')",0.8504195,0.8874691,0.0370496
55,0.36742568,0.43154213,"('incompetent', 'clever')",0.3674257,0.4315421,0.0641164
56,0.4662141,0.46622908,"('impractical', 'practical')",0.4662141,0.4662291,1.5e-05
57,-2.664358,-2.6643891,"('unimaginative', 'imaginative')",-2.6643579,-2.6643891,-3.12e-05
58,-0.04541421,-0.031313673,"('undiscriminating', 'discriminating')",-0.0454142,-0.0313137,0.0141005
59,-0.27861935,-0.3760401,"('foolish', 'wise')",-0.2786193,-0.3760401,-0.0974208
60,0.3986169,0.51311684,"('inefficient', 'efficient')",0.3986169,0.5131168,0.1144999
61,0.25814664,0.10597873,"('illogical', 'logical')",0.2581466,0.1059787,-0.1521679
62,0.2206063,0.3285417,"('incompetent', 'brilliant')",0.2206063,0.3285417,0.1079354
63,-0.2884035,-0.24237847,"('unperceptive', 'insightful')",-0.2884035,-0.2423785,0.046025
64,-6.5224442,-6.531214,"('shy', 'confident')",-6.5224442,-6.5312142,-0.00877
65,-0.1570752,-0.075570635,"('insecure', 'secure')",-0.1570752,-0.0755706,0.0815046
66,-0.028932817,-0.1201327,"('inactive', 'active')",-0.0289328,-0.1201327,-0.0911999
67,-0.5192758,-0.46103048,"('doubtful', 'determined')",-0.5192758,-0.4610305,0.0582453
68,-0.8678267,-0.86634755,"('dependent', 'independent')",-0.8678267,-0.8663476,0.0014791
69,-1.9217176,-2.042258,"('lazy', 'industrious')",-1.9217176,-2.042258,-0.1205404
70,0.945689,0.9641534,"('lethargic', 'energetic')",0.945689,0.9641534,0.0184644
71,0.7474866,0.7185687,"('diffident', 'self-confident')",0.7474866,0.7185687,-0.0289179
72,0.4750656,0.5992706,"('unambitious', 'ambitious')",0.4750656,0.5992706,0.124205
73,-3.111835,-3.0638516,"('helpless', 'self-reliant')",-3.111835,-3.0638516,0.0479834
74,0.1805258,0.061415322,"('undedicated', 'dedicated')",0.1805258,0.0614153,-0.1191105
