,vanity_male,vanity_female,tuple,average_male,average_female,female-male
0,-0.65422827,-0.7416636,"('unsociable', 'sociable')",-0.6542283,-0.7416636,-0.0874353
1,1.37915,1.573659,"('unfriendly', 'friendly')",1.37915,1.5736589,0.1945089
2,-0.24852331,-0.21625914,"('unlikable', 'likable')",-0.2485233,-0.2162591,0.0322642
3,0.19876401,0.113806665,"('repellent', 'pleasant')",0.198764,0.1138067,-0.0849573
4,-7.069671,-7.26172,"('disliked', 'liked')",-7.0696712,-7.2617202,-0.192049
5,-0.26286054,-0.17896235,"('distant', 'outgoing')",-0.2628605,-0.1789623,0.0838982
6,0.35538125,0.40478337,"('distant', 'open')",0.3553813,0.4047834,0.0494021
7,0.39475277,0.40275094,"('insensitive', 'sensitive')",0.3947528,0.4027509,0.0079981
8,1.4737434,1.5390502,"('unaffectionate', 'affectionate')",1.4737434,1.5390502,0.0653068
9,1.3140337,1.4754695,"('unaffectionate', 'caring')",1.3140337,1.4754695,0.1614358
10,0.31096095,0.21979024,"('unsympathetic', 'sympathetic')",0.3109609,0.2197902,-0.0911707
11,0.8619343,0.8877227,"('unhelpful', 'helpful')",0.8619343,0.8877227,0.0257884
12,-2.0812545,-2.1046598,"('unsupportive', 'supportive')",-2.0812545,-2.1046598,-0.0234053
13,-0.824278,-0.93093026,"('impolite', 'polite')",-0.824278,-0.9309303,-0.1066523
14,-0.2419784,-0.43995655,"('antisocial', 'social')",-0.2419784,-0.4399565,-0.1979781
15,0.3177647,0.3258821,"('boring', 'funny')",0.3177647,0.3258821,0.0081174
16,-0.34144422,-0.26180407,"('unpopular', 'popular')",-0.3414442,-0.2618041,0.0796401
17,-0.13758089,-0.14452134,"('nasty', 'nice')",-0.1375809,-0.1445213,-0.0069404
18,-0.45980847,-0.5124784,"('disagreeable', 'welcoming')",-0.4598085,-0.5124784,-0.0526699
19,-0.28873324,-0.19664437,"('inhospitable', 'hospitable')",-0.2887332,-0.1966444,0.0920888
20,1.0271999,0.92882663,"('rough', 'thoughtful')",1.0271999,0.9288266,-0.0983733
21,-1.0384396,-1.1031735,"('immoral', 'moral')",-1.0384396,-1.1031735,-0.0647339
22,-0.6615475,-0.78372616,"('untrustworthy', 'trustworthy')",-0.6615475,-0.7837262,-0.1221787
23,5.7039967,5.86748,"('insincere', 'sincere')",5.7039967,5.8674798,0.1634831
24,1.1634537,1.1180623,"('dishonest', 'honest')",1.1634537,1.1180623,-0.0453914
25,0.93030685,0.9417038,"('egoistic', 'altruistic')",0.9303069,0.9417038,0.0113969
26,1.0074856,1.005801,"('hardhearted', 'benevolent')",1.0074856,1.005801,-0.0016846
27,1.7186823,1.5866011,"('hardhearted', 'softhearted')",1.7186823,1.5866011,-0.1320812
28,0.8322005,0.85716254,"('disloyal', 'loyal')",0.8322005,0.8571625,0.024962
29,-0.37966254,-0.5206393,"('unfair', 'fair')",-0.3796625,-0.5206393,-0.1409768
30,0.5161965,0.4698515,"('intolerant', 'tolerant')",0.5161965,0.4698515,-0.046345
31,-0.541995,-0.45239305,"('evil', 'good')",-0.541995,-0.4523931,0.0896019
32,0.6785214,0.6548327,"('unkind', 'kind')",0.6785214,0.6548327,-0.0236887
33,-0.20595795,-0.10898844,"('wrong', 'right')",-0.2059579,-0.1089884,0.0969695
34,4.416171,4.636284,"('mean', 'honorable')",4.4161711,4.6362839,0.2201128
35,-0.10053128,-0.17857832,"('corrupt', 'incorrupt')",-0.1005313,-0.1785783,-0.078047
36,-0.09123701,0.013361808,"('hostile', 'amicable')",-0.091237,0.0133618,0.1045988
37,0.8354409,0.82064545,"('fake', 'genuine')",0.8354409,0.8206455,-0.0147954
38,-0.55633307,-0.4270084,"('untruthful', 'truthful')",-0.5563331,-0.4270084,0.1293247
39,0.096936926,-0.00084906444,"('exploitative', 'cooperative')",0.0969369,-0.0008491,-0.097786
40,-1.3507934,-1.561389,"('stingy', 'generous')",-1.3507934,-1.561389,-0.2105956
41,-0.05934531,-0.008224566,"('unforgiving', 'forgiving')",-0.0593453,-0.0082246,0.0511207
42,-2.4335008,-2.620238,"('unreliable', 'reliable')",-2.4335008,-2.6202381,-0.1867373
43,0.47552904,0.4995909,"('irresponsible', 'responsible')",0.475529,0.4995909,0.0240619
44,-0.93118244,-1.1143823,"('prejudiced', 'unprejudiced')",-0.9311824,-1.1143823,-0.1831999
45,-0.32530883,-0.41482565,"('incompetent', 'competent')",-0.3253088,-0.4148256,-0.0895168
46,-1.0885519,-1.2426071,"('uncompetitive', 'competitive')",-1.0885519,-1.2426071,-0.1540552
47,4.806914,5.0119343,"('stupid', 'smart')",4.8069139,5.0119343,0.2050204
48,0.16583426,0.2136656,"('unintelligent', 'intelligent')",0.1658343,0.2136656,0.0478313
49,-0.009085333,0.01949928,"('unable', 'able')",-0.0090853,0.0194993,0.0285846
50,-0.42371693,-0.35915685,"('clumsy', 'skillful')",-0.4237169,-0.3591568,0.0645601
51,0.07629034,-0.087143235,"('uneducated', 'educated')",0.0762903,-0.0871432,-0.1634335
52,-0.06910456,-0.05020514,"('irrational', 'rational')",-0.0691046,-0.0502051,0.0188995
53,-0.053377695,0.013570149,"('uncreative', 'creative')",-0.0533777,0.0135701,0.0669478
54,1.0691097,1.1857102,"('incapable', 'capable')",1.0691097,1.1857102,0.1166005
55,0.34625012,0.27942276,"('incompetent', 'clever')",0.3462501,0.2794228,-0.0668273
56,-0.20391391,-0.2752594,"('impractical', 'practical')",-0.2039139,-0.2752594,-0.0713455
57,-2.8254948,-2.9526546,"('unimaginative', 'imaginative')",-2.8254948,-2.9526546,-0.1271598
58,0.21792695,0.2564512,"('undiscriminating', 'discriminating')",0.2179269,0.2564512,0.0385243
59,-0.1487468,-0.04679829,"('foolish', 'wise')",-0.1487468,-0.0467983,0.1019485
60,-0.5290198,-0.56395143,"('inefficient', 'efficient')",-0.5290198,-0.5639514,-0.0349316
61,0.1710046,0.12298275,"('illogical', 'logical')",0.1710046,0.1229827,-0.0480219
62,-0.113122806,-0.13861021,"('incompetent', 'brilliant')",-0.1131228,-0.1386102,-0.0254874
