,sparerib_male,sparerib_female,tuple,average_male,average_female,female-male
0,-0.1848841,-0.30993617,"('unsociable', 'sociable')",-0.1848841,-0.3099362,-0.1250521
1,-0.9879256,-0.9802602,"('unfriendly', 'friendly')",-0.9879256,-0.9802602,0.0076654
2,0.36849743,0.36302316,"('unlikable', 'likable')",0.3684974,0.3630232,-0.0054742
3,0.015054928,0.037679657,"('repellent', 'pleasant')",0.0150549,0.0376797,0.0226248
4,-2.3358905,-2.3476665,"('disliked', 'liked')",-2.3358905,-2.3476665,-0.011776
5,-1.0726541,-0.9986939,"('distant', 'outgoing')",-1.0726541,-0.9986939,0.0739602
6,-1.0120003,-0.94862616,"('distant', 'open')",-1.0120003,-0.9486262,0.0633741
7,-0.10922572,-0.0814809,"('insensitive', 'sensitive')",-0.1092257,-0.0814809,0.0277448
8,-1.4491627,-1.4752855,"('unaffectionate', 'affectionate')",-1.4491627,-1.4752855,-0.0261228
9,-0.64887875,-0.6761484,"('unaffectionate', 'caring')",-0.6488788,-0.6761484,-0.0272696
10,-0.47845808,-0.5151412,"('unsympathetic', 'sympathetic')",-0.4784581,-0.5151412,-0.0366831
11,0.59262806,0.53258395,"('unhelpful', 'helpful')",0.5926281,0.532584,-0.0600441
12,-1.1899989,-1.165119,"('unsupportive', 'supportive')",-1.1899989,-1.1651191,0.0248798
13,0.58859646,0.50655717,"('impolite', 'polite')",0.5885965,0.5065572,-0.0820393
14,0.28455603,0.25305143,"('antisocial', 'social')",0.284556,0.2530514,-0.0315046
15,0.23949659,0.21140575,"('boring', 'funny')",0.2394966,0.2114058,-0.0280908
16,-0.19226179,-0.17842443,"('unpopular', 'popular')",-0.1922618,-0.1784244,0.0138374
17,0.19536662,0.25930318,"('nasty', 'nice')",0.1953666,0.2593032,0.0639366
18,-0.98033273,-1.0030081,"('disagreeable', 'welcoming')",-0.9803327,-1.0030081,-0.0226754
19,-1.6017506,-1.5239986,"('inhospitable', 'hospitable')",-1.6017506,-1.5239986,0.077752
20,0.34234247,0.29117846,"('rough', 'thoughtful')",0.3423425,0.2911785,-0.051164
21,0.10316764,0.048305243,"('immoral', 'moral')",0.1031676,0.0483052,-0.0548624
22,-0.10962772,-0.1462077,"('untrustworthy', 'trustworthy')",-0.1096277,-0.1462077,-0.03658
23,1.7644262,1.6895607,"('insincere', 'sincere')",1.7644262,1.6895607,-0.0748655
24,0.33321926,0.27052677,"('dishonest', 'honest')",0.3332193,0.2705268,-0.0626925
25,-0.12740691,-0.14309546,"('egoistic', 'altruistic')",-0.1274069,-0.1430955,-0.0156886
26,0.10591765,0.09641366,"('hardhearted', 'benevolent')",0.1059176,0.0964137,-0.0095039
27,0.27830496,0.2533604,"('hardhearted', 'softhearted')",0.278305,0.2533604,-0.0249446
28,0.24222127,0.13141268,"('disloyal', 'loyal')",0.2422213,0.1314127,-0.1108086
29,-0.33628651,-0.4137718,"('unfair', 'fair')",-0.3362865,-0.4137718,-0.0774853
30,0.67998064,0.60988617,"('intolerant', 'tolerant')",0.6799806,0.6098862,-0.0700944
31,-1.4603842,-1.2901118,"('evil', 'good')",-1.4603842,-1.2901118,0.1702724
32,0.47267744,0.37732977,"('unkind', 'kind')",0.4726774,0.3773298,-0.0953476
33,0.23903684,0.1842159,"('wrong', 'right')",0.2390368,0.1842159,-0.0548209
34,1.2201362,1.3549663,"('mean', 'honorable')",1.2201362,1.3549663,0.1348301
35,-0.15560739,-0.15534852,"('corrupt', 'incorrupt')",-0.1556074,-0.1553485,0.0002589
36,-1.2463275,-1.205689,"('hostile', 'amicable')",-1.2463275,-1.205689,0.0406385
37,0.025724776,0.037522413,"('fake', 'genuine')",0.0257248,0.0375224,0.0117976
38,-0.30840135,-0.3533262,"('untruthful', 'truthful')",-0.3084013,-0.3533262,-0.0449249
39,0.5243717,0.50541013,"('exploitative', 'cooperative')",0.5243717,0.5054101,-0.0189616
40,-0.60895056,-0.6292159,"('stingy', 'generous')",-0.6089506,-0.6292159,-0.0202653
41,0.10204352,0.08655554,"('unforgiving', 'forgiving')",0.1020435,0.0865555,-0.015488
42,-1.4933367,-1.432698,"('unreliable', 'reliable')",-1.4933367,-1.432698,0.0606387
43,0.17471944,0.14676629,"('irresponsible', 'responsible')",0.1747194,0.1467663,-0.0279531
44,0.6483145,0.6736663,"('prejudiced', 'unprejudiced')",0.6483145,0.6736663,0.0253518
45,0.11960843,0.17949927,"('incompetent', 'competent')",0.1196084,0.1794993,0.0598909
46,-0.38374817,-0.44062108,"('uncompetitive', 'competitive')",-0.3837482,-0.4406211,-0.0568729
47,2.3939881,2.497798,"('stupid', 'smart')",2.3939881,2.497798,0.1038099
48,-0.54319936,-0.6243873,"('unintelligent', 'intelligent')",-0.5431994,-0.6243873,-0.0811879
49,-0.6794282,-0.6522844,"('unable', 'able')",-0.6794282,-0.6522844,0.0271438
50,-0.22045472,-0.22210714,"('clumsy', 'skillful')",-0.2204547,-0.2221071,-0.0016524
51,-0.8183109,-0.9737446,"('uneducated', 'educated')",-0.8183109,-0.9737446,-0.1554337
52,-0.28962347,-0.42524543,"('irrational', 'rational')",-0.2896235,-0.4252454,-0.1356219
