,centex_male,centex_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.46666422,-0.6228084,"('unsociable', 'sociable')",-0.17025018,-0.3909151,-0.3184572,-0.5068617,-0.1884045
1,-1.8288184,-1.9705684,"('unfriendly', 'friendly')",1.4050225,1.2889391,-0.211898,-0.3408147,-0.1289167
2,0.17617042,0.16592222,"('unlikable', 'likable')",1.0433948,1.0236081,0.6097826,0.5947652,-0.0150174
3,0.1384129,0.2107976,"('repellent', 'pleasant')",0.9098673,0.8551681,0.5241401,0.5329828,0.0088427
4,-0.6715174,-0.6904713,"('disliked', 'liked')",-6.3975644,-6.508834,-3.5345409,-3.5996525,-0.0651116
5,-2.192594,-2.169831,"('distant', 'outgoing')",-0.90722823,-0.6963446,-1.5499111,-1.4330878,0.1168233
6,-2.4436626,-2.414117,"('distant', 'open')",-0.8903453,-0.6743557,-1.667004,-1.5442364,0.1227676
7,0.035695363,0.11971788,"('insensitive', 'sensitive')",-0.100816995,-0.093966566,-0.0325608,0.0128757,0.0454365
8,-1.3901825,-1.5103757,"('unaffectionate', 'affectionate')",0.5105642,0.5111239,-0.4398091,-0.4996259,-0.0598168
9,-1.5356288,-1.6240233,"('unaffectionate', 'caring')",0.77021486,0.8545408,-0.382707,-0.3847412,-0.0020342
10,-0.26067698,-0.26296443,"('unsympathetic', 'sympathetic')",-0.40426394,-0.47117335,-0.3324705,-0.3670689,-0.0345984
11,0.23384811,0.17815746,"('unhelpful', 'helpful')",2.1396668,2.2030852,1.1867574,1.1906214,0.003864
12,-0.8625939,-0.834219,"('unsupportive', 'supportive')",-2.3315172,-2.2863123,-1.5970556,-1.5602657,0.0367899
13,-0.03219377,-0.08945437,"('impolite', 'polite')",-0.7083819,-0.6922749,-0.3702878,-0.3908646,-0.0205768
14,0.4825434,0.50318503,"('antisocial', 'social')",0.10269119,-0.1319413,0.2926173,0.1856219,-0.1069954
15,0.38959706,0.30228692,"('boring', 'funny')",0.08541751,0.1256574,0.2375073,0.2139722,-0.0235351
16,-0.6829661,-0.67932135,"('unpopular', 'popular')",0.56813717,0.5301147,-0.0574145,-0.0746033,-0.0171888
17,-0.29943693,-0.24169591,"('nasty', 'nice')",-0.60228664,-0.54479516,-0.4508618,-0.3932455,0.0576163
18,-0.94335926,-0.96300346,"('disagreeable', 'welcoming')",-0.5935227,-0.65641516,-0.768441,-0.8097093,-0.0412683
19,-1.7944151,-1.7810959,"('inhospitable', 'hospitable')",-0.6310347,-0.4751332,-1.2127249,-1.1281146,0.0846103
20,0.5599947,0.6217489,"('rough', 'thoughtful')",0.7936445,0.7176246,0.6768196,0.6696868,-0.0071328
21,0.80199784,0.74183863,"('immoral', 'moral')",-0.18136913,-0.30217195,0.3103144,0.2198333,-0.0904811
22,0.05382246,0.0022815894,"('untrustworthy', 'trustworthy')",-0.9894273,-1.0960554,-0.4678024,-0.5468869,-0.0790845
23,-0.19618568,-0.25802627,"('insincere', 'sincere')",5.860181,5.9183974,2.8319976,2.8301857,-0.0018119
24,-0.25972116,-0.30378625,"('dishonest', 'honest')",0.72070503,0.7783916,0.2304919,0.2373027,0.0068108
25,-0.864738,-0.8925714,"('egoistic', 'altruistic')",0.8901019,0.7459179,0.012682,-0.0733267,-0.0860087
26,-0.26708645,-0.47053373,"('hardhearted', 'benevolent')",1.5919585,1.3416157,0.662436,0.435541,-0.226895
27,-0.14917265,-0.011194495,"('hardhearted', 'softhearted')",0.6449766,0.5690892,0.247902,0.2789474,0.0310454
28,-0.009413039,-0.051018566,"('disloyal', 'loyal')",1.4899108,1.3613744,0.7402489,0.6551779,-0.085071
29,-0.54943776,-0.41087142,"('unfair', 'fair')",-0.47311425,-0.68797135,-0.511276,-0.5494214,-0.0381454
30,0.7010961,0.64474034,"('intolerant', 'tolerant')",1.0039778,1.0035214,0.8525369,0.8241309,-0.028406
31,-1.602439,-1.5355484,"('evil', 'good')",-1.0936046,-1.0830313,-1.3480217,-1.3092899,0.0387318
32,-0.10498567,-0.26509565,"('unkind', 'kind')",0.9244496,0.620339,0.409732,0.1776217,-0.2321103
33,-0.4255514,-0.51696444,"('wrong', 'right')",-0.8917717,-0.90925187,-0.6586615,-0.7131082,-0.0544467
34,0.0379287,0.16478921,"('mean', 'honorable')",5.867858,6.202212,2.9528933,3.1835005,0.2306072
35,-0.9935343,-0.9329375,"('corrupt', 'incorrupt')",-0.7571849,-0.719961,-0.8753597,-0.8264493,0.0489104
36,-1.3994932,-1.4403162,"('hostile', 'amicable')",-0.233428,-0.32148033,-0.8164606,-0.8808982,-0.0644376
37,0.14968397,0.24842301,"('fake', 'genuine')",-0.06900857,0.0148515925,0.0403377,0.1316373,0.0912996
38,-0.9509778,-1.0188634,"('untruthful', 'truthful')",0.30052966,0.5300775,-0.3252241,-0.244393,0.0808311
39,1.58377,1.5409261,"('exploitative', 'cooperative')",0.10096479,0.16341275,0.8423674,0.8521694,0.009802
40,-0.104282536,-0.048137967,"('stingy', 'generous')",-2.3226242,-2.3938146,-1.2134534,-1.2209762,-0.0075228
41,-0.34375054,-0.31914485,"('unforgiving', 'forgiving')",0.16163415,0.070669405,-0.0910582,-0.1242377,-0.0331795
