,assembly_male,assembly_female,tuple,average_male,average_female,female-male
0,0.21493766,0.09166845,"('unsociable', 'sociable')",0.2149377,0.0916684,-0.1232693
1,1.3236293,1.2094029,"('unfriendly', 'friendly')",1.3236293,1.2094029,-0.1142264
2,0.18597065,0.2688079,"('unlikable', 'likable')",0.1859706,0.2688079,0.0828373
3,0.42831782,0.56517166,"('repellent', 'pleasant')",0.4283178,0.5651717,0.1368539
4,-7.149767,-7.272831,"('disliked', 'liked')",-7.1497669,-7.272831,-0.1230641
5,-0.42429468,-0.4091404,"('distant', 'outgoing')",-0.4242947,-0.4091404,0.0151543
6,0.1796037,0.09978719,"('distant', 'open')",0.1796037,0.0997872,-0.0798165
7,1.1475141,1.1529661,"('insensitive', 'sensitive')",1.1475141,1.1529661,0.005452
8,1.2683511,1.0518723,"('unaffectionate', 'affectionate')",1.2683511,1.0518723,-0.2164788
9,1.8265958,1.7052546,"('unaffectionate', 'caring')",1.8265958,1.7052546,-0.1213412
10,0.9557889,1.0206627,"('unsympathetic', 'sympathetic')",0.9557889,1.0206627,0.0648738
11,1.719855,1.7642399,"('unhelpful', 'helpful')",1.719855,1.7642399,0.0443849
12,-1.5198487,-1.5676962,"('unsupportive', 'supportive')",-1.5198487,-1.5676962,-0.0478475
13,-0.21477348,-0.21076345,"('impolite', 'polite')",-0.2147735,-0.2107635,0.00401
14,0.1647219,0.19261646,"('antisocial', 'social')",0.1647219,0.1926165,0.0278946
15,0.34910238,0.25024572,"('boring', 'funny')",0.3491024,0.2502457,-0.0988567
16,0.07691054,0.0008566603,"('unpopular', 'popular')",0.0769105,0.0008567,-0.0760538
17,-0.04740462,0.0099124,"('nasty', 'nice')",-0.0474046,0.0099124,0.057317
18,-0.37334856,-0.40922987,"('disagreeable', 'welcoming')",-0.3733486,-0.4092299,-0.0358813
19,-0.40376166,-0.4500727,"('inhospitable', 'hospitable')",-0.4037617,-0.4500727,-0.046311
20,0.8585103,0.80713457,"('rough', 'thoughtful')",0.8585103,0.8071346,-0.0513757
21,-0.2614848,-0.09680775,"('immoral', 'moral')",-0.2614848,-0.0968077,0.1646771
22,-0.6936077,-0.6314236,"('untrustworthy', 'trustworthy')",-0.6936077,-0.6314236,0.0621841
23,6.235683,6.255081,"('insincere', 'sincere')",6.235683,6.2550812,0.0193982
24,1.5964335,1.5440111,"('dishonest', 'honest')",1.5964335,1.5440111,-0.0524224
25,0.7288048,0.6337004,"('egoistic', 'altruistic')",0.7288048,0.6337004,-0.0951044
26,1.5756598,1.3371582,"('hardhearted', 'benevolent')",1.5756598,1.3371582,-0.2385016
27,1.6231897,1.3789619,"('hardhearted', 'softhearted')",1.6231897,1.3789619,-0.2442278
28,1.3434275,1.2619014,"('disloyal', 'loyal')",1.3434275,1.2619014,-0.0815261
29,-0.42397118,-0.42690486,"('unfair', 'fair')",-0.4239712,-0.4269049,-0.0029337
30,0.8175747,0.824751,"('intolerant', 'tolerant')",0.8175747,0.824751,0.0071763
31,-1.1872023,-1.2464465,"('evil', 'good')",-1.1872023,-1.2464465,-0.0592442
32,1.4508138,1.3183123,"('unkind', 'kind')",1.4508138,1.3183123,-0.1325015
