,basics_male,basics_female,tuple,average_male,average_female,female-male
0,0.20151313,0.03567085,"('unsociable', 'sociable')",0.2015131,0.0356709,-0.1658422
1,1.3108162,1.3306547,"('unfriendly', 'friendly')",1.3108162,1.3306547,0.0198385
2,0.42493743,0.53065133,"('unlikable', 'likable')",0.4249374,0.5306513,0.1057139
3,1.2460406,1.3379436,"('repellent', 'pleasant')",1.2460406,1.3379436,0.091903
4,-7.333269,-7.239243,"('disliked', 'liked')",-7.3332691,-7.239243,0.0940261
5,-0.27260852,0.06993784,"('distant', 'outgoing')",-0.2726085,0.0699378,0.3425463
6,0.021287734,0.36890322,"('distant', 'open')",0.0212877,0.3689032,0.3476155
7,0.92802596,1.0939497,"('insensitive', 'sensitive')",0.928026,1.0939497,0.1659237
8,0.9449752,1.0152289,"('unaffectionate', 'affectionate')",0.9449752,1.0152289,0.0702537
9,1.5687981,1.7430211,"('unaffectionate', 'caring')",1.5687981,1.7430211,0.174223
10,1.6113977,1.6621162,"('unsympathetic', 'sympathetic')",1.6113977,1.6621162,0.0507185
11,2.24413,2.2860348,"('unhelpful', 'helpful')",2.2441299,2.2860348,0.0419049
12,-1.4812176,-1.3745949,"('unsupportive', 'supportive')",-1.4812176,-1.3745949,0.1066227
13,0.5578888,0.3555264,"('impolite', 'polite')",0.5578888,0.3555264,-0.2023624
14,-0.13889122,-0.3044083,"('antisocial', 'social')",-0.1388912,-0.3044083,-0.1655171
15,0.24448702,0.19154225,"('boring', 'funny')",0.244487,0.1915423,-0.0529447
16,-0.2182943,-0.13774592,"('unpopular', 'popular')",-0.2182943,-0.1377459,0.0805484
17,-0.105535895,-0.08589549,"('nasty', 'nice')",-0.1055359,-0.0858955,0.0196404
18,-0.6724584,-0.71632844,"('disagreeable', 'welcoming')",-0.6724584,-0.7163284,-0.04387
19,-0.6990405,-0.40934256,"('inhospitable', 'hospitable')",-0.6990405,-0.4093426,0.2896979
20,0.7851759,0.6740239,"('rough', 'thoughtful')",0.7851759,0.6740239,-0.111152
21,0.25350344,0.3834228,"('immoral', 'moral')",0.2535034,0.3834228,0.1299194
22,-0.31118295,-0.3076142,"('untrustworthy', 'trustworthy')",-0.3111829,-0.3076142,0.0035687
23,6.6659203,6.7020736,"('insincere', 'sincere')",6.6659203,6.7020736,0.0361533
