,culture_male,culture_female,tuple,average_male,average_female,female-male
0,-0.31027806,-0.3666638,"('unsociable', 'sociable')",-0.3102781,-0.3666638,-0.0563857
1,1.0653712,1.0532702,"('unfriendly', 'friendly')",1.0653712,1.0532702,-0.012101
2,-0.014578564,0.034891404,"('unlikable', 'likable')",-0.0145786,0.0348914,0.04947
3,0.41004452,0.43286198,"('repellent', 'pleasant')",0.4100445,0.432862,0.0228175
4,-7.2308645,-7.3629837,"('disliked', 'liked')",-7.2308645,-7.3629837,-0.1321192
5,-0.49399546,-0.5353352,"('distant', 'outgoing')",-0.4939955,-0.5353352,-0.0413397
6,-0.120580226,-0.1912851,"('distant', 'open')",-0.1205802,-0.1912851,-0.0707049
7,0.30474475,0.38198566,"('insensitive', 'sensitive')",0.3047448,0.3819857,0.0772409
8,1.0849775,0.99626243,"('unaffectionate', 'affectionate')",1.0849775,0.9962624,-0.0887151
9,1.5125389,1.5152804,"('unaffectionate', 'caring')",1.5125389,1.5152804,0.0027415
10,0.4139439,0.44417155,"('unsympathetic', 'sympathetic')",0.4139439,0.4441715,0.0302276
11,1.4676489,1.5706179,"('unhelpful', 'helpful')",1.4676489,1.5706179,0.102969
12,-1.7638477,-1.7155427,"('unsupportive', 'supportive')",-1.7638477,-1.7155427,0.048305
13,-0.3210488,-0.2763855,"('impolite', 'polite')",-0.3210488,-0.2763855,0.0446633
14,0.363126,0.38132834,"('antisocial', 'social')",0.363126,0.3813283,0.0182023
15,0.14832275,0.077189706,"('boring', 'funny')",0.1483227,0.0771897,-0.071133
16,-0.21912387,-0.20498616,"('unpopular', 'popular')",-0.2191239,-0.2049862,0.0141377
17,0.109615244,0.19827099,"('nasty', 'nice')",0.1096152,0.198271,0.0886558
18,-0.4171909,-0.48780966,"('disagreeable', 'welcoming')",-0.4171909,-0.4878097,-0.0706188
19,-0.27664134,-0.2475742,"('inhospitable', 'hospitable')",-0.2766413,-0.2475742,0.0290671
20,0.6769614,0.6208298,"('rough', 'thoughtful')",0.6769614,0.6208298,-0.0561316
21,-0.15028682,-0.076023564,"('immoral', 'moral')",-0.1502868,-0.0760236,0.0742632
22,-0.5509799,-0.5811728,"('untrustworthy', 'trustworthy')",-0.5509799,-0.5811728,-0.0301929
23,6.42522,6.5074444,"('insincere', 'sincere')",6.42522,6.5074444,0.0822244
24,1.3822852,1.2684832,"('dishonest', 'honest')",1.3822852,1.2684832,-0.113802
25,0.5088528,0.3857793,"('egoistic', 'altruistic')",0.5088528,0.3857793,-0.1230735
26,0.8524422,0.8286678,"('hardhearted', 'benevolent')",0.8524422,0.8286678,-0.0237744
27,1.4037527,1.264884,"('hardhearted', 'softhearted')",1.4037527,1.264884,-0.1388687
28,1.1199131,1.1001731,"('disloyal', 'loyal')",1.1199131,1.1001731,-0.01974
29,-0.5136362,-0.6568774,"('unfair', 'fair')",-0.5136362,-0.6568774,-0.1432412
30,1.4528527,1.4814826,"('intolerant', 'tolerant')",1.4528527,1.4814826,0.0286299
31,-0.9324818,-0.9646985,"('evil', 'good')",-0.9324818,-0.9646985,-0.0322167
32,0.9008921,0.8597576,"('unkind', 'kind')",0.9008921,0.8597576,-0.0411345
33,-0.18852463,-0.22424689,"('wrong', 'right')",-0.1885246,-0.2242469,-0.0357223
34,4.8370056,5.0361753,"('mean', 'honorable')",4.8370056,5.0361753,0.1991697
35,-0.7470801,-1.031011,"('corrupt', 'incorrupt')",-0.7470801,-1.031011,-0.2839309
36,-0.33547786,-0.46464053,"('hostile', 'amicable')",-0.3354779,-0.4646405,-0.1291626
37,0.6032753,0.5577122,"('fake', 'genuine')",0.6032753,0.5577122,-0.0455631
38,-0.23737366,-0.19518098,"('untruthful', 'truthful')",-0.2373737,-0.195181,0.0421927
39,0.6479706,0.6478961,"('exploitative', 'cooperative')",0.6479706,0.6478961,-7.45e-05
40,-1.8579465,-2.0421226,"('stingy', 'generous')",-1.8579465,-2.0421226,-0.1841761
41,-0.11504465,-0.119439095,"('unforgiving', 'forgiving')",-0.1150447,-0.1194391,-0.0043944
42,-2.570737,-2.5980434,"('unreliable', 'reliable')",-2.5707369,-2.5980434,-0.0273065
43,0.60443026,0.675298,"('irresponsible', 'responsible')",0.6044303,0.675298,0.0708677
44,-0.9986098,-1.0547853,"('prejudiced', 'unprejudiced')",-0.9986098,-1.0547853,-0.0561755
45,0.050030645,0.057240188,"('incompetent', 'competent')",0.0500306,0.0572402,0.0072096
46,-1.2757776,-1.2470955,"('uncompetitive', 'competitive')",-1.2757776,-1.2470955,0.0286821
47,5.3387756,5.5095215,"('stupid', 'smart')",5.3387756,5.5095215,0.1707459
48,0.22916503,0.25852916,"('unintelligent', 'intelligent')",0.229165,0.2585292,0.0293642
49,0.47039258,0.51421815,"('unable', 'able')",0.4703926,0.5142182,0.0438256
50,-0.3722002,-0.39628878,"('clumsy', 'skillful')",-0.3722002,-0.3962888,-0.0240886
51,0.48245376,0.3982381,"('uneducated', 'educated')",0.4824538,0.3982381,-0.0842157
52,0.15545121,0.033607304,"('irrational', 'rational')",0.1554512,0.0336073,-0.1218439
53,-0.015130449,-0.007587461,"('uncreative', 'creative')",-0.0151304,-0.0075875,0.0075429
54,1.1194162,1.1849085,"('incapable', 'capable')",1.1194162,1.1849085,0.0654923
55,0.5421196,0.57756346,"('incompetent', 'clever')",0.5421196,0.5775635,0.0354439
56,0.6232519,0.6717247,"('impractical', 'practical')",0.6232519,0.6717247,0.0484728
57,-2.929197,-2.8836153,"('unimaginative', 'imaginative')",-2.9291971,-2.8836153,0.0455818
58,0.07199609,0.07945652,"('undiscriminating', 'discriminating')",0.0719961,0.0794565,0.0074604
59,0.3238003,0.30796096,"('foolish', 'wise')",0.3238003,0.307961,-0.0158393
60,-0.002214916,0.16102427,"('inefficient', 'efficient')",-0.0022149,0.1610243,0.1632392
61,0.11136337,-0.0051398277,"('illogical', 'logical')",0.1113634,-0.0051398,-0.1165032
62,0.32481307,0.46748674,"('incompetent', 'brilliant')",0.3248131,0.4674867,0.1426736
63,-0.20187901,-0.08051379,"('unperceptive', 'insightful')",-0.201879,-0.0805138,0.1213652
64,-6.529207,-6.545232,"('shy', 'confident')",-6.5292072,-6.5452318,-0.0160246
65,0.015553787,0.076962635,"('insecure', 'secure')",0.0155538,0.0769626,0.0614088
66,-0.17773649,-0.28363264,"('inactive', 'active')",-0.1777365,-0.2836326,-0.1058961
67,-0.20782192,-0.1480407,"('doubtful', 'determined')",-0.2078219,-0.1480407,0.0597812
68,-0.95660186,-1.0127813,"('dependent', 'independent')",-0.9566019,-1.0127813,-0.0561794
69,-1.5227649,-1.5755886,"('lazy', 'industrious')",-1.5227649,-1.5755886,-0.0528237
70,0.5163296,0.52538407,"('lethargic', 'energetic')",0.5163296,0.5253841,0.0090545
