,racist_male,racist_female,tuple,average_male,average_female,female-male
0,0.19506678,0.19200096,"('unsociable', 'sociable')",0.1950668,0.192001,-0.0030658
1,1.4413146,1.4729832,"('unfriendly', 'friendly')",1.4413146,1.4729832,0.0316686
2,0.1741643,0.29289526,"('unlikable', 'likable')",0.1741643,0.2928953,0.118731
3,1.0553246,1.1349928,"('repellent', 'pleasant')",1.0553246,1.1349928,0.0796682
4,-7.17617,-7.1290445,"('disliked', 'liked')",-7.1761699,-7.1290445,0.0471254
5,-0.36305666,-0.23719403,"('distant', 'outgoing')",-0.3630567,-0.237194,0.1258627
6,-0.058449674,-0.002791129,"('distant', 'open')",-0.0584497,-0.0027911,0.0556586
7,1.293552,1.4007697,"('insensitive', 'sensitive')",1.293552,1.4007697,0.1072177
8,1.1192837,1.1564544,"('unaffectionate', 'affectionate')",1.1192837,1.1564544,0.0371707
9,1.5174544,1.6875383,"('unaffectionate', 'caring')",1.5174544,1.6875383,0.1700839
10,1.1833453,1.2694554,"('unsympathetic', 'sympathetic')",1.1833453,1.2694554,0.0861101
11,1.9169397,2.0697784,"('unhelpful', 'helpful')",1.9169397,2.0697784,0.1528387
12,-1.3369755,-1.0641115,"('unsupportive', 'supportive')",-1.3369755,-1.0641115,0.272864
13,0.20376396,0.21573249,"('impolite', 'polite')",0.203764,0.2157325,0.0119685
14,-0.02357059,-0.020082666,"('antisocial', 'social')",-0.0235706,-0.0200827,0.0034879
15,0.4856728,0.43096426,"('boring', 'funny')",0.4856728,0.4309643,-0.0547085
16,-0.68909377,-0.6081626,"('unpopular', 'popular')",-0.6890938,-0.6081626,0.0809312
17,-0.24622013,-0.16116638,"('nasty', 'nice')",-0.2462201,-0.1611664,0.0850537
18,-0.21997073,-0.11479647,"('disagreeable', 'welcoming')",-0.2199707,-0.1147965,0.1051742
19,-0.3565382,-0.18636324,"('inhospitable', 'hospitable')",-0.3565382,-0.1863632,0.170175
20,0.4586421,0.30002725,"('rough', 'thoughtful')",0.4586421,0.3000273,-0.1586148
21,0.2480865,0.41149908,"('immoral', 'moral')",0.2480865,0.4114991,0.1634126
22,-0.33106807,-0.22329432,"('untrustworthy', 'trustworthy')",-0.3310681,-0.2232943,0.1077738
23,6.6100774,6.72522,"('insincere', 'sincere')",6.6100774,6.7252202,0.1151428
24,1.8065481,1.9022007,"('dishonest', 'honest')",1.8065481,1.9022007,0.0956526
25,0.9646089,0.89437175,"('egoistic', 'altruistic')",0.9646089,0.8943717,-0.0702372
26,0.5851569,0.37394705,"('hardhearted', 'benevolent')",0.5851569,0.3739471,-0.2112098
27,1.7809311,1.5472091,"('hardhearted', 'softhearted')",1.7809311,1.5472091,-0.233722
28,1.1542815,1.0778908,"('disloyal', 'loyal')",1.1542815,1.0778908,-0.0763907
29,-0.88331,-0.9815119,"('unfair', 'fair')",-0.88331,-0.9815119,-0.0982019
30,1.0311126,1.0790011,"('intolerant', 'tolerant')",1.0311126,1.0790011,0.0478885
31,-1.4825122,-1.4285154,"('evil', 'good')",-1.4825122,-1.4285154,0.0539968
32,1.1554134,1.0937936,"('unkind', 'kind')",1.1554134,1.0937936,-0.0616198
33,-0.37155485,-0.28831017,"('wrong', 'right')",-0.3715549,-0.2883102,0.0832447
34,4.542223,4.8225856,"('mean', 'honorable')",4.542223,4.8225856,0.2803626
35,-1.2757761,-1.4379447,"('corrupt', 'incorrupt')",-1.2757761,-1.4379447,-0.1621686
36,-1.1854565,-1.2665801,"('hostile', 'amicable')",-1.1854565,-1.2665801,-0.0811236
37,1.2727973,1.2475939,"('fake', 'genuine')",1.2727973,1.2475939,-0.0252034
38,-0.1177142,0.071067266,"('untruthful', 'truthful')",-0.1177142,0.0710673,0.1887815
39,0.4596209,0.45657444,"('exploitative', 'cooperative')",0.4596209,0.4565744,-0.0030465
40,-0.8199636,-0.9001393,"('stingy', 'generous')",-0.8199636,-0.9001393,-0.0801757
41,0.0067647193,-0.075353086,"('unforgiving', 'forgiving')",0.0067647,-0.0753531,-0.0821178
42,-2.1524208,-2.054054,"('unreliable', 'reliable')",-2.1524208,-2.054054,0.0983668
43,1.0688711,1.15532,"('irresponsible', 'responsible')",1.0688711,1.15532,0.0864489
44,-1.3267468,-1.548891,"('prejudiced', 'unprejudiced')",-1.3267468,-1.5488909,-0.2221441
45,0.19725806,0.18994129,"('incompetent', 'competent')",0.1972581,0.1899413,-0.0073168
46,-0.4831815,-0.43395454,"('uncompetitive', 'competitive')",-0.4831815,-0.4339545,0.049227
47,4.733279,4.8824625,"('stupid', 'smart')",4.7332792,4.8824625,0.1491833
48,0.6058281,0.5916424,"('unintelligent', 'intelligent')",0.6058281,0.5916424,-0.0141857
49,0.27213514,0.413416,"('unable', 'able')",0.2721351,0.413416,0.1412809
50,-0.19555755,-0.16902047,"('clumsy', 'skillful')",-0.1955575,-0.1690205,0.026537
51,0.98599166,1.0102236,"('uneducated', 'educated')",0.9859917,1.0102236,0.0242319
52,-0.20720468,-0.2966657,"('irrational', 'rational')",-0.2072047,-0.2966657,-0.089461
