,regeneron_male,regeneron_female,tuple,pharmaceuticals_male,pharmaceuticals_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.96760345,-1.0686767,"('unsociable', 'sociable')",0.070269205,-0.0369342,-0.82497543,-0.980878,-0.5741032,-0.6954963,-0.1213931
1,-1.318722,-1.5303289,"('unfriendly', 'friendly')",0.8328833,0.6669829,2.078851,1.909312,0.5310041,0.3486553,-0.1823488
2,0.5652877,0.6126659,"('unlikable', 'likable')",0.58968246,0.60263187,0.8105462,0.9477554,0.6551721,0.7210177,0.0658456
3,-1.6837096,-1.6119472,"('repellent', 'pleasant')",-1.24997,-1.1697639,-0.1144806,-0.078179985,-1.0160534,-0.9532971,0.0627563
4,0.31691,0.26092446,"('disliked', 'liked')",0.21201988,0.16964863,-5.6978507,-5.7875776,-1.7229737,-1.7856682,-0.0626945
5,0.32870847,0.27123514,"('distant', 'outgoing')",0.32173845,0.328941,0.455968,0.505633,0.368805,0.368603,-0.000202
6,0.13322501,0.058561947,"('distant', 'open')",0.25839043,0.24080658,1.2284069,1.2548043,0.5400074,0.5180576,-0.0219498
7,-1.5078561,-1.4919851,"('insensitive', 'sensitive')",-1.2026645,-1.187615,0.17877765,0.19223142,-0.8439143,-0.8291229,0.0147914
8,0.24596465,0.14037658,"('unaffectionate', 'affectionate')",0.5990747,0.5500119,1.1185628,1.0351926,0.6545341,0.5751937,-0.0793404
9,-0.60033303,-0.7362129,"('unaffectionate', 'caring')",0.5186163,0.46817884,1.2458953,1.2210971,0.3880595,0.3176877,-0.0703718
10,-2.251444,-2.2389581,"('unsympathetic', 'sympathetic')",-0.9898845,-0.9885677,-0.91985595,-0.9873596,-1.3870616,-1.4049617,-0.0179001
11,-1.0122418,-0.96613586,"('unhelpful', 'helpful')",-0.051227033,-0.032028247,1.0072317,1.0898335,-0.0187457,0.0305565,0.0493022
12,-0.29812145,-0.27787858,"('unsupportive', 'supportive')",0.7856747,0.8437271,-1.8322403,-1.8500992,-0.448229,-0.4280836,0.0201454
13,-1.242796,-1.1886425,"('impolite', 'polite')",-1.1752089,-1.1616979,-0.7455808,-0.7846433,-1.0545286,-1.0449945,0.0095341
14,-0.8959502,-0.8168125,"('antisocial', 'social')",-0.56577337,-0.5238063,-1.207802,-1.255619,-0.8898419,-0.8654126,0.0244293
15,0.08903389,0.036618214,"('boring', 'funny')",0.049696185,-0.016822644,0.47275645,0.4456384,0.2038289,0.1551447,-0.0486842
16,0.011546964,-0.021865677,"('unpopular', 'popular')",0.35939482,0.3495798,1.0459611,1.0244281,0.472301,0.4507141,-0.0215869
17,-0.019440578,0.03628142,"('nasty', 'nice')",-0.8920638,-0.8315853,-0.5767985,-0.46000752,-0.496101,-0.4184371,0.0776639
18,0.24273443,0.25790256,"('disagreeable', 'welcoming')",-0.0034240112,0.003273502,-0.07510336,-0.092852995,0.0547357,0.0561077,0.001372
19,-0.40967223,-0.39234096,"('inhospitable', 'hospitable')",-0.40394098,-0.40374643,0.3024387,0.43762246,-0.1703915,-0.1194883,0.0509032
20,-0.6939,-0.67109776,"('rough', 'thoughtful')",0.42758182,0.48151153,1.1271306,1.0799307,0.2869375,0.2967815,0.009844
21,-1.0358697,-1.0396057,"('immoral', 'moral')",-0.4069484,-0.4290615,-1.2716236,-1.2813145,-0.9048139,-0.9166606,-0.0118467
22,-0.8455871,-0.81291944,"('untrustworthy', 'trustworthy')",-1.0588188,-1.1054119,-1.1015741,-1.1731035,-1.0019933,-1.0304783,-0.028485
23,-1.8610207,-1.9180273,"('insincere', 'sincere')",-0.48326302,-0.5220293,4.671113,4.6452913,0.7756098,0.7350783,-0.0405315
24,-1.2708815,-1.3269774,"('dishonest', 'honest')",-1.136393,-1.1670685,0.5622738,0.5266085,-0.6150002,-0.6558124,-0.0408122
25,0.39145237,0.3500435,"('egoistic', 'altruistic')",0.45206192,0.44540805,1.8251755,1.7558825,0.8895632,0.8504446,-0.0391186
26,-0.39571187,-0.5036747,"('hardhearted', 'benevolent')",1.3294126,1.3337661,1.6469054,1.5017864,0.860202,0.7772926,-0.0829094
27,-0.59008586,-0.5988769,"('hardhearted', 'softhearted')",-0.12482433,-0.13781266,1.8938447,1.744695,0.3929782,0.3360018,-0.0569764
28,-1.2002007,-1.3338475,"('disloyal', 'loyal')",0.26638755,0.164491,0.92221844,0.82445097,-0.0038649,-0.1149685,-0.1111036
29,-0.30708787,-0.3742868,"('unfair', 'fair')",-0.74578893,-0.8053039,-0.21711627,-0.34581944,-0.423331,-0.5084701,-0.0851391
30,-1.0560936,-1.061787,"('intolerant', 'tolerant')",0.03484559,0.001604449,0.65336573,0.61055076,-0.1226274,-0.1498773,-0.0272499
31,-0.14555092,-0.14899826,"('evil', 'good')",-0.33310336,-0.33910206,-0.15928659,-0.23301315,-0.212647,-0.2403711,-0.0277241
32,-0.20492154,-0.28132677,"('unkind', 'kind')",0.5466178,0.5228956,0.8168641,0.6177611,0.3861868,0.2864433,-0.0997435
33,0.88928705,0.7833188,"('wrong', 'right')",0.82997376,0.7580948,0.16695039,0.07928366,0.6287371,0.5402324,-0.0885047
34,-0.5276021,-0.39224628,"('mean', 'honorable')",-0.80316454,-0.70379734,5.6745462,5.9120307,1.4479265,1.605329,0.1574025
35,1.0569004,0.9490718,"('corrupt', 'incorrupt')",-0.2360939,-0.2870313,0.72926354,0.6112859,0.51669,0.4244421,-0.0922479
36,0.13076967,-0.010312049,"('hostile', 'amicable')",-0.7930579,-0.8642649,1.1009982,0.9241772,0.1462366,0.0165334,-0.1297032
37,-0.2600442,-0.22088344,"('fake', 'genuine')",-0.57619077,-0.55562615,0.22245882,0.25602248,-0.204592,-0.1734957,0.0310963
38,-0.7384326,-0.76763266,"('untruthful', 'truthful')",-0.27695993,-0.29562107,-0.31400302,-0.24019577,-0.4431318,-0.4344832,0.0086486
