,reactant_male,reactant_female,tuple,average_male,average_female,female-male
0,0.15371087,0.089925,"('unsociable', 'sociable')",0.1537109,0.089925,-0.0637859
1,-0.061325993,-0.3479054,"('unfriendly', 'friendly')",-0.061326,-0.3479054,-0.2865794
2,0.18375549,0.071739785,"('unlikable', 'likable')",0.1837555,0.0717398,-0.1120157
3,-0.83445656,-0.6015767,"('repellent', 'pleasant')",-0.8344566,-0.6015767,0.2328799
4,-3.6478763,-3.9101844,"('disliked', 'liked')",-3.6478763,-3.9101844,-0.2623081
5,-0.7524289,-0.78994423,"('distant', 'outgoing')",-0.7524289,-0.7899442,-0.0375153
6,-0.78734714,-0.9159234,"('distant', 'open')",-0.7873471,-0.9159234,-0.1285763
7,0.3383164,0.4690594,"('insensitive', 'sensitive')",0.3383164,0.4690594,0.130743
8,-0.7033425,-0.95001817,"('unaffectionate', 'affectionate')",-0.7033425,-0.9500182,-0.2466757
9,-0.21903221,-0.41885725,"('unaffectionate', 'caring')",-0.2190322,-0.4188572,-0.199825
10,0.38252255,0.39060128,"('unsympathetic', 'sympathetic')",0.3825226,0.3906013,0.0080787
11,1.5378225,1.6234245,"('unhelpful', 'helpful')",1.5378225,1.6234245,0.085602
12,-0.2201647,-0.3213161,"('unsupportive', 'supportive')",-0.2201647,-0.3213161,-0.1011514
13,-0.011380119,0.018170346,"('impolite', 'polite')",-0.0113801,0.0181703,0.0295504
14,-0.07831692,-0.02015606,"('antisocial', 'social')",-0.0783169,-0.0201561,0.0581608
15,0.61072636,0.5669437,"('boring', 'funny')",0.6107264,0.5669437,-0.0437827
16,-0.77122796,-0.80955684,"('unpopular', 'popular')",-0.771228,-0.8095568,-0.0383288
17,-0.6025894,-0.5566199,"('nasty', 'nice')",-0.6025894,-0.5566199,0.0459695
18,-0.9336149,-0.87649727,"('disagreeable', 'welcoming')",-0.9336149,-0.8764973,0.0571176
19,-1.230241,-1.1785879,"('inhospitable', 'hospitable')",-1.2302409,-1.1785879,0.051653
20,0.78961164,0.8226825,"('rough', 'thoughtful')",0.7896116,0.8226825,0.0330709
21,0.24352777,0.41139606,"('immoral', 'moral')",0.2435278,0.4113961,0.1678683
22,-0.51164085,-0.54956496,"('untrustworthy', 'trustworthy')",-0.5116408,-0.549565,-0.0379242
23,2.6470554,2.804964,"('insincere', 'sincere')",2.6470554,2.8049641,0.1579087
24,-0.25709885,-0.32384735,"('dishonest', 'honest')",-0.2570989,-0.3238474,-0.0667485
25,0.22298473,0.12630942,"('egoistic', 'altruistic')",0.2229847,0.1263094,-0.0966753
26,0.79795307,0.4149978,"('hardhearted', 'benevolent')",0.7979531,0.4149978,-0.3829553
27,0.4229428,0.42994586,"('hardhearted', 'softhearted')",0.4229428,0.4299459,0.0070031
28,0.64965796,0.6071336,"('disloyal', 'loyal')",0.649658,0.6071336,-0.0425244
29,-0.53048074,-0.6243317,"('unfair', 'fair')",-0.5304807,-0.6243317,-0.093851
30,-0.13946071,-0.16354844,"('intolerant', 'tolerant')",-0.1394607,-0.1635484,-0.0240877
31,-1.5168452,-1.621785,"('evil', 'good')",-1.5168452,-1.621785,-0.1049398
32,0.7891278,0.695805,"('unkind', 'kind')",0.7891278,0.695805,-0.0933228
33,0.2493962,0.013334408,"('wrong', 'right')",0.2493962,0.0133344,-0.2360618
34,1.9961468,2.346737,"('mean', 'honorable')",1.9961468,2.3467369,0.3505901
35,-0.53244036,-0.72354746,"('corrupt', 'incorrupt')",-0.5324404,-0.7235475,-0.1911071
36,-1.4573681,-1.7438427,"('hostile', 'amicable')",-1.4573681,-1.7438427,-0.2864746
37,0.74021465,0.7171464,"('fake', 'genuine')",0.7402146,0.7171464,-0.0230682
38,0.26421267,0.02221863,"('untruthful', 'truthful')",0.2642127,0.0222186,-0.2419941
39,0.00091869757,-0.022006925,"('exploitative', 'cooperative')",0.0009187,-0.0220069,-0.0229256
40,-1.0832773,-1.2392071,"('stingy', 'generous')",-1.0832773,-1.2392071,-0.1559298
41,0.20820835,0.11866397,"('unforgiving', 'forgiving')",0.2082084,0.118664,-0.0895444
42,-1.2182031,-1.2908006,"('unreliable', 'reliable')",-1.2182031,-1.2908006,-0.0725975
43,0.53550094,0.5113253,"('irresponsible', 'responsible')",0.5355009,0.5113253,-0.0241756
44,-0.80229586,-0.79929906,"('prejudiced', 'unprejudiced')",-0.8022959,-0.7992991,0.0029968
45,0.023770198,-0.06533641,"('incompetent', 'competent')",0.0237702,-0.0653364,-0.0891066
