,fan_male,fan_female,tuple,average_male,average_female,female-male
0,-0.3874224,-0.36402494,"('unsociable', 'sociable')",-0.3874224,-0.3640249,0.0233975
1,1.4271886,1.3533454,"('unfriendly', 'friendly')",1.4271886,1.3533454,-0.0738432
2,-0.12348269,-0.045273382,"('unlikable', 'likable')",-0.1234827,-0.0452734,0.0782093
3,0.8074396,0.86734945,"('repellent', 'pleasant')",0.8074396,0.8673494,0.0599098
4,-7.2703776,-7.441652,"('disliked', 'liked')",-7.2703776,-7.4416518,-0.1712742
5,-0.36914504,-0.3570673,"('distant', 'outgoing')",-0.369145,-0.3570673,0.0120777
6,0.3704872,0.28481185,"('distant', 'open')",0.3704872,0.2848119,-0.0856753
7,0.5648249,0.66500163,"('insensitive', 'sensitive')",0.5648249,0.6650016,0.1001767
8,1.2991128,1.1475347,"('unaffectionate', 'affectionate')",1.2991128,1.1475347,-0.1515781
9,1.3309264,1.3004246,"('unaffectionate', 'caring')",1.3309264,1.3004246,-0.0305018
10,0.51138616,0.5860506,"('unsympathetic', 'sympathetic')",0.5113862,0.5860506,0.0746644
11,0.88340044,0.994768,"('unhelpful', 'helpful')",0.8834004,0.994768,0.1113676
12,-1.9555118,-1.9464519,"('unsupportive', 'supportive')",-1.9555118,-1.9464519,0.0090599
13,-0.6262418,-0.5538287,"('impolite', 'polite')",-0.6262418,-0.5538287,0.0724131
14,-0.092717566,-0.06470272,"('antisocial', 'social')",-0.0927176,-0.0647027,0.0280149
15,0.1322109,0.06070311,"('boring', 'funny')",0.1322109,0.0607031,-0.0715078
16,-0.2914494,-0.3166554,"('unpopular', 'popular')",-0.2914494,-0.3166554,-0.025206
17,-0.017908618,0.029973645,"('nasty', 'nice')",-0.0179086,0.0299736,0.0478822
18,-0.1263093,-0.17483288,"('disagreeable', 'welcoming')",-0.1263093,-0.1748329,-0.0485236
19,-0.6153303,-0.67889166,"('inhospitable', 'hospitable')",-0.6153303,-0.6788917,-0.0635614
20,0.80532205,0.75426203,"('rough', 'thoughtful')",0.8053221,0.754262,-0.0510601
21,-0.9405657,-0.73447895,"('immoral', 'moral')",-0.9405657,-0.734479,0.2060867
22,-0.4663157,-0.4028635,"('untrustworthy', 'trustworthy')",-0.4663157,-0.4028635,0.0634522
23,5.855721,5.972796,"('insincere', 'sincere')",5.855721,5.972796,0.117075
24,1.120243,1.0455344,"('dishonest', 'honest')",1.120243,1.0455344,-0.0747086
25,0.8712617,0.73154044,"('egoistic', 'altruistic')",0.8712617,0.7315404,-0.1397213
26,0.95110285,0.8156274,"('hardhearted', 'benevolent')",0.9511029,0.8156274,-0.1354755
27,1.7531937,1.5714372,"('hardhearted', 'softhearted')",1.7531937,1.5714372,-0.1817565
28,1.0339056,0.9708233,"('disloyal', 'loyal')",1.0339056,0.9708233,-0.0630823
29,-0.4476959,-0.5403764,"('unfair', 'fair')",-0.4476959,-0.5403764,-0.0926805
30,0.6548296,0.6932628,"('intolerant', 'tolerant')",0.6548296,0.6932628,0.0384332
31,-0.6583738,-0.75319904,"('evil', 'good')",-0.6583738,-0.753199,-0.0948252
32,0.6694579,0.6468925,"('unkind', 'kind')",0.6694579,0.6468925,-0.0225654
33,-0.46958756,-0.5403004,"('wrong', 'right')",-0.4695876,-0.5403004,-0.0707128
34,4.25187,4.40355,"('mean', 'honorable')",4.2518702,4.4035501,0.1516799
35,-0.27587214,-0.60590816,"('corrupt', 'incorrupt')",-0.2758721,-0.6059082,-0.3300361
36,-0.3765656,-0.5412565,"('hostile', 'amicable')",-0.3765656,-0.5412565,-0.1646909
37,0.76240337,0.7417164,"('fake', 'genuine')",0.7624034,0.7417164,-0.020687
38,-0.50247264,-0.4708954,"('untruthful', 'truthful')",-0.5024726,-0.4708954,0.0315772
39,0.22395468,0.25920922,"('exploitative', 'cooperative')",0.2239547,0.2592092,0.0352545
40,-0.98388565,-1.1808573,"('stingy', 'generous')",-0.9838856,-1.1808573,-0.1969717
41,-0.15811649,-0.14019999,"('unforgiving', 'forgiving')",-0.1581165,-0.1402,0.0179165
42,-2.3174,-2.3236482,"('unreliable', 'reliable')",-2.3174,-2.3236482,-0.0062482
43,0.42057443,0.5444254,"('irresponsible', 'responsible')",0.4205744,0.5444254,0.123851
44,-0.82859194,-0.79771054,"('prejudiced', 'unprejudiced')",-0.8285919,-0.7977105,0.0308814
45,-0.34904367,-0.34871048,"('incompetent', 'competent')",-0.3490437,-0.3487105,0.0003332
46,-1.0909472,-1.0028762,"('uncompetitive', 'competitive')",-1.0909472,-1.0028762,0.088071
47,4.7668185,4.9599257,"('stupid', 'smart')",4.7668185,4.9599257,0.1931072
48,0.14742692,0.17154342,"('unintelligent', 'intelligent')",0.1474269,0.1715434,0.0241165
49,0.034510467,0.08998671,"('unable', 'able')",0.0345105,0.0899867,0.0554762
50,-0.34189224,-0.36078244,"('clumsy', 'skillful')",-0.3418922,-0.3607824,-0.0188902
51,0.20106329,0.15198201,"('uneducated', 'educated')",0.2010633,0.151982,-0.0490813
52,-0.053126905,-0.21834773,"('irrational', 'rational')",-0.0531269,-0.2183477,-0.1652208
