,transocean_male,transocean_female,tuple,ltd_male,ltd_female,average_male,average_female,female-male
0,-1.5643994,-1.5600297,"('unsociable', 'sociable')",-0.67052484,-0.71773016,-1.1174622,-1.13888,-0.0214178
1,-1.4613943,-1.6615448,"('unfriendly', 'friendly')",2.1299942,1.9864805,0.3342999,0.1624678,-0.1718321
2,0.31757563,0.36261836,"('unlikable', 'likable')",0.45718285,0.53262067,0.3873792,0.4476195,0.0602403
3,-0.47154638,-0.41786322,"('repellent', 'pleasant')",0.37197128,0.55497974,-0.0497876,0.0685583,0.1183459
4,0.697387,0.56780154,"('disliked', 'liked')",-3.0967789,-3.22989,-1.1996959,-1.3310443,-0.1313484
5,-0.22381099,-0.2626607,"('distant', 'outgoing')",0.14554402,0.07073046,-0.0391335,-0.0959651,-0.0568316
6,-0.27028143,-0.33782315,"('distant', 'open')",0.44388404,0.33899066,0.0868013,0.0005838,-0.0862175
7,-0.64352417,-0.6095863,"('insensitive', 'sensitive')",0.14888361,0.25367558,-0.2473203,-0.1779554,0.0693649
8,-0.7999391,-0.88690794,"('unaffectionate', 'affectionate')",0.91584265,0.7742233,0.0579518,-0.0563423,-0.1142941
9,-1.2428449,-1.293219,"('unaffectionate', 'caring')",0.93877673,0.85949445,-0.1520341,-0.2168623,-0.0648282
10,-2.97134,-2.8665056,"('unsympathetic', 'sympathetic')",-0.4420321,-0.25014573,-1.706686,-1.5583256,0.1483604
11,-1.4912578,-1.3285633,"('unhelpful', 'helpful')",0.78420866,0.9341991,-0.3535246,-0.1971821,0.1563425
12,-0.7243638,-0.63612163,"('unsupportive', 'supportive')",-1.1218325,-1.0957636,-0.9230981,-0.8659426,0.0571555
13,-1.386547,-1.2728492,"('impolite', 'polite')",-1.2379843,-1.149266,-1.3122656,-1.2110577,0.1012079
14,-0.5115912,-0.4287885,"('antisocial', 'social')",-0.08924459,0.03505853,-0.3004179,-0.196865,0.1035529
15,0.5190158,0.43264717,"('boring', 'funny')",0.5048314,0.44866583,0.5119236,0.4406565,-0.0712671
16,-0.041031428,-0.07409342,"('unpopular', 'popular')",0.33611277,0.37401062,0.1475407,0.1499586,0.0024179
17,-0.40054303,-0.34311378,"('nasty', 'nice')",-0.27652457,-0.25766724,-0.3385338,-0.3003905,0.0381433
18,-0.4046328,-0.36917073,"('disagreeable', 'welcoming')",-0.8456241,-0.84303975,-0.6251284,-0.6061052,0.0190232
19,-1.3495218,-1.3926842,"('inhospitable', 'hospitable')",-0.21573998,-0.304371,-0.7826309,-0.8485276,-0.0658967
20,0.2534342,0.3258316,"('rough', 'thoughtful')",1.0214348,0.985868,0.6374345,0.6558498,0.0184153
21,-1.6790016,-1.5746133,"('immoral', 'moral')",-1.3027471,-1.1447996,-1.4908743,-1.3597064,0.1311679
22,-0.9855347,-0.9879651,"('untrustworthy', 'trustworthy')",-0.29554534,-0.23564208,-0.64054,-0.6118036,0.0287364
23,-1.5841112,-1.5728307,"('insincere', 'sincere')",3.999798,4.0209484,1.2078434,1.2240589,0.0162155
24,-1.7523587,-1.7533145,"('dishonest', 'honest')",0.18667576,0.16357918,-0.7828414,-0.7948676,-0.0120262
25,0.73213327,0.643062,"('egoistic', 'altruistic')",0.9874117,0.87739336,0.8597724,0.7602277,-0.0995447
26,0.50124407,0.2949737,"('hardhearted', 'benevolent')",2.5843582,2.407685,1.5428011,1.3513293,-0.1914718
27,-0.6514471,-0.6109318,"('hardhearted', 'softhearted')",0.44366843,0.26029494,-0.1038893,-0.1753184,-0.0714291
28,-0.8215697,-0.9653987,"('disloyal', 'loyal')",0.9258756,0.75789934,0.052153,-0.1037497,-0.1559027
29,0.15662071,0.08468054,"('unfair', 'fair')",-0.24991633,-0.37383655,-0.0466478,-0.144578,-0.0979302
30,-0.9394851,-0.853009,"('intolerant', 'tolerant')",0.74034834,0.8870839,-0.0995684,0.0170375,0.1166059
