,boat_male,boat_female,tuple,average_male,average_female,female-male
0,0.14051422,0.094964325,"('unsociable', 'sociable')",0.1405142,0.0949643,-0.0455499
1,1.6484802,1.5786839,"('unfriendly', 'friendly')",1.6484802,1.5786839,-0.0697963
2,0.503036,0.47163,"('unlikable', 'likable')",0.503036,0.47163,-0.031406
3,0.26208755,0.38407567,"('repellent', 'pleasant')",0.2620876,0.3840757,0.1219881
4,-6.761411,-7.087524,"('disliked', 'liked')",-6.7614112,-7.0875239,-0.3261127
5,0.223753,-0.004608296,"('distant', 'outgoing')",0.223753,-0.0046083,-0.2283613
6,0.8373132,0.57647955,"('distant', 'open')",0.8373132,0.5764796,-0.2608336
7,0.6239115,0.7583489,"('insensitive', 'sensitive')",0.6239115,0.7583489,0.1344374
8,1.6626405,1.5412211,"('unaffectionate', 'affectionate')",1.6626405,1.5412211,-0.1214194
9,2.1350405,2.0702748,"('unaffectionate', 'caring')",2.1350405,2.0702748,-0.0647657
10,0.29868636,0.4815973,"('unsympathetic', 'sympathetic')",0.2986864,0.4815973,0.1829109
11,1.6036997,1.7694788,"('unhelpful', 'helpful')",1.6036997,1.7694788,0.1657791
12,-1.26595,-1.4126121,"('unsupportive', 'supportive')",-1.26595,-1.4126121,-0.1466621
13,-0.7617991,-0.6885794,"('impolite', 'polite')",-0.7617991,-0.6885794,0.0732197
14,0.056044877,0.120823495,"('antisocial', 'social')",0.0560449,0.1208235,0.0647786
15,0.71162355,0.43168885,"('boring', 'funny')",0.7116235,0.4316888,-0.2799347
16,-0.31311154,-0.31690016,"('unpopular', 'popular')",-0.3131115,-0.3169002,-0.0037887
17,0.39456344,0.45487168,"('nasty', 'nice')",0.3945634,0.4548717,0.0603083
18,-0.562757,-0.64068633,"('disagreeable', 'welcoming')",-0.562757,-0.6406863,-0.0779293
19,-0.22671674,-0.08600429,"('inhospitable', 'hospitable')",-0.2267167,-0.0860043,0.1407124
20,-0.0025102347,0.008412361,"('rough', 'thoughtful')",-0.0025102,0.0084124,0.0109226
21,-0.6960801,-0.48220754,"('immoral', 'moral')",-0.6960801,-0.4822075,0.2138726
22,-0.84579426,-0.8653557,"('untrustworthy', 'trustworthy')",-0.8457943,-0.8653557,-0.0195614
23,6.051745,6.459109,"('insincere', 'sincere')",6.0517449,6.4591088,0.4073639
24,1.2138381,1.1017188,"('dishonest', 'honest')",1.2138381,1.1017188,-0.1121193
