,blanket_male,blanket_female,tuple,average_male,average_female,female-male
0,0.34254467,0.36084294,"('unsociable', 'sociable')",0.3425447,0.3608429,0.0182982
1,1.5229223,1.3992692,"('unfriendly', 'friendly')",1.5229223,1.3992692,-0.1236531
2,0.21602148,0.31711853,"('unlikable', 'likable')",0.2160215,0.3171185,0.101097
3,0.9265417,1.0857157,"('repellent', 'pleasant')",0.9265417,1.0857157,0.159174
4,-7.401907,-7.28047,"('disliked', 'liked')",-7.401907,-7.2804699,0.1214371
5,-0.44217592,-0.3339204,"('distant', 'outgoing')",-0.4421759,-0.3339204,0.1082555
6,-0.03609166,0.0498647,"('distant', 'open')",-0.0360917,0.0498647,0.0859564
7,1.3894726,1.6012582,"('insensitive', 'sensitive')",1.3894726,1.6012582,0.2117856
8,1.0478065,0.94591624,"('unaffectionate', 'affectionate')",1.0478065,0.9459162,-0.1018903
9,1.917026,1.96351,"('unaffectionate', 'caring')",1.917026,1.96351,0.046484
10,1.1955919,1.3477772,"('unsympathetic', 'sympathetic')",1.1955919,1.3477772,0.1521853
11,2.0967689,2.144518,"('unhelpful', 'helpful')",2.0967689,2.1445179,0.047749
12,-1.0103102,-0.8261617,"('unsupportive', 'supportive')",-1.0103102,-0.8261617,0.1841485
13,0.33002275,0.31273434,"('impolite', 'polite')",0.3300228,0.3127343,-0.0172885
14,0.28241035,0.32036248,"('antisocial', 'social')",0.2824104,0.3203625,0.0379521
15,0.43943027,0.43999067,"('boring', 'funny')",0.4394303,0.4399907,0.0005604
16,-0.42910957,-0.41806072,"('unpopular', 'popular')",-0.4291096,-0.4180607,0.0110489
17,-0.19335453,-0.22584434,"('nasty', 'nice')",-0.1933545,-0.2258443,-0.0324898
18,-0.34012628,-0.35631543,"('disagreeable', 'welcoming')",-0.3401263,-0.3563154,-0.0161891
19,-0.32486755,-0.14662349,"('inhospitable', 'hospitable')",-0.3248675,-0.1466235,0.178244
20,0.53793454,0.44457003,"('rough', 'thoughtful')",0.5379345,0.44457,-0.0933645
21,0.17206088,0.46182036,"('immoral', 'moral')",0.1720609,0.4618204,0.2897595
22,-0.38384327,-0.21146601,"('untrustworthy', 'trustworthy')",-0.3838433,-0.211466,0.1723773
23,6.980006,6.9998193,"('insincere', 'sincere')",6.9800062,6.9998193,0.0198131
24,2.0281718,2.1777515,"('dishonest', 'honest')",2.0281718,2.1777515,0.1495797
25,1.0945553,0.91686136,"('egoistic', 'altruistic')",1.0945553,0.9168614,-0.1776939
26,0.59074026,0.2775537,"('hardhearted', 'benevolent')",0.5907403,0.2775537,-0.3131866
27,2.012877,1.8642497,"('hardhearted', 'softhearted')",2.012877,1.8642497,-0.1486273
28,1.182817,1.0328479,"('disloyal', 'loyal')",1.182817,1.0328479,-0.1499691
29,-0.6563389,-0.71342564,"('unfair', 'fair')",-0.6563389,-0.7134256,-0.0570867
30,1.1061807,1.1767622,"('intolerant', 'tolerant')",1.1061807,1.1767622,0.0705815
31,-1.3968495,-1.4549956,"('evil', 'good')",-1.3968495,-1.4549956,-0.0581461
32,1.5885087,1.4452971,"('unkind', 'kind')",1.5885087,1.4452971,-0.1432116
33,-0.18162948,-0.042053822,"('wrong', 'right')",-0.1816295,-0.0420538,0.1395757
34,4.692997,4.851072,"('mean', 'honorable')",4.692997,4.8510718,0.1580748
35,-0.9720723,-1.0680736,"('corrupt', 'incorrupt')",-0.9720723,-1.0680736,-0.0960013
36,-1.1910535,-1.2822591,"('hostile', 'amicable')",-1.1910535,-1.2822591,-0.0912056
37,1.1619133,1.1474212,"('fake', 'genuine')",1.1619133,1.1474212,-0.0144921
38,0.16065514,0.18416291,"('untruthful', 'truthful')",0.1606551,0.1841629,0.0235078
39,0.5991815,0.6213787,"('exploitative', 'cooperative')",0.5991815,0.6213787,0.0221972
40,-0.9761327,-1.0725877,"('stingy', 'generous')",-0.9761327,-1.0725877,-0.096455
41,0.32347867,0.18289346,"('unforgiving', 'forgiving')",0.3234787,0.1828935,-0.1405852
42,-2.5360281,-2.3827095,"('unreliable', 'reliable')",-2.5360281,-2.3827095,0.1533186
43,1.0974841,1.1357569,"('irresponsible', 'responsible')",1.0974841,1.1357569,0.0382728
44,-1.6284277,-1.7334371,"('prejudiced', 'unprejudiced')",-1.6284277,-1.7334371,-0.1050094
45,0.305438,0.47445154,"('incompetent', 'competent')",0.305438,0.4744515,0.1690135
46,-0.7924442,-0.6140551,"('uncompetitive', 'competitive')",-0.7924442,-0.6140551,0.1783891
47,5.0483265,5.161059,"('stupid', 'smart')",5.0483265,5.1610589,0.1127324
48,0.67547053,0.70182544,"('unintelligent', 'intelligent')",0.6754705,0.7018254,0.0263549
49,0.18059438,0.418701,"('unable', 'able')",0.1805944,0.418701,0.2381066
