,wingtip_male,wingtip_female,tuple,average_male,average_female,female-male
0,0.67263013,0.5106532,"('unsociable', 'sociable')",0.6726301,0.5106532,-0.1619769
1,-0.30429223,-0.67026794,"('unfriendly', 'friendly')",-0.3042922,-0.6702679,-0.3659757
2,-0.08158338,-0.007263139,"('unlikable', 'likable')",-0.0815834,-0.0072631,0.0743203
3,-0.11398556,0.08433685,"('repellent', 'pleasant')",-0.1139856,0.0843368,0.1983224
4,-3.4279776,-3.5317154,"('disliked', 'liked')",-3.4279776,-3.5317154,-0.1037378
5,-2.0003948,-2.1664565,"('distant', 'outgoing')",-2.0003948,-2.1664565,-0.1660617
6,-2.2213924,-2.3667834,"('distant', 'open')",-2.2213924,-2.3667834,-0.145391
7,1.2262082,1.3275455,"('insensitive', 'sensitive')",1.2262082,1.3275455,0.1013373
8,-0.17702028,-0.3026655,"('unaffectionate', 'affectionate')",-0.1770203,-0.3026655,-0.1256452
9,-0.06049546,-0.24072838,"('unaffectionate', 'caring')",-0.0604955,-0.2407284,-0.1802329
10,0.94685745,0.94793046,"('unsympathetic', 'sympathetic')",0.9468575,0.9479305,0.001073
11,1.1600424,1.2044297,"('unhelpful', 'helpful')",1.1600424,1.2044297,0.0443873
12,-0.65504587,-0.6000877,"('unsupportive', 'supportive')",-0.6550459,-0.6000877,0.0549582
13,0.33877832,0.36512923,"('impolite', 'polite')",0.3387783,0.3651292,0.0263509
14,1.4698162,1.5342145,"('antisocial', 'social')",1.4698162,1.5342145,0.0643983
15,0.2758599,0.106138244,"('boring', 'funny')",0.2758599,0.1061382,-0.1697217
16,-1.3008921,-1.3811545,"('unpopular', 'popular')",-1.3008921,-1.3811545,-0.0802624
17,-0.42050695,-0.38384354,"('nasty', 'nice')",-0.420507,-0.3838435,0.0366635
18,-0.7498475,-0.6800192,"('disagreeable', 'welcoming')",-0.7498475,-0.6800192,0.0698283
19,-1.1510718,-1.1698786,"('inhospitable', 'hospitable')",-1.1510718,-1.1698786,-0.0188068
20,0.19928193,0.27725515,"('rough', 'thoughtful')",0.1992819,0.2772551,0.0779732
21,0.4800204,0.6628392,"('immoral', 'moral')",0.4800204,0.6628392,0.1828188
22,0.757934,0.6870166,"('untrustworthy', 'trustworthy')",0.757934,0.6870166,-0.0709174
23,2.8727343,2.9225826,"('insincere', 'sincere')",2.8727343,2.9225826,0.0498483
24,0.3298803,0.15252572,"('dishonest', 'honest')",0.3298803,0.1525257,-0.1773546
25,-0.25628668,-0.36271128,"('egoistic', 'altruistic')",-0.2562867,-0.3627113,-0.1064246
26,1.0683677,0.66418093,"('hardhearted', 'benevolent')",1.0683677,0.6641809,-0.4041868
27,0.448944,0.3291927,"('hardhearted', 'softhearted')",0.448944,0.3291927,-0.1197513
28,0.6691571,0.49367648,"('disloyal', 'loyal')",0.6691571,0.4936765,-0.1754806
29,-0.5019598,-0.6559945,"('unfair', 'fair')",-0.5019598,-0.6559945,-0.1540347
30,0.79353637,0.8302141,"('intolerant', 'tolerant')",0.7935364,0.8302141,0.0366777
31,-2.0872345,-2.267157,"('evil', 'good')",-2.0872345,-2.2671571,-0.1799226
32,0.9411061,0.7174289,"('unkind', 'kind')",0.9411061,0.7174289,-0.2236772
33,-0.23123385,-0.22298463,"('wrong', 'right')",-0.2312339,-0.2229846,0.0082493
34,1.581379,1.7333488,"('mean', 'honorable')",1.5813791,1.7333488,0.1519697
35,-0.32363647,-0.5770586,"('corrupt', 'incorrupt')",-0.3236365,-0.5770586,-0.2534221
36,-1.5098541,-1.7604592,"('hostile', 'amicable')",-1.5098541,-1.7604592,-0.2506051
37,0.8022193,0.8201957,"('fake', 'genuine')",0.8022193,0.8201957,0.0179764
38,-0.40150207,-0.4320554,"('untruthful', 'truthful')",-0.4015021,-0.4320554,-0.0305533
39,0.7029983,0.92293894,"('exploitative', 'cooperative')",0.7029983,0.9229389,0.2199406
40,-1.8013034,-1.7732861,"('stingy', 'generous')",-1.8013034,-1.7732861,0.0280173
41,0.33244675,0.115093365,"('unforgiving', 'forgiving')",0.3324468,0.1150934,-0.2173534
42,-1.4938195,-1.3102567,"('unreliable', 'reliable')",-1.4938195,-1.3102567,0.1835628
43,0.7304702,0.7748856,"('irresponsible', 'responsible')",0.7304702,0.7748856,0.0444154
44,-1.127028,-1.0458782,"('prejudiced', 'unprejudiced')",-1.127028,-1.0458782,0.0811498
45,0.6090502,0.46499586,"('incompetent', 'competent')",0.6090502,0.4649959,-0.1440543
46,0.80139476,0.76363564,"('uncompetitive', 'competitive')",0.8013948,0.7636356,-0.0377592
47,2.3519855,2.4008198,"('stupid', 'smart')",2.3519855,2.4008198,0.0488343
48,0.219697,0.29674327,"('unintelligent', 'intelligent')",0.219697,0.2967433,0.0770463
49,-0.12045078,0.121226974,"('unable', 'able')",-0.1204508,0.121227,0.2416778
50,-0.04077102,0.017594788,"('clumsy', 'skillful')",-0.040771,0.0175948,0.0583658
51,0.39876887,0.46264464,"('uneducated', 'educated')",0.3987689,0.4626446,0.0638757
52,-1.5530602,-1.6414006,"('irrational', 'rational')",-1.5530602,-1.6414006,-0.0883404
53,-0.6411604,-0.76557,"('uncreative', 'creative')",-0.6411604,-0.76557,-0.1244096
54,-0.16153115,-0.22305621,"('incapable', 'capable')",-0.1615312,-0.2230562,-0.061525
55,1.4245081,1.6104618,"('incompetent', 'clever')",1.4245081,1.6104618,0.1859537
56,0.7258114,0.80642635,"('impractical', 'practical')",0.7258114,0.8064263,0.0806149
57,-0.56670237,-0.76288223,"('unimaginative', 'imaginative')",-0.5667024,-0.7628822,-0.1961798
58,0.91480035,0.82619244,"('undiscriminating', 'discriminating')",0.9148003,0.8261924,-0.0886079
59,-1.4327285,-1.3882595,"('foolish', 'wise')",-1.4327285,-1.3882595,0.044469
60,1.1591043,1.4193137,"('inefficient', 'efficient')",1.1591043,1.4193137,0.2602094
61,0.06692688,-0.112714276,"('illogical', 'logical')",0.0669269,-0.1127143,-0.1796412
62,0.8814641,1.1200749,"('incompetent', 'brilliant')",0.8814641,1.1200749,0.2386108
63,0.69918907,0.7932982,"('unperceptive', 'insightful')",0.6991891,0.7932982,0.0941091
64,-2.6729472,-2.516491,"('shy', 'confident')",-2.6729472,-2.5164909,0.1564563
65,0.9685073,1.1326644,"('insecure', 'secure')",0.9685073,1.1326644,0.1641571
66,-1.0040151,-1.1250435,"('inactive', 'active')",-1.0040151,-1.1250435,-0.1210284
67,-0.037545823,0.05462997,"('doubtful', 'determined')",-0.0375458,0.05463,0.0921758
68,-0.65784913,-0.47509077,"('dependent', 'independent')",-0.6578491,-0.4750908,0.1827583
69,-2.1035247,-2.1906357,"('lazy', 'industrious')",-2.1035247,-2.1906357,-0.087111
70,0.9010212,0.8121038,"('lethargic', 'energetic')",0.9010212,0.8121038,-0.0889174
71,0.04977486,-0.017892849,"('diffident', 'self-confident')",0.0497749,-0.0178928,-0.0676677
72,0.37926158,0.44223705,"('unambitious', 'ambitious')",0.3792616,0.442237,0.0629754
73,-1.3171945,-1.0727776,"('helpless', 'self-reliant')",-1.3171945,-1.0727776,0.2444169
74,0.2867471,0.33257654,"('undedicated', 'dedicated')",0.2867471,0.3325765,0.0458294
75,-0.3532601,-0.45425054,"('meek', 'impulsive')",-0.3532601,-0.4542505,-0.1009904
76,0.6326738,0.8529024,"('anxious', 'daring')",0.6326738,0.8529024,0.2202286
77,-0.803452,-0.6354495,"('unmotivated', 'motivated')",-0.803452,-0.6354495,0.1680025
78,-0.28736156,-0.3044214,"('nonresilient', 'resilient')",-0.2873616,-0.3044214,-0.0170598
79,-1.3747251,-1.4838253,"('wavering', 'unwavering')",-1.3747251,-1.4838253,-0.1091002
80,1.2662748,1.3129839,"('dominated', 'dominating')",1.2662748,1.3129839,0.0467091
