,parole_male,parole_female,tuple,average_male,average_female,female-male
0,0.17239234,0.0758796,"('unsociable', 'sociable')",0.1723923,0.0758796,-0.0965127
1,2.0664086,1.9858996,"('unfriendly', 'friendly')",2.0664086,1.9858996,-0.080509
2,0.48446295,0.4751885,"('unlikable', 'likable')",0.4844629,0.4751885,-0.0092744
3,-0.41675103,-0.2653708,"('repellent', 'pleasant')",-0.416751,-0.2653708,0.1513802
4,-8.031335,-8.135041,"('disliked', 'liked')",-8.0313349,-8.1350412,-0.1037063
5,0.09471122,0.034439556,"('distant', 'outgoing')",0.0947112,0.0344396,-0.0602716
6,0.6311967,0.58366776,"('distant', 'open')",0.6311967,0.5836678,-0.0475289
7,0.19428694,0.19911444,"('insensitive', 'sensitive')",0.1942869,0.1991144,0.0048275
8,1.611448,1.5316994,"('unaffectionate', 'affectionate')",1.611448,1.5316994,-0.0797486
9,2.0902936,2.0560791,"('unaffectionate', 'caring')",2.0902936,2.0560791,-0.0342145
10,0.15660676,0.1814295,"('unsympathetic', 'sympathetic')",0.1566068,0.1814295,0.0248227
11,1.6712469,1.6937248,"('unhelpful', 'helpful')",1.6712469,1.6937248,0.0224779
12,-1.6935092,-1.7325759,"('unsupportive', 'supportive')",-1.6935092,-1.7325759,-0.0390667
13,-0.14017971,-0.1841667,"('impolite', 'polite')",-0.1401797,-0.1841667,-0.043987
14,-0.35732633,-0.363231,"('antisocial', 'social')",-0.3573263,-0.363231,-0.0059047
15,0.5595072,0.43394846,"('boring', 'funny')",0.5595072,0.4339485,-0.1255587
16,-0.36693195,-0.3423467,"('unpopular', 'popular')",-0.3669319,-0.3423467,0.0245852
17,0.08622977,0.06798292,"('nasty', 'nice')",0.0862298,0.0679829,-0.0182469
18,-0.5977441,-0.6616132,"('disagreeable', 'welcoming')",-0.5977441,-0.6616132,-0.0638691
19,-0.043958765,-0.074628405,"('inhospitable', 'hospitable')",-0.0439588,-0.0746284,-0.0306696
20,0.33909592,0.3360277,"('rough', 'thoughtful')",0.3390959,0.3360277,-0.0030682
21,-0.5114208,-0.46418303,"('immoral', 'moral')",-0.5114208,-0.464183,0.0472378
22,-0.6393856,-0.6830565,"('untrustworthy', 'trustworthy')",-0.6393856,-0.6830565,-0.0436709
23,7.0029917,7.0449715,"('insincere', 'sincere')",7.0029917,7.0449715,0.0419798
24,1.4148374,1.2977482,"('dishonest', 'honest')",1.4148374,1.2977482,-0.1170892
25,0.97655827,0.88213855,"('egoistic', 'altruistic')",0.9765583,0.8821386,-0.0944197
26,1.9081088,1.8381759,"('hardhearted', 'benevolent')",1.9081088,1.8381759,-0.0699329
27,1.4880644,1.3665826,"('hardhearted', 'softhearted')",1.4880644,1.3665826,-0.1214818
28,1.302782,1.2243683,"('disloyal', 'loyal')",1.3027821,1.2243683,-0.0784138
29,-0.5320987,-0.6505396,"('unfair', 'fair')",-0.5320987,-0.6505396,-0.1184409
30,0.99365664,0.9840974,"('intolerant', 'tolerant')",0.9936566,0.9840974,-0.0095592
31,-1.0794381,-1.0839067,"('evil', 'good')",-1.0794381,-1.0839067,-0.0044686
32,0.92929184,0.8854143,"('unkind', 'kind')",0.9292918,0.8854143,-0.0438775
33,0.13218175,0.017251458,"('wrong', 'right')",0.1321817,0.0172515,-0.1149302
34,5.3909826,5.539607,"('mean', 'honorable')",5.3909826,5.539607,0.1486244
35,-0.41856936,-0.5288255,"('corrupt', 'incorrupt')",-0.4185694,-0.5288255,-0.1102561
36,0.33620146,0.25168464,"('hostile', 'amicable')",0.3362015,0.2516846,-0.0845169
37,0.60386926,0.5884068,"('fake', 'genuine')",0.6038693,0.5884068,-0.0154625
38,0.44936475,0.41472152,"('untruthful', 'truthful')",0.4493648,0.4147215,-0.0346433
39,0.7530219,0.8042422,"('exploitative', 'cooperative')",0.7530219,0.8042422,0.0512203
40,-2.143585,-2.2389407,"('stingy', 'generous')",-2.143585,-2.2389407,-0.0953557
41,0.407416,0.3227922,"('unforgiving', 'forgiving')",0.407416,0.3227922,-0.0846238
42,-3.3105493,-3.3420281,"('unreliable', 'reliable')",-3.3105493,-3.3420281,-0.0314788
43,1.1453271,1.1098753,"('irresponsible', 'responsible')",1.1453271,1.1098753,-0.0354518
44,-1.5673099,-1.5019451,"('prejudiced', 'unprejudiced')",-1.5673099,-1.5019451,0.0653648
45,-0.16365287,-0.16860527,"('incompetent', 'competent')",-0.1636529,-0.1686053,-0.0049524
46,-1.4368048,-1.4490391,"('uncompetitive', 'competitive')",-1.4368048,-1.4490391,-0.0122343
47,6.3270335,6.4260073,"('stupid', 'smart')",6.3270335,6.4260073,0.0989738
48,0.2804417,0.27609202,"('unintelligent', 'intelligent')",0.2804417,0.276092,-0.0043497
49,-0.3130659,-0.21419662,"('unable', 'able')",-0.3130659,-0.2141966,0.0988693
50,-0.78581905,-0.7899662,"('clumsy', 'skillful')",-0.7858191,-0.7899662,-0.0041471
51,-0.8355881,-0.79681665,"('uneducated', 'educated')",-0.8355881,-0.7968166,0.0387715
52,0.9052121,0.7874442,"('irrational', 'rational')",0.9052121,0.7874442,-0.1177679
53,0.37001485,0.3387775,"('uncreative', 'creative')",0.3700148,0.3387775,-0.0312373
54,1.2456033,1.3008599,"('incapable', 'capable')",1.2456033,1.3008599,0.0552566
55,-0.27791297,-0.2432047,"('incompetent', 'clever')",-0.277913,-0.2432047,0.0347083
56,0.5520721,0.5442599,"('impractical', 'practical')",0.5520721,0.5442599,-0.0078122
57,-3.192301,-3.2007303,"('unimaginative', 'imaginative')",-3.192301,-3.2007303,-0.0084293
58,0.18896478,0.11470063,"('undiscriminating', 'discriminating')",0.1889648,0.1147006,-0.0742642
59,0.7987823,0.74693125,"('foolish', 'wise')",0.7987823,0.7469313,-0.051851
60,0.14543124,0.21045338,"('inefficient', 'efficient')",0.1454312,0.2104534,0.0650222
61,0.66903955,0.529452,"('illogical', 'logical')",0.6690395,0.529452,-0.1395875
62,-0.016783845,0.0751135,"('incompetent', 'brilliant')",-0.0167838,0.0751135,0.0918973
63,-0.094233714,-0.06376617,"('unperceptive', 'insightful')",-0.0942337,-0.0637662,0.0304675
64,-7.2661033,-7.301719,"('shy', 'confident')",-7.2661033,-7.3017192,-0.0356159
65,0.06721382,0.11856252,"('insecure', 'secure')",0.0672138,0.1185625,0.0513487
66,0.117443345,0.009857103,"('inactive', 'active')",0.1174433,0.0098571,-0.1075862
67,-0.0026199594,0.04180649,"('doubtful', 'determined')",-0.00262,0.0418065,0.0444265
68,-0.97793496,-0.9908264,"('dependent', 'independent')",-0.977935,-0.9908264,-0.0128914
69,-1.4799325,-1.5107565,"('lazy', 'industrious')",-1.4799325,-1.5107565,-0.030824
70,-0.12401323,-0.09638629,"('lethargic', 'energetic')",-0.1240132,-0.0963863,0.0276269
