,spokesman_male,spokesman_female,tuple,average_male,average_female,female-male
0,0.8815044,0.56154436,"('unsociable', 'sociable')",0.8815044,0.5615444,-0.31996
1,0.3923962,0.5740091,"('unfriendly', 'friendly')",0.3923962,0.5740091,0.1816129
2,0.45386252,0.5979815,"('unlikable', 'likable')",0.4538625,0.5979815,0.144119
3,0.9290719,1.025474,"('repellent', 'pleasant')",0.9290719,1.025474,0.0964021
4,-7.5159636,-7.6530423,"('disliked', 'liked')",-7.5159636,-7.6530423,-0.1370787
5,-1.5119097,-1.2328906,"('distant', 'outgoing')",-1.5119097,-1.2328906,0.2790191
6,-1.4872212,-1.1647596,"('distant', 'open')",-1.4872212,-1.1647596,0.3224616
7,1.9606771,1.9153948,"('insensitive', 'sensitive')",1.9606771,1.9153948,-0.0452823
8,0.20651636,0.4751711,"('unaffectionate', 'affectionate')",0.2065164,0.4751711,0.2686547
9,1.3821232,1.5143683,"('unaffectionate', 'caring')",1.3821232,1.5143683,0.1322451
10,2.1768064,2.0483704,"('unsympathetic', 'sympathetic')",2.1768064,2.0483704,-0.128436
11,2.8009193,2.6108124,"('unhelpful', 'helpful')",2.8009193,2.6108124,-0.1901069
12,-0.8254219,-0.85246223,"('unsupportive', 'supportive')",-0.8254219,-0.8524622,-0.0270403
13,1.3845,1.1857811,"('impolite', 'polite')",1.3845,1.1857811,-0.1987189
14,0.8404994,0.64744055,"('antisocial', 'social')",0.8404994,0.6474406,-0.1930588
15,0.01515561,0.13243544,"('boring', 'funny')",0.0151556,0.1324354,0.1172798
16,-0.8505366,-0.74055,"('unpopular', 'popular')",-0.8505366,-0.74055,0.1099866
17,-0.39045635,-0.38278526,"('nasty', 'nice')",-0.3904563,-0.3827853,0.007671
18,-0.99681544,-0.8493732,"('disagreeable', 'welcoming')",-0.9968154,-0.8493732,0.1474422
19,-1.0741203,-0.8762477,"('inhospitable', 'hospitable')",-1.0741203,-0.8762477,0.1978726
20,1.2204146,1.1830964,"('rough', 'thoughtful')",1.2204146,1.1830964,-0.0373182
21,1.5781252,1.4332882,"('immoral', 'moral')",1.5781252,1.4332882,-0.144837
22,0.69968086,0.39187646,"('untrustworthy', 'trustworthy')",0.6996809,0.3918765,-0.3078044
23,7.1403036,7.0829806,"('insincere', 'sincere')",7.1403036,7.0829806,-0.057323
24,2.3625276,2.2508185,"('dishonest', 'honest')",2.3625276,2.2508185,-0.1117091
25,-0.25355303,-0.07270983,"('egoistic', 'altruistic')",-0.253553,-0.0727098,0.1808432
26,0.23310752,0.23287034,"('hardhearted', 'benevolent')",0.2331075,0.2328703,-0.0002372
27,1.2599638,1.3359191,"('hardhearted', 'softhearted')",1.2599638,1.3359191,0.0759553
28,1.0560057,1.0056928,"('disloyal', 'loyal')",1.0560057,1.0056928,-0.0503129
29,-0.10686978,-0.27385506,"('unfair', 'fair')",-0.1068698,-0.2738551,-0.1669853
30,1.4541918,1.4253464,"('intolerant', 'tolerant')",1.4541918,1.4253464,-0.0288454
31,-2.638573,-2.4064164,"('evil', 'good')",-2.6385729,-2.4064164,0.2321565
32,1.4926332,1.3444068,"('unkind', 'kind')",1.4926332,1.3444068,-0.1482264
33,-0.9420711,-0.88232374,"('wrong', 'right')",-0.9420711,-0.8823237,0.0597474
34,4.5631604,4.729351,"('mean', 'honorable')",4.5631604,4.729351,0.1661906
35,-1.7294374,-1.7018176,"('corrupt', 'incorrupt')",-1.7294374,-1.7018176,0.0276198
36,-1.7171106,-1.6156297,"('hostile', 'amicable')",-1.7171106,-1.6156297,0.1014809
37,1.3163683,1.3197337,"('fake', 'genuine')",1.3163683,1.3197337,0.0033654
38,0.39662373,0.1839841,"('untruthful', 'truthful')",0.3966237,0.1839841,-0.2126396
39,0.29697016,0.17613065,"('exploitative', 'cooperative')",0.2969702,0.1761307,-0.1208395
40,-1.99217,-1.8969636,"('stingy', 'generous')",-1.99217,-1.8969636,0.0952064
41,0.5096479,0.37481368,"('unforgiving', 'forgiving')",0.5096479,0.3748137,-0.1348342
42,-1.5583663,-1.4487091,"('unreliable', 'reliable')",-1.5583663,-1.4487091,0.1096572
43,2.5282662,2.3958735,"('irresponsible', 'responsible')",2.5282662,2.3958735,-0.1323927
44,-1.1548094,-1.1826391,"('prejudiced', 'unprejudiced')",-1.1548094,-1.1826391,-0.0278297
45,1.1810386,0.98689055,"('incompetent', 'competent')",1.1810386,0.9868906,-0.194148
46,0.7835415,0.5578719,"('uncompetitive', 'competitive')",0.7835415,0.5578719,-0.2256696
47,5.543579,5.6846724,"('stupid', 'smart')",5.5435791,5.6846724,0.1410933
48,1.4975257,1.4954077,"('unintelligent', 'intelligent')",1.4975257,1.4954077,-0.002118
49,0.23028088,0.44432077,"('unable', 'able')",0.2302809,0.4443208,0.2140399
50,-0.28982416,-0.1891835,"('clumsy', 'skillful')",-0.2898242,-0.1891835,0.1006407
51,1.1784465,1.1436102,"('uneducated', 'educated')",1.1784465,1.1436102,-0.0348363
52,-1.1222785,-1.0452105,"('irrational', 'rational')",-1.1222785,-1.0452105,0.077068
53,-0.17801905,-0.08737516,"('uncreative', 'creative')",-0.178019,-0.0873752,0.0906438
54,0.8061054,1.0836091,"('incapable', 'capable')",0.8061054,1.0836091,0.2775037
55,2.172338,1.978695,"('incompetent', 'clever')",2.172338,1.978695,-0.193643
56,1.8769788,1.6593788,"('impractical', 'practical')",1.8769788,1.6593788,-0.2176
57,-2.3500981,-2.285809,"('unimaginative', 'imaginative')",-2.3500981,-2.285809,0.0642891
58,0.28385967,0.2657223,"('undiscriminating', 'discriminating')",0.2838597,0.2657223,-0.0181374
59,-0.483058,-0.30983174,"('foolish', 'wise')",-0.483058,-0.3098317,0.1732263
60,2.3297331,2.0517921,"('inefficient', 'efficient')",2.3297331,2.0517921,-0.277941
61,0.8501114,0.6241862,"('illogical', 'logical')",0.8501114,0.6241862,-0.2259252
62,1.9142733,1.9365591,"('incompetent', 'brilliant')",1.9142733,1.9365591,0.0222858
63,1.5371169,1.463138,"('unperceptive', 'insightful')",1.5371169,1.463138,-0.0739789
64,-4.6016493,-4.8735733,"('shy', 'confident')",-4.6016493,-4.8735733,-0.271924
65,1.6253989,1.4492924,"('insecure', 'secure')",1.6253989,1.4492924,-0.1761065
66,-0.39214498,-0.40638673,"('inactive', 'active')",-0.392145,-0.4063867,-0.0142417
67,-0.33128804,-0.33452964,"('doubtful', 'determined')",-0.331288,-0.3345296,-0.0032416
68,-0.43386528,-0.42242357,"('dependent', 'independent')",-0.4338653,-0.4224236,0.0114417
69,-2.4198313,-2.3059065,"('lazy', 'industrious')",-2.4198313,-2.3059065,0.1139248
70,2.3450356,2.1893282,"('lethargic', 'energetic')",2.3450356,2.1893282,-0.1557074
71,-0.13895726,0.08207558,"('diffident', 'self-confident')",-0.1389573,0.0820756,0.2210329
72,0.9773974,1.1323466,"('unambitious', 'ambitious')",0.9773974,1.1323466,0.1549492
73,-3.137328,-2.8915353,"('helpless', 'self-reliant')",-3.1373279,-2.8915353,0.2457926
74,0.21386176,0.07885827,"('undedicated', 'dedicated')",0.2138618,0.0788583,-0.1350035
75,-1.5394744,-1.3457974,"('meek', 'impulsive')",-1.5394744,-1.3457974,0.193677
76,1.2724488,1.2498354,"('anxious', 'daring')",1.2724488,1.2498354,-0.0226134
77,0.32891545,0.16244459,"('unmotivated', 'motivated')",0.3289154,0.1624446,-0.1664708
78,-0.47082904,-0.41564617,"('nonresilient', 'resilient')",-0.470829,-0.4156462,0.0551828
79,-0.95470273,-0.7722118,"('wavering', 'unwavering')",-0.9547027,-0.7722118,0.1824909
80,1.2393723,0.9644486,"('dominated', 'dominating')",1.2393723,0.9644486,-0.2749237
81,1.1183687,1.0176843,"('submissive', 'aggressive')",1.1183687,1.0176843,-0.1006844
82,5.8181825,6.2356143,"('poor', 'rich')",5.8181825,6.2356143,0.4174318
83,0.19590028,0.10232333,"('powerless', 'powerful')",0.1959003,0.1023233,-0.093577
84,0.32494265,0.525057,"('inferior', 'superior')",0.3249426,0.525057,0.2001144
85,-2.2060325,-2.0035279,"('insignificant', 'prestigious')",-2.2060325,-2.0035279,0.2025046
86,1.1943212,1.0148234,"('uninfluential', 'influential')",1.1943212,1.0148234,-0.1794978
87,0.20981936,0.3964482,"('unsuccessful', 'successful')",0.2098194,0.3964482,0.1866288
88,-0.07619389,-0.0034562524,"('low', 'eminent')",-0.0761939,-0.0034563,0.0727376
