,predecessor_male,predecessor_female,tuple,average_male,average_female,female-male
0,-0.2677514,-0.2303034,"('unsociable', 'sociable')",-0.2677514,-0.2303034,0.037448
1,1.3393717,1.3103652,"('unfriendly', 'friendly')",1.3393717,1.3103652,-0.0290065
2,-0.29605582,-0.21164553,"('unlikable', 'likable')",-0.2960558,-0.2116455,0.0844103
3,0.96533763,0.9972609,"('repellent', 'pleasant')",0.9653376,0.9972609,0.0319233
4,-7.219986,-7.404037,"('disliked', 'liked')",-7.219986,-7.404037,-0.184051
5,-0.64867973,-0.64993405,"('distant', 'outgoing')",-0.6486797,-0.6499341,-0.0012544
6,-0.15985268,-0.25283167,"('distant', 'open')",-0.1598527,-0.2528317,-0.092979
7,0.9429384,0.9771577,"('insensitive', 'sensitive')",0.9429384,0.9771577,0.0342193
8,1.0721691,0.9817969,"('unaffectionate', 'affectionate')",1.0721691,0.9817969,-0.0903722
9,1.1735811,1.1458954,"('unaffectionate', 'caring')",1.1735811,1.1458954,-0.0276857
10,0.6062915,0.68898535,"('unsympathetic', 'sympathetic')",0.6062915,0.6889853,0.0826938
11,1.050554,1.172887,"('unhelpful', 'helpful')",1.050554,1.172887,0.122333
12,-1.9898878,-2.0068965,"('unsupportive', 'supportive')",-1.9898878,-2.0068965,-0.0170087
13,-0.3270309,-0.2890889,"('impolite', 'polite')",-0.3270309,-0.2890889,0.037942
14,0.007303969,0.036279265,"('antisocial', 'social')",0.007304,0.0362793,0.0289753
15,-0.24411042,-0.29890266,"('boring', 'funny')",-0.2441104,-0.2989027,-0.0547923
16,-0.7620085,-0.7400003,"('unpopular', 'popular')",-0.7620085,-0.7400003,0.0220082
17,-0.6766104,-0.5813972,"('nasty', 'nice')",-0.6766104,-0.5813972,0.0952132
18,-0.17138132,-0.2613328,"('disagreeable', 'welcoming')",-0.1713813,-0.2613328,-0.0899515
19,-0.74415946,-0.80250144,"('inhospitable', 'hospitable')",-0.7441595,-0.8025014,-0.0583419
