,grasshopper_male,grasshopper_female,tuple,average_male,average_female,female-male
0,0.8968118,0.49707812,"('unsociable', 'sociable')",0.8968118,0.4970781,-0.3997337
1,-0.45040298,-0.96916413,"('unfriendly', 'friendly')",-0.450403,-0.9691641,-0.5187611
2,-0.45853025,-0.3084088,"('unlikable', 'likable')",-0.4585302,-0.3084088,0.1501214
3,-0.66914374,-0.35672534,"('repellent', 'pleasant')",-0.6691437,-0.3567253,0.3124184
4,-1.5537282,-2.0423942,"('disliked', 'liked')",-1.5537282,-2.0423942,-0.488666
5,-1.2260371,-1.4782275,"('distant', 'outgoing')",-1.2260371,-1.4782275,-0.2521904
6,-1.4523637,-1.7173417,"('distant', 'open')",-1.4523637,-1.7173417,-0.264978
7,0.3022563,0.38807702,"('insensitive', 'sensitive')",0.3022563,0.388077,0.0858207
8,-0.28126293,-0.3962024,"('unaffectionate', 'affectionate')",-0.2812629,-0.3962024,-0.1149395
9,0.006810602,-0.10844594,"('unaffectionate', 'caring')",0.0068106,-0.1084459,-0.1152565
10,0.3508565,0.36129612,"('unsympathetic', 'sympathetic')",0.3508565,0.3612961,0.0104396
11,0.7401324,1.0389068,"('unhelpful', 'helpful')",0.7401324,1.0389068,0.2987744
12,-0.7680245,-0.79970634,"('unsupportive', 'supportive')",-0.7680245,-0.7997063,-0.0316818
13,0.53063464,0.46498623,"('impolite', 'polite')",0.5306346,0.4649862,-0.0656484
14,1.1402736,1.0781438,"('antisocial', 'social')",1.1402736,1.0781438,-0.0621298
15,0.37815917,0.18053174,"('boring', 'funny')",0.3781592,0.1805317,-0.1976275
16,-1.112024,-1.1558414,"('unpopular', 'popular')",-1.1120239,-1.1558414,-0.0438175
17,-0.7082992,-0.6546883,"('nasty', 'nice')",-0.7082992,-0.6546883,0.0536109
18,-1.3892176,-1.4488063,"('disagreeable', 'welcoming')",-1.3892176,-1.4488063,-0.0595887
19,-1.0210847,-1.0582944,"('inhospitable', 'hospitable')",-1.0210847,-1.0582944,-0.0372097
20,-0.21022148,-0.074530415,"('rough', 'thoughtful')",-0.2102215,-0.0745304,0.1356911
21,-0.044530906,0.1068681,"('immoral', 'moral')",-0.0445309,0.1068681,0.151399
22,0.12089951,-0.029763184,"('untrustworthy', 'trustworthy')",0.1208995,-0.0297632,-0.1506627
23,1.2443686,1.601152,"('insincere', 'sincere')",1.2443686,1.6011519,0.3567833
24,-0.030716106,-0.1203043,"('dishonest', 'honest')",-0.0307161,-0.1203043,-0.0895882
25,-0.23508929,-0.41301996,"('egoistic', 'altruistic')",-0.2350893,-0.41302,-0.1779307
26,0.87073123,0.3733798,"('hardhearted', 'benevolent')",0.8707312,0.3733798,-0.4973514
27,-0.1998663,-0.25886956,"('hardhearted', 'softhearted')",-0.1998663,-0.2588696,-0.0590033
28,0.51678324,0.18699394,"('disloyal', 'loyal')",0.5167832,0.1869939,-0.3297893
29,-0.10844837,-0.592073,"('unfair', 'fair')",-0.1084484,-0.592073,-0.4836246
30,0.85516196,0.9572558,"('intolerant', 'tolerant')",0.855162,0.9572558,0.1020938
31,-1.7757825,-2.0823982,"('evil', 'good')",-1.7757825,-2.0823982,-0.3066157
32,0.26520887,0.18482971,"('unkind', 'kind')",0.2652089,0.1848297,-0.0803792
33,-0.041822795,-0.31904188,"('wrong', 'right')",-0.0418228,-0.3190419,-0.2772191
34,0.28165543,0.7492774,"('mean', 'honorable')",0.2816554,0.7492774,0.467622
35,-0.06565587,-0.47556022,"('corrupt', 'incorrupt')",-0.0656559,-0.4755602,-0.4099043
36,-1.1398294,-1.5998944,"('hostile', 'amicable')",-1.1398294,-1.5998944,-0.460065
37,0.32279056,0.3413643,"('fake', 'genuine')",0.3227906,0.3413643,0.0185737
38,0.43333113,0.28479448,"('untruthful', 'truthful')",0.4333311,0.2847945,-0.1485366
39,0.63523173,0.97660494,"('exploitative', 'cooperative')",0.6352317,0.9766049,0.3413732
40,-1.7609911,-1.8705859,"('stingy', 'generous')",-1.7609911,-1.8705859,-0.1095948
41,0.07293692,-0.17159306,"('unforgiving', 'forgiving')",0.0729369,-0.1715931,-0.24453
42,-1.0994875,-1.0112802,"('unreliable', 'reliable')",-1.0994875,-1.0112802,0.0882073
43,-0.01977172,0.14901927,"('irresponsible', 'responsible')",-0.0197717,0.1490193,0.168791
44,-1.0333498,-0.7639966,"('prejudiced', 'unprejudiced')",-1.0333498,-0.7639966,0.2693532
45,0.85359466,0.4726674,"('incompetent', 'competent')",0.8535947,0.4726674,-0.3809273
46,0.2757977,0.24986999,"('uncompetitive', 'competitive')",0.2757977,0.24987,-0.0259277
47,1.2040325,1.4152219,"('stupid', 'smart')",1.2040325,1.4152219,0.2111894
48,-0.19500518,-0.1473573,"('unintelligent', 'intelligent')",-0.1950052,-0.1473573,0.0476479
49,-0.42156374,-0.3914311,"('unable', 'able')",-0.4215637,-0.3914311,0.0301326
50,-0.2728001,-0.21754742,"('clumsy', 'skillful')",-0.2728001,-0.2175474,0.0552527
51,0.26199847,0.25291058,"('uneducated', 'educated')",0.2619985,0.2529106,-0.0090879
52,-0.7438011,-1.0175426,"('irrational', 'rational')",-0.7438011,-1.0175426,-0.2737415
53,-1.0942885,-1.3866851,"('uncreative', 'creative')",-1.0942885,-1.3866851,-0.2923966
54,-0.13027781,-0.3198197,"('incapable', 'capable')",-0.1302778,-0.3198197,-0.1895419
55,1.0451806,1.0189918,"('incompetent', 'clever')",1.0451806,1.0189918,-0.0261888
56,0.8569026,0.8535126,"('impractical', 'practical')",0.8569026,0.8535126,-0.00339
57,-0.3422772,-0.61027634,"('unimaginative', 'imaginative')",-0.3422772,-0.6102763,-0.2679991
