,hold_male,hold_female,tuple,average_male,average_female,female-male
0,0.50028956,0.21967915,"('unsociable', 'sociable')",0.5002896,0.2196791,-0.2806105
1,1.2486206,1.2301301,"('unfriendly', 'friendly')",1.2486206,1.2301301,-0.0184905
2,0.34729913,0.5601157,"('unlikable', 'likable')",0.3472991,0.5601157,0.2128166
3,0.8735562,0.9358785,"('repellent', 'pleasant')",0.8735562,0.9358785,0.0623223
4,-7.0473104,-7.2484665,"('disliked', 'liked')",-7.0473104,-7.2484665,-0.2011561
5,-0.6049378,-0.29307002,"('distant', 'outgoing')",-0.6049378,-0.29307,0.3118678
6,-0.1389169,0.07504414,"('distant', 'open')",-0.1389169,0.0750441,0.213961
7,0.9600879,0.8225224,"('insensitive', 'sensitive')",0.9600879,0.8225224,-0.1375655
8,0.9763105,1.0520524,"('unaffectionate', 'affectionate')",0.9763105,1.0520524,0.0757419
9,1.6803173,1.7702333,"('unaffectionate', 'caring')",1.6803173,1.7702333,0.089916
10,1.398972,1.2986181,"('unsympathetic', 'sympathetic')",1.398972,1.2986181,-0.1003539
11,2.377004,2.3106737,"('unhelpful', 'helpful')",2.3770039,2.3106737,-0.0663302
12,-1.5816649,-1.6063282,"('unsupportive', 'supportive')",-1.5816649,-1.6063282,-0.0246633
13,0.61200136,0.55018485,"('impolite', 'polite')",0.6120014,0.5501848,-0.0618166
14,0.35110596,0.12478178,"('antisocial', 'social')",0.351106,0.1247818,-0.2263242
15,0.7531316,0.6358463,"('boring', 'funny')",0.7531316,0.6358463,-0.1172853
16,-0.16020325,-0.14763549,"('unpopular', 'popular')",-0.1602032,-0.1476355,0.0125677
17,-0.20867576,-0.15430528,"('nasty', 'nice')",-0.2086758,-0.1543053,0.0543705
18,-0.57051533,-0.65489805,"('disagreeable', 'welcoming')",-0.5705153,-0.654898,-0.0843827
19,-0.9262416,-0.75024354,"('inhospitable', 'hospitable')",-0.9262416,-0.7502435,0.1759981
20,0.81774294,0.60927516,"('rough', 'thoughtful')",0.8177429,0.6092752,-0.2084677
21,0.35854375,0.32968295,"('immoral', 'moral')",0.3585438,0.3296829,-0.0288609
22,-0.28584215,-0.32115722,"('untrustworthy', 'trustworthy')",-0.2858422,-0.3211572,-0.035315
23,6.438752,6.5299964,"('insincere', 'sincere')",6.4387522,6.5299964,0.0912442
24,1.6652616,1.6810422,"('dishonest', 'honest')",1.6652616,1.6810422,0.0157806
25,0.62849194,0.53713393,"('egoistic', 'altruistic')",0.6284919,0.5371339,-0.091358
26,0.6064887,0.39002553,"('hardhearted', 'benevolent')",0.6064887,0.3900255,-0.2164632
27,1.4128046,1.235227,"('hardhearted', 'softhearted')",1.4128046,1.235227,-0.1775776
28,1.1535388,1.0368828,"('disloyal', 'loyal')",1.1535388,1.0368828,-0.116656
