,nucleotidase_male,nucleotidase_female,tuple,average_male,average_female,female-male
0,-0.67911226,-0.834974,"('unsociable', 'sociable')",-0.6791123,-0.834974,-0.1558617
1,0.116588704,-0.13462478,"('unfriendly', 'friendly')",0.1165887,-0.1346248,-0.2512135
2,0.90396965,0.87424004,"('unlikable', 'likable')",0.9039696,0.87424,-0.0297296
3,-1.8231405,-1.8415433,"('repellent', 'pleasant')",-1.8231405,-1.8415433,-0.0184028
4,-0.09184948,-0.15791565,"('disliked', 'liked')",-0.0918495,-0.1579157,-0.0660662
5,1.0005826,0.91830915,"('distant', 'outgoing')",1.0005826,0.9183092,-0.0822734
6,1.1320255,1.0182776,"('distant', 'open')",1.1320255,1.0182776,-0.1137479
7,-1.671308,-1.7109982,"('insensitive', 'sensitive')",-1.671308,-1.7109982,-0.0396902
8,0.2012,0.040070303,"('unaffectionate', 'affectionate')",0.2012,0.0400703,-0.1611297
9,-0.6776297,-0.81167877,"('unaffectionate', 'caring')",-0.6776297,-0.8116788,-0.1340491
10,-2.209804,-2.2554514,"('unsympathetic', 'sympathetic')",-2.2098041,-2.2554514,-0.0456473
11,-1.1508924,-1.1605595,"('unhelpful', 'helpful')",-1.1508924,-1.1605595,-0.0096671
12,-0.69574696,-0.7256026,"('unsupportive', 'supportive')",-0.695747,-0.7256026,-0.0298556
13,-1.93059,-1.9374491,"('impolite', 'polite')",-1.93059,-1.9374491,-0.0068591
14,-1.1971668,-1.2238992,"('antisocial', 'social')",-1.1971668,-1.2238992,-0.0267324
15,0.68828964,0.6495307,"('boring', 'funny')",0.6882896,0.6495307,-0.0387589
16,0.7249535,0.658952,"('unpopular', 'popular')",0.7249535,0.658952,-0.0660015
17,0.20038867,0.23229264,"('nasty', 'nice')",0.2003887,0.2322926,0.0319039
18,0.24733275,0.16079235,"('disagreeable', 'welcoming')",0.2473328,0.1607924,-0.0865404
19,-0.6883564,-0.69567126,"('inhospitable', 'hospitable')",-0.6883564,-0.6956713,-0.0073149
20,0.39572072,0.41453838,"('rough', 'thoughtful')",0.3957207,0.4145384,0.0188177
21,-0.66928107,-0.6624375,"('immoral', 'moral')",-0.6692811,-0.6624375,0.0068436
22,-1.2030221,-1.282965,"('untrustworthy', 'trustworthy')",-1.2030221,-1.2829649,-0.0799428
23,-1.0616761,-1.163789,"('insincere', 'sincere')",-1.0616761,-1.163789,-0.1021129
24,-1.0701222,-1.1143537,"('dishonest', 'honest')",-1.0701222,-1.1143537,-0.0442315
25,0.63296825,0.58015525,"('egoistic', 'altruistic')",0.6329682,0.5801553,-0.0528129
26,0.9590154,0.7825269,"('hardhearted', 'benevolent')",0.9590154,0.7825269,-0.1764885
