,sculpting_male,sculpting_female,tuple,average_male,average_female,female-male
0,-1.770353,-1.7967533,"('unsociable', 'sociable')",-1.770353,-1.7967533,-0.0264003
1,-0.025600828,-0.22600411,"('unfriendly', 'friendly')",-0.0256008,-0.2260041,-0.2004033
2,0.4883193,0.5861813,"('unlikable', 'likable')",0.4883193,0.5861813,0.097862
3,-1.1224793,-0.9625988,"('repellent', 'pleasant')",-1.1224793,-0.9625988,0.1598805
4,-0.979914,-1.0246648,"('disliked', 'liked')",-0.979914,-1.0246648,-0.0447508
5,0.41393006,0.36663908,"('distant', 'outgoing')",0.4139301,0.3666391,-0.047291
6,0.10880959,0.022189818,"('distant', 'open')",0.1088096,0.0221898,-0.0866198
7,-1.0062488,-0.96477914,"('insensitive', 'sensitive')",-1.0062488,-0.9647791,0.0414697
8,-0.5645431,-0.7592848,"('unaffectionate', 'affectionate')",-0.5645431,-0.7592848,-0.1947417
9,-0.58145607,-0.725438,"('unaffectionate', 'caring')",-0.5814561,-0.725438,-0.1439819
10,-2.2435856,-2.2427516,"('unsympathetic', 'sympathetic')",-2.2435856,-2.2427516,0.000834
11,-0.81783634,-0.72838306,"('unhelpful', 'helpful')",-0.8178363,-0.7283831,0.0894532
12,-1.8669497,-1.8587552,"('unsupportive', 'supportive')",-1.8669497,-1.8587552,0.0081945
13,-1.5149013,-1.479118,"('impolite', 'polite')",-1.5149013,-1.479118,0.0357833
14,-1.253208,-1.1519626,"('antisocial', 'social')",-1.253208,-1.1519626,0.1012454
15,0.5724833,0.52632207,"('boring', 'funny')",0.5724833,0.5263221,-0.0461612
16,0.06120704,0.11168216,"('unpopular', 'popular')",0.061207,0.1116822,0.0504752
17,-0.19595714,-0.15289474,"('nasty', 'nice')",-0.1959571,-0.1528947,0.0430624
18,-0.79619753,-0.7757662,"('disagreeable', 'welcoming')",-0.7961975,-0.7757662,0.0204313
19,-0.28622428,-0.31915796,"('inhospitable', 'hospitable')",-0.2862243,-0.319158,-0.0329337
20,0.37195286,0.42136514,"('rough', 'thoughtful')",0.3719529,0.4213651,0.0494122
21,-0.8803183,-0.6949867,"('immoral', 'moral')",-0.8803183,-0.6949867,0.1853316
22,-0.83482325,-0.80291903,"('untrustworthy', 'trustworthy')",-0.8348233,-0.802919,0.0319043
23,0.77410173,0.7569135,"('insincere', 'sincere')",0.7741017,0.7569135,-0.0171882
24,-0.9924568,-1.0786676,"('dishonest', 'honest')",-0.9924568,-1.0786676,-0.0862108
25,0.62984216,0.577006,"('egoistic', 'altruistic')",0.6298422,0.577006,-0.0528362
26,0.407067,0.18762967,"('hardhearted', 'benevolent')",0.407067,0.1876297,-0.2194373
27,-0.6524509,-0.7999822,"('hardhearted', 'softhearted')",-0.6524509,-0.7999822,-0.1475313
28,-0.5330689,-0.6380408,"('disloyal', 'loyal')",-0.5330689,-0.6380408,-0.1049719
29,-0.16560608,-0.14593633,"('unfair', 'fair')",-0.1656061,-0.1459363,0.0196698
30,-1.7284765,-1.6501937,"('intolerant', 'tolerant')",-1.7284765,-1.6501937,0.0782828
31,-0.36303264,-0.39432818,"('evil', 'good')",-0.3630326,-0.3943282,-0.0312956
32,-0.41008937,-0.4444504,"('unkind', 'kind')",-0.4100894,-0.4444504,-0.034361
33,1.0668628,1.0117062,"('wrong', 'right')",1.0668628,1.0117062,-0.0551566
34,1.1463089,1.2894219,"('mean', 'honorable')",1.1463089,1.2894219,0.143113
35,1.1437409,0.999168,"('corrupt', 'incorrupt')",1.1437409,0.999168,-0.1445729
36,0.5522157,0.3902617,"('hostile', 'amicable')",0.5522157,0.3902617,-0.161954
37,-0.9160373,-0.888057,"('fake', 'genuine')",-0.9160373,-0.888057,0.0279803
38,-0.19897735,-0.22655982,"('untruthful', 'truthful')",-0.1989774,-0.2265598,-0.0275824
39,-0.8594319,-0.7941898,"('exploitative', 'cooperative')",-0.8594319,-0.7941898,0.0652421
40,-1.3688974,-1.5102034,"('stingy', 'generous')",-1.3688974,-1.5102034,-0.141306
41,-0.6983518,-0.81569713,"('unforgiving', 'forgiving')",-0.6983518,-0.8156971,-0.1173453
42,-0.6919011,-0.53433704,"('unreliable', 'reliable')",-0.6919011,-0.534337,0.1575641
43,-1.5653647,-1.4859703,"('irresponsible', 'responsible')",-1.5653647,-1.4859703,0.0793944
44,0.6201511,0.7765522,"('prejudiced', 'unprejudiced')",0.6201511,0.7765522,0.1564011
45,-1.4328327,-1.4183317,"('incompetent', 'competent')",-1.4328327,-1.4183317,0.014501
46,-1.6652935,-1.5635215,"('uncompetitive', 'competitive')",-1.6652935,-1.5635215,0.101772
47,0.9487467,1.0222006,"('stupid', 'smart')",0.9487467,1.0222006,0.0734539
48,-1.4664457,-1.467383,"('unintelligent', 'intelligent')",-1.4664457,-1.467383,-0.0009373
49,0.17589623,0.32949987,"('unable', 'able')",0.1758962,0.3294999,0.1536037
50,0.52972275,0.6435038,"('clumsy', 'skillful')",0.5297228,0.6435038,0.113781
51,-0.6902427,-0.6510952,"('uneducated', 'educated')",-0.6902427,-0.6510952,0.0391475
52,0.36012638,0.16196041,"('irrational', 'rational')",0.3601264,0.1619604,-0.198166
53,1.6801914,1.5628154,"('uncreative', 'creative')",1.6801914,1.5628154,-0.117376
54,1.0941259,1.067029,"('incapable', 'capable')",1.0941259,1.067029,-0.0270969
55,-1.9543926,-1.8241888,"('incompetent', 'clever')",-1.9543926,-1.8241888,0.1302038
56,0.10720655,0.24050957,"('impractical', 'practical')",0.1072066,0.2405096,0.133303
57,0.29783094,0.15969256,"('unimaginative', 'imaginative')",0.2978309,0.1596926,-0.1381383
58,0.8660576,0.78262895,"('undiscriminating', 'discriminating')",0.8660576,0.782629,-0.0834286
59,0.59278774,0.4950006,"('foolish', 'wise')",0.5927877,0.4950006,-0.0977871
60,-1.060276,-0.8240908,"('inefficient', 'efficient')",-1.060276,-0.8240908,0.2361852
61,-0.37988278,-0.41630158,"('illogical', 'logical')",-0.3798828,-0.4163016,-0.0364188
62,-0.9084146,-0.7589179,"('incompetent', 'brilliant')",-0.9084146,-0.7589179,0.1494967
63,-1.2837335,-1.2511084,"('unperceptive', 'insightful')",-1.2837335,-1.2511084,0.0326251
64,-2.209303,-2.1758602,"('shy', 'confident')",-2.2093029,-2.1758602,0.0334427
