,racism_male,racism_female,tuple,average_male,average_female,female-male
0,0.082247496,0.03606315,"('unsociable', 'sociable')",0.0822475,0.0360631,-0.0461844
1,0.6936906,0.54365355,"('unfriendly', 'friendly')",0.6936906,0.5436535,-0.1500371
2,0.034162454,0.1807071,"('unlikable', 'likable')",0.0341625,0.1807071,0.1465446
3,0.8390548,0.89947075,"('repellent', 'pleasant')",0.8390548,0.8994707,0.0604159
4,-7.963524,-7.949282,"('disliked', 'liked')",-7.9635239,-7.9492822,0.0142417
5,-0.9390135,-0.95985603,"('distant', 'outgoing')",-0.9390135,-0.959856,-0.0208425
6,-0.45744032,-0.5466497,"('distant', 'open')",-0.4574403,-0.5466497,-0.0892094
7,0.94476277,0.9816818,"('insensitive', 'sensitive')",0.9447628,0.9816818,0.036919
8,0.8812804,0.715603,"('unaffectionate', 'affectionate')",0.8812804,0.715603,-0.1656774
9,1.64795,1.5880681,"('unaffectionate', 'caring')",1.6479501,1.5880681,-0.059882
10,1.7064934,1.725112,"('unsympathetic', 'sympathetic')",1.7064934,1.725112,0.0186186
11,1.7714244,1.8414452,"('unhelpful', 'helpful')",1.7714244,1.8414452,0.0700208
12,-1.6225411,-1.638016,"('unsupportive', 'supportive')",-1.6225411,-1.638016,-0.0154749
13,0.38953182,0.4295369,"('impolite', 'polite')",0.3895318,0.4295369,0.0400051
14,0.08543682,0.08226253,"('antisocial', 'social')",0.0854368,0.0822625,-0.0031743
15,-0.14045669,-0.18304922,"('boring', 'funny')",-0.1404567,-0.1830492,-0.0425925
16,-0.6355883,-0.64435375,"('unpopular', 'popular')",-0.6355883,-0.6443537,-0.0087654
17,-0.60406643,-0.46226346,"('nasty', 'nice')",-0.6040664,-0.4622635,0.1418029
18,-0.4104371,-0.4381407,"('disagreeable', 'welcoming')",-0.4104371,-0.4381407,-0.0277036
19,-1.0686837,-1.0592307,"('inhospitable', 'hospitable')",-1.0686837,-1.0592307,0.009453
20,0.8639669,0.8036264,"('rough', 'thoughtful')",0.8639669,0.8036264,-0.0603405
21,0.42247713,0.50284356,"('immoral', 'moral')",0.4224771,0.5028436,0.0803665
22,-0.3198061,-0.28801382,"('untrustworthy', 'trustworthy')",-0.3198061,-0.2880138,0.0317923
23,6.450501,6.3984294,"('insincere', 'sincere')",6.450501,6.3984294,-0.0520716
24,1.9157976,1.8004106,"('dishonest', 'honest')",1.9157976,1.8004106,-0.115387
25,0.027037382,-0.020709086,"('egoistic', 'altruistic')",0.0270374,-0.0207091,-0.0477465
26,0.2584501,0.17724888,"('hardhearted', 'benevolent')",0.2584501,0.1772489,-0.0812012
27,1.4049861,1.248792,"('hardhearted', 'softhearted')",1.4049861,1.2487921,-0.156194
28,1.1257547,1.0384959,"('disloyal', 'loyal')",1.1257547,1.0384959,-0.0872588
29,-0.6965715,-0.7884801,"('unfair', 'fair')",-0.6965715,-0.7884801,-0.0919086
30,1.2625072,1.2666922,"('intolerant', 'tolerant')",1.2625072,1.2666922,0.004185
31,-2.0843015,-2.0669386,"('evil', 'good')",-2.0843015,-2.0669386,0.0173629
32,1.2732782,1.1980461,"('unkind', 'kind')",1.2732782,1.1980461,-0.0752321
33,-0.8254001,-0.8112389,"('wrong', 'right')",-0.8254001,-0.8112389,0.0141612
34,4.6675477,4.7737193,"('mean', 'honorable')",4.6675477,4.7737193,0.1061716
35,-1.3798553,-1.5843583,"('corrupt', 'incorrupt')",-1.3798553,-1.5843583,-0.204503
36,-1.2310003,-1.3034462,"('hostile', 'amicable')",-1.2310003,-1.3034462,-0.0724459
