,founder_male,founder_female,tuple,average_male,average_female,female-male
0,0.95279753,0.8699836,"('unsociable', 'sociable')",0.9527975,0.8699836,-0.0828139
1,0.45875955,0.38719362,"('unfriendly', 'friendly')",0.4587595,0.3871936,-0.0715659
2,-0.09533852,0.008520186,"('unlikable', 'likable')",-0.0953385,0.0085202,0.1038587
3,0.9878498,1.1386945,"('repellent', 'pleasant')",0.9878498,1.1386945,0.1508447
4,-7.322453,-7.4433446,"('disliked', 'liked')",-7.322453,-7.4433446,-0.1208916
5,-1.8142674,-1.7643759,"('distant', 'outgoing')",-1.8142674,-1.7643759,0.0498915
6,-1.4763921,-1.4619985,"('distant', 'open')",-1.4763921,-1.4619985,0.0143936
7,1.7627349,1.7509376,"('insensitive', 'sensitive')",1.7627349,1.7509376,-0.0117973
8,0.5895229,0.47336,"('unaffectionate', 'affectionate')",0.5895229,0.47336,-0.1161629
9,1.3469509,1.3236792,"('unaffectionate', 'caring')",1.3469509,1.3236792,-0.0232717
10,1.8145487,1.8391937,"('unsympathetic', 'sympathetic')",1.8145487,1.8391937,0.024645
11,2.1215866,2.1472168,"('unhelpful', 'helpful')",2.1215866,2.1472168,0.0256302
12,-1.2524971,-1.3094041,"('unsupportive', 'supportive')",-1.2524971,-1.3094041,-0.056907
13,0.93604755,0.9762201,"('impolite', 'polite')",0.9360476,0.9762201,0.0401725
14,1.2791612,1.2139441,"('antisocial', 'social')",1.2791612,1.2139441,-0.0652171
15,0.25236768,0.16817385,"('boring', 'funny')",0.2523677,0.1681738,-0.0841939
16,-0.89735353,-0.89932686,"('unpopular', 'popular')",-0.8973535,-0.8993269,-0.0019734
17,-0.48881364,-0.43658662,"('nasty', 'nice')",-0.4888136,-0.4365866,0.052227
18,-0.40975538,-0.41390675,"('disagreeable', 'welcoming')",-0.4097554,-0.4139068,-0.0041514
19,-1.1933496,-1.1535689,"('inhospitable', 'hospitable')",-1.1933496,-1.1535689,0.0397807
20,0.7988149,0.74368787,"('rough', 'thoughtful')",0.7988149,0.7436879,-0.055127
21,0.68731225,0.8326949,"('immoral', 'moral')",0.6873122,0.8326949,0.1453827
22,0.17946947,0.08408092,"('untrustworthy', 'trustworthy')",0.1794695,0.0840809,-0.0953886
23,6.806582,6.8810964,"('insincere', 'sincere')",6.806582,6.8810964,0.0745144
24,1.7464188,1.6123252,"('dishonest', 'honest')",1.7464188,1.6123252,-0.1340936
25,0.3719184,0.40957487,"('egoistic', 'altruistic')",0.3719184,0.4095749,0.0376565
26,1.0175412,0.83805394,"('hardhearted', 'benevolent')",1.0175412,0.8380539,-0.1794873
27,1.5198971,1.346651,"('hardhearted', 'softhearted')",1.5198971,1.346651,-0.1732461
28,1.509445,1.3710393,"('disloyal', 'loyal')",1.509445,1.3710393,-0.1384057
29,-0.74028504,-0.85750985,"('unfair', 'fair')",-0.740285,-0.8575099,-0.1172249
30,1.3658186,1.5126073,"('intolerant', 'tolerant')",1.3658186,1.5126073,0.1467887
31,-2.3645916,-2.3303912,"('evil', 'good')",-2.3645916,-2.3303912,0.0342004
32,1.697137,1.587559,"('unkind', 'kind')",1.697137,1.587559,-0.109578
33,-0.62922955,-0.7354489,"('wrong', 'right')",-0.6292295,-0.7354489,-0.1062194
34,4.5777864,4.8433723,"('mean', 'honorable')",4.5777864,4.8433723,0.2655859
35,-1.5293247,-1.8443495,"('corrupt', 'incorrupt')",-1.5293247,-1.8443495,-0.3150248
36,-1.5626606,-1.7132066,"('hostile', 'amicable')",-1.5626606,-1.7132066,-0.150546
37,1.1245662,1.0901378,"('fake', 'genuine')",1.1245662,1.0901378,-0.0344284
38,-0.15742955,-0.204578,"('untruthful', 'truthful')",-0.1574295,-0.204578,-0.0471485
39,0.5233899,0.5347795,"('exploitative', 'cooperative')",0.5233899,0.5347795,0.0113896
40,-1.2517526,-1.3580259,"('stingy', 'generous')",-1.2517526,-1.3580259,-0.1062733
41,0.77204096,0.54386604,"('unforgiving', 'forgiving')",0.772041,0.543866,-0.228175
42,-2.2575934,-2.2536364,"('unreliable', 'reliable')",-2.2575934,-2.2536364,0.003957
43,1.4926292,1.5504181,"('irresponsible', 'responsible')",1.4926292,1.5504181,0.0577889
44,-1.272871,-1.2188953,"('prejudiced', 'unprejudiced')",-1.272871,-1.2188953,0.0539757
45,0.825849,0.6886572,"('incompetent', 'competent')",0.825849,0.6886572,-0.1371918
46,0.051202096,-0.016224327,"('uncompetitive', 'competitive')",0.0512021,-0.0162243,-0.0674264
47,4.786186,4.8985505,"('stupid', 'smart')",4.7861862,4.8985505,0.1123643
48,0.9226989,0.9131881,"('unintelligent', 'intelligent')",0.9226989,0.9131881,-0.0095108
49,-0.5081949,-0.33555785,"('unable', 'able')",-0.5081949,-0.3355578,0.1726371
50,-0.7176662,-0.8014847,"('clumsy', 'skillful')",-0.7176662,-0.8014847,-0.0838185
51,1.3563209,1.3259083,"('uneducated', 'educated')",1.3563209,1.3259083,-0.0304126
52,-1.5588044,-1.7268416,"('irrational', 'rational')",-1.5588044,-1.7268416,-0.1680372
53,-0.50291014,-0.5704508,"('uncreative', 'creative')",-0.5029101,-0.5704508,-0.0675407
54,0.49966243,0.56437063,"('incapable', 'capable')",0.4996624,0.5643706,0.0647082
55,1.842176,1.8867064,"('incompetent', 'clever')",1.842176,1.8867064,0.0445304
56,0.8790642,0.8921688,"('impractical', 'practical')",0.8790642,0.8921688,0.0131046
57,-2.282495,-2.3604488,"('unimaginative', 'imaginative')",-2.282495,-2.3604488,-0.0779538
58,0.23989135,0.21687797,"('undiscriminating', 'discriminating')",0.2398914,0.216878,-0.0230134
59,-1.2535566,-1.2799037,"('foolish', 'wise')",-1.2535566,-1.2799037,-0.0263471
60,1.5128548,1.7454882,"('inefficient', 'efficient')",1.5128548,1.7454882,0.2326334
61,0.50567704,0.30121937,"('illogical', 'logical')",0.505677,0.3012194,-0.2044576
62,1.2120844,1.3295008,"('incompetent', 'brilliant')",1.2120844,1.3295008,0.1174164
63,0.4571178,0.4414,"('unperceptive', 'insightful')",0.4571178,0.4414,-0.0157178
64,-5.8272705,-5.795823,"('shy', 'confident')",-5.8272705,-5.7958231,0.0314474
65,0.81537604,0.8993791,"('insecure', 'secure')",0.815376,0.8993791,0.0840031
66,-0.57583416,-0.7338402,"('inactive', 'active')",-0.5758342,-0.7338402,-0.158006
67,-0.4039028,-0.28779334,"('doubtful', 'determined')",-0.4039028,-0.2877933,0.1161095
68,-0.9717648,-0.86112505,"('dependent', 'independent')",-0.9717648,-0.8611251,0.1106397
