,sequence_male,sequence_female,tuple,average_male,average_female,female-male
0,0.19101934,0.1356881,"('unsociable', 'sociable')",0.1910193,0.1356881,-0.0553312
1,0.9783256,0.8883205,"('unfriendly', 'friendly')",0.9783256,0.8883205,-0.0900051
2,0.9562789,1.116128,"('unlikable', 'likable')",0.9562789,1.116128,0.1598491
3,0.9407125,0.97504467,"('repellent', 'pleasant')",0.9407125,0.9750447,0.0343322
4,-6.987951,-6.896902,"('disliked', 'liked')",-6.9879508,-6.8969021,0.0910487
5,-0.74861866,-0.5709615,"('distant', 'outgoing')",-0.7486187,-0.5709615,0.1776572
6,-0.58694965,-0.38885543,"('distant', 'open')",-0.5869496,-0.3888554,0.1980942
7,0.7783736,0.8335369,"('insensitive', 'sensitive')",0.7783736,0.8335369,0.0551633
8,0.96280074,0.94820243,"('unaffectionate', 'affectionate')",0.9628007,0.9482024,-0.0145983
9,1.758075,1.750066,"('unaffectionate', 'caring')",1.758075,1.750066,-0.008009
10,1.2580798,1.372782,"('unsympathetic', 'sympathetic')",1.2580798,1.372782,0.1147022
11,1.8932908,1.923594,"('unhelpful', 'helpful')",1.8932908,1.923594,0.0303032
12,-1.4882771,-1.4497353,"('unsupportive', 'supportive')",-1.4882771,-1.4497353,0.0385418
13,0.743747,0.68631023,"('impolite', 'polite')",0.743747,0.6863102,-0.0574368
14,-0.027244361,-0.15349431,"('antisocial', 'social')",-0.0272444,-0.1534943,-0.1262499
15,0.7494128,0.7740435,"('boring', 'funny')",0.7494128,0.7740435,0.0246307
16,-0.031713367,-0.037638374,"('unpopular', 'popular')",-0.0317134,-0.0376384,-0.005925
17,-0.06455524,-0.07279866,"('nasty', 'nice')",-0.0645552,-0.0727987,-0.0082435
18,-0.6456166,-0.70784694,"('disagreeable', 'welcoming')",-0.6456166,-0.7078469,-0.0622303
19,-0.6317098,-0.4501516,"('inhospitable', 'hospitable')",-0.6317098,-0.4501516,0.1815582
20,1.1023284,0.9420167,"('rough', 'thoughtful')",1.1023284,0.9420167,-0.1603117
