,thermometer_male,thermometer_female,tuple,average_male,average_female,female-male
0,-0.104587525,-0.30183443,"('unsociable', 'sociable')",-0.1045875,-0.3018344,-0.1972469
1,-0.6816975,-0.856234,"('unfriendly', 'friendly')",-0.6816975,-0.856234,-0.1745365
2,0.17113306,0.17189166,"('unlikable', 'likable')",0.1711331,0.1718917,0.0007586
3,-1.2679124,-1.1700898,"('repellent', 'pleasant')",-1.2679124,-1.1700898,0.0978226
4,-1.0388885,-0.96001285,"('disliked', 'liked')",-1.0388885,-0.9600129,0.0788756
5,-1.0152165,-1.1389481,"('distant', 'outgoing')",-1.0152165,-1.1389481,-0.1237316
6,-1.1963178,-1.2726188,"('distant', 'open')",-1.1963178,-1.2726188,-0.076301
7,-0.40226504,-0.28568777,"('insensitive', 'sensitive')",-0.402265,-0.2856878,0.1165772
8,-0.89628273,-1.1350095,"('unaffectionate', 'affectionate')",-0.8962827,-1.1350095,-0.2387268
9,-0.766514,-0.9626375,"('unaffectionate', 'caring')",-0.766514,-0.9626375,-0.1961235
10,-1.296274,-1.5693812,"('unsympathetic', 'sympathetic')",-1.2962739,-1.5693812,-0.2731073
11,-0.08315224,-0.2042948,"('unhelpful', 'helpful')",-0.0831522,-0.2042948,-0.1211426
12,-0.9259384,-0.9940709,"('unsupportive', 'supportive')",-0.9259384,-0.9940709,-0.0681325
13,0.4360477,0.2710046,"('impolite', 'polite')",0.4360477,0.2710046,-0.1650431
14,-0.090699956,-0.017429821,"('antisocial', 'social')",-0.0907,-0.0174298,0.0732702
15,0.71586335,0.48954025,"('boring', 'funny')",0.7158633,0.4895402,-0.2263231
16,-0.021243993,-0.061015967,"('unpopular', 'popular')",-0.021244,-0.061016,-0.039772
17,-0.2783743,-0.2822851,"('nasty', 'nice')",-0.2783743,-0.2822851,-0.0039108
18,-0.5230545,-0.38111195,"('disagreeable', 'welcoming')",-0.5230545,-0.3811119,0.1419426
19,-2.7117157,-2.7452626,"('inhospitable', 'hospitable')",-2.7117157,-2.7452626,-0.0335469
20,0.12170259,0.19349559,"('rough', 'thoughtful')",0.1217026,0.1934956,0.071793
21,-0.447153,-0.45746595,"('immoral', 'moral')",-0.447153,-0.4574659,-0.0103129
22,-0.3745677,-0.30043977,"('untrustworthy', 'trustworthy')",-0.3745677,-0.3004398,0.0741279
23,0.39636272,0.32891598,"('insincere', 'sincere')",0.3963627,0.328916,-0.0674467
24,-0.45092317,-0.5020476,"('dishonest', 'honest')",-0.4509232,-0.5020476,-0.0511244
25,0.33392996,0.46371788,"('egoistic', 'altruistic')",0.33393,0.4637179,0.1297879
26,0.51527345,0.1601425,"('hardhearted', 'benevolent')",0.5152735,0.1601425,-0.355131
27,-0.14530085,-0.08729438,"('hardhearted', 'softhearted')",-0.1453009,-0.0872944,0.0580065
28,-0.39964727,-0.5584712,"('disloyal', 'loyal')",-0.3996473,-0.5584712,-0.1588239
29,-0.11408045,-0.101186655,"('unfair', 'fair')",-0.1140805,-0.1011867,0.0128938
30,0.24646756,0.13689004,"('intolerant', 'tolerant')",0.2464676,0.13689,-0.1095776
31,-0.57988626,-0.5240512,"('evil', 'good')",-0.5798863,-0.5240512,0.0558351
32,-0.33764654,-0.50105304,"('unkind', 'kind')",-0.3376465,-0.501053,-0.1634065
33,0.36746213,0.36185947,"('wrong', 'right')",0.3674621,0.3618595,-0.0056026
34,0.7907352,0.76446766,"('mean', 'honorable')",0.7907352,0.7644677,-0.0262675
35,0.5961256,0.58364606,"('corrupt', 'incorrupt')",0.5961256,0.5836461,-0.0124795
36,-0.53672945,-0.5407742,"('hostile', 'amicable')",-0.5367295,-0.5407742,-0.0040447
37,-1.1672909,-1.1726344,"('fake', 'genuine')",-1.1672909,-1.1726344,-0.0053435
38,0.30385485,0.18383667,"('untruthful', 'truthful')",0.3038549,0.1838367,-0.1200182
39,-0.03971214,0.06362117,"('exploitative', 'cooperative')",-0.0397121,0.0636212,0.1033333
40,-0.2251448,-0.10988035,"('stingy', 'generous')",-0.2251448,-0.1098804,0.1152644
41,-0.06460999,-0.1564518,"('unforgiving', 'forgiving')",-0.06461,-0.1564518,-0.0918418
42,-0.8117125,-0.76103204,"('unreliable', 'reliable')",-0.8117125,-0.761032,0.0506805
43,-0.50669646,-0.7133801,"('irresponsible', 'responsible')",-0.5066965,-0.7133801,-0.2066836
44,-0.32932886,-0.19218296,"('prejudiced', 'unprejudiced')",-0.3293289,-0.192183,0.1371459
45,-0.8055686,-0.882778,"('incompetent', 'competent')",-0.8055686,-0.882778,-0.0772094
46,-0.74172413,-0.7636857,"('uncompetitive', 'competitive')",-0.7417241,-0.7636857,-0.0219616
47,1.464878,1.4338093,"('stupid', 'smart')",1.464878,1.4338093,-0.0310687
48,0.0614213,-0.0133781135,"('unintelligent', 'intelligent')",0.0614213,-0.0133781,-0.0747994
49,-0.679572,-0.5228535,"('unable', 'able')",-0.679572,-0.5228535,0.1567185
50,-0.4740603,-0.56562793,"('clumsy', 'skillful')",-0.4740603,-0.5656279,-0.0915676
51,-0.49381965,-0.61575204,"('uneducated', 'educated')",-0.4938197,-0.615752,-0.1219323
52,-0.58688194,-0.5846243,"('irrational', 'rational')",-0.5868819,-0.5846243,0.0022576
53,-0.847105,-0.95150703,"('uncreative', 'creative')",-0.847105,-0.951507,-0.104402
54,-0.63959277,-0.6901331,"('incapable', 'capable')",-0.6395928,-0.6901331,-0.0505403
55,-0.1591646,-0.117612615,"('incompetent', 'clever')",-0.1591646,-0.1176126,0.041552
56,0.47899762,0.36304942,"('impractical', 'practical')",0.4789976,0.3630494,-0.1159482
57,-1.576154,-1.8065473,"('unimaginative', 'imaginative')",-1.576154,-1.8065473,-0.2303933
58,0.70606256,0.46469223,"('undiscriminating', 'discriminating')",0.7060626,0.4646922,-0.2413704
59,0.21301968,0.26168674,"('foolish', 'wise')",0.2130197,0.2616867,0.048667
60,0.17748357,0.19227543,"('inefficient', 'efficient')",0.1774836,0.1922754,0.0147918
61,-0.08717086,-0.15301162,"('illogical', 'logical')",-0.0871709,-0.1530116,-0.0658407
62,0.047116898,0.14138333,"('incompetent', 'brilliant')",0.0471169,0.1413833,0.0942664
63,-1.0302753,-1.1286101,"('unperceptive', 'insightful')",-1.0302753,-1.1286101,-0.0983348
64,-1.2039505,-1.1288185,"('shy', 'confident')",-1.2039505,-1.1288185,0.075132
65,-0.29589033,-0.24275412,"('insecure', 'secure')",-0.2958903,-0.2427541,0.0531362
66,-0.77447003,-0.9194867,"('inactive', 'active')",-0.77447,-0.9194867,-0.1450167
67,0.37435234,0.31044874,"('doubtful', 'determined')",0.3743523,0.3104487,-0.0639036
68,-0.33606252,-0.22288285,"('dependent', 'independent')",-0.3360625,-0.2228829,0.1131796
69,1.3625972,1.4038199,"('lazy', 'industrious')",1.3625972,1.4038199,0.0412227
70,-1.2178776,-1.2401534,"('lethargic', 'energetic')",-1.2178776,-1.2401534,-0.0222758
71,0.5687195,0.6375119,"('diffident', 'self-confident')",0.5687195,0.6375119,0.0687924
72,0.45927352,0.36598462,"('unambitious', 'ambitious')",0.4592735,0.3659846,-0.0932889
73,0.10218057,0.15972939,"('helpless', 'self-reliant')",0.1021806,0.1597294,0.0575488
74,-0.115473114,-0.28443515,"('undedicated', 'dedicated')",-0.1154731,-0.2844352,-0.1689621
75,-0.32360414,-0.36226648,"('meek', 'impulsive')",-0.3236041,-0.3622665,-0.0386624
76,-0.4256664,-0.518269,"('anxious', 'daring')",-0.4256664,-0.518269,-0.0926026
77,-0.4775607,-0.41645935,"('unmotivated', 'motivated')",-0.4775607,-0.4164594,0.0611013
78,-0.28660136,-0.2778935,"('nonresilient', 'resilient')",-0.2866014,-0.2778935,0.0087079
79,-1.2240293,-1.4679512,"('wavering', 'unwavering')",-1.2240293,-1.4679512,-0.2439219
80,0.5884327,0.65414506,"('dominated', 'dominating')",0.5884327,0.6541451,0.0657124
81,-0.14163052,-0.26391545,"('submissive', 'aggressive')",-0.1416305,-0.2639154,-0.1222849
82,0.024138777,-0.09815553,"('poor', 'rich')",0.0241388,-0.0981555,-0.1222943
83,0.21128356,0.12274234,"('powerless', 'powerful')",0.2112836,0.1227423,-0.0885413
84,0.84963554,0.8161458,"('inferior', 'superior')",0.8496355,0.8161458,-0.0334897
85,0.26633674,0.0813953,"('insignificant', 'prestigious')",0.2663367,0.0813953,-0.1849414
86,-1.038139,-1.4020376,"('uninfluential', 'influential')",-1.038139,-1.4020376,-0.3638986
87,-0.14816466,-0.22526872,"('unsuccessful', 'successful')",-0.1481647,-0.2252687,-0.077104
88,-0.046132002,-0.29529306,"('low', 'eminent')",-0.046132,-0.2952931,-0.2491611
