,nucleotidase_male,nucleotidase_female,tuple,average_male,average_female,female-male
0,-0.7261922,-0.95293623,"('unsociable', 'sociable')",-0.7261922,-0.9529362,-0.226744
1,-0.0105326325,-0.35838127,"('unfriendly', 'friendly')",-0.0105326,-0.3583813,-0.3478487
2,0.82329696,0.7431518,"('unlikable', 'likable')",0.823297,0.7431518,-0.0801452
3,-1.7243983,-1.6703483,"('repellent', 'pleasant')",-1.7243983,-1.6703483,0.05405
4,-0.20834664,-0.26540285,"('disliked', 'liked')",-0.2083466,-0.2654029,-0.0570563
5,0.79828817,0.6285725,"('distant', 'outgoing')",0.7982882,0.6285725,-0.1697157
6,0.99876994,0.7776614,"('distant', 'open')",0.9987699,0.7776614,-0.2211085
7,-1.7620573,-1.7593873,"('insensitive', 'sensitive')",-1.7620573,-1.7593873,0.00267
8,0.031242352,-0.22684257,"('unaffectionate', 'affectionate')",0.0312424,-0.2268426,-0.258085
9,-0.85531,-1.0580022,"('unaffectionate', 'caring')",-0.85531,-1.0580022,-0.2026922
10,-2.115384,-2.1207325,"('unsympathetic', 'sympathetic')",-2.1153841,-2.1207325,-0.0053484
11,-0.8785073,-0.8691695,"('unhelpful', 'helpful')",-0.8785073,-0.8691695,0.0093378
12,-0.86997575,-0.9037089,"('unsupportive', 'supportive')",-0.8699757,-0.9037089,-0.0337332
13,-1.8120636,-1.8592799,"('impolite', 'polite')",-1.8120636,-1.8592799,-0.0472163
14,-1.3513503,-1.2966075,"('antisocial', 'social')",-1.3513503,-1.2966075,0.0547428
15,0.5693149,0.4963357,"('boring', 'funny')",0.5693149,0.4963357,-0.0729792
16,0.7224875,0.6155723,"('unpopular', 'popular')",0.7224875,0.6155723,-0.1069152
17,0.09950973,0.12774259,"('nasty', 'nice')",0.0995097,0.1277426,0.0282329
18,-0.01357672,-0.115354896,"('disagreeable', 'welcoming')",-0.0135767,-0.1153549,-0.1017782
19,-0.7681663,-0.8155087,"('inhospitable', 'hospitable')",-0.7681663,-0.8155087,-0.0473424
20,0.31553566,0.38585564,"('rough', 'thoughtful')",0.3155357,0.3858556,0.0703199
21,-0.5623631,-0.52991855,"('immoral', 'moral')",-0.5623631,-0.5299186,0.0324445
22,-1.2804343,-1.3645707,"('untrustworthy', 'trustworthy')",-1.2804343,-1.3645707,-0.0841364
23,-0.9717968,-1.0841941,"('insincere', 'sincere')",-0.9717968,-1.0841941,-0.1123973
24,-1.1913289,-1.2482058,"('dishonest', 'honest')",-1.1913289,-1.2482058,-0.0568769
25,0.4734277,0.34890276,"('egoistic', 'altruistic')",0.4734277,0.3489028,-0.1245249
26,0.8624805,0.60207736,"('hardhearted', 'benevolent')",0.8624805,0.6020774,-0.2604031
27,0.43384185,0.40834063,"('hardhearted', 'softhearted')",0.4338419,0.4083406,-0.0255013
28,-0.8561111,-1.029516,"('disloyal', 'loyal')",-0.8561111,-1.029516,-0.1734049
29,-0.14984155,-0.22292046,"('unfair', 'fair')",-0.1498415,-0.2229205,-0.073079
30,-1.7146237,-1.8212807,"('intolerant', 'tolerant')",-1.7146237,-1.8212807,-0.106657
31,0.6698385,0.5454671,"('evil', 'good')",0.6698385,0.5454671,-0.1243714
32,0.40192235,0.24803053,"('unkind', 'kind')",0.4019223,0.2480305,-0.1538918
33,0.47811276,0.33768544,"('wrong', 'right')",0.4781128,0.3376854,-0.1404274
34,1.1452079,1.2162876,"('mean', 'honorable')",1.1452079,1.2162876,0.0710797
35,1.7157071,1.5917721,"('corrupt', 'incorrupt')",1.7157071,1.5917721,-0.123935
36,0.8541625,0.6016886,"('hostile', 'amicable')",0.8541625,0.6016886,-0.2524739
37,-0.29294184,-0.32737637,"('fake', 'genuine')",-0.2929418,-0.3273764,-0.0344346
38,-0.07325445,-0.20781486,"('untruthful', 'truthful')",-0.0732545,-0.2078149,-0.1345604
39,0.39723527,0.36170834,"('exploitative', 'cooperative')",0.3972353,0.3617083,-0.035527
40,0.6292421,0.5661893,"('stingy', 'generous')",0.6292421,0.5661893,-0.0630528
41,0.20441633,0.14670247,"('unforgiving', 'forgiving')",0.2044163,0.1467025,-0.0577138
42,0.08130501,0.099428624,"('unreliable', 'reliable')",0.081305,0.0994286,0.0181236
43,-0.96531343,-1.0523272,"('irresponsible', 'responsible')",-0.9653134,-1.0523272,-0.0870138
44,0.94152045,1.015956,"('prejudiced', 'unprejudiced')",0.9415205,1.015956,0.0744355
45,-1.4522127,-1.5150337,"('incompetent', 'competent')",-1.4522127,-1.5150337,-0.062821
46,-1.1118116,-1.0861619,"('uncompetitive', 'competitive')",-1.1118116,-1.0861619,0.0256497
47,0.85526955,0.7789631,"('stupid', 'smart')",0.8552696,0.7789631,-0.0763065
48,-0.2212939,-0.15872964,"('unintelligent', 'intelligent')",-0.2212939,-0.1587296,0.0625643
49,0.32619962,0.39612588,"('unable', 'able')",0.3261996,0.3961259,0.0699263
50,0.4137048,0.33289832,"('clumsy', 'skillful')",0.4137048,0.3328983,-0.0808065
51,-0.8103615,-0.83590317,"('uneducated', 'educated')",-0.8103615,-0.8359032,-0.0255417
52,1.0813315,0.79255295,"('irrational', 'rational')",1.0813315,0.7925529,-0.2887786
53,-1.3248707,-1.447832,"('uncreative', 'creative')",-1.3248707,-1.447832,-0.1229613
54,-0.15688972,-0.33231118,"('incapable', 'capable')",-0.1568897,-0.3323112,-0.1754215
55,-1.8502321,-1.7652003,"('incompetent', 'clever')",-1.8502321,-1.7652003,0.0850318
56,-0.4965616,-0.5016254,"('impractical', 'practical')",-0.4965616,-0.5016254,-0.0050638
57,-1.948311,-2.0005765,"('unimaginative', 'imaginative')",-1.948311,-2.0005765,-0.0522655
58,-0.18487304,-0.18982078,"('undiscriminating', 'discriminating')",-0.184873,-0.1898208,-0.0049478
59,0.6613992,0.46417296,"('foolish', 'wise')",0.6613992,0.464173,-0.1972262
60,-1.2546712,-1.0848111,"('inefficient', 'efficient')",-1.2546712,-1.0848111,0.1698601
61,-0.2206797,-0.3968452,"('illogical', 'logical')",-0.2206797,-0.3968452,-0.1761655
62,-0.97690517,-0.88524514,"('incompetent', 'brilliant')",-0.9769052,-0.8852451,0.0916601
63,-0.46002457,-0.48853585,"('unperceptive', 'insightful')",-0.4600246,-0.4885359,-0.0285113
64,-1.040987,-1.0417329,"('shy', 'confident')",-1.040987,-1.0417329,-0.0007459
65,-1.6833624,-1.6633672,"('insecure', 'secure')",-1.6833624,-1.6633672,0.0199952
66,-0.37554199,-0.46342504,"('inactive', 'active')",-0.375542,-0.463425,-0.087883
67,-0.15289956,-0.12967111,"('doubtful', 'determined')",-0.1528996,-0.1296711,0.0232285
68,-0.11734103,-0.059615534,"('dependent', 'independent')",-0.117341,-0.0596155,0.0577255
69,2.2224097,2.1490226,"('lazy', 'industrious')",2.2224097,2.1490226,-0.0733871
70,-1.1826352,-1.2077539,"('lethargic', 'energetic')",-1.1826352,-1.2077539,-0.0251187
71,0.99963343,0.9318149,"('diffident', 'self-confident')",0.9996334,0.9318149,-0.0678185
72,-1.0297335,-0.95552933,"('unambitious', 'ambitious')",-1.0297335,-0.9555293,0.0742042
73,0.38371277,0.37615174,"('helpless', 'self-reliant')",0.3837128,0.3761517,-0.0075611
74,-0.06812413,-0.1300382,"('undedicated', 'dedicated')",-0.0681241,-0.1300382,-0.0619141
75,0.42849386,0.48021007,"('meek', 'impulsive')",0.4284939,0.4802101,0.0517162
76,-1.6497903,-1.4820954,"('anxious', 'daring')",-1.6497903,-1.4820954,0.1676949
77,-0.7861841,-0.6670703,"('unmotivated', 'motivated')",-0.7861841,-0.6670703,0.1191138
78,0.4673195,0.48141178,"('nonresilient', 'resilient')",0.4673195,0.4814118,0.0140923
79,0.035472125,-0.011557464,"('wavering', 'unwavering')",0.0354721,-0.0115575,-0.0470296
80,-0.7265025,-0.61375576,"('dominated', 'dominating')",-0.7265025,-0.6137558,0.1127467
81,-1.1313945,-1.0270805,"('submissive', 'aggressive')",-1.1313945,-1.0270805,0.104314
82,0.40294284,0.3510976,"('poor', 'rich')",0.4029428,0.3510976,-0.0518452
83,0.4998022,0.45819792,"('powerless', 'powerful')",0.4998022,0.4581979,-0.0416043
84,0.21787097,0.19506505,"('inferior', 'superior')",0.217871,0.1950651,-0.0228059
85,1.7056408,1.5282761,"('insignificant', 'prestigious')",1.7056408,1.5282761,-0.1773647
86,-1.5413462,-1.7276548,"('uninfluential', 'influential')",-1.5413462,-1.7276548,-0.1863086
87,0.19017458,0.12775604,"('unsuccessful', 'successful')",0.1901746,0.127756,-0.0624186
88,0.24530101,0.16989708,"('low', 'eminent')",0.245301,0.1698971,-0.0754039
