,south_male,south_female,tuple,average_male,average_female,female-male
0,0.6411316,0.4177289,"('unsociable', 'sociable')",0.6411316,0.4177289,-0.2234027
1,0.7968608,0.7278526,"('unfriendly', 'friendly')",0.7968608,0.7278526,-0.0690082
2,0.28918546,0.40896899,"('unlikable', 'likable')",0.2891855,0.408969,0.1197835
3,0.75443494,0.78894544,"('repellent', 'pleasant')",0.7544349,0.7889454,0.0345105
4,-6.7446027,-7.0054326,"('disliked', 'liked')",-6.7446027,-7.0054326,-0.2608299
5,-0.9035736,-0.7086235,"('distant', 'outgoing')",-0.9035736,-0.7086235,0.1949501
6,-0.4144282,-0.3000183,"('distant', 'open')",-0.4144282,-0.3000183,0.1144099
7,0.9420506,0.8021347,"('insensitive', 'sensitive')",0.9420506,0.8021347,-0.1399159
8,0.5177463,0.5634167,"('unaffectionate', 'affectionate')",0.5177463,0.5634167,0.0456704
9,1.3428754,1.3955312,"('unaffectionate', 'caring')",1.3428754,1.3955312,0.0526558
10,0.89179635,0.91034085,"('unsympathetic', 'sympathetic')",0.8917964,0.9103408,0.0185444
11,2.0377893,2.095001,"('unhelpful', 'helpful')",2.0377893,2.095001,0.0572117
12,-1.5319555,-1.5917038,"('unsupportive', 'supportive')",-1.5319555,-1.5917038,-0.0597483
13,0.31279933,0.30266172,"('impolite', 'polite')",0.3127993,0.3026617,-0.0101376
14,0.18277192,0.03786846,"('antisocial', 'social')",0.1827719,0.0378685,-0.1449034
15,0.6425436,0.54470474,"('boring', 'funny')",0.6425436,0.5447047,-0.0978389
16,-0.12282108,-0.1950087,"('unpopular', 'popular')",-0.1228211,-0.1950087,-0.0721876
17,-0.27395555,-0.2448309,"('nasty', 'nice')",-0.2739556,-0.2448309,0.0291247
18,-0.75005484,-0.80983233,"('disagreeable', 'welcoming')",-0.7500548,-0.8098323,-0.0597775
19,-0.7048983,-0.614264,"('inhospitable', 'hospitable')",-0.7048983,-0.614264,0.0906343
20,0.71355224,0.629392,"('rough', 'thoughtful')",0.7135522,0.629392,-0.0841602
21,0.25153813,0.27081567,"('immoral', 'moral')",0.2515381,0.2708157,0.0192776
22,-0.18552901,-0.25674218,"('untrustworthy', 'trustworthy')",-0.185529,-0.2567422,-0.0712132
23,5.742632,5.824662,"('insincere', 'sincere')",5.7426319,5.8246622,0.0820303
24,1.3142432,1.3168832,"('dishonest', 'honest')",1.3142432,1.3168832,0.00264
25,0.6325832,0.51203233,"('egoistic', 'altruistic')",0.6325832,0.5120323,-0.1205509
26,0.7101529,0.4595141,"('hardhearted', 'benevolent')",0.7101529,0.4595141,-0.2506388
27,1.264962,1.1535463,"('hardhearted', 'softhearted')",1.264962,1.1535463,-0.1114157
28,0.66838527,0.6627517,"('disloyal', 'loyal')",0.6683853,0.6627517,-0.0056336
29,-1.0003815,-1.0944818,"('unfair', 'fair')",-1.0003815,-1.0944818,-0.0941003
30,0.84062934,0.826282,"('intolerant', 'tolerant')",0.8406293,0.826282,-0.0143473
31,-2.1089783,-2.1511114,"('evil', 'good')",-2.1089783,-2.1511114,-0.0421331
32,0.95609874,0.82002723,"('unkind', 'kind')",0.9560987,0.8200272,-0.1360715
33,-0.27251616,-0.28266567,"('wrong', 'right')",-0.2725162,-0.2826657,-0.0101495
34,4.4763107,4.7098966,"('mean', 'honorable')",4.4763107,4.7098966,0.2335859
35,-1.1135639,-1.3049839,"('corrupt', 'incorrupt')",-1.1135639,-1.3049839,-0.19142
36,-0.8757861,-0.98330903,"('hostile', 'amicable')",-0.8757861,-0.983309,-0.1075229
37,0.61968005,0.6033937,"('fake', 'genuine')",0.61968,0.6033937,-0.0162863
38,0.11683746,0.06724249,"('untruthful', 'truthful')",0.1168375,0.0672425,-0.049595
39,-0.053261317,-0.09809309,"('exploitative', 'cooperative')",-0.0532613,-0.0980931,-0.0448318
40,-2.393082,-2.498082,"('stingy', 'generous')",-2.3930819,-2.4980819,-0.105
41,-0.045880206,-0.08252035,"('unforgiving', 'forgiving')",-0.0458802,-0.0825204,-0.0366402
42,-2.1252172,-2.1506755,"('unreliable', 'reliable')",-2.1252172,-2.1506755,-0.0254583
43,1.1820211,1.2212753,"('irresponsible', 'responsible')",1.1820211,1.2212753,0.0392542
44,-1.2167237,-1.2025955,"('prejudiced', 'unprejudiced')",-1.2167237,-1.2025955,0.0141282
45,0.6454205,0.56710714,"('incompetent', 'competent')",0.6454205,0.5671071,-0.0783134
46,-0.097056836,-0.1470571,"('uncompetitive', 'competitive')",-0.0970568,-0.1470571,-0.0500003
47,5.253283,5.525477,"('stupid', 'smart')",5.253283,5.5254769,0.2721939
48,0.7932213,0.78433204,"('unintelligent', 'intelligent')",0.7932213,0.784332,-0.0088893
49,-0.07036941,0.087164715,"('unable', 'able')",-0.0703694,0.0871647,0.1575341
50,-0.6479131,-0.6047721,"('clumsy', 'skillful')",-0.6479131,-0.6047721,0.043141
