,chastity_male,chastity_female,tuple,average_male,average_female,female-male
0,0.008944631,-0.5722766,"('unsociable', 'sociable')",0.0089446,-0.5722766,-0.5812212
1,-1.7234768,-1.4463756,"('unfriendly', 'friendly')",-1.7234768,-1.4463756,0.2771012
2,0.009230509,0.13991365,"('unlikable', 'likable')",0.0092305,0.1399136,0.1306831
3,-1.3685849,-1.2507639,"('repellent', 'pleasant')",-1.3685849,-1.2507639,0.117821
4,-1.3166138,-0.99439037,"('disliked', 'liked')",-1.3166138,-0.9943904,0.3222234
5,0.09970641,0.27021986,"('distant', 'outgoing')",0.0997064,0.2702199,0.1705135
6,0.0014853757,0.18594803,"('distant', 'open')",0.0014854,0.185948,0.1844626
7,-1.556256,-1.7161416,"('insensitive', 'sensitive')",-1.5562561,-1.7161416,-0.1598855
8,-0.48044857,-0.34687495,"('unaffectionate', 'affectionate')",-0.4804486,-0.346875,0.1335736
9,-1.0559983,-0.9003509,"('unaffectionate', 'caring')",-1.0559983,-0.9003509,0.1556474
10,-2.0758154,-2.3341627,"('unsympathetic', 'sympathetic')",-2.0758154,-2.3341627,-0.2583473
11,-0.040473,-0.17254198,"('unhelpful', 'helpful')",-0.040473,-0.172542,-0.132069
12,-1.4687148,-1.4191985,"('unsupportive', 'supportive')",-1.4687148,-1.4191985,0.0495163
13,-0.39795992,-0.9052974,"('impolite', 'polite')",-0.3979599,-0.9052974,-0.5073375
14,-0.26283675,-0.8429141,"('antisocial', 'social')",-0.2628368,-0.8429141,-0.5800773
15,0.93274355,0.6574661,"('boring', 'funny')",0.9327435,0.6574661,-0.2752774
16,0.0458136,0.36940807,"('unpopular', 'popular')",0.0458136,0.3694081,0.3235945
17,0.4354142,0.29827145,"('nasty', 'nice')",0.4354142,0.2982714,-0.1371428
18,-0.94694376,-0.9275799,"('disagreeable', 'welcoming')",-0.9469438,-0.9275799,0.0193639
19,-0.16332167,0.15563338,"('inhospitable', 'hospitable')",-0.1633217,0.1556334,0.3189551
20,-0.56594867,-0.5822253,"('rough', 'thoughtful')",-0.5659487,-0.5822253,-0.0162766
21,-0.9415631,-1.2347491,"('immoral', 'moral')",-0.9415631,-1.2347491,-0.293186
22,-0.85099524,-0.88882786,"('untrustworthy', 'trustworthy')",-0.8509952,-0.8888279,-0.0378327
23,0.42331752,0.13236845,"('insincere', 'sincere')",0.4233175,0.1323684,-0.2909491
24,-1.1205821,-1.327711,"('dishonest', 'honest')",-1.1205821,-1.327711,-0.2071289
25,-0.24233173,-0.27966255,"('egoistic', 'altruistic')",-0.2423317,-0.2796625,-0.0373308
26,-0.53003496,-0.5477268,"('hardhearted', 'benevolent')",-0.530035,-0.5477268,-0.0176918
27,-0.47917622,-0.5304491,"('hardhearted', 'softhearted')",-0.4791762,-0.5304491,-0.0512729
28,-1.2547952,-1.3063123,"('disloyal', 'loyal')",-1.2547952,-1.3063123,-0.0515171
29,-0.49580482,-0.4464125,"('unfair', 'fair')",-0.4958048,-0.4464125,0.0493923
30,0.38230395,-0.17374924,"('intolerant', 'tolerant')",0.382304,-0.1737492,-0.5560532
31,-1.5495173,-0.97878456,"('evil', 'good')",-1.5495173,-0.9787846,0.5707327
32,-0.063533574,-0.21572843,"('unkind', 'kind')",-0.0635336,-0.2157284,-0.1521948
33,-0.41613874,-0.4081133,"('wrong', 'right')",-0.4161387,-0.4081133,0.0080254
34,1.3743436,1.3350112,"('mean', 'honorable')",1.3743436,1.3350112,-0.0393324
35,0.6021218,0.90282524,"('corrupt', 'incorrupt')",0.6021218,0.9028252,0.3007034
36,-0.3560241,0.35250908,"('hostile', 'amicable')",-0.3560241,0.3525091,0.7085332
37,0.28506923,0.23989713,"('fake', 'genuine')",0.2850692,0.2398971,-0.0451721
38,-0.022127,-0.17365803,"('untruthful', 'truthful')",-0.022127,-0.173658,-0.151531
39,-0.11700285,-0.39658907,"('exploitative', 'cooperative')",-0.1170029,-0.3965891,-0.2795862
40,-2.3491294,-2.131294,"('stingy', 'generous')",-2.3491294,-2.131294,0.2178354
41,-0.89832854,-0.98668754,"('unforgiving', 'forgiving')",-0.8983285,-0.9866875,-0.088359
42,-0.29225636,-0.38075203,"('unreliable', 'reliable')",-0.2922564,-0.380752,-0.0884956
43,-0.2572043,-0.5833484,"('irresponsible', 'responsible')",-0.2572043,-0.5833484,-0.3261441
44,0.44302258,0.28672445,"('prejudiced', 'unprejudiced')",0.4430226,0.2867244,-0.1562982
45,-1.4113035,-1.6497974,"('incompetent', 'competent')",-1.4113035,-1.6497974,-0.2384939
46,-1.5108154,-1.7103393,"('uncompetitive', 'competitive')",-1.5108154,-1.7103393,-0.1995239
47,1.0853875,1.135454,"('stupid', 'smart')",1.0853875,1.1354541,0.0500666
48,-1.6273366,-1.516368,"('unintelligent', 'intelligent')",-1.6273366,-1.516368,0.1109686
49,-0.574118,-0.34419957,"('unable', 'able')",-0.574118,-0.3441996,0.2299184
50,0.73882675,0.9576206,"('clumsy', 'skillful')",0.7388268,0.9576206,0.2187938
51,-0.47593662,-0.37003154,"('uneducated', 'educated')",-0.4759366,-0.3700315,0.1059051
52,-0.42729157,-0.086779654,"('irrational', 'rational')",-0.4272916,-0.0867797,0.3405119
53,-1.9011183,-1.5092977,"('uncreative', 'creative')",-1.9011183,-1.5092977,0.3918206
54,-0.58200854,-0.45407447,"('incapable', 'capable')",-0.5820085,-0.4540745,0.127934
55,-0.56409127,-0.8782893,"('incompetent', 'clever')",-0.5640913,-0.8782893,-0.314198
56,0.69254684,0.017349496,"('impractical', 'practical')",0.6925468,0.0173495,-0.6751973
57,-2.5841787,-2.5877666,"('unimaginative', 'imaginative')",-2.5841787,-2.5877666,-0.0035879
58,-0.59836984,-0.5928849,"('undiscriminating', 'discriminating')",-0.5983698,-0.5928849,0.0054849
59,0.3284332,0.6247882,"('foolish', 'wise')",0.3284332,0.6247882,0.296355
60,-0.25842,-0.7630161,"('inefficient', 'efficient')",-0.25842,-0.7630161,-0.5045961
61,-1.413164,-1.4914651,"('illogical', 'logical')",-1.413164,-1.4914651,-0.0783011
62,-0.6118697,-1.0227803,"('incompetent', 'brilliant')",-0.6118697,-1.0227803,-0.4109106
63,-1.0713271,-1.1771125,"('unperceptive', 'insightful')",-1.0713271,-1.1771125,-0.1057854
64,-1.9028093,-2.101494,"('shy', 'confident')",-1.9028093,-2.1014941,-0.1986848
65,-0.8432855,-0.9762166,"('insecure', 'secure')",-0.8432855,-0.9762166,-0.1329311
66,-0.81273013,-0.920721,"('inactive', 'active')",-0.8127301,-0.920721,-0.1079909
67,0.955877,0.40496966,"('doubtful', 'determined')",0.955877,0.4049697,-0.5509073
68,-0.64410526,-0.49542907,"('dependent', 'independent')",-0.6441053,-0.4954291,0.1486762
69,0.10508771,0.42158866,"('lazy', 'industrious')",0.1050877,0.4215887,0.316501
70,-0.8201865,-1.186442,"('lethargic', 'energetic')",-0.8201865,-1.186442,-0.3662555
71,-0.48318806,-0.48850042,"('diffident', 'self-confident')",-0.4831881,-0.4885004,-0.0053123
72,-1.3123534,-1.2442404,"('unambitious', 'ambitious')",-1.3123534,-1.2442404,0.068113
73,-0.59448594,-0.37135407,"('helpless', 'self-reliant')",-0.5944859,-0.3713541,0.2231318
74,0.039733723,-0.16406925,"('undedicated', 'dedicated')",0.0397337,-0.1640693,-0.203803
75,-0.17601737,0.10116966,"('meek', 'impulsive')",-0.1760174,0.1011697,0.2771871
76,0.30733994,-0.06490937,"('anxious', 'daring')",0.3073399,-0.0649094,-0.3722493
77,-1.9625273,-1.759184,"('unmotivated', 'motivated')",-1.9625273,-1.759184,0.2033433
78,-0.6454535,-0.4084076,"('nonresilient', 'resilient')",-0.6454535,-0.4084076,0.2370459
79,0.6583583,0.8952194,"('wavering', 'unwavering')",0.6583583,0.8952194,0.2368611
80,-0.5116207,-0.88689584,"('dominated', 'dominating')",-0.5116207,-0.8868958,-0.3752751
