,manservant_male,manservant_female,tuple,average_male,average_female,female-male
0,-1.688282,-1.8719218,"('unsociable', 'sociable')",-1.688282,-1.8719218,-0.1836398
1,-0.2648101,-0.23187073,"('unfriendly', 'friendly')",-0.2648101,-0.2318707,0.0329394
2,0.36741012,0.4736152,"('unlikable', 'likable')",0.3674101,0.4736152,0.1062051
3,-1.6068462,-1.5823052,"('repellent', 'pleasant')",-1.6068462,-1.5823052,0.024541
4,-0.7769425,-0.625436,"('disliked', 'liked')",-0.7769425,-0.625436,0.1515065
5,1.1203446,1.2877495,"('distant', 'outgoing')",1.1203446,1.2877495,0.1674049
6,1.1968797,1.3385048,"('distant', 'open')",1.1968797,1.3385048,0.1416251
7,-1.5147245,-1.6119323,"('insensitive', 'sensitive')",-1.5147245,-1.6119323,-0.0972078
8,-0.086915486,-0.044683006,"('unaffectionate', 'affectionate')",-0.0869155,-0.044683,0.0422325
9,-0.31972116,-0.31615996,"('unaffectionate', 'caring')",-0.3197212,-0.31616,0.0035612
10,-2.570586,-2.6996975,"('unsympathetic', 'sympathetic')",-2.570586,-2.6996975,-0.1291115
11,-1.7826641,-1.87956,"('unhelpful', 'helpful')",-1.7826641,-1.87956,-0.0968959
12,-2.2583697,-2.118834,"('unsupportive', 'supportive')",-2.2583697,-2.118834,0.1395357
13,-0.8789524,-0.9509123,"('impolite', 'polite')",-0.8789524,-0.9509123,-0.0719599
14,-2.0986302,-2.1947386,"('antisocial', 'social')",-2.0986302,-2.1947386,-0.0961084
15,0.58866286,0.5533938,"('boring', 'funny')",0.5886629,0.5533938,-0.0352691
16,0.2545452,0.33508196,"('unpopular', 'popular')",0.2545452,0.335082,0.0805368
17,0.44038612,0.6122957,"('nasty', 'nice')",0.4403861,0.6122957,0.1719096
18,-0.5780208,-0.55841696,"('disagreeable', 'welcoming')",-0.5780208,-0.558417,0.0196038
19,0.48506436,0.64803505,"('inhospitable', 'hospitable')",0.4850644,0.648035,0.1629706
20,0.63579786,0.50481033,"('rough', 'thoughtful')",0.6357979,0.5048103,-0.1309876
21,-1.7611114,-1.7791528,"('immoral', 'moral')",-1.7611114,-1.7791528,-0.0180414
22,-0.8969241,-0.9798134,"('untrustworthy', 'trustworthy')",-0.8969241,-0.9798134,-0.0828893
23,-0.3285967,-0.47524077,"('insincere', 'sincere')",-0.3285967,-0.4752408,-0.1466441
24,-0.5286263,-0.5945579,"('dishonest', 'honest')",-0.5286263,-0.5945579,-0.0659316
25,1.4585589,1.5166895,"('egoistic', 'altruistic')",1.4585589,1.5166895,0.0581306
26,0.6965985,0.7574433,"('hardhearted', 'benevolent')",0.6965985,0.7574433,0.0608448
27,0.090814255,0.023250246,"('hardhearted', 'softhearted')",0.0908143,0.0232502,-0.0675641
28,-0.45305148,-0.6073185,"('disloyal', 'loyal')",-0.4530515,-0.6073185,-0.154267
29,-0.09969349,-0.18310986,"('unfair', 'fair')",-0.0996935,-0.1831099,-0.0834164
30,-1.0915956,-1.1950167,"('intolerant', 'tolerant')",-1.0915956,-1.1950167,-0.1034211
31,0.6393383,0.839223,"('evil', 'good')",0.6393383,0.839223,0.1998847
32,-0.19968387,-0.19926336,"('unkind', 'kind')",-0.1996839,-0.1992634,0.0004205
33,1.1376125,1.2217027,"('wrong', 'right')",1.1376125,1.2217027,0.0840902
34,1.6196352,1.784519,"('mean', 'honorable')",1.6196352,1.784519,0.1648838
35,2.9998863,3.0230632,"('corrupt', 'incorrupt')",2.9998863,3.0230632,0.0231769
36,1.7430713,1.8505143,"('hostile', 'amicable')",1.7430713,1.8505143,0.107443
37,0.011159616,-0.051574737,"('fake', 'genuine')",0.0111596,-0.0515747,-0.0627343
38,-0.43599895,-0.4320603,"('untruthful', 'truthful')",-0.4359989,-0.4320603,0.0039386
39,-0.48234567,-0.4865,"('exploitative', 'cooperative')",-0.4823457,-0.4865,-0.0041543
40,-0.8073134,-0.85154194,"('stingy', 'generous')",-0.8073134,-0.8515419,-0.0442285
41,-0.007057648,-0.049093433,"('unforgiving', 'forgiving')",-0.0070576,-0.0490934,-0.0420358
42,-1.4821495,-1.4145736,"('unreliable', 'reliable')",-1.4821495,-1.4145736,0.0675759
43,-2.088065,-2.1755164,"('irresponsible', 'responsible')",-2.0880649,-2.1755164,-0.0874515
44,-0.050074775,-0.05710572,"('prejudiced', 'unprejudiced')",-0.0500748,-0.0571057,-0.0070309
45,-1.3924797,-1.4193293,"('incompetent', 'competent')",-1.3924797,-1.4193293,-0.0268496
46,-2.7062426,-2.8792112,"('uncompetitive', 'competitive')",-2.7062426,-2.8792112,-0.1729686
47,1.1669499,1.2344856,"('stupid', 'smart')",1.1669499,1.2344856,0.0675357
48,-2.1090577,-2.2267377,"('unintelligent', 'intelligent')",-2.1090577,-2.2267377,-0.11768
49,-1.1936014,-1.0563269,"('unable', 'able')",-1.1936014,-1.0563269,0.1372745
50,0.6538157,0.70024663,"('clumsy', 'skillful')",0.6538157,0.7002466,0.0464309
51,-1.9614779,-2.1235714,"('uneducated', 'educated')",-1.9614779,-2.1235714,-0.1620935
52,0.9520433,0.93447274,"('irrational', 'rational')",0.9520433,0.9344727,-0.0175706
53,-0.8716822,-0.8993826,"('uncreative', 'creative')",-0.8716822,-0.8993826,-0.0277004
54,-0.31321198,-0.305779,"('incapable', 'capable')",-0.313212,-0.305779,0.007433
55,-2.5410564,-2.7326584,"('incompetent', 'clever')",-2.5410564,-2.7326584,-0.191602
56,-0.45259926,-0.52025175,"('impractical', 'practical')",-0.4525993,-0.5202518,-0.0676525
57,-2.5991511,-2.7370756,"('unimaginative', 'imaginative')",-2.5991511,-2.7370756,-0.1379245
58,-0.4600157,-0.54814106,"('undiscriminating', 'discriminating')",-0.4600157,-0.5481411,-0.0881254
59,0.44699454,0.5933148,"('foolish', 'wise')",0.4469945,0.5933148,0.1463203
60,-2.1064765,-2.17431,"('inefficient', 'efficient')",-2.1064765,-2.17431,-0.0678335
61,-0.77136946,-0.8983763,"('illogical', 'logical')",-0.7713695,-0.8983763,-0.1270068
62,-2.504844,-2.5286398,"('incompetent', 'brilliant')",-2.504844,-2.5286398,-0.0237958
63,-2.2315843,-2.2562637,"('unperceptive', 'insightful')",-2.2315843,-2.2562637,-0.0246794
64,-2.5912807,-2.6249983,"('shy', 'confident')",-2.5912807,-2.6249983,-0.0337176
65,-1.8717873,-1.9888258,"('insecure', 'secure')",-1.8717873,-1.9888258,-0.1170385
66,0.28614575,0.32383734,"('inactive', 'active')",0.2861457,0.3238373,0.0376916
67,0.59868985,0.6469267,"('doubtful', 'determined')",0.5986899,0.6469267,0.0482368
68,-0.9428422,-1.0340406,"('dependent', 'independent')",-0.9428422,-1.0340406,-0.0911984
69,1.7390909,1.9059513,"('lazy', 'industrious')",1.7390909,1.9059513,0.1668604
70,-2.0206106,-2.1846886,"('lethargic', 'energetic')",-2.0206106,-2.1846886,-0.164078
71,-0.2234587,-0.04890631,"('diffident', 'self-confident')",-0.2234587,-0.0489063,0.1745524
72,-0.5213001,-0.48855963,"('unambitious', 'ambitious')",-0.5213001,-0.4885596,0.0327405
73,0.133828,0.17742251,"('helpless', 'self-reliant')",0.133828,0.1774225,0.0435945
74,-0.34786597,-0.3874969,"('undedicated', 'dedicated')",-0.347866,-0.3874969,-0.0396309
75,0.8230306,0.827701,"('meek', 'impulsive')",0.8230306,0.827701,0.0046704
76,-1.1133418,-1.2150021,"('anxious', 'daring')",-1.1133418,-1.2150021,-0.1016603
