,utilization_male,utilization_female,tuple,average_male,average_female,female-male
0,0.3441033,0.22413504,"('unsociable', 'sociable')",0.3441033,0.224135,-0.1199683
1,0.7995384,0.9008848,"('unfriendly', 'friendly')",0.7995384,0.9008848,0.1013464
2,-0.017212696,0.15901348,"('unlikable', 'likable')",-0.0172127,0.1590135,0.1762262
3,1.0552696,1.1087189,"('repellent', 'pleasant')",1.0552696,1.1087189,0.0534493
4,-7.254888,-7.355641,"('disliked', 'liked')",-7.2548881,-7.3556409,-0.1007528
5,-1.0626562,-0.9381593,"('distant', 'outgoing')",-1.0626562,-0.9381593,0.1244969
6,-0.5637235,-0.4905978,"('distant', 'open')",-0.5637235,-0.4905978,0.0731257
7,1.4173225,1.4085786,"('insensitive', 'sensitive')",1.4173225,1.4085786,-0.0087439
8,0.77880794,0.84749603,"('unaffectionate', 'affectionate')",0.7788079,0.847496,0.0686881
9,1.0001978,1.1196036,"('unaffectionate', 'caring')",1.0001978,1.1196036,0.1194058
10,1.4533578,1.4053148,"('unsympathetic', 'sympathetic')",1.4533578,1.4053148,-0.048043
11,1.7591442,1.7787019,"('unhelpful', 'helpful')",1.7591442,1.7787019,0.0195577
12,-1.5022751,-1.4364742,"('unsupportive', 'supportive')",-1.5022751,-1.4364742,0.0658009
13,0.21653272,0.23487125,"('impolite', 'polite')",0.2165327,0.2348713,0.0183386
14,0.4647016,0.32754683,"('antisocial', 'social')",0.4647016,0.3275468,-0.1371548
15,0.2211593,0.22882852,"('boring', 'funny')",0.2211593,0.2288285,0.0076692
16,-0.9227914,-0.89638615,"('unpopular', 'popular')",-0.9227914,-0.8963861,0.0264053
17,-0.017262215,-0.0044111963,"('nasty', 'nice')",-0.0172622,-0.0044112,0.012851
18,-0.4424466,-0.26594812,"('disagreeable', 'welcoming')",-0.4424466,-0.2659481,0.1764985
19,-0.928726,-0.7920989,"('inhospitable', 'hospitable')",-0.928726,-0.7920989,0.1366271
20,0.73795944,0.5522788,"('rough', 'thoughtful')",0.7379594,0.5522788,-0.1856806
21,0.24292167,0.39392298,"('immoral', 'moral')",0.2429217,0.393923,0.1510013
22,0.055008534,0.057229508,"('untrustworthy', 'trustworthy')",0.0550085,0.0572295,0.002221
23,6.236982,6.3417616,"('insincere', 'sincere')",6.2369819,6.3417616,0.1047797
24,1.400519,1.4348668,"('dishonest', 'honest')",1.400519,1.4348668,0.0343478
25,0.70432067,0.8298363,"('egoistic', 'altruistic')",0.7043207,0.8298363,0.1255156
26,1.2442102,1.0032148,"('hardhearted', 'benevolent')",1.2442102,1.0032148,-0.2409954
27,1.634775,1.4627734,"('hardhearted', 'softhearted')",1.634775,1.4627734,-0.1720016
28,1.3398027,1.1432476,"('disloyal', 'loyal')",1.3398027,1.1432476,-0.1965551
29,-0.7825542,-0.9040993,"('unfair', 'fair')",-0.7825542,-0.9040993,-0.1215451
30,1.2112794,1.2144233,"('intolerant', 'tolerant')",1.2112794,1.2144233,0.0031439
31,-1.4599983,-1.4210874,"('evil', 'good')",-1.4599983,-1.4210874,0.0389109
32,1.1890947,1.0320458,"('unkind', 'kind')",1.1890947,1.0320458,-0.1570489
33,-0.6367269,-0.56947327,"('wrong', 'right')",-0.6367269,-0.5694733,0.0672536
34,4.1740074,4.4405317,"('mean', 'honorable')",4.1740074,4.4405317,0.2665243
35,-1.3069968,-1.5914131,"('corrupt', 'incorrupt')",-1.3069968,-1.5914131,-0.2844163
36,-1.1206062,-1.1626613,"('hostile', 'amicable')",-1.1206062,-1.1626613,-0.0420551
37,1.0703369,1.037276,"('fake', 'genuine')",1.0703369,1.037276,-0.0330609
38,-0.6640753,-0.55119026,"('untruthful', 'truthful')",-0.6640753,-0.5511903,0.112885
39,0.47766268,0.42528912,"('exploitative', 'cooperative')",0.4776627,0.4252891,-0.0523736
40,-1.0896329,-1.0865164,"('stingy', 'generous')",-1.0896329,-1.0865164,0.0031165
41,0.70681703,0.5137443,"('unforgiving', 'forgiving')",0.706817,0.5137443,-0.1930727
42,-1.9816325,-1.96372,"('unreliable', 'reliable')",-1.9816325,-1.96372,0.0179125
43,0.9826871,1.0720757,"('irresponsible', 'responsible')",0.9826871,1.0720757,0.0893886
44,-0.98255867,-1.1470457,"('prejudiced', 'unprejudiced')",-0.9825587,-1.1470457,-0.164487
45,0.5879593,0.3108064,"('incompetent', 'competent')",0.5879593,0.3108064,-0.2771529
46,-0.37435842,-0.37765852,"('uncompetitive', 'competitive')",-0.3743584,-0.3776585,-0.0033001
47,4.8517222,4.9301767,"('stupid', 'smart')",4.8517222,4.9301767,0.0784545
48,0.2750861,0.35293448,"('unintelligent', 'intelligent')",0.2750861,0.3529345,0.0778484
49,-0.3961675,-0.31072828,"('unable', 'able')",-0.3961675,-0.3107283,0.0854392
50,-0.47633782,-0.44472697,"('clumsy', 'skillful')",-0.4763378,-0.444727,0.0316108
51,0.7246018,0.7130796,"('uneducated', 'educated')",0.7246018,0.7130796,-0.0115222
52,-0.49814895,-0.52379256,"('irrational', 'rational')",-0.4981489,-0.5237926,-0.0256437
53,-0.3736304,-0.36656022,"('uncreative', 'creative')",-0.3736304,-0.3665602,0.0070702
54,0.5636374,0.65431666,"('incapable', 'capable')",0.5636374,0.6543167,0.0906793
55,1.0885878,1.1481582,"('incompetent', 'clever')",1.0885878,1.1481582,0.0595704
56,0.4586975,0.41281715,"('impractical', 'practical')",0.4586975,0.4128172,-0.0458803
57,-1.8747667,-2.0311213,"('unimaginative', 'imaginative')",-1.8747667,-2.0311213,-0.1563546
58,0.33504966,0.3196799,"('undiscriminating', 'discriminating')",0.3350497,0.3196799,-0.0153698
59,-0.36434537,-0.25929302,"('foolish', 'wise')",-0.3643454,-0.259293,0.1050524
60,0.6017745,0.76318264,"('inefficient', 'efficient')",0.6017745,0.7631826,0.1614081
61,0.21380012,0.045723632,"('illogical', 'logical')",0.2138001,0.0457236,-0.1680765
62,0.6188038,0.74329185,"('incompetent', 'brilliant')",0.6188038,0.7432919,0.1244881
63,0.16775323,0.25416315,"('unperceptive', 'insightful')",0.1677532,0.2541631,0.0864099
64,-5.96566,-5.838362,"('shy', 'confident')",-5.9656601,-5.8383622,0.1272979
65,0.7204546,0.89508885,"('insecure', 'secure')",0.7204546,0.8950889,0.1746343
66,-0.43793234,-0.5814319,"('inactive', 'active')",-0.4379323,-0.5814319,-0.1434996
67,-0.61128074,-0.61167467,"('doubtful', 'determined')",-0.6112807,-0.6116747,-0.000394
68,-1.0422539,-0.8964524,"('dependent', 'independent')",-1.0422539,-0.8964524,0.1458015
