,earthquake_male,earthquake_female,tuple,average_male,average_female,female-male
0,0.3622684,0.3516897,"('unsociable', 'sociable')",0.3622684,0.3516897,-0.0105787
1,0.9726809,0.724028,"('unfriendly', 'friendly')",0.9726809,0.724028,-0.2486529
2,0.34366134,0.35573068,"('unlikable', 'likable')",0.3436613,0.3557307,0.0120694
3,0.43180665,0.7286312,"('repellent', 'pleasant')",0.4318067,0.7286312,0.2968245
4,-6.7445855,-6.867641,"('disliked', 'liked')",-6.7445855,-6.867641,-0.1230555
5,-0.8674566,-1.0791478,"('distant', 'outgoing')",-0.8674566,-1.0791478,-0.2116912
6,-0.6335649,-0.84705997,"('distant', 'open')",-0.6335649,-0.84706,-0.2134951
7,1.1926707,1.3057938,"('insensitive', 'sensitive')",1.1926707,1.3057938,0.1131231
8,1.2279394,0.9764476,"('unaffectionate', 'affectionate')",1.2279394,0.9764476,-0.2514918
9,1.7487737,1.6072601,"('unaffectionate', 'caring')",1.7487737,1.6072601,-0.1415136
10,1.0080156,1.2138683,"('unsympathetic', 'sympathetic')",1.0080156,1.2138683,0.2058527
11,1.4948822,1.5615171,"('unhelpful', 'helpful')",1.4948822,1.5615171,0.0666349
12,-1.3575549,-1.3256285,"('unsupportive', 'supportive')",-1.3575549,-1.3256285,0.0319264
13,0.10997139,0.3281048,"('impolite', 'polite')",0.1099714,0.3281048,0.2181334
14,0.29542494,0.43001664,"('antisocial', 'social')",0.2954249,0.4300166,0.1345917
15,0.7510719,0.5107416,"('boring', 'funny')",0.7510719,0.5107416,-0.2403303
16,-1.1170048,-1.2361345,"('unpopular', 'popular')",-1.1170048,-1.2361345,-0.1191297
17,-0.4403218,-0.503868,"('nasty', 'nice')",-0.4403218,-0.503868,-0.0635462
18,-1.0047905,-0.9945153,"('disagreeable', 'welcoming')",-1.0047905,-0.9945153,0.0102752
19,-1.2764919,-1.3742161,"('inhospitable', 'hospitable')",-1.2764919,-1.3742161,-0.0977242
20,-0.104909845,-0.16221131,"('rough', 'thoughtful')",-0.1049098,-0.1622113,-0.0573015
21,0.14981973,0.5211167,"('immoral', 'moral')",0.1498197,0.5211167,0.371297
22,-0.37536645,-0.34194887,"('untrustworthy', 'trustworthy')",-0.3753664,-0.3419489,0.0334175
23,5.588118,5.6575356,"('insincere', 'sincere')",5.5881181,5.6575356,0.0694175
24,1.4607993,1.4408326,"('dishonest', 'honest')",1.4607993,1.4408326,-0.0199667
25,0.35545805,0.28660154,"('egoistic', 'altruistic')",0.3554581,0.2866015,-0.0688566
26,1.7463511,1.5050558,"('hardhearted', 'benevolent')",1.7463511,1.5050558,-0.2412953
27,1.2272087,1.0940251,"('hardhearted', 'softhearted')",1.2272087,1.0940251,-0.1331836
28,1.0968866,0.9157323,"('disloyal', 'loyal')",1.0968866,0.9157323,-0.1811543
29,-0.9131251,-1.1327018,"('unfair', 'fair')",-0.9131251,-1.1327018,-0.2195767
30,0.64386106,0.8190058,"('intolerant', 'tolerant')",0.6438611,0.8190058,0.1751447
31,-1.8734549,-2.1440115,"('evil', 'good')",-1.8734549,-2.1440115,-0.2705566
32,0.9665243,0.91400635,"('unkind', 'kind')",0.9665243,0.9140064,-0.0525179
33,-0.34523278,-0.49377665,"('wrong', 'right')",-0.3452328,-0.4937766,-0.1485438
34,3.494073,3.6086872,"('mean', 'honorable')",3.4940729,3.6086872,0.1146143
35,-1.0797265,-1.5176955,"('corrupt', 'incorrupt')",-1.0797265,-1.5176955,-0.437969
