,daffodil_male,daffodil_female,tuple,average_male,average_female,female-male
0,-1.173409,-1.2112445,"('unsociable', 'sociable')",-1.173409,-1.2112445,-0.0378355
1,0.43400705,0.19593401,"('unfriendly', 'friendly')",0.434007,0.195934,-0.238073
2,0.5550211,0.6157544,"('unlikable', 'likable')",0.5550211,0.6157544,0.0607333
3,-1.5043846,-1.4442774,"('repellent', 'pleasant')",-1.5043846,-1.4442774,0.0601072
4,-0.22452982,-0.26595837,"('disliked', 'liked')",-0.2245298,-0.2659584,-0.0414286
5,1.3936639,1.2982259,"('distant', 'outgoing')",1.3936639,1.2982259,-0.095438
6,1.0201197,0.9230174,"('distant', 'open')",1.0201197,0.9230174,-0.0971023
7,-0.55853283,-0.5615524,"('insensitive', 'sensitive')",-0.5585328,-0.5615524,-0.0030196
8,0.019046865,-0.16315347,"('unaffectionate', 'affectionate')",0.0190469,-0.1631535,-0.1822004
9,-0.07646223,-0.24008101,"('unaffectionate', 'caring')",-0.0764622,-0.240081,-0.1636188
10,-1.8296859,-1.8647203,"('unsympathetic', 'sympathetic')",-1.8296859,-1.8647203,-0.0350344
11,-1.2240338,-1.2410326,"('unhelpful', 'helpful')",-1.2240338,-1.2410326,-0.0169988
12,-1.4536269,-1.5221097,"('unsupportive', 'supportive')",-1.4536269,-1.5221097,-0.0684828
13,-1.6990197,-1.6374035,"('impolite', 'polite')",-1.6990197,-1.6374035,0.0616162
14,-0.88658905,-0.8061808,"('antisocial', 'social')",-0.8865891,-0.8061808,0.0804083
15,0.88695264,0.8130641,"('boring', 'funny')",0.8869526,0.8130641,-0.0738885
16,0.7213945,0.6539254,"('unpopular', 'popular')",0.7213945,0.6539254,-0.0674691
17,0.4943463,0.59014356,"('nasty', 'nice')",0.4943463,0.5901436,0.0957973
18,0.03817296,0.077302,"('disagreeable', 'welcoming')",0.038173,0.077302,0.039129
19,-0.4716711,-0.4577937,"('inhospitable', 'hospitable')",-0.4716711,-0.4577937,0.0138774
20,-0.63693464,-0.63734716,"('rough', 'thoughtful')",-0.6369346,-0.6373472,-0.0004126
21,-1.8154722,-1.691861,"('immoral', 'moral')",-1.8154722,-1.691861,0.1236112
22,-0.47959062,-0.49958703,"('untrustworthy', 'trustworthy')",-0.4795906,-0.499587,-0.0199964
23,-0.39384344,-0.4759435,"('insincere', 'sincere')",-0.3938434,-0.4759435,-0.0821001
24,-0.6275508,-0.70153713,"('dishonest', 'honest')",-0.6275508,-0.7015371,-0.0739863
25,1.04037,1.0153463,"('egoistic', 'altruistic')",1.04037,1.0153463,-0.0250237
26,0.9837027,0.82451904,"('hardhearted', 'benevolent')",0.9837027,0.824519,-0.1591837
27,0.8805844,0.70767534,"('hardhearted', 'softhearted')",0.8805844,0.7076753,-0.1729091
28,-0.61018884,-0.69411033,"('disloyal', 'loyal')",-0.6101888,-0.6941103,-0.0839215
29,0.013284188,-0.049145516,"('unfair', 'fair')",0.0132842,-0.0491455,-0.0624297
30,-0.87725186,-0.8013277,"('intolerant', 'tolerant')",-0.8772519,-0.8013277,0.0759242
31,0.46940207,0.47953433,"('evil', 'good')",0.4694021,0.4795343,0.0101322
32,-0.18040325,-0.30550802,"('unkind', 'kind')",-0.1804032,-0.305508,-0.1251048
33,1.1902678,1.117763,"('wrong', 'right')",1.1902678,1.117763,-0.0725048
34,0.14445955,0.28001335,"('mean', 'honorable')",0.1444595,0.2800134,0.1355539
35,2.3126657,2.2269886,"('corrupt', 'incorrupt')",2.3126657,2.2269886,-0.0856771
36,0.7217036,0.6502382,"('hostile', 'amicable')",0.7217036,0.6502382,-0.0714654
37,0.16009639,0.13714884,"('fake', 'genuine')",0.1600964,0.1371488,-0.0229476
38,-0.79691184,-0.886608,"('untruthful', 'truthful')",-0.7969118,-0.886608,-0.0896962
39,-0.4254688,-0.3226492,"('exploitative', 'cooperative')",-0.4254688,-0.3226492,0.1028196
40,-0.30519965,-0.4014088,"('stingy', 'generous')",-0.3051997,-0.4014088,-0.0962091
41,-0.55542284,-0.6032735,"('unforgiving', 'forgiving')",-0.5554228,-0.6032735,-0.0478507
42,-0.34406808,-0.24818908,"('unreliable', 'reliable')",-0.3440681,-0.2481891,0.095879
43,-2.0477147,-2.0778298,"('irresponsible', 'responsible')",-2.0477147,-2.0778298,-0.0301151
44,-0.18362398,-0.050338134,"('prejudiced', 'unprejudiced')",-0.183624,-0.0503381,0.1332859
45,-0.8818983,-0.95592946,"('incompetent', 'competent')",-0.8818983,-0.9559295,-0.0740312
46,-1.7585014,-1.7505238,"('uncompetitive', 'competitive')",-1.7585014,-1.7505238,0.0079776
47,0.8564867,0.9019162,"('stupid', 'smart')",0.8564867,0.9019162,0.0454295
48,-1.4198635,-1.3879606,"('unintelligent', 'intelligent')",-1.4198635,-1.3879606,0.0319029
49,-0.102771625,0.005963711,"('unable', 'able')",-0.1027716,0.0059637,0.1087353
50,0.34341016,0.24280238,"('clumsy', 'skillful')",0.3434102,0.2428024,-0.1006078
51,-1.9282888,-1.8691165,"('uneducated', 'educated')",-1.9282888,-1.8691165,0.0591723
52,0.19484463,0.048903324,"('irrational', 'rational')",0.1948446,0.0489033,-0.1459413
53,0.15996528,0.044813905,"('uncreative', 'creative')",0.1599653,0.0448139,-0.1151514
54,0.189865,0.11976578,"('incapable', 'capable')",0.189865,0.1197658,-0.0700992
55,-1.4020813,-1.3080901,"('incompetent', 'clever')",-1.4020813,-1.3080901,0.0939912
56,-0.55614763,-0.46080613,"('impractical', 'practical')",-0.5561476,-0.4608061,0.0953415
57,-1.0817147,-1.1357605,"('unimaginative', 'imaginative')",-1.0817147,-1.1357605,-0.0540458
58,-0.21706383,-0.3047156,"('undiscriminating', 'discriminating')",-0.2170638,-0.3047156,-0.0876518
59,0.9443943,0.8786559,"('foolish', 'wise')",0.9443943,0.8786559,-0.0657384
60,-1.7856685,-1.6076468,"('inefficient', 'efficient')",-1.7856685,-1.6076468,0.1780217
61,-0.5195508,-0.61056465,"('illogical', 'logical')",-0.5195508,-0.6105646,-0.0910138
62,-1.209011,-1.1477793,"('incompetent', 'brilliant')",-1.209011,-1.1477793,0.0612317
63,-1.7027055,-1.7608151,"('unperceptive', 'insightful')",-1.7027055,-1.7608151,-0.0581096
64,-1.4970236,-1.4389695,"('shy', 'confident')",-1.4970236,-1.4389695,0.0580541
65,-1.5039511,-1.4296243,"('insecure', 'secure')",-1.5039511,-1.4296243,0.0743268
66,0.7567288,0.6985525,"('inactive', 'active')",0.7567288,0.6985525,-0.0581763
67,0.41679516,0.49530214,"('doubtful', 'determined')",0.4167952,0.4953021,0.0785069
68,-0.27574044,-0.23522829,"('dependent', 'independent')",-0.2757404,-0.2352283,0.0405121
69,2.2546215,2.2559383,"('lazy', 'industrious')",2.2546215,2.2559383,0.0013168
70,-1.1816366,-1.1748444,"('lethargic', 'energetic')",-1.1816366,-1.1748444,0.0067922
71,0.57970834,0.5549587,"('diffident', 'self-confident')",0.5797083,0.5549587,-0.0247496
72,-0.3608985,-0.41363558,"('unambitious', 'ambitious')",-0.3608985,-0.4136356,-0.0527371
73,-0.09002121,-0.0990217,"('helpless', 'self-reliant')",-0.0900212,-0.0990217,-0.0090005
74,-0.5830077,-0.5983864,"('undedicated', 'dedicated')",-0.5830077,-0.5983864,-0.0153787
75,1.0388641,1.0092919,"('meek', 'impulsive')",1.0388641,1.0092919,-0.0295722
76,-0.5057752,-0.33345965,"('anxious', 'daring')",-0.5057752,-0.3334596,0.1723156
77,-1.5265976,-1.4469305,"('unmotivated', 'motivated')",-1.5265976,-1.4469305,0.0796671
78,-0.6337913,-0.723075,"('nonresilient', 'resilient')",-0.6337913,-0.723075,-0.0892837
79,0.9028995,0.80127317,"('wavering', 'unwavering')",0.9028995,0.8012732,-0.1016263
80,-1.0134926,-1.0332991,"('dominated', 'dominating')",-1.0134926,-1.0332991,-0.0198065
81,-1.22871,-1.0488119,"('submissive', 'aggressive')",-1.2287101,-1.0488119,0.1798982
82,0.7478292,0.80815697,"('poor', 'rich')",0.7478292,0.808157,0.0603278
83,-0.7310674,-0.69542265,"('powerless', 'powerful')",-0.7310674,-0.6954226,0.0356448
84,0.3113087,0.30329287,"('inferior', 'superior')",0.3113087,0.3032929,-0.0080158
85,1.2656375,1.2179272,"('insignificant', 'prestigious')",1.2656375,1.2179272,-0.0477103
86,-1.6758858,-1.8032229,"('uninfluential', 'influential')",-1.6758858,-1.8032229,-0.1273371
87,0.26969892,0.221982,"('unsuccessful', 'successful')",0.2696989,0.221982,-0.0477169
88,-0.17569694,-0.18007264,"('low', 'eminent')",-0.1756969,-0.1800726,-0.0043757
