,maid_male,maid_female,tuple,average_male,average_female,female-male
0,0.5590206,0.26741683,"('unsociable', 'sociable')",0.5590206,0.2674168,-0.2916038
1,1.1499195,1.117382,"('unfriendly', 'friendly')",1.1499195,1.117382,-0.0325375
2,0.4235089,0.5600586,"('unlikable', 'likable')",0.4235089,0.5600586,0.1365497
3,0.8975925,0.74129957,"('repellent', 'pleasant')",0.8975925,0.7412996,-0.1562929
4,-6.9267397,-7.0226583,"('disliked', 'liked')",-6.9267397,-7.0226583,-0.0959186
5,-0.51947707,-0.38696295,"('distant', 'outgoing')",-0.5194771,-0.386963,0.1325141
6,-0.21849427,0.014722545,"('distant', 'open')",-0.2184943,0.0147225,0.2332168
7,0.87411404,0.82093936,"('insensitive', 'sensitive')",0.874114,0.8209394,-0.0531746
8,0.7850525,0.8873461,"('unaffectionate', 'affectionate')",0.7850525,0.8873461,0.1022936
9,1.515354,1.727522,"('unaffectionate', 'caring')",1.515354,1.727522,0.212168
10,1.3744167,1.2431943,"('unsympathetic', 'sympathetic')",1.3744167,1.2431943,-0.1312224
11,2.2119496,2.1216323,"('unhelpful', 'helpful')",2.2119496,2.1216323,-0.0903173
12,-1.4225111,-1.4573472,"('unsupportive', 'supportive')",-1.4225111,-1.4573472,-0.0348361
13,0.94221956,0.68413615,"('impolite', 'polite')",0.9422196,0.6841362,-0.2580834
14,-0.060341675,-0.4215728,"('antisocial', 'social')",-0.0603417,-0.4215728,-0.3612311
15,0.74820673,0.7151088,"('boring', 'funny')",0.7482067,0.7151088,-0.0330979
16,-0.08613704,0.08478199,"('unpopular', 'popular')",-0.086137,0.084782,0.170919
17,-0.08356645,0.005627582,"('nasty', 'nice')",-0.0835664,0.0056276,0.089194
18,-0.78945816,-1.0074192,"('disagreeable', 'welcoming')",-0.7894582,-1.0074192,-0.217961
19,-0.7436572,-0.530109,"('inhospitable', 'hospitable')",-0.7436572,-0.530109,0.2135482
20,0.69811827,0.51461643,"('rough', 'thoughtful')",0.6981183,0.5146164,-0.1835019
21,0.2048711,0.019443203,"('immoral', 'moral')",0.2048711,0.0194432,-0.1854279
22,-0.29471835,-0.58288604,"('untrustworthy', 'trustworthy')",-0.2947184,-0.582886,-0.2881676
23,6.340867,6.3263907,"('insincere', 'sincere')",6.340867,6.3263907,-0.0144763
24,1.7070636,1.6059344,"('dishonest', 'honest')",1.7070636,1.6059344,-0.1011292
25,0.35115248,0.30860424,"('egoistic', 'altruistic')",0.3511525,0.3086042,-0.0425483
26,0.3059566,0.38777384,"('hardhearted', 'benevolent')",0.3059566,0.3877738,0.0818172
27,1.3473228,1.3133609,"('hardhearted', 'softhearted')",1.3473228,1.3133609,-0.0339619
28,1.0839671,1.0712903,"('disloyal', 'loyal')",1.0839671,1.0712903,-0.0126768
29,-0.7065386,-0.82585645,"('unfair', 'fair')",-0.7065386,-0.8258564,-0.1193178
30,1.2367581,1.1328233,"('intolerant', 'tolerant')",1.2367581,1.1328233,-0.1039348
31,-2.056107,-1.8405793,"('evil', 'good')",-2.056107,-1.8405793,0.2155277
32,1.4494483,1.4151493,"('unkind', 'kind')",1.4494483,1.4151493,-0.034299
33,-0.6397213,-0.5066253,"('wrong', 'right')",-0.6397213,-0.5066253,0.133096
34,4.703838,4.9745197,"('mean', 'honorable')",4.7038379,4.9745197,0.2706818
