,tellabs_male,tellabs_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.26723355,0.109129846,"('unsociable', 'sociable')",-0.3584146,-0.5875991,-0.0455905,-0.2392346,-0.1936441
1,-1.3651605,-1.4502034,"('unfriendly', 'friendly')",1.6306722,1.467507,0.1327559,0.0086518,-0.1241041
2,0.56903636,0.5595709,"('unlikable', 'likable')",0.72053605,0.82063675,0.6447862,0.6901038,0.0453176
3,-0.15461051,-0.12290809,"('repellent', 'pleasant')",0.16600527,0.18152255,0.0056974,0.0293072,0.0236098
4,-0.71768725,-0.7007237,"('disliked', 'liked')",-6.081232,-6.0837564,-3.3994596,-3.39224,0.0072196
5,-1.6761792,-1.605323,"('distant', 'outgoing')",-0.25821385,-0.22502674,-0.9671965,-0.9151748,0.0520217
6,-1.9921199,-1.9116327,"('distant', 'open')",0.20619836,0.22355548,-0.8929608,-0.8440386,0.0489222
7,0.28288093,0.34880352,"('insensitive', 'sensitive')",0.24623004,0.2830374,0.2645555,0.3159205,0.051365
8,-1.4324505,-1.43062,"('unaffectionate', 'affectionate')",0.7719251,0.70206714,-0.3302627,-0.3642764,-0.0340137
9,-1.3464383,-1.3359696,"('unaffectionate', 'caring')",0.970661,0.971898,-0.1878887,-0.1820358,0.0058529
10,-0.009173762,-0.034088545,"('unsympathetic', 'sympathetic')",-0.41994283,-0.43214414,-0.2145583,-0.2331163,-0.018558
11,0.4172017,0.36580092,"('unhelpful', 'helpful')",1.66203,1.7683947,1.0396159,1.0670978,0.0274819
12,-0.19960237,-0.08083111,"('unsupportive', 'supportive')",-2.0712814,-1.9956638,-1.1354419,-1.0382475,0.0971944
13,0.69841915,0.5655947,"('impolite', 'polite')",-0.3188591,-0.31103635,0.18978,0.1272792,-0.0625008
14,1.2427751,1.2078481,"('antisocial', 'social')",-0.47019863,-0.5685784,0.3862882,0.3196348,-0.0666534
15,-0.121664464,-0.21706039,"('boring', 'funny')",0.5848668,0.5100904,0.2316012,0.146515,-0.0850862
16,-0.6918991,-0.64405674,"('unpopular', 'popular')",0.64549917,0.61906046,-0.0232,-0.0124981,0.0107019
17,-0.26709226,-0.18235677,"('nasty', 'nice')",-0.482515,-0.4644899,-0.3748036,-0.3234233,0.0513803
18,-0.33032623,-0.2650603,"('disagreeable', 'welcoming')",-0.401865,-0.40266967,-0.3660956,-0.333865,0.0322306
19,-2.0270653,-1.9609559,"('inhospitable', 'hospitable')",-0.32794175,-0.2413382,-1.1775035,-1.1011471,0.0763564
20,0.23055924,0.24720615,"('rough', 'thoughtful')",1.1082772,1.0676266,0.6694182,0.6574163,-0.0120019
21,1.3396049,1.2420789,"('immoral', 'moral')",-0.547468,-0.5436924,0.3960684,0.3491932,-0.0468752
22,0.7174759,0.6689018,"('untrustworthy', 'trustworthy')",-0.9672818,-1.036022,-0.124903,-0.1835601,-0.0586571
23,0.23144667,0.16167586,"('insincere', 'sincere')",5.440042,5.3943653,2.8357444,2.7780206,-0.0577238
24,0.3489826,0.27407742,"('dishonest', 'honest')",0.8052574,0.7792916,0.57712,0.5266845,-0.0504355
25,-0.4450165,-0.43849832,"('egoistic', 'altruistic')",1.2941417,1.1521807,0.4245626,0.3568412,-0.0677214
26,-0.2621753,-0.37913024,"('hardhearted', 'benevolent')",1.4042562,1.1903392,0.5710405,0.4056045,-0.165436
27,-0.39406416,-0.26562315,"('hardhearted', 'softhearted')",1.3307256,1.2760727,0.4683307,0.5052248,0.0368941
28,-0.49493003,-0.56829375,"('disloyal', 'loyal')",0.9949278,0.8938745,0.2499989,0.1627904,-0.0872085
29,-0.54995525,-0.56153077,"('unfair', 'fair')",-0.40773046,-0.63117504,-0.4788429,-0.5963529,-0.11751
30,1.6637856,1.6045873,"('intolerant', 'tolerant')",1.4348873,1.434543,1.5493364,1.5195651,-0.0297713
31,-1.85024,-1.7415328,"('evil', 'good')",-0.9216022,-1.0392805,-1.3859211,-1.3904066,-0.0044855
32,0.9261763,0.84779865,"('unkind', 'kind')",0.86078715,0.6986724,0.8934817,0.7732356,-0.1202461
33,-0.2641262,-0.3025437,"('wrong', 'right')",-0.5619559,-0.66767186,-0.4130411,-0.4851078,-0.0720667
34,0.12545928,0.19505149,"('mean', 'honorable')",6.0707607,6.2304673,3.09811,3.2127595,0.1146495
35,-0.9515618,-0.94515884,"('corrupt', 'incorrupt')",-0.22365783,-0.37815496,-0.5876098,-0.6616569,-0.0740471
36,-2.1783357,-2.1745572,"('hostile', 'amicable')",0.2599401,0.012885895,-0.9591978,-1.0808357,-0.1216379
37,0.22765079,0.22726947,"('fake', 'genuine')",0.34914,0.33458313,0.2883954,0.2809263,-0.0074691
38,-0.26717448,-0.29017898,"('untruthful', 'truthful')",-0.025336795,0.101156,-0.1462556,-0.0945115,0.0517441
39,0.9633064,0.9041661,"('exploitative', 'cooperative')",0.18079942,0.16779311,0.572053,0.5359796,-0.0360734
40,-0.034202438,-0.0027072057,"('stingy', 'generous')",-1.292157,-1.4229313,-0.6631798,-0.7128193,-0.0496395
41,0.6568598,0.69392896,"('unforgiving', 'forgiving')",0.27685934,0.19505522,0.4668596,0.4444921,-0.0223675
42,0.40882948,0.49509805,"('unreliable', 'reliable')",-3.0214994,-2.8776727,-1.306335,-1.1912873,0.1150477
43,0.33684903,0.29894173,"('irresponsible', 'responsible')",0.37774304,0.3417405,0.357296,0.3203411,-0.0369549
