,rail_male,rail_female,tuple,average_male,average_female,female-male
0,-0.16212468,-0.27397072,"('unsociable', 'sociable')",-0.1621247,-0.2739707,-0.111846
1,1.7454542,1.7723899,"('unfriendly', 'friendly')",1.7454542,1.7723899,0.0269357
2,0.6058415,0.61877173,"('unlikable', 'likable')",0.6058415,0.6187717,0.0129302
3,-0.056676537,-0.0035105199,"('repellent', 'pleasant')",-0.0566765,-0.0035105,0.053166
4,-6.559823,-6.6563287,"('disliked', 'liked')",-6.559823,-6.6563287,-0.0965057
5,0.036982402,0.09515533,"('distant', 'outgoing')",0.0369824,0.0951553,0.0581729
6,0.57517,0.6399501,"('distant', 'open')",0.57517,0.6399501,0.0647801
7,1.024903,0.9876039,"('insensitive', 'sensitive')",1.0249031,0.9876039,-0.0372992
8,1.5460731,1.5255133,"('unaffectionate', 'affectionate')",1.5460731,1.5255133,-0.0205598
9,2.3219035,2.2957084,"('unaffectionate', 'caring')",2.3219035,2.2957084,-0.0261951
10,0.042898,0.009096611,"('unsympathetic', 'sympathetic')",0.042898,0.0090966,-0.0338014
11,1.7552506,1.7150377,"('unhelpful', 'helpful')",1.7552506,1.7150377,-0.0402129
12,-1.0555035,-1.122252,"('unsupportive', 'supportive')",-1.0555035,-1.122252,-0.0667485
13,-0.4419896,-0.5467165,"('impolite', 'polite')",-0.4419896,-0.5467165,-0.1047269
14,0.22441904,0.14179356,"('antisocial', 'social')",0.224419,0.1417936,-0.0826254
15,0.47981003,0.39239585,"('boring', 'funny')",0.47981,0.3923959,-0.0874141
16,0.25226682,0.19580576,"('unpopular', 'popular')",0.2522668,0.1958058,-0.056461
17,0.1738179,0.12860993,"('nasty', 'nice')",0.1738179,0.1286099,-0.045208
18,-0.54290366,-0.5658709,"('disagreeable', 'welcoming')",-0.5429037,-0.5658709,-0.0229672
19,-0.0912427,-0.06427615,"('inhospitable', 'hospitable')",-0.0912427,-0.0642762,0.0269665
20,-0.052821353,-0.042585757,"('rough', 'thoughtful')",-0.0528214,-0.0425858,0.0102356
