,payee_male,payee_female,tuple,average_male,average_female,female-male
0,1.0067466,0.8700447,"('unsociable', 'sociable')",1.0067466,0.8700447,-0.1367019
1,-0.24117686,-0.33109114,"('unfriendly', 'friendly')",-0.2411769,-0.3310911,-0.0899142
2,0.70294476,0.7900524,"('unlikable', 'likable')",0.7029448,0.7900524,0.0871076
3,-0.67936754,-0.62731844,"('repellent', 'pleasant')",-0.6793675,-0.6273184,0.0520491
4,-1.3725438,-1.5174117,"('disliked', 'liked')",-1.3725438,-1.5174117,-0.1448679
5,-1.0598835,-1.0404037,"('distant', 'outgoing')",-1.0598835,-1.0404037,0.0194798
6,-1.2359881,-1.2479069,"('distant', 'open')",-1.2359881,-1.2479069,-0.0119188
7,0.06497444,0.1212879,"('insensitive', 'sensitive')",0.0649744,0.1212879,0.0563135
8,-0.6827077,-0.652142,"('unaffectionate', 'affectionate')",-0.6827077,-0.652142,0.0305657
9,-0.1291661,-0.108932406,"('unaffectionate', 'caring')",-0.1291661,-0.1089324,0.0202337
10,-0.21789394,-0.14597455,"('unsympathetic', 'sympathetic')",-0.2178939,-0.1459745,0.0719194
11,1.5258982,1.6591299,"('unhelpful', 'helpful')",1.5258982,1.6591299,0.1332317
12,-0.69842875,-0.63310146,"('unsupportive', 'supportive')",-0.6984288,-0.6331015,0.0653273
13,0.14119874,0.23117663,"('impolite', 'polite')",0.1411987,0.2311766,0.0899779
14,0.89881146,0.97045547,"('antisocial', 'social')",0.8988115,0.9704555,0.071644
15,0.810431,0.65083474,"('boring', 'funny')",0.810431,0.6508347,-0.1595963
16,-0.22970611,-0.330046,"('unpopular', 'popular')",-0.2297061,-0.330046,-0.1003399
17,0.51396984,0.60298693,"('nasty', 'nice')",0.5139698,0.6029869,0.0890171
18,-1.1856307,-1.0637953,"('disagreeable', 'welcoming')",-1.1856307,-1.0637953,0.1218354
19,-0.7474418,-0.83593535,"('inhospitable', 'hospitable')",-0.7474418,-0.8359354,-0.0884936
20,0.12964702,0.13371271,"('rough', 'thoughtful')",0.129647,0.1337127,0.0040657
21,0.014486862,0.15467507,"('immoral', 'moral')",0.0144869,0.1546751,0.1401882
22,-0.74990517,-0.65665513,"('untrustworthy', 'trustworthy')",-0.7499052,-0.6566551,0.0932501
23,2.5654094,2.626004,"('insincere', 'sincere')",2.5654094,2.626004,0.0605946
24,0.0261105,0.08125462,"('dishonest', 'honest')",0.0261105,0.0812546,0.0551441
25,0.638629,0.45440322,"('egoistic', 'altruistic')",0.638629,0.4544032,-0.1842258
26,1.4394213,1.29789,"('hardhearted', 'benevolent')",1.4394213,1.2978899,-0.1415314
27,0.18928434,0.17900172,"('hardhearted', 'softhearted')",0.1892843,0.1790017,-0.0102826
28,0.68360734,0.5880139,"('disloyal', 'loyal')",0.6836073,0.5880139,-0.0955934
29,-1.4266233,-1.4168373,"('unfair', 'fair')",-1.4266233,-1.4168373,0.009786
30,0.5517739,0.63724786,"('intolerant', 'tolerant')",0.5517739,0.6372479,0.085474
31,-1.73282,-1.824347,"('evil', 'good')",-1.73282,-1.824347,-0.091527
32,0.96735454,1.0113177,"('unkind', 'kind')",0.9673545,1.0113177,0.0439632
33,-0.34372827,-0.35344306,"('wrong', 'right')",-0.3437283,-0.3534431,-0.0097148
34,2.0786104,2.379761,"('mean', 'honorable')",2.0786104,2.379761,0.3011506
35,-0.69256663,-0.9341945,"('corrupt', 'incorrupt')",-0.6925666,-0.9341945,-0.2416279
36,0.12298103,-0.17083254,"('hostile', 'amicable')",0.122981,-0.1708325,-0.2938135
37,-0.08702818,-0.12720805,"('fake', 'genuine')",-0.0870282,-0.1272081,-0.0401799
38,0.3658622,0.4675963,"('untruthful', 'truthful')",0.3658622,0.4675963,0.1017341
39,-0.29031783,-0.15746434,"('exploitative', 'cooperative')",-0.2903178,-0.1574643,0.1328535
40,-1.2498626,-1.3435843,"('stingy', 'generous')",-1.2498626,-1.3435843,-0.0937217
41,1.1652217,1.1968718,"('unforgiving', 'forgiving')",1.1652217,1.1968718,0.0316501
42,0.0072906427,-0.04114513,"('unreliable', 'reliable')",0.0072906,-0.0411451,-0.0484357
43,0.13342717,0.28089485,"('irresponsible', 'responsible')",0.1334272,0.2808948,0.1474676
44,-0.92387575,-0.8081944,"('prejudiced', 'unprejudiced')",-0.9238757,-0.8081944,0.1156813
45,-0.0464709,-0.07476479,"('incompetent', 'competent')",-0.0464709,-0.0747648,-0.0282939
46,-0.029305696,0.021548074,"('uncompetitive', 'competitive')",-0.0293057,0.0215481,0.0508538
47,2.4671602,2.6023753,"('stupid', 'smart')",2.4671602,2.6023753,0.1352151
48,-0.9733125,-0.9826865,"('unintelligent', 'intelligent')",-0.9733125,-0.9826865,-0.009374
49,-0.39634186,-0.25925004,"('unable', 'able')",-0.3963419,-0.25925,0.1370919
50,0.2165866,0.1805307,"('clumsy', 'skillful')",0.2165866,0.1805307,-0.0360559
51,-0.051573433,-0.16416034,"('uneducated', 'educated')",-0.0515734,-0.1641603,-0.1125869
52,0.2286467,-0.0063983146,"('irrational', 'rational')",0.2286467,-0.0063983,-0.235045
53,-1.1416787,-1.2192522,"('uncreative', 'creative')",-1.1416787,-1.2192522,-0.0775735
54,0.5689947,0.50525296,"('incapable', 'capable')",0.5689947,0.505253,-0.0637417
55,-0.82996315,-0.7336233,"('incompetent', 'clever')",-0.8299631,-0.7336233,0.0963398
56,1.2077419,1.3040372,"('impractical', 'practical')",1.2077419,1.3040372,0.0962953
57,-0.5366422,-0.7033254,"('unimaginative', 'imaginative')",-0.5366422,-0.7033254,-0.1666832
