,toothpick_male,toothpick_female,tuple,average_male,average_female,female-male
0,-0.0032312106,-0.10375143,"('unsociable', 'sociable')",-0.0032312,-0.1037514,-0.1005202
1,0.055272426,-0.074730895,"('unfriendly', 'friendly')",0.0552724,-0.0747309,-0.1300033
2,0.19023581,0.26757592,"('unlikable', 'likable')",0.1902358,0.2675759,0.0773401
3,-1.0735592,-0.82212245,"('repellent', 'pleasant')",-1.0735592,-0.8221225,0.2514367
4,-1.5349203,-1.5820403,"('disliked', 'liked')",-1.5349203,-1.5820403,-0.04712
5,-0.029927608,0.022869293,"('distant', 'outgoing')",-0.0299276,0.0228693,0.0527969
6,-0.2886701,-0.22878227,"('distant', 'open')",-0.2886701,-0.2287823,0.0598878
7,-1.0096927,-0.94862,"('insensitive', 'sensitive')",-1.0096927,-0.94862,0.0610727
8,-0.30577427,-0.39707953,"('unaffectionate', 'affectionate')",-0.3057743,-0.3970795,-0.0913052
9,-0.0938748,-0.1742308,"('unaffectionate', 'caring')",-0.0938748,-0.1742308,-0.080356
10,-0.756935,-0.73255724,"('unsympathetic', 'sympathetic')",-0.756935,-0.7325572,0.0243778
11,0.3311765,0.35914877,"('unhelpful', 'helpful')",0.3311765,0.3591488,0.0279723
12,-0.9761612,-0.9816491,"('unsupportive', 'supportive')",-0.9761612,-0.9816491,-0.0054879
13,-0.017634781,-0.18760578,"('impolite', 'polite')",-0.0176348,-0.1876058,-0.169971
14,-0.80921763,-0.9644712,"('antisocial', 'social')",-0.8092176,-0.9644712,-0.1552536
15,1.138875,1.011173,"('boring', 'funny')",1.138875,1.011173,-0.127702
16,0.37925634,0.3915694,"('unpopular', 'popular')",0.3792563,0.3915694,0.0123131
17,-0.17970653,-0.054477695,"('nasty', 'nice')",-0.1797065,-0.0544777,0.1252288
18,-1.1047709,-0.99601996,"('disagreeable', 'welcoming')",-1.1047709,-0.99602,0.1087509
19,-0.6539817,-0.42907536,"('inhospitable', 'hospitable')",-0.6539817,-0.4290754,0.2249063
20,-0.7937805,-0.68736833,"('rough', 'thoughtful')",-0.7937805,-0.6873683,0.1064122
21,-0.16235542,0.05998119,"('immoral', 'moral')",-0.1623554,0.0599812,0.2223366
22,-0.37096176,-0.43294853,"('untrustworthy', 'trustworthy')",-0.3709618,-0.4329485,-0.0619867
23,1.4263648,1.4344212,"('insincere', 'sincere')",1.4263648,1.4344212,0.0080564
24,-0.28093714,-0.31461537,"('dishonest', 'honest')",-0.2809371,-0.3146154,-0.0336783
25,-0.21895038,-0.14726615,"('egoistic', 'altruistic')",-0.2189504,-0.1472661,0.0716843
26,0.3934336,0.09100975,"('hardhearted', 'benevolent')",0.3934336,0.0910098,-0.3024238
27,-0.13054824,-0.040967487,"('hardhearted', 'softhearted')",-0.1305482,-0.0409675,0.0895807
28,-0.68054533,-0.7967353,"('disloyal', 'loyal')",-0.6805453,-0.7967353,-0.11619
29,-0.38554198,-0.34997454,"('unfair', 'fair')",-0.385542,-0.3499745,0.0355675
30,-0.62576574,-0.5251063,"('intolerant', 'tolerant')",-0.6257657,-0.5251063,0.1006594
31,-0.7901065,-0.8191533,"('evil', 'good')",-0.7901065,-0.8191533,-0.0290468
32,0.3092584,0.22875646,"('unkind', 'kind')",0.3092584,0.2287565,-0.0805019
33,0.3535133,0.3194731,"('wrong', 'right')",0.3535133,0.3194731,-0.0340402
34,1.3499552,1.6400744,"('mean', 'honorable')",1.3499552,1.6400744,0.2901192
35,-0.22910991,-0.31542307,"('corrupt', 'incorrupt')",-0.2291099,-0.3154231,-0.0863132
36,-0.33895317,-0.40213147,"('hostile', 'amicable')",-0.3389532,-0.4021315,-0.0631783
37,-0.9041321,-0.8670517,"('fake', 'genuine')",-0.9041321,-0.8670517,0.0370804
38,0.10024804,0.08638823,"('untruthful', 'truthful')",0.100248,0.0863882,-0.0138598
39,-0.49878114,-0.3468075,"('exploitative', 'cooperative')",-0.4987811,-0.3468075,0.1519736
40,-1.8886235,-1.9828805,"('stingy', 'generous')",-1.8886235,-1.9828805,-0.094257
41,-0.72366256,-0.767456,"('unforgiving', 'forgiving')",-0.7236626,-0.767456,-0.0437934
42,-0.25106853,-0.15464717,"('unreliable', 'reliable')",-0.2510685,-0.1546472,0.0964213
43,-0.2449912,-0.28549436,"('irresponsible', 'responsible')",-0.2449912,-0.2854944,-0.0405032
44,0.50617933,0.5773,"('prejudiced', 'unprejudiced')",0.5061793,0.5773,0.0711207
45,0.25154328,0.13195397,"('incompetent', 'competent')",0.2515433,0.131954,-0.1195893
46,-0.37562317,-0.34750494,"('uncompetitive', 'competitive')",-0.3756232,-0.3475049,0.0281183
47,2.415996,2.4098148,"('stupid', 'smart')",2.4159961,2.4098148,-0.0061813
48,-0.96797335,-0.9218023,"('unintelligent', 'intelligent')",-0.9679734,-0.9218023,0.0461711
49,-0.4642095,-0.22333723,"('unable', 'able')",-0.4642095,-0.2233372,0.2408723
50,0.5484556,0.5660801,"('clumsy', 'skillful')",0.5484556,0.5660801,0.0176245
51,-0.77610123,-0.739808,"('uneducated', 'educated')",-0.7761012,-0.739808,0.0362932
52,0.45590234,0.3124268,"('irrational', 'rational')",0.4559023,0.3124268,-0.1434755
53,-0.8526676,-0.94036216,"('uncreative', 'creative')",-0.8526676,-0.9403622,-0.0876946
54,0.48977685,0.5189222,"('incapable', 'capable')",0.4897768,0.5189222,0.0291454
55,-0.35025382,-0.24424455,"('incompetent', 'clever')",-0.3502538,-0.2442445,0.1060093
56,0.41938493,0.38962665,"('impractical', 'practical')",0.4193849,0.3896267,-0.0297582
57,-1.6152307,-1.8120675,"('unimaginative', 'imaginative')",-1.6152307,-1.8120675,-0.1968368
58,0.07025208,-0.0679641,"('undiscriminating', 'discriminating')",0.0702521,-0.0679641,-0.1382162
59,0.54211146,0.41566637,"('foolish', 'wise')",0.5421115,0.4156664,-0.1264451
60,0.12817563,0.29722646,"('inefficient', 'efficient')",0.1281756,0.2972265,0.1690509
61,-0.15724842,-0.1836525,"('illogical', 'logical')",-0.1572484,-0.1836525,-0.0264041
62,-0.0024472922,0.10372888,"('incompetent', 'brilliant')",-0.0024473,0.1037289,0.1061762
