,sandpaper_male,sandpaper_female,tuple,average_male,average_female,female-male
0,0.38276908,0.17733547,"('unsociable', 'sociable')",0.3827691,0.1773355,-0.2054336
1,0.5386557,0.27580547,"('unfriendly', 'friendly')",0.5386557,0.2758055,-0.2628502
2,0.8140718,0.66813296,"('unlikable', 'likable')",0.8140718,0.668133,-0.1459388
3,0.14901097,0.29223317,"('repellent', 'pleasant')",0.149011,0.2922332,0.1432222
4,-4.264897,-4.298489,"('disliked', 'liked')",-4.2648969,-4.2984891,-0.0335922
5,-1.0380409,-0.9876659,"('distant', 'outgoing')",-1.0380409,-0.9876659,0.050375
6,-0.9859992,-0.9402953,"('distant', 'open')",-0.9859992,-0.9402953,0.0457039
7,0.5816953,0.69271547,"('insensitive', 'sensitive')",0.5816953,0.6927155,0.1110202
8,0.288037,0.15357563,"('unaffectionate', 'affectionate')",0.288037,0.1535756,-0.1344614
9,0.83317876,0.87011665,"('unaffectionate', 'caring')",0.8331788,0.8701167,0.0369379
10,0.68063134,0.6833465,"('unsympathetic', 'sympathetic')",0.6806313,0.6833465,0.0027152
11,1.7008574,1.7723,"('unhelpful', 'helpful')",1.7008574,1.7723,0.0714426
12,-0.576207,-0.4725644,"('unsupportive', 'supportive')",-0.576207,-0.4725644,0.1036426
13,0.49367523,0.31961304,"('impolite', 'polite')",0.4936752,0.319613,-0.1740622
14,0.6440929,0.44035947,"('antisocial', 'social')",0.6440929,0.4403595,-0.2037334
15,0.37639368,0.18417975,"('boring', 'funny')",0.3763937,0.1841798,-0.1922139
16,-0.40733543,-0.4417085,"('unpopular', 'popular')",-0.4073354,-0.4417085,-0.0343731
17,-0.46629804,-0.4770527,"('nasty', 'nice')",-0.466298,-0.4770527,-0.0107547
18,-0.57731247,-0.66751903,"('disagreeable', 'welcoming')",-0.5773125,-0.667519,-0.0902065
19,-1.3667645,-1.2598232,"('inhospitable', 'hospitable')",-1.3667645,-1.2598232,0.1069413
20,0.33342916,0.30251467,"('rough', 'thoughtful')",0.3334292,0.3025147,-0.0309145
21,0.5401779,0.55823123,"('immoral', 'moral')",0.5401779,0.5582312,0.0180533
22,-0.21380642,-0.329697,"('untrustworthy', 'trustworthy')",-0.2138064,-0.329697,-0.1158906
23,4.1438427,4.173356,"('insincere', 'sincere')",4.1438427,4.1733561,0.0295134
24,0.89219886,0.766256,"('dishonest', 'honest')",0.8921989,0.766256,-0.1259429
25,0.4863798,0.32791734,"('egoistic', 'altruistic')",0.4863798,0.3279173,-0.1584625
26,0.4470294,-0.057235785,"('hardhearted', 'benevolent')",0.4470294,-0.0572358,-0.5042652
27,0.44244274,0.4645599,"('hardhearted', 'softhearted')",0.4424427,0.4645599,0.0221172
28,0.73399067,0.5767109,"('disloyal', 'loyal')",0.7339907,0.5767109,-0.1572798
29,-0.5794198,-0.6311583,"('unfair', 'fair')",-0.5794198,-0.6311583,-0.0517385
30,1.1759962,1.1047117,"('intolerant', 'tolerant')",1.1759962,1.1047117,-0.0712845
31,-2.1497648,-2.1818395,"('evil', 'good')",-2.1497648,-2.1818395,-0.0320747
32,0.8403355,0.62251127,"('unkind', 'kind')",0.8403355,0.6225113,-0.2178242
33,0.23906097,0.17014033,"('wrong', 'right')",0.239061,0.1701403,-0.0689207
34,2.8571353,2.9299915,"('mean', 'honorable')",2.8571353,2.9299915,0.0728562
35,-1.2167213,-1.3054523,"('corrupt', 'incorrupt')",-1.2167213,-1.3054523,-0.088731
36,-1.2994801,-1.4675676,"('hostile', 'amicable')",-1.2994801,-1.4675676,-0.1680875
37,0.37788334,0.39686528,"('fake', 'genuine')",0.3778833,0.3968653,0.018982
38,0.31175405,0.28571847,"('untruthful', 'truthful')",0.311754,0.2857185,-0.0260355
39,0.4400268,0.39264077,"('exploitative', 'cooperative')",0.4400268,0.3926408,-0.047386
40,-1.5195081,-1.5347054,"('stingy', 'generous')",-1.5195081,-1.5347054,-0.0151973
41,0.20550591,0.0055995528,"('unforgiving', 'forgiving')",0.2055059,0.0055996,-0.1999063
42,-1.1356125,-1.0225291,"('unreliable', 'reliable')",-1.1356125,-1.0225291,0.1130834
43,0.82860154,0.7923768,"('irresponsible', 'responsible')",0.8286015,0.7923768,-0.0362247
44,-1.2295969,-1.2939335,"('prejudiced', 'unprejudiced')",-1.2295969,-1.2939335,-0.0643366
45,0.63227403,0.52274597,"('incompetent', 'competent')",0.632274,0.522746,-0.109528
46,0.35950342,0.4712474,"('uncompetitive', 'competitive')",0.3595034,0.4712474,0.111744
47,3.2948885,3.337544,"('stupid', 'smart')",3.2948885,3.337544,0.0426555
48,0.48193756,0.45195514,"('unintelligent', 'intelligent')",0.4819376,0.4519551,-0.0299825
49,0.18876523,0.45520207,"('unable', 'able')",0.1887652,0.4552021,0.2664369
50,-0.33794948,-0.1635034,"('clumsy', 'skillful')",-0.3379495,-0.1635034,0.1744461
51,0.2307666,0.22535774,"('uneducated', 'educated')",0.2307666,0.2253577,-0.0054089
52,-0.6382612,-0.8554527,"('irrational', 'rational')",-0.6382612,-0.8554527,-0.2171915
53,0.16049406,0.07684712,"('uncreative', 'creative')",0.1604941,0.0768471,-0.083647
54,0.35229114,0.4436043,"('incapable', 'capable')",0.3522911,0.4436043,0.0913132
55,0.9463901,0.97041214,"('incompetent', 'clever')",0.9463901,0.9704121,0.024022
56,1.3078654,1.2678726,"('impractical', 'practical')",1.3078654,1.2678726,-0.0399928
57,-1.2106997,-1.3628309,"('unimaginative', 'imaginative')",-1.2106997,-1.3628309,-0.1521312
58,0.3980607,0.31899363,"('undiscriminating', 'discriminating')",0.3980607,0.3189936,-0.0790671
59,-0.47832182,-0.41195682,"('foolish', 'wise')",-0.4783218,-0.4119568,0.066365
60,1.60983,1.7076463,"('inefficient', 'efficient')",1.60983,1.7076463,0.0978163
61,0.76471436,0.60270023,"('illogical', 'logical')",0.7647144,0.6027002,-0.1620142
62,1.1279228,1.390025,"('incompetent', 'brilliant')",1.1279228,1.390025,0.2621022
63,0.7397058,0.8865721,"('unperceptive', 'insightful')",0.7397058,0.8865721,0.1468663
64,-3.712684,-3.7165637,"('shy', 'confident')",-3.7126839,-3.7165637,-0.0038798
65,0.39411145,0.32937986,"('insecure', 'secure')",0.3941115,0.3293799,-0.0647316
66,-0.75396436,-0.8088748,"('inactive', 'active')",-0.7539644,-0.8088748,-0.0549104
67,0.36968273,0.20995009,"('doubtful', 'determined')",0.3696827,0.2099501,-0.1597326
68,-0.1653874,-0.0030938499,"('dependent', 'independent')",-0.1653874,-0.0030938,0.1622936
69,-1.3206997,-1.4411885,"('lazy', 'industrious')",-1.3206997,-1.4411885,-0.1204888
70,0.54233205,0.6596607,"('lethargic', 'energetic')",0.5423321,0.6596607,0.1173286
71,0.52322376,0.43683973,"('diffident', 'self-confident')",0.5232238,0.4368397,-0.0863841
72,-0.022721779,0.057851043,"('unambitious', 'ambitious')",-0.0227218,0.057851,0.0805728
73,-1.7809012,-1.6714637,"('helpless', 'self-reliant')",-1.7809012,-1.6714637,0.1094375
74,0.29470307,0.26693577,"('undedicated', 'dedicated')",0.2947031,0.2669358,-0.0277673
75,-0.93450004,-0.85111624,"('meek', 'impulsive')",-0.9345,-0.8511162,0.0833838
76,0.6047684,0.6434764,"('anxious', 'daring')",0.6047684,0.6434764,0.038708
77,-0.7559627,-0.64739054,"('unmotivated', 'motivated')",-0.7559627,-0.6473905,0.1085722
78,-0.080570705,0.18390265,"('nonresilient', 'resilient')",-0.0805707,0.1839027,0.2644734
79,-1.0220852,-0.9565242,"('wavering', 'unwavering')",-1.0220852,-0.9565242,0.065561
80,-0.010924211,0.07384816,"('dominated', 'dominating')",-0.0109242,0.0738482,0.0847724
81,0.44433033,0.5184493,"('submissive', 'aggressive')",0.4443303,0.5184493,0.074119
82,3.3759959,3.481532,"('poor', 'rich')",3.3759959,3.4815321,0.1055362
83,0.17166719,0.08254962,"('powerless', 'powerful')",0.1716672,0.0825496,-0.0891176
84,0.39925313,0.41952434,"('inferior', 'superior')",0.3992531,0.4195243,0.0202712
85,-0.5044958,-0.773715,"('insignificant', 'prestigious')",-0.5044958,-0.773715,-0.2692192
86,0.45986417,0.301521,"('uninfluential', 'influential')",0.4598642,0.301521,-0.1583432
87,0.6408543,0.5976501,"('unsuccessful', 'successful')",0.6408543,0.5976501,-0.0432042
88,0.061715927,-0.038154572,"('low', 'eminent')",0.0617159,-0.0381546,-0.0998705
