,plane_male,plane_female,tuple,average_male,average_female,female-male
0,0.4463999,0.44261366,"('unsociable', 'sociable')",0.4463999,0.4426137,-0.0037862
1,1.2226108,1.1469225,"('unfriendly', 'friendly')",1.2226108,1.1469225,-0.0756883
2,0.49101123,0.6037138,"('unlikable', 'likable')",0.4910112,0.6037138,0.1127026
3,0.9686857,1.0524405,"('repellent', 'pleasant')",0.9686857,1.0524405,0.0837548
4,-7.2666106,-7.249124,"('disliked', 'liked')",-7.2666106,-7.2491241,0.0174865
5,-0.48552707,-0.55678445,"('distant', 'outgoing')",-0.4855271,-0.5567845,-0.0712574
6,-0.116375044,-0.2370929,"('distant', 'open')",-0.116375,-0.2370929,-0.1207179
7,1.6841993,1.6889085,"('insensitive', 'sensitive')",1.6841993,1.6889085,0.0047092
8,1.0380341,0.8977206,"('unaffectionate', 'affectionate')",1.0380341,0.8977206,-0.1403135
9,1.2606575,1.2688868,"('unaffectionate', 'caring')",1.2606575,1.2688868,0.0082293
10,1.8128626,1.7818962,"('unsympathetic', 'sympathetic')",1.8128626,1.7818962,-0.0309664
11,2.0288618,2.0915794,"('unhelpful', 'helpful')",2.0288618,2.0915794,0.0627176
12,-1.1024777,-1.0557282,"('unsupportive', 'supportive')",-1.1024777,-1.0557282,0.0467495
13,0.43118525,0.4782734,"('impolite', 'polite')",0.4311852,0.4782734,0.0470882
14,0.30866024,0.3631712,"('antisocial', 'social')",0.3086602,0.3631712,0.054511
15,0.15522447,0.14111999,"('boring', 'funny')",0.1552245,0.14112,-0.0141045
16,-0.6383596,-0.56145024,"('unpopular', 'popular')",-0.6383596,-0.5614502,0.0769094
17,0.14845619,0.097265616,"('nasty', 'nice')",0.1484562,0.0972656,-0.0511906
18,-0.448504,-0.40797618,"('disagreeable', 'welcoming')",-0.448504,-0.4079762,0.0405278
19,-0.34566894,-0.42849782,"('inhospitable', 'hospitable')",-0.3456689,-0.4284978,-0.0828289
20,0.77717537,0.62136436,"('rough', 'thoughtful')",0.7771754,0.6213644,-0.155811
21,0.38054356,0.51603115,"('immoral', 'moral')",0.3805436,0.5160311,0.1354875
22,0.29322666,0.322931,"('untrustworthy', 'trustworthy')",0.2932267,0.322931,0.0297043
23,6.491494,6.5319877,"('insincere', 'sincere')",6.4914942,6.5319877,0.0404935
24,1.891668,1.8744053,"('dishonest', 'honest')",1.891668,1.8744053,-0.0172627
25,0.35547027,0.34469467,"('egoistic', 'altruistic')",0.3554703,0.3446947,-0.0107756
26,0.55180573,0.39139038,"('hardhearted', 'benevolent')",0.5518057,0.3913904,-0.1604153
27,1.742305,1.5694976,"('hardhearted', 'softhearted')",1.742305,1.5694976,-0.1728074
28,1.1657089,1.069581,"('disloyal', 'loyal')",1.1657089,1.069581,-0.0961279
29,-0.06753945,-0.25293493,"('unfair', 'fair')",-0.0675395,-0.2529349,-0.1853954
30,1.3326867,1.3737353,"('intolerant', 'tolerant')",1.3326867,1.3737353,0.0410486
31,-1.3337069,-1.3826283,"('evil', 'good')",-1.3337069,-1.3826283,-0.0489214
32,1.3014848,1.235406,"('unkind', 'kind')",1.3014848,1.235406,-0.0660788
33,-0.8537808,-0.77607983,"('wrong', 'right')",-0.8537808,-0.7760798,0.077701
34,4.5236635,4.628669,"('mean', 'honorable')",4.5236635,4.6286688,0.1050053
35,-1.3054152,-1.5495564,"('corrupt', 'incorrupt')",-1.3054152,-1.5495564,-0.2441412
36,-0.81408256,-1.0173864,"('hostile', 'amicable')",-0.8140826,-1.0173864,-0.2033038
37,0.8911046,0.84641016,"('fake', 'genuine')",0.8911046,0.8464102,-0.0446944
38,-0.16382746,-0.12742427,"('untruthful', 'truthful')",-0.1638275,-0.1274243,0.0364032
39,0.0021352908,0.040030874,"('exploitative', 'cooperative')",0.0021353,0.0400309,0.0378956
40,-0.89098096,-0.9539947,"('stingy', 'generous')",-0.890981,-0.9539947,-0.0630137
41,0.27477217,0.20310971,"('unforgiving', 'forgiving')",0.2747722,0.2031097,-0.0716625
42,-1.5454504,-1.5133188,"('unreliable', 'reliable')",-1.5454504,-1.5133188,0.0321316
43,1.6474022,1.6668367,"('irresponsible', 'responsible')",1.6474022,1.6668367,0.0194345
44,-1.1432077,-1.2157311,"('prejudiced', 'unprejudiced')",-1.1432077,-1.2157311,-0.0725234
45,0.6098541,0.52429414,"('incompetent', 'competent')",0.6098541,0.5242941,-0.08556
46,-0.18149737,-0.09525229,"('uncompetitive', 'competitive')",-0.1814974,-0.0952523,0.0862451
47,5.58376,5.64663,"('stupid', 'smart')",5.5837598,5.6466298,0.06287
48,0.9960512,0.9638985,"('unintelligent', 'intelligent')",0.9960512,0.9638985,-0.0321527
49,-0.061442032,0.060988665,"('unable', 'able')",-0.061442,0.0609887,0.1224307
50,-0.14955214,-0.17326938,"('clumsy', 'skillful')",-0.1495521,-0.1732694,-0.0237173
51,0.8628596,0.84973234,"('uneducated', 'educated')",0.8628596,0.8497323,-0.0131273
52,-0.48343217,-0.5985224,"('irrational', 'rational')",-0.4834322,-0.5985224,-0.1150902
53,0.40319535,0.3182236,"('uncreative', 'creative')",0.4031954,0.3182236,-0.0849718
54,1.0069164,1.0684819,"('incapable', 'capable')",1.0069164,1.0684819,0.0615655
55,1.1516126,1.2485363,"('incompetent', 'clever')",1.1516126,1.2485363,0.0969237
56,0.6682295,0.7683777,"('impractical', 'practical')",0.6682295,0.7683777,0.1001482
57,-2.2841878,-2.2753935,"('unimaginative', 'imaginative')",-2.2841878,-2.2753935,0.0087943
58,0.25811735,0.17425397,"('undiscriminating', 'discriminating')",0.2581173,0.174254,-0.0838633
59,-0.021663345,-0.0061341897,"('foolish', 'wise')",-0.0216633,-0.0061342,0.0155291
60,0.7891888,0.9699434,"('inefficient', 'efficient')",0.7891888,0.9699434,0.1807546
61,0.6111342,0.44087303,"('illogical', 'logical')",0.6111342,0.440873,-0.1702612
62,1.3901978,1.5480831,"('incompetent', 'brilliant')",1.3901978,1.5480831,0.1578853
63,0.97463495,1.0268818,"('unperceptive', 'insightful')",0.9746349,1.0268818,0.0522469
64,-5.613087,-5.4554367,"('shy', 'confident')",-5.6130872,-5.4554367,0.1576505
65,1.3875815,1.4355302,"('insecure', 'secure')",1.3875815,1.4355302,0.0479487
66,0.12719537,0.0050921887,"('inactive', 'active')",0.1271954,0.0050922,-0.1221032
67,-0.75094223,-0.6932598,"('doubtful', 'determined')",-0.7509422,-0.6932598,0.0576824
68,-0.32771423,-0.32155234,"('dependent', 'independent')",-0.3277142,-0.3215523,0.0061619
69,-1.9901499,-1.9866382,"('lazy', 'industrious')",-1.9901499,-1.9866382,0.0035117
70,2.0108118,1.9921525,"('lethargic', 'energetic')",2.0108118,1.9921525,-0.0186593
71,0.43422154,0.47684273,"('diffident', 'self-confident')",0.4342215,0.4768427,0.0426212
72,1.1293552,1.24873,"('unambitious', 'ambitious')",1.1293552,1.2487299,0.1193747
73,-3.0117862,-2.899749,"('helpless', 'self-reliant')",-3.0117862,-2.899749,0.1120372
74,0.0995975,0.0151014365,"('undedicated', 'dedicated')",0.0995975,0.0151014,-0.0844961
75,-0.804549,-0.76167995,"('meek', 'impulsive')",-0.804549,-0.7616799,0.0428691
76,1.1656877,1.1463376,"('anxious', 'daring')",1.1656877,1.1463376,-0.0193501
77,-1.0887024,-0.9915718,"('unmotivated', 'motivated')",-1.0887024,-0.9915718,0.0971306
78,-0.43938756,-0.49053422,"('nonresilient', 'resilient')",-0.4393876,-0.4905342,-0.0511466
79,-0.16388737,-0.32594427,"('wavering', 'unwavering')",-0.1638874,-0.3259443,-0.1620569
80,0.3535023,0.32440618,"('dominated', 'dominating')",0.3535023,0.3244062,-0.0290961
81,0.5824783,0.7071083,"('submissive', 'aggressive')",0.5824783,0.7071083,0.12463
82,6.2984376,6.408818,"('poor', 'rich')",6.2984376,6.4088178,0.1103802
83,-0.3413522,-0.29965755,"('powerless', 'powerful')",-0.3413522,-0.2996576,0.0416946
84,0.15736188,0.11366272,"('inferior', 'superior')",0.1573619,0.1136627,-0.0436992
85,-1.4380978,-1.5562041,"('insignificant', 'prestigious')",-1.4380978,-1.5562041,-0.1181063
