,graft_male,graft_female,tuple,average_male,average_female,female-male
0,0.0508958,-0.1444228,"('unsociable', 'sociable')",0.0508958,-0.1444228,-0.1953186
1,-1.0936631,-1.2494398,"('unfriendly', 'friendly')",-1.0936631,-1.2494398,-0.1557767
2,-0.11976017,-0.15301631,"('unlikable', 'likable')",-0.1197602,-0.1530163,-0.0332561
3,-0.617552,-0.59430784,"('repellent', 'pleasant')",-0.617552,-0.5943078,0.0232442
4,-2.8129508,-2.667404,"('disliked', 'liked')",-2.8129508,-2.6674039,0.1455469
5,-1.8464725,-1.8030636,"('distant', 'outgoing')",-1.8464725,-1.8030636,0.0434089
6,-1.7527064,-1.7303795,"('distant', 'open')",-1.7527064,-1.7303795,0.0223269
7,0.08319874,0.03607619,"('insensitive', 'sensitive')",0.0831987,0.0360762,-0.0471225
8,-0.51566267,-0.63528955,"('unaffectionate', 'affectionate')",-0.5156627,-0.6352895,-0.1196268
9,-0.5782217,-0.69690484,"('unaffectionate', 'caring')",-0.5782217,-0.6969048,-0.1186831
10,0.60089767,0.44219992,"('unsympathetic', 'sympathetic')",0.6008977,0.4421999,-0.1586978
11,0.28823107,0.20475951,"('unhelpful', 'helpful')",0.2882311,0.2047595,-0.0834716
12,-1.0420442,-0.9869091,"('unsupportive', 'supportive')",-1.0420442,-0.9869091,0.0551351
13,-0.07421946,-0.24190773,"('impolite', 'polite')",-0.0742195,-0.2419077,-0.1676882
14,0.6041163,0.4792439,"('antisocial', 'social')",0.6041163,0.4792439,-0.1248724
15,0.23942211,0.2214897,"('boring', 'funny')",0.2394221,0.2214897,-0.0179324
16,-0.9702626,-1.0233583,"('unpopular', 'popular')",-0.9702626,-1.0233583,-0.0530957
17,-0.24423818,-0.2021474,"('nasty', 'nice')",-0.2442382,-0.2021474,0.0420908
18,-0.96282786,-0.9823847,"('disagreeable', 'welcoming')",-0.9628279,-0.9823847,-0.0195568
19,-1.5099286,-1.4717577,"('inhospitable', 'hospitable')",-1.5099286,-1.4717577,0.0381709
20,0.54064924,0.46449307,"('rough', 'thoughtful')",0.5406492,0.4644931,-0.0761561
21,0.5483015,0.53160167,"('immoral', 'moral')",0.5483015,0.5316017,-0.0166998
22,0.0572314,-0.019117491,"('untrustworthy', 'trustworthy')",0.0572314,-0.0191175,-0.0763489
23,1.9508466,1.7439427,"('insincere', 'sincere')",1.9508466,1.7439427,-0.2069039
24,-0.036616065,-0.20969774,"('dishonest', 'honest')",-0.0366161,-0.2096977,-0.1730816
25,-0.038998745,-0.09544584,"('egoistic', 'altruistic')",-0.0389987,-0.0954458,-0.0564471
26,0.42959526,0.29089436,"('hardhearted', 'benevolent')",0.4295953,0.2908944,-0.1387009
27,0.22280891,0.0026258854,"('hardhearted', 'softhearted')",0.2228089,0.0026259,-0.220183
28,0.46464214,0.31038085,"('disloyal', 'loyal')",0.4646421,0.3103808,-0.1542613
29,-0.9329006,-0.9621091,"('unfair', 'fair')",-0.9329006,-0.9621091,-0.0292085
30,1.0794746,0.92110026,"('intolerant', 'tolerant')",1.0794746,0.9211003,-0.1583743
31,-2.234444,-2.055188,"('evil', 'good')",-2.2344439,-2.0551879,0.179256
