,impudence_male,impudence_female,tuple,average_male,average_female,female-male
0,-0.4267871,-0.6051954,"('unsociable', 'sociable')",-0.4267871,-0.6051954,-0.1784083
1,-0.11648646,-0.27556384,"('unfriendly', 'friendly')",-0.1164865,-0.2755638,-0.1590773
2,0.17244211,0.25456554,"('unlikable', 'likable')",0.1724421,0.2545655,0.0821234
3,-0.5734753,-0.5119104,"('repellent', 'pleasant')",-0.5734753,-0.5119104,0.0615649
4,-3.34379,-3.2688096,"('disliked', 'liked')",-3.3437901,-3.2688096,0.0749805
5,-0.40953004,-0.45145786,"('distant', 'outgoing')",-0.40953,-0.4514579,-0.0419279
6,-0.37254032,-0.42553547,"('distant', 'open')",-0.3725403,-0.4255355,-0.0529952
7,-0.55596757,-0.60008556,"('insensitive', 'sensitive')",-0.5559676,-0.6000856,-0.044118
8,-0.2510152,-0.36484396,"('unaffectionate', 'affectionate')",-0.2510152,-0.364844,-0.1138288
9,-0.33428112,-0.40233687,"('unaffectionate', 'caring')",-0.3342811,-0.4023369,-0.0680558
10,-0.707891,-0.7416429,"('unsympathetic', 'sympathetic')",-0.707891,-0.7416429,-0.0337519
11,0.7652325,0.8371368,"('unhelpful', 'helpful')",0.7652325,0.8371368,0.0719043
12,-1.7193611,-1.6693805,"('unsupportive', 'supportive')",-1.7193611,-1.6693805,0.0499806
13,-0.5009038,-0.57945645,"('impolite', 'polite')",-0.5009038,-0.5794564,-0.0785526
14,-0.098101296,-0.13705418,"('antisocial', 'social')",-0.0981013,-0.1370542,-0.0389529
15,0.5365609,0.48395014,"('boring', 'funny')",0.5365609,0.4839501,-0.0526108
16,-0.9221424,-0.85269773,"('unpopular', 'popular')",-0.9221424,-0.8526977,0.0694447
17,-0.5718511,-0.49026957,"('nasty', 'nice')",-0.5718511,-0.4902696,0.0815815
18,-0.9094443,-0.96467435,"('disagreeable', 'welcoming')",-0.9094443,-0.9646744,-0.0552301
19,-1.0792065,-1.1146495,"('inhospitable', 'hospitable')",-1.0792065,-1.1146495,-0.035443
20,0.6354654,0.61214733,"('rough', 'thoughtful')",0.6354654,0.6121473,-0.0233181
21,-0.23152724,-0.21496345,"('immoral', 'moral')",-0.2315272,-0.2149635,0.0165637
22,-0.12702292,-0.12747236,"('untrustworthy', 'trustworthy')",-0.1270229,-0.1274724,-0.0004495
23,2.6699293,2.595057,"('insincere', 'sincere')",2.6699293,2.595057,-0.0748723
24,0.086284645,0.0062913564,"('dishonest', 'honest')",0.0862846,0.0062914,-0.0799932
25,0.30058995,0.23681776,"('egoistic', 'altruistic')",0.3005899,0.2368178,-0.0637721
26,0.6387015,0.5940433,"('hardhearted', 'benevolent')",0.6387015,0.5940433,-0.0446582
27,0.4508103,0.2850388,"('hardhearted', 'softhearted')",0.4508103,0.2850388,-0.1657715
28,0.4183862,0.32563984,"('disloyal', 'loyal')",0.4183862,0.3256398,-0.0927464
29,-1.1577142,-1.2442328,"('unfair', 'fair')",-1.1577142,-1.2442328,-0.0865186
30,0.7070038,0.62071574,"('intolerant', 'tolerant')",0.7070038,0.6207157,-0.0862881
31,-1.5339537,-1.4114012,"('evil', 'good')",-1.5339537,-1.4114012,0.1225525
32,0.34820613,0.24751396,"('unkind', 'kind')",0.3482061,0.247514,-0.1006921
33,-0.4568965,-0.52328044,"('wrong', 'right')",-0.4568965,-0.5232804,-0.0663839
34,3.080881,3.1517198,"('mean', 'honorable')",3.0808811,3.1517198,0.0708387
35,-0.19582385,-0.24405909,"('corrupt', 'incorrupt')",-0.1958238,-0.2440591,-0.0482353
36,-0.72589636,-0.74084413,"('hostile', 'amicable')",-0.7258964,-0.7408441,-0.0149477
37,0.067053534,0.0022680722,"('fake', 'genuine')",0.0670535,0.0022681,-0.0647854
38,-0.16256827,-0.08191888,"('untruthful', 'truthful')",-0.1625683,-0.0819189,0.0806494
39,0.55146265,0.62583333,"('exploitative', 'cooperative')",0.5514627,0.6258333,0.0743706
40,-1.261215,-1.4284528,"('stingy', 'generous')",-1.261215,-1.4284528,-0.1672378
41,-0.19033612,-0.17202584,"('unforgiving', 'forgiving')",-0.1903361,-0.1720258,0.0183103
42,-1.5789636,-1.4871684,"('unreliable', 'reliable')",-1.5789636,-1.4871684,0.0917952
43,0.13852721,0.11158699,"('irresponsible', 'responsible')",0.1385272,0.111587,-0.0269402
44,0.07041929,0.10183623,"('prejudiced', 'unprejudiced')",0.0704193,0.1018362,0.0314169
45,-0.68175507,-0.62708765,"('incompetent', 'competent')",-0.6817551,-0.6270877,0.0546674
46,-0.7575545,-0.7433078,"('uncompetitive', 'competitive')",-0.7575545,-0.7433078,0.0142467
47,2.4896274,2.5451212,"('stupid', 'smart')",2.4896274,2.5451212,0.0554938
48,-0.08555723,-0.12735732,"('unintelligent', 'intelligent')",-0.0855572,-0.1273573,-0.0418001
49,0.20746905,0.29938284,"('unable', 'able')",0.207469,0.2993828,0.0919138
50,-0.42888996,-0.4086884,"('clumsy', 'skillful')",-0.42889,-0.4086884,0.0202016
51,-0.59348875,-0.6780372,"('uneducated', 'educated')",-0.5934888,-0.6780372,-0.0845484
52,-0.7647495,-0.81652474,"('irrational', 'rational')",-0.7647495,-0.8165247,-0.0517752
53,-0.7991315,-0.8848504,"('uncreative', 'creative')",-0.7991315,-0.8848504,-0.0857189
54,-0.23028925,-0.22645788,"('incapable', 'capable')",-0.2302893,-0.2264579,0.0038314
55,0.15755339,0.1423145,"('incompetent', 'clever')",0.1575534,0.1423145,-0.0152389
56,0.70966536,0.7140605,"('impractical', 'practical')",0.7096654,0.7140605,0.0043951
57,-1.8055276,-1.7768207,"('unimaginative', 'imaginative')",-1.8055276,-1.7768207,0.0287069
58,-0.11071764,-0.16195236,"('undiscriminating', 'discriminating')",-0.1107176,-0.1619524,-0.0512348
59,-0.54719007,-0.52995557,"('foolish', 'wise')",-0.5471901,-0.5299556,0.0172345
60,0.62847203,0.59775794,"('inefficient', 'efficient')",0.628472,0.5977579,-0.0307141
61,-0.10732809,-0.21764003,"('illogical', 'logical')",-0.1073281,-0.21764,-0.1103119
62,0.29531837,0.3831091,"('incompetent', 'brilliant')",0.2953184,0.3831091,0.0877907
63,0.040233158,0.111014105,"('unperceptive', 'insightful')",0.0402332,0.1110141,0.0707809
64,-2.9772437,-2.9140275,"('shy', 'confident')",-2.9772437,-2.9140275,0.0632162
