,blackboard_male,blackboard_female,tuple,average_male,average_female,female-male
0,-0.007917179,-0.19102971,"('unsociable', 'sociable')",-0.0079172,-0.1910297,-0.1831125
1,-0.58892894,-0.6784403,"('unfriendly', 'friendly')",-0.5889289,-0.6784403,-0.0895114
2,0.16424917,0.20432939,"('unlikable', 'likable')",0.1642492,0.2043294,0.0400802
3,0.43056467,0.47646844,"('repellent', 'pleasant')",0.4305647,0.4764684,0.0459037
4,-3.1862936,-3.141234,"('disliked', 'liked')",-3.1862936,-3.1412339,0.0450597
5,-1.4973398,-1.3702441,"('distant', 'outgoing')",-1.4973398,-1.3702441,0.1270957
6,-1.337138,-1.2218912,"('distant', 'open')",-1.3371381,-1.2218912,0.1152469
7,0.5177116,0.55214286,"('insensitive', 'sensitive')",0.5177116,0.5521429,0.0344313
8,-1.1835849,-1.2355161,"('unaffectionate', 'affectionate')",-1.1835849,-1.2355161,-0.0519312
9,-0.04947696,-0.060203575,"('unaffectionate', 'caring')",-0.049477,-0.0602036,-0.0107266
10,0.6138571,0.5450487,"('unsympathetic', 'sympathetic')",0.6138571,0.5450487,-0.0688084
11,1.8888967,1.9218649,"('unhelpful', 'helpful')",1.8888967,1.9218649,0.0329682
12,-0.4492566,-0.3487403,"('unsupportive', 'supportive')",-0.4492566,-0.3487403,0.1005163
13,0.62041116,0.524057,"('impolite', 'polite')",0.6204112,0.524057,-0.0963542
14,0.8283238,0.6943753,"('antisocial', 'social')",0.8283238,0.6943753,-0.1339485
15,-0.46236894,-0.5607698,"('boring', 'funny')",-0.4623689,-0.5607698,-0.0984009
16,-1.2029727,-1.2019156,"('unpopular', 'popular')",-1.2029727,-1.2019156,0.0010571
17,-0.89520335,-0.80649203,"('nasty', 'nice')",-0.8952034,-0.806492,0.0887114
18,-1.1791555,-1.2793866,"('disagreeable', 'welcoming')",-1.1791555,-1.2793866,-0.1002311
19,-1.6321132,-1.5248984,"('inhospitable', 'hospitable')",-1.6321132,-1.5248984,0.1072148
20,0.027173078,0.00829673,"('rough', 'thoughtful')",0.0271731,0.0082967,-0.0188764
21,1.265988,1.2045377,"('immoral', 'moral')",1.265988,1.2045377,-0.0614503
22,0.16403054,0.07475725,"('untrustworthy', 'trustworthy')",0.1640305,0.0747572,-0.0892733
23,3.042324,3.0244136,"('insincere', 'sincere')",3.0423241,3.0244136,-0.0179105
24,0.98240817,0.90907615,"('dishonest', 'honest')",0.9824082,0.9090762,-0.073332
25,-0.6186591,-0.6833123,"('egoistic', 'altruistic')",-0.6186591,-0.6833123,-0.0646532
26,-0.035856098,-0.2175689,"('hardhearted', 'benevolent')",-0.0358561,-0.2175689,-0.1817128
27,-0.6132673,-0.66005987,"('hardhearted', 'softhearted')",-0.6132673,-0.6600599,-0.0467926
28,0.67276555,0.5280012,"('disloyal', 'loyal')",0.6727656,0.5280012,-0.1447644
29,-0.6125503,-0.65412116,"('unfair', 'fair')",-0.6125503,-0.6541212,-0.0415709
30,0.7302167,0.6529126,"('intolerant', 'tolerant')",0.7302167,0.6529126,-0.0773041
31,-2.927126,-2.848719,"('evil', 'good')",-2.9271259,-2.8487189,0.078407
32,0.9466717,0.78699493,"('unkind', 'kind')",0.9466717,0.7869949,-0.1596768
33,-0.24826935,-0.23490705,"('wrong', 'right')",-0.2482693,-0.234907,0.0133623
34,1.303969,1.4940673,"('mean', 'honorable')",1.303969,1.4940673,0.1900983
35,-1.5193238,-1.541749,"('corrupt', 'incorrupt')",-1.5193238,-1.541749,-0.0224252
36,-2.6551626,-2.6457775,"('hostile', 'amicable')",-2.6551626,-2.6457775,0.0093851
37,-0.14192617,-0.13805518,"('fake', 'genuine')",-0.1419262,-0.1380552,0.003871
38,0.7694042,0.7845353,"('untruthful', 'truthful')",0.7694042,0.7845353,0.0151311
39,1.032494,1.0649388,"('exploitative', 'cooperative')",1.0324939,1.0649388,0.0324449
40,-1.931931,-1.9019699,"('stingy', 'generous')",-1.931931,-1.9019699,0.0299611
41,-0.2823285,-0.38427022,"('unforgiving', 'forgiving')",-0.2823285,-0.3842702,-0.1019417
42,-0.62526065,-0.5623441,"('unreliable', 'reliable')",-0.6252607,-0.5623441,0.0629166
43,0.9542944,0.96909136,"('irresponsible', 'responsible')",0.9542944,0.9690914,0.014797
44,-0.35963076,-0.34872228,"('prejudiced', 'unprejudiced')",-0.3596308,-0.3487223,0.0109085
45,-0.14568794,-0.15779692,"('incompetent', 'competent')",-0.1456879,-0.1577969,-0.012109
46,0.8453969,0.83966994,"('uncompetitive', 'competitive')",0.8453969,0.8396699,-0.005727
47,1.681856,1.7408,"('stupid', 'smart')",1.681856,1.7408,0.058944
48,0.19887234,0.11461708,"('unintelligent', 'intelligent')",0.1988723,0.1146171,-0.0842552
49,-0.23741016,-0.18629485,"('unable', 'able')",-0.2374102,-0.1862949,0.0511153
50,-0.3021344,-0.25540012,"('clumsy', 'skillful')",-0.3021344,-0.2554001,0.0467343
51,0.22682464,0.15755823,"('uneducated', 'educated')",0.2268246,0.1575582,-0.0692664
52,-1.2751588,-1.3985689,"('irrational', 'rational')",-1.2751588,-1.3985689,-0.1234101
53,-0.8160759,-0.8647876,"('uncreative', 'creative')",-0.8160759,-0.8647876,-0.0487117
54,-0.011386227,-0.006782148,"('incapable', 'capable')",-0.0113862,-0.0067821,0.0046041
55,0.7273679,0.6400194,"('incompetent', 'clever')",0.7273679,0.6400194,-0.0873485
56,1.8962194,1.8317058,"('impractical', 'practical')",1.8962194,1.8317058,-0.0645136
57,-1.0777617,-1.164982,"('unimaginative', 'imaginative')",-1.0777617,-1.164982,-0.0872203
58,-0.2779182,-0.2863633,"('undiscriminating', 'discriminating')",-0.2779182,-0.2863633,-0.0084451
59,-0.5559047,-0.5012957,"('foolish', 'wise')",-0.5559047,-0.5012957,0.054609
