,string_male,string_female,tuple,average_male,average_female,female-male
0,-0.045613952,-0.01243614,"('unsociable', 'sociable')",-0.045614,-0.0124361,0.0331779
1,1.4172673,1.3739223,"('unfriendly', 'friendly')",1.4172673,1.3739223,-0.043345
2,0.13204744,0.32900587,"('unlikable', 'likable')",0.1320474,0.3290059,0.1969585
3,0.6940117,0.82293093,"('repellent', 'pleasant')",0.6940117,0.8229309,0.1289192
4,-7.451491,-7.3460827,"('disliked', 'liked')",-7.4514909,-7.3460827,0.1054082
5,-0.48919186,-0.40785006,"('distant', 'outgoing')",-0.4891919,-0.4078501,0.0813418
6,-0.035721686,-0.051168952,"('distant', 'open')",-0.0357217,-0.051169,-0.0154473
7,1.5646002,1.58967,"('insensitive', 'sensitive')",1.5646002,1.5896699,0.0250697
8,1.3044336,1.1683197,"('unaffectionate', 'affectionate')",1.3044336,1.1683197,-0.1361139
9,1.4490935,1.4442317,"('unaffectionate', 'caring')",1.4490935,1.4442317,-0.0048618
10,1.5404032,1.4608601,"('unsympathetic', 'sympathetic')",1.5404032,1.4608601,-0.0795431
11,1.7919563,1.8355608,"('unhelpful', 'helpful')",1.7919563,1.8355608,0.0436045
12,-1.2784905,-1.1455735,"('unsupportive', 'supportive')",-1.2784905,-1.1455735,0.132917
13,-0.1111511,-0.018865481,"('impolite', 'polite')",-0.1111511,-0.0188655,0.0922856
14,0.031497248,0.14958258,"('antisocial', 'social')",0.0314972,0.1495826,0.1180854
15,0.40584564,0.41039026,"('boring', 'funny')",0.4058456,0.4103903,0.0045447
16,-0.6822878,-0.5565601,"('unpopular', 'popular')",-0.6822878,-0.5565601,0.1257277
17,-0.17598473,-0.23855436,"('nasty', 'nice')",-0.1759847,-0.2385544,-0.0625697
18,-0.7723835,-0.6437896,"('disagreeable', 'welcoming')",-0.7723835,-0.6437896,0.1285939
19,-0.32570696,-0.305538,"('inhospitable', 'hospitable')",-0.325707,-0.305538,0.020169
20,0.95304024,0.8259906,"('rough', 'thoughtful')",0.9530402,0.8259906,-0.1270496
21,-0.13475451,0.07777143,"('immoral', 'moral')",-0.1347545,0.0777714,0.2125259
22,-0.10737968,-0.016669495,"('untrustworthy', 'trustworthy')",-0.1073797,-0.0166695,0.0907102
23,6.40548,6.48816,"('insincere', 'sincere')",6.4054799,6.4881601,0.0826802
24,1.7223544,1.7624553,"('dishonest', 'honest')",1.7223544,1.7624553,0.0401009
25,0.44599742,0.38711572,"('egoistic', 'altruistic')",0.4459974,0.3871157,-0.0588817
26,0.62891304,0.38362512,"('hardhearted', 'benevolent')",0.628913,0.3836251,-0.2452879
27,1.731332,1.5137084,"('hardhearted', 'softhearted')",1.7313319,1.5137084,-0.2176235
28,1.083979,0.90260404,"('disloyal', 'loyal')",1.083979,0.902604,-0.181375
29,-0.31008363,-0.48249674,"('unfair', 'fair')",-0.3100836,-0.4824967,-0.1724131
30,1.3464365,1.3529063,"('intolerant', 'tolerant')",1.3464365,1.3529063,0.0064698
31,-1.0452812,-1.1289682,"('evil', 'good')",-1.0452812,-1.1289682,-0.083687
32,1.371436,1.2607948,"('unkind', 'kind')",1.371436,1.2607948,-0.1106412
33,-0.8973509,-0.7724583,"('wrong', 'right')",-0.8973509,-0.7724583,0.1248926
34,4.400257,4.607528,"('mean', 'honorable')",4.4002571,4.6075282,0.2072711
35,-1.0397627,-1.2942086,"('corrupt', 'incorrupt')",-1.0397627,-1.2942086,-0.2544459
36,-0.64390594,-0.8826303,"('hostile', 'amicable')",-0.6439059,-0.8826303,-0.2387244
37,0.8796191,0.8178054,"('fake', 'genuine')",0.8796191,0.8178054,-0.0618137
38,-0.5328947,-0.43783554,"('untruthful', 'truthful')",-0.5328947,-0.4378355,0.0950592
39,0.02586529,0.045553572,"('exploitative', 'cooperative')",0.0258653,0.0455536,0.0196883
40,-1.0272008,-1.0631715,"('stingy', 'generous')",-1.0272008,-1.0631715,-0.0359707
41,0.029863417,-0.12399369,"('unforgiving', 'forgiving')",0.0298634,-0.1239937,-0.1538571
42,-1.5775571,-1.5545315,"('unreliable', 'reliable')",-1.5775571,-1.5545315,0.0230256
43,1.445466,1.501495,"('irresponsible', 'responsible')",1.445466,1.501495,0.056029
44,-1.2329472,-1.3137156,"('prejudiced', 'unprejudiced')",-1.2329472,-1.3137156,-0.0807684
45,0.37792587,0.26418757,"('incompetent', 'competent')",0.3779259,0.2641876,-0.1137383
46,-0.46114993,-0.43534774,"('uncompetitive', 'competitive')",-0.4611499,-0.4353477,0.0258022
47,5.902116,6.0159507,"('stupid', 'smart')",5.9021158,6.0159507,0.1138349
48,0.7749045,0.7709314,"('unintelligent', 'intelligent')",0.7749045,0.7709314,-0.0039731
49,-0.3785407,-0.17080685,"('unable', 'able')",-0.3785407,-0.1708069,0.2077338
50,-0.19809604,-0.21869442,"('clumsy', 'skillful')",-0.198096,-0.2186944,-0.0205984
51,0.49909872,0.54983264,"('uneducated', 'educated')",0.4990987,0.5498326,0.0507339
52,-0.45209223,-0.58425426,"('irrational', 'rational')",-0.4520922,-0.5842543,-0.1321621
53,0.6553652,0.5954405,"('uncreative', 'creative')",0.6553652,0.5954405,-0.0599247
54,1.1311917,1.2653396,"('incapable', 'capable')",1.1311917,1.2653396,0.1341479
55,0.86005634,0.96202016,"('incompetent', 'clever')",0.8600563,0.9620202,0.1019639
56,0.64556694,0.79254425,"('impractical', 'practical')",0.6455669,0.7925442,0.1469773
57,-2.219597,-2.2671332,"('unimaginative', 'imaginative')",-2.2195971,-2.2671332,-0.0475361
58,0.18948498,0.0476335,"('undiscriminating', 'discriminating')",0.189485,0.0476335,-0.1418515
59,-0.12535375,-0.08750945,"('foolish', 'wise')",-0.1253538,-0.0875095,0.0378443
60,0.25269023,0.5510272,"('inefficient', 'efficient')",0.2526902,0.5510272,0.298337
61,0.5825955,0.42300254,"('illogical', 'logical')",0.5825955,0.4230025,-0.159593
