,example_male,example_female,tuple,average_male,average_female,female-male
0,0.17733225,0.012769736,"('unsociable', 'sociable')",0.1773323,0.0127697,-0.1645626
1,1.6845511,1.7851136,"('unfriendly', 'friendly')",1.6845511,1.7851136,0.1005625
2,-0.017380483,0.12349523,"('unlikable', 'likable')",-0.0173805,0.1234952,0.1408757
3,1.2118801,1.2109296,"('repellent', 'pleasant')",1.2118801,1.2109296,-0.0009505
4,-7.2664886,-7.210553,"('disliked', 'liked')",-7.2664886,-7.2105532,0.0559354
5,-0.4187442,-0.26893014,"('distant', 'outgoing')",-0.4187442,-0.2689301,0.1498141
6,0.01893761,0.1556178,"('distant', 'open')",0.0189376,0.1556178,0.1366802
7,1.8256035,1.7531536,"('insensitive', 'sensitive')",1.8256035,1.7531536,-0.0724499
8,0.92780304,1.0174824,"('unaffectionate', 'affectionate')",0.927803,1.0174824,0.0896794
9,1.6900712,1.8275893,"('unaffectionate', 'caring')",1.6900712,1.8275893,0.1375181
10,1.4627905,1.4188505,"('unsympathetic', 'sympathetic')",1.4627905,1.4188505,-0.04394
11,2.4877818,2.5096304,"('unhelpful', 'helpful')",2.4877818,2.5096304,0.0218486
12,-1.042337,-0.9061373,"('unsupportive', 'supportive')",-1.0423369,-0.9061373,0.1361996
13,0.5158571,0.3951717,"('impolite', 'polite')",0.5158571,0.3951717,-0.1206854
14,-0.08614669,-0.23662233,"('antisocial', 'social')",-0.0861467,-0.2366223,-0.1504756
15,0.44678706,0.4706578,"('boring', 'funny')",0.4467871,0.4706578,0.0238707
16,-0.83838606,-0.7401512,"('unpopular', 'popular')",-0.8383861,-0.7401512,0.0982349
17,-0.46880305,-0.33431283,"('nasty', 'nice')",-0.468803,-0.3343128,0.1344902
18,-0.42543444,-0.3678695,"('disagreeable', 'welcoming')",-0.4254344,-0.3678695,0.0575649
19,-0.38158983,-0.15908693,"('inhospitable', 'hospitable')",-0.3815898,-0.1590869,0.2225029
20,0.66601384,0.47757262,"('rough', 'thoughtful')",0.6660138,0.4775726,-0.1884412
21,0.35276198,0.41657108,"('immoral', 'moral')",0.352762,0.4165711,0.0638091
22,-0.08438094,-0.07308712,"('untrustworthy', 'trustworthy')",-0.0843809,-0.0730871,0.0112938
23,7.409881,7.397499,"('insincere', 'sincere')",7.4098811,7.3974991,-0.012382
24,2.5759344,2.5566947,"('dishonest', 'honest')",2.5759344,2.5566947,-0.0192397
25,0.7172141,0.79087275,"('egoistic', 'altruistic')",0.7172141,0.7908728,0.0736587
26,0.6665144,0.5535434,"('hardhearted', 'benevolent')",0.6665144,0.5535434,-0.112971
27,1.7697146,1.60362,"('hardhearted', 'softhearted')",1.7697146,1.6036201,-0.1660945
28,1.5981449,1.5548632,"('disloyal', 'loyal')",1.5981449,1.5548632,-0.0432817
29,-0.65883774,-0.76622057,"('unfair', 'fair')",-0.6588377,-0.7662206,-0.1073829
30,1.0891639,1.0953966,"('intolerant', 'tolerant')",1.0891639,1.0953966,0.0062327
31,-1.6378255,-1.5224986,"('evil', 'good')",-1.6378255,-1.5224986,0.1153269
32,1.5431273,1.3907815,"('unkind', 'kind')",1.5431273,1.3907815,-0.1523458
33,-0.3482502,-0.36534417,"('wrong', 'right')",-0.3482502,-0.3653442,-0.017094
34,5.055662,5.271522,"('mean', 'honorable')",5.0556622,5.271522,0.2158598
35,-1.3472672,-1.4043503,"('corrupt', 'incorrupt')",-1.3472672,-1.4043503,-0.0570831
36,-1.5237083,-1.4600424,"('hostile', 'amicable')",-1.5237083,-1.4600424,0.0636659
37,1.2863115,1.2678962,"('fake', 'genuine')",1.2863115,1.2678962,-0.0184153
38,0.44511646,0.510344,"('untruthful', 'truthful')",0.4451165,0.510344,0.0652275
39,0.36188102,0.33534813,"('exploitative', 'cooperative')",0.361881,0.3353481,-0.0265329
40,-0.94200534,-1.1434361,"('stingy', 'generous')",-0.9420053,-1.1434361,-0.2014308
41,-0.17196013,-0.287424,"('unforgiving', 'forgiving')",-0.1719601,-0.287424,-0.1154639
42,-2.1606467,-2.1427817,"('unreliable', 'reliable')",-2.1606467,-2.1427817,0.017865
43,1.4131323,1.4522315,"('irresponsible', 'responsible')",1.4131323,1.4522315,0.0390992
44,-1.9269302,-2.0490289,"('prejudiced', 'unprejudiced')",-1.9269302,-2.0490289,-0.1220987
45,0.6173332,0.47804266,"('incompetent', 'competent')",0.6173332,0.4780427,-0.1392905
46,-0.41852123,-0.49262202,"('uncompetitive', 'competitive')",-0.4185212,-0.492622,-0.0741008
47,5.0245476,5.061609,"('stupid', 'smart')",5.0245476,5.0616088,0.0370612
48,0.8581168,0.7610526,"('unintelligent', 'intelligent')",0.8581168,0.7610526,-0.0970642
49,0.48410022,0.6602526,"('unable', 'able')",0.4841002,0.6602526,0.1761524
50,-0.056708433,0.029343098,"('clumsy', 'skillful')",-0.0567084,0.0293431,0.0860515
51,1.4044302,1.2978346,"('uneducated', 'educated')",1.4044302,1.2978346,-0.1065956
