,oi_male,oi_female,tuple,glass_male,glass_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1750556,-1.2723893,"('unsociable', 'sociable')",0.5625315,0.5012177,-0.5072582,-0.63379115,-0.3732608,-0.4683209,-0.0950601
1,-0.7284479,-0.7134667,"('unfriendly', 'friendly')",1.2477285,1.1827152,1.92272,1.7532787,0.8140001,0.7408424,-0.0731577
2,1.0288398,1.0140609,"('unlikable', 'likable')",0.5680537,0.628344,0.75730866,0.833944,0.7847341,0.8254496,0.0407155
3,-0.3296463,-0.17914845,"('repellent', 'pleasant')",-0.24376036,-0.032486722,0.37042227,0.4719806,-0.0676615,0.0867818,0.1544433
4,0.7484169,0.7444904,"('disliked', 'liked')",-0.8732896,-0.8809939,-6.5672407,-6.6410236,-2.2307045,-2.2591758,-0.0284713
5,0.08029118,0.122811615,"('distant', 'outgoing')",-0.60303444,-0.536072,-0.1632903,-0.16946883,-0.2286778,-0.1942431,0.0344347
6,0.3873892,0.47837868,"('distant', 'open')",-0.3665344,-0.27298328,0.33269393,0.37442634,0.1178496,0.1932739,0.0754243
7,-0.23425406,-0.1807571,"('insensitive', 'sensitive')",0.8521098,0.92884874,0.59272826,0.60049146,0.403528,0.4495277,0.0459997
8,0.6656579,0.6174259,"('unaffectionate', 'affectionate')",0.36899224,0.3644718,1.0159763,0.94218034,0.6835421,0.6413593,-0.0421828
9,-0.20618808,-0.21429874,"('unaffectionate', 'caring')",0.9069849,0.87794685,1.0835642,1.0846899,0.594787,0.5827793,-0.0120077
10,-0.86762536,-0.7541816,"('unsympathetic', 'sympathetic')",-0.212773,-0.19343972,-0.49010187,-0.45209482,-0.5235,-0.466572,0.056928
11,-0.21643898,-0.1866949,"('unhelpful', 'helpful')",0.6215067,0.59779346,2.0117643,2.0842402,0.8056107,0.8317796,0.0261689
12,0.15335073,0.3440159,"('unsupportive', 'supportive')",1.220674,1.3593564,-2.0217645,-1.9646591,-0.2159133,-0.0870956,0.1288177
13,-0.3707227,-0.4443278,"('impolite', 'polite')",0.55559725,0.5928986,-0.4787119,-0.47388422,-0.0979458,-0.1084378,-0.010492
14,-0.5102527,-0.44812793,"('antisocial', 'social')",1.2040099,1.2519121,-0.6688461,-0.7147863,0.0083037,0.029666,0.0213623
15,1.4078094,1.2292383,"('boring', 'funny')",0.5247919,0.37443772,0.7308716,0.6191172,0.8878243,0.740931,-0.1468933
16,-0.3496045,-0.28069666,"('unpopular', 'popular')",-0.6070305,-0.5093608,0.78216016,0.8018038,-0.0581583,0.0039155,0.0620738
17,-0.17007063,-0.10929646,"('nasty', 'nice')",-0.08626203,0.008017713,-0.15023258,-0.15086374,-0.1355217,-0.0840475,0.0514742
18,-0.04754059,0.09829419,"('disagreeable', 'welcoming')",-0.5008013,-0.35187587,-0.23919526,-0.21327882,-0.2625124,-0.1556202,0.1068922
19,0.2132085,0.20671427,"('inhospitable', 'hospitable')",-1.2575119,-1.2319049,0.1314255,0.21409857,-0.3042926,-0.270364,0.0339286
20,-0.034313783,-0.025800701,"('rough', 'thoughtful')",0.22790135,0.31308046,1.0545214,1.0317241,0.4160363,0.4396679,0.0236316
21,0.11189171,0.06261562,"('immoral', 'moral')",0.63863087,0.651127,-0.56625515,-0.5486337,0.0614225,0.0550363,-0.0063862
22,-0.4772066,-0.40463302,"('untrustworthy', 'trustworthy')",-0.59002966,-0.5842374,-1.0770078,-1.1630974,-0.714748,-0.7173226,-0.0025746
23,-0.8069569,-0.7587714,"('insincere', 'sincere')",1.6593362,1.667041,5.9853654,5.933803,2.2792482,2.2806908,0.0014426
24,0.24203692,0.24935727,"('dishonest', 'honest')",0.1018862,0.03221416,0.8911886,0.8377083,0.4117039,0.3730932,-0.0386107
25,-0.43127143,-0.41608158,"('egoistic', 'altruistic')",-0.08348329,-0.06572507,1.2967808,1.2186742,0.2606754,0.2456225,-0.0150529
26,0.43085894,0.31774202,"('hardhearted', 'benevolent')",1.6634096,1.5706427,1.5377322,1.3486397,1.210667,1.0790081,-0.1316589
27,0.17508137,0.2805649,"('hardhearted', 'softhearted')",0.113349035,0.22296983,1.454068,1.3728479,0.5808328,0.6254609,0.0446281
28,-0.47593004,-0.5185462,"('disloyal', 'loyal')",0.10807869,-0.009290005,1.2871982,1.1465526,0.3064489,0.2062388,-0.1002101
29,-0.81380695,-0.8232566,"('unfair', 'fair')",-0.65649915,-0.68496865,-0.4164711,-0.6011605,-0.6289258,-0.7031286,-0.0742028
30,-0.14611846,-0.17069879,"('intolerant', 'tolerant')",1.4372644,1.454425,1.3262262,1.3253858,0.8724574,0.869704,-0.0027534
31,-0.8512919,-0.63464534,"('evil', 'good')",-1.1943405,-1.1051612,-0.94464123,-1.0415242,-0.9967578,-0.9271102,0.0696476
32,-0.354796,-0.43970096,"('unkind', 'kind')",0.92008483,0.84709895,0.8644744,0.7151087,0.4765878,0.3741689,-0.1024189
33,0.314334,0.26730898,"('wrong', 'right')",0.43818772,0.42671323,-0.5024935,-0.62376714,0.0833428,0.0234183,-0.0599245
34,-0.09863015,0.10917397,"('mean', 'honorable')",0.64427716,0.77789783,6.5079207,6.6807084,2.3511893,2.5225933,0.171404
35,0.35788414,0.27385682,"('corrupt', 'incorrupt')",-1.7436162,-1.8136392,-0.20675868,-0.37113357,-0.5308302,-0.636972,-0.1061418
36,0.42665574,0.4712125,"('hostile', 'amicable')",-1.2357311,-1.1917716,0.4535453,0.2607885,-0.11851,-0.1532569,-0.0347469
37,0.0054793693,-0.06268667,"('fake', 'genuine')",-0.40054697,-0.3984428,0.37272367,0.37372383,-0.007448,-0.0291352,-0.0216872
38,-0.24428873,-0.07809929,"('untruthful', 'truthful')",0.3206553,0.28888646,0.16988406,0.26526275,0.0820835,0.1586833,0.0765998
39,0.5994307,0.5847395,"('exploitative', 'cooperative')",1.3139954,1.3526205,0.15130247,0.1758424,0.6882428,0.7044009,0.0161581
40,0.20216107,0.23364483,"('stingy', 'generous')",0.17460577,0.25447148,-1.8318104,-1.9520316,-0.4850145,-0.4879718,-0.0029573
41,0.466858,0.62329555,"('unforgiving', 'forgiving')",0.7105548,0.7894786,0.30132055,0.2467837,0.4929111,0.5531859,0.0602748
42,0.108480275,0.2180697,"('unreliable', 'reliable')",-0.06415734,-0.0027021505,-3.3221097,-3.1749203,-1.0925956,-0.9865176,0.106078
43,0.088498324,0.21956241,"('irresponsible', 'responsible')",0.7036306,0.7489324,0.41075173,0.49050537,0.4009602,0.4863334,0.0853732
44,0.19487903,0.15757649,"('prejudiced', 'unprejudiced')",-1.1044381,-1.0798613,-1.4383789,-1.4228933,-0.782646,-0.781726,0.00092
