,contract_male,contract_female,tuple,average_male,average_female,female-male
0,0.9141452,0.7768742,"('unsociable', 'sociable')",0.9141452,0.7768742,-0.137271
1,0.9950851,0.9751664,"('unfriendly', 'friendly')",0.9950851,0.9751664,-0.0199187
2,0.74759305,0.8868858,"('unlikable', 'likable')",0.747593,0.8868858,0.1392928
3,0.8238454,0.80127347,"('repellent', 'pleasant')",0.8238454,0.8012735,-0.0225719
4,-7.510317,-7.4185076,"('disliked', 'liked')",-7.5103168,-7.4185076,0.0918092
5,-1.3038375,-1.256741,"('distant', 'outgoing')",-1.3038375,-1.256741,0.0470965
6,-0.90312636,-0.8833544,"('distant', 'open')",-0.9031264,-0.8833544,0.019772
7,1.1647527,1.2315109,"('insensitive', 'sensitive')",1.1647527,1.2315109,0.0667582
8,0.5988996,0.65578234,"('unaffectionate', 'affectionate')",0.5988996,0.6557823,0.0568827
9,1.774576,1.842775,"('unaffectionate', 'caring')",1.7745759,1.842775,0.0681991
10,1.7769461,1.8006094,"('unsympathetic', 'sympathetic')",1.7769461,1.8006094,0.0236633
11,2.2586515,2.343952,"('unhelpful', 'helpful')",2.2586515,2.3439519,0.0853004
12,-1.3689187,-1.4002918,"('unsupportive', 'supportive')",-1.3689187,-1.4002918,-0.0313731
13,0.9590427,0.8474608,"('impolite', 'polite')",0.9590427,0.8474608,-0.1115819
14,0.40650797,0.309213,"('antisocial', 'social')",0.406508,0.309213,-0.097295
15,0.06296185,0.0656496,"('boring', 'funny')",0.0629618,0.0656496,0.0026878
16,-0.5680913,-0.5292853,"('unpopular', 'popular')",-0.5680913,-0.5292853,0.038806
17,-0.21114236,-0.26143706,"('nasty', 'nice')",-0.2111424,-0.2614371,-0.0502947
18,-1.2921381,-1.2516689,"('disagreeable', 'welcoming')",-1.2921381,-1.2516689,0.0404692
19,-1.0716609,-0.94152415,"('inhospitable', 'hospitable')",-1.0716609,-0.9415241,0.1301368
20,0.6536424,0.46475983,"('rough', 'thoughtful')",0.6536424,0.4647598,-0.1888826
21,0.6223536,0.77409506,"('immoral', 'moral')",0.6223536,0.7740951,0.1517415
22,-0.23197629,-0.19037987,"('untrustworthy', 'trustworthy')",-0.2319763,-0.1903799,0.0415964
23,6.9301724,6.989075,"('insincere', 'sincere')",6.9301724,6.9890752,0.0589028
24,1.8947209,1.9334562,"('dishonest', 'honest')",1.8947209,1.9334562,0.0387353
25,0.29755408,0.27742714,"('egoistic', 'altruistic')",0.2975541,0.2774271,-0.020127
26,0.6507506,0.57967955,"('hardhearted', 'benevolent')",0.6507506,0.5796795,-0.0710711
27,1.3718274,1.2056935,"('hardhearted', 'softhearted')",1.3718274,1.2056935,-0.1661339
28,1.4825249,1.487857,"('disloyal', 'loyal')",1.4825249,1.487857,0.0053321
29,-0.6758364,-0.86268574,"('unfair', 'fair')",-0.6758364,-0.8626857,-0.1868493
30,1.340877,1.4623733,"('intolerant', 'tolerant')",1.3408771,1.4623733,0.1214962
31,-2.497537,-2.5168886,"('evil', 'good')",-2.4975369,-2.5168886,-0.0193517
32,1.7626762,1.7824817,"('unkind', 'kind')",1.7626762,1.7824817,0.0198055
33,-0.32823265,-0.47172576,"('wrong', 'right')",-0.3282326,-0.4717258,-0.1434932
34,4.67361,4.967326,"('mean', 'honorable')",4.6736102,4.9673262,0.293716
35,-1.8610489,-2.07269,"('corrupt', 'incorrupt')",-1.8610489,-2.07269,-0.2116411
36,-1.2477677,-1.3260084,"('hostile', 'amicable')",-1.2477677,-1.3260084,-0.0782407
37,0.69431764,0.72572666,"('fake', 'genuine')",0.6943176,0.7257267,0.0314091
38,0.45418045,0.56680715,"('untruthful', 'truthful')",0.4541804,0.5668072,0.1126268
39,0.5466258,0.6420403,"('exploitative', 'cooperative')",0.5466258,0.6420403,0.0954145
40,-2.200636,-2.3959746,"('stingy', 'generous')",-2.2006359,-2.3959746,-0.1953387
41,0.7499863,0.64872515,"('unforgiving', 'forgiving')",0.7499863,0.6487252,-0.1012611
42,-2.279702,-2.2206175,"('unreliable', 'reliable')",-2.2797019,-2.2206175,0.0590844
43,1.6151772,1.721058,"('irresponsible', 'responsible')",1.6151772,1.721058,0.1058808
44,-1.5658169,-1.6222535,"('prejudiced', 'unprejudiced')",-1.5658169,-1.6222535,-0.0564366
45,0.6138787,0.5932941,"('incompetent', 'competent')",0.6138787,0.5932941,-0.0205846
46,0.39785364,0.44991633,"('uncompetitive', 'competitive')",0.3978536,0.4499163,0.0520627
47,5.4758663,5.66273,"('stupid', 'smart')",5.4758663,5.6627302,0.1868639
48,1.1098558,1.061233,"('unintelligent', 'intelligent')",1.1098558,1.061233,-0.0486228
49,0.25441864,0.457034,"('unable', 'able')",0.2544186,0.457034,0.2026154
50,-0.46183664,-0.48265678,"('clumsy', 'skillful')",-0.4618366,-0.4826568,-0.0208202
51,0.62928915,0.6904026,"('uneducated', 'educated')",0.6292892,0.6904026,0.0611134
52,-0.8626596,-0.9302607,"('irrational', 'rational')",-0.8626596,-0.9302607,-0.0676011
53,0.050995566,0.110666044,"('uncreative', 'creative')",0.0509956,0.110666,0.0596704
54,0.8906604,1.1368476,"('incapable', 'capable')",0.8906604,1.1368476,0.2461872
55,1.3003982,1.3448004,"('incompetent', 'clever')",1.3003982,1.3448004,0.0444022
56,1.6061944,1.6211301,"('impractical', 'practical')",1.6061944,1.6211301,0.0149357
57,-2.3860388,-2.3846548,"('unimaginative', 'imaginative')",-2.3860388,-2.3846548,0.001384
58,0.29824907,0.24443847,"('undiscriminating', 'discriminating')",0.2982491,0.2444385,-0.0538106
59,-0.45591965,-0.36680445,"('foolish', 'wise')",-0.4559197,-0.3668045,0.0891152
60,1.7566328,1.8524808,"('inefficient', 'efficient')",1.7566328,1.8524808,0.095848
61,0.5604923,0.33814433,"('illogical', 'logical')",0.5604923,0.3381443,-0.222348
62,1.7272352,1.8261347,"('incompetent', 'brilliant')",1.7272352,1.8261347,0.0988995
63,0.4895463,0.5492793,"('unperceptive', 'insightful')",0.4895463,0.5492793,0.059733
64,-5.4454255,-5.4106183,"('shy', 'confident')",-5.4454255,-5.4106183,0.0348072
65,0.99217224,1.0045884,"('insecure', 'secure')",0.9921722,1.0045884,0.0124162
66,-0.58653283,-0.74790776,"('inactive', 'active')",-0.5865328,-0.7479078,-0.161375
67,0.29201943,0.29690838,"('doubtful', 'determined')",0.2920194,0.2969084,0.004889
68,-0.99150884,-0.9564523,"('dependent', 'independent')",-0.9915088,-0.9564523,0.0350565
69,-2.4294157,-2.4764144,"('lazy', 'industrious')",-2.4294157,-2.4764144,-0.0469987
