,dock_male,dock_female,tuple,average_male,average_female,female-male
0,0.2344383,0.43739045,"('unsociable', 'sociable')",0.2344383,0.4373904,0.2029521
1,2.3782516,2.1846395,"('unfriendly', 'friendly')",2.3782516,2.1846395,-0.1936121
2,0.591315,0.6658779,"('unlikable', 'likable')",0.591315,0.6658779,0.0745629
3,-0.022217989,0.23793995,"('repellent', 'pleasant')",-0.022218,0.23794,0.260158
4,-5.878797,-6.125318,"('disliked', 'liked')",-5.8787971,-6.1253181,-0.246521
5,0.42263734,0.02432689,"('distant', 'outgoing')",0.4226373,0.0243269,-0.3983104
6,1.2092781,0.80436766,"('distant', 'open')",1.2092781,0.8043677,-0.4049104
7,0.76049495,1.0044355,"('insensitive', 'sensitive')",0.7604949,1.0044355,0.2439406
8,2.4448297,2.1717231,"('unaffectionate', 'affectionate')",2.4448297,2.1717231,-0.2731066
9,2.4765828,2.2672317,"('unaffectionate', 'caring')",2.4765828,2.2672317,-0.2093511
10,-0.2166655,0.0826312,"('unsympathetic', 'sympathetic')",-0.2166655,0.0826312,0.2992967
11,1.2083952,1.4330003,"('unhelpful', 'helpful')",1.2083952,1.4330003,0.2246051
12,-1.0941552,-1.1080191,"('unsupportive', 'supportive')",-1.0941552,-1.1080191,-0.0138639
13,-1.1817547,-0.90835357,"('impolite', 'polite')",-1.1817547,-0.9083536,0.2734011
14,-0.27126634,-0.0065374635,"('antisocial', 'social')",-0.2712663,-0.0065375,0.2647288
15,1.3648607,1.1216562,"('boring', 'funny')",1.3648607,1.1216562,-0.2432045
16,-0.12021723,-0.08511913,"('unpopular', 'popular')",-0.1202172,-0.0851191,0.0350981
17,-0.19519243,-0.102804795,"('nasty', 'nice')",-0.1951924,-0.1028048,0.0923876
18,-0.65018946,-0.6771223,"('disagreeable', 'welcoming')",-0.6501895,-0.6771223,-0.0269328
19,-0.09643854,-0.075249046,"('inhospitable', 'hospitable')",-0.0964385,-0.075249,0.0211895
20,-0.14324452,0.0021835342,"('rough', 'thoughtful')",-0.1432445,0.0021835,0.145428
21,-1.2736425,-0.8359894,"('immoral', 'moral')",-1.2736425,-0.8359894,0.4376531
22,-0.81833243,-0.7157182,"('untrustworthy', 'trustworthy')",-0.8183324,-0.7157182,0.1026142
23,5.5567255,5.932013,"('insincere', 'sincere')",5.5567255,5.932013,0.3752875
24,0.98282224,0.9763656,"('dishonest', 'honest')",0.9828222,0.9763656,-0.0064566
25,1.7249682,1.4553784,"('egoistic', 'altruistic')",1.7249682,1.4553784,-0.2695898
26,2.1471777,1.8711451,"('hardhearted', 'benevolent')",2.1471777,1.8711451,-0.2760326
27,1.3167596,0.99703634,"('hardhearted', 'softhearted')",1.3167596,0.9970363,-0.3197233
28,1.3062347,1.36916,"('disloyal', 'loyal')",1.3062347,1.3691601,0.0629254
29,-0.2609189,-0.41443408,"('unfair', 'fair')",-0.2609189,-0.4144341,-0.1535152
30,0.026708405,0.23209241,"('intolerant', 'tolerant')",0.0267084,0.2320924,0.205384
31,-0.38352278,-0.6074062,"('evil', 'good')",-0.3835228,-0.6074062,-0.2238834
32,0.81106955,0.910029,"('unkind', 'kind')",0.8110695,0.910029,0.0989595
33,0.68895996,0.3188926,"('wrong', 'right')",0.68896,0.3188926,-0.3700674
34,4.337857,4.65735,"('mean', 'honorable')",4.3378568,4.6573501,0.3194933
35,0.4059027,-0.13920912,"('corrupt', 'incorrupt')",0.4059027,-0.1392091,-0.5451118
36,0.979327,0.6299669,"('hostile', 'amicable')",0.979327,0.6299669,-0.3493601
37,0.25083917,0.25374117,"('fake', 'genuine')",0.2508392,0.2537412,0.002902
38,0.16219978,0.1263224,"('untruthful', 'truthful')",0.1621998,0.1263224,-0.0358774
39,-0.16890296,-0.06071918,"('exploitative', 'cooperative')",-0.168903,-0.0607192,0.1081838
40,-1.7533346,-1.7617369,"('stingy', 'generous')",-1.7533346,-1.7617369,-0.0084023
41,0.9523626,1.0344179,"('unforgiving', 'forgiving')",0.9523626,1.0344179,0.0820553
42,-2.677523,-2.702555,"('unreliable', 'reliable')",-2.6775229,-2.7025549,-0.025032
43,0.37720883,0.5332411,"('irresponsible', 'responsible')",0.3772088,0.5332411,0.1560323
