,theology_male,theology_female,tuple,average_male,average_female,female-male
0,0.0513186,-0.19923149,"('unsociable', 'sociable')",0.0513186,-0.1992315,-0.2505501
1,1.497069,1.4994591,"('unfriendly', 'friendly')",1.497069,1.4994591,0.0023901
2,0.16253592,0.19656546,"('unlikable', 'likable')",0.1625359,0.1965655,0.0340296
3,0.40640774,0.46338126,"('repellent', 'pleasant')",0.4064077,0.4633813,0.0569736
4,-7.3899536,-7.4619603,"('disliked', 'liked')",-7.3899536,-7.4619603,-0.0720067
5,-0.28353503,-0.23875526,"('distant', 'outgoing')",-0.283535,-0.2387553,0.0447797
6,0.15706807,0.17612268,"('distant', 'open')",0.1570681,0.1761227,0.0190546
7,0.8838386,0.84469396,"('insensitive', 'sensitive')",0.8838386,0.844694,-0.0391446
8,1.1570415,1.1037388,"('unaffectionate', 'affectionate')",1.1570415,1.1037388,-0.0533027
9,1.839096,1.8437756,"('unaffectionate', 'caring')",1.839096,1.8437756,0.0046796
10,0.56228334,0.486244,"('unsympathetic', 'sympathetic')",0.5622833,0.486244,-0.0760393
11,1.9195391,1.8812336,"('unhelpful', 'helpful')",1.9195391,1.8812336,-0.0383055
12,-1.3562422,-1.4160142,"('unsupportive', 'supportive')",-1.3562422,-1.4160142,-0.059772
13,-0.73913676,-0.84215987,"('impolite', 'polite')",-0.7391368,-0.8421599,-0.1030231
14,-0.24441117,-0.3692364,"('antisocial', 'social')",-0.2444112,-0.3692364,-0.1248252
15,0.26540896,0.22823909,"('boring', 'funny')",0.265409,0.2282391,-0.0371699
16,-0.9253979,-0.78413457,"('unpopular', 'popular')",-0.9253979,-0.7841346,0.1412633
17,-0.30233097,-0.28935763,"('nasty', 'nice')",-0.302331,-0.2893576,0.0129734
18,-0.40006858,-0.3533661,"('disagreeable', 'welcoming')",-0.4000686,-0.3533661,0.0467025
19,0.07779564,4.8976857e-05,"('inhospitable', 'hospitable')",0.0777956,4.9e-05,-0.0777466
20,1.1549761,1.1179274,"('rough', 'thoughtful')",1.1549761,1.1179274,-0.0370487
21,0.4384628,0.2787576,"('immoral', 'moral')",0.4384628,0.2787576,-0.1597052
22,-0.31098354,-0.44063815,"('untrustworthy', 'trustworthy')",-0.3109835,-0.4406382,-0.1296547
23,7.370848,7.2475457,"('insincere', 'sincere')",7.3708482,7.2475457,-0.1233025
24,1.8157088,1.547141,"('dishonest', 'honest')",1.8157088,1.547141,-0.2685678
25,0.9090084,0.9138118,"('egoistic', 'altruistic')",0.9090084,0.9138118,0.0048034
26,0.92456716,0.8922954,"('hardhearted', 'benevolent')",0.9245672,0.8922954,-0.0322718
27,1.5788442,1.4672275,"('hardhearted', 'softhearted')",1.5788442,1.4672275,-0.1116167
28,1.2364997,1.1184715,"('disloyal', 'loyal')",1.2364997,1.1184715,-0.1180282
29,-0.14101014,-0.339286,"('unfair', 'fair')",-0.1410101,-0.339286,-0.1982759
30,1.1072668,1.0318779,"('intolerant', 'tolerant')",1.1072668,1.0318779,-0.0753889
