,alpha_male,alpha_female,tuple,average_male,average_female,female-male
0,0.30514836,0.19195965,"('unsociable', 'sociable')",0.3051484,0.1919596,-0.1131888
1,1.0376685,1.0933635,"('unfriendly', 'friendly')",1.0376685,1.0933635,0.055695
2,0.25752398,0.3571301,"('unlikable', 'likable')",0.257524,0.3571301,0.0996061
3,0.96803063,0.99540627,"('repellent', 'pleasant')",0.9680306,0.9954063,0.0273757
4,-7.591554,-7.5582957,"('disliked', 'liked')",-7.5915542,-7.5582957,0.0332585
5,-0.36231494,-0.24064356,"('distant', 'outgoing')",-0.3623149,-0.2406436,0.1216713
6,-0.003788337,0.09636265,"('distant', 'open')",-0.0037883,0.0963627,0.100151
7,1.4388186,1.4242282,"('insensitive', 'sensitive')",1.4388186,1.4242282,-0.0145904
8,1.0091183,0.9457237,"('unaffectionate', 'affectionate')",1.0091183,0.9457237,-0.0633946
9,1.4050825,1.4185764,"('unaffectionate', 'caring')",1.4050825,1.4185764,0.0134939
10,1.4363556,1.3626691,"('unsympathetic', 'sympathetic')",1.4363556,1.3626691,-0.0736865
11,2.1043234,2.0759475,"('unhelpful', 'helpful')",2.1043234,2.0759475,-0.0283759
12,-1.2026397,-1.1984489,"('unsupportive', 'supportive')",-1.2026397,-1.1984489,0.0041908
13,0.03193337,-0.019393632,"('impolite', 'polite')",0.0319334,-0.0193936,-0.051327
14,0.40940186,0.29953927,"('antisocial', 'social')",0.4094019,0.2995393,-0.1098626
15,0.25865135,0.32565716,"('boring', 'funny')",0.2586513,0.3256572,0.0670059
16,-0.76716274,-0.6717129,"('unpopular', 'popular')",-0.7671627,-0.6717129,0.0954498
17,-0.07149155,-0.029402982,"('nasty', 'nice')",-0.0714915,-0.029403,0.0420885
18,-0.49987468,-0.5098339,"('disagreeable', 'welcoming')",-0.4998747,-0.5098339,-0.0099592
19,-0.58473665,-0.4661404,"('inhospitable', 'hospitable')",-0.5847366,-0.4661404,0.1185962
20,0.86805063,0.7391723,"('rough', 'thoughtful')",0.8680506,0.7391723,-0.1288783
21,0.2756699,0.2815122,"('immoral', 'moral')",0.2756699,0.2815122,0.0058423
22,0.0367181,-0.02774543,"('untrustworthy', 'trustworthy')",0.0367181,-0.0277454,-0.0644635
23,6.624696,6.667666,"('insincere', 'sincere')",6.6246958,6.667666,0.0429702
24,2.031223,2.0262191,"('dishonest', 'honest')",2.0312231,2.0262191,-0.005004
25,0.12482777,0.08902095,"('egoistic', 'altruistic')",0.1248278,0.089021,-0.0358068
26,0.27403778,0.2331931,"('hardhearted', 'benevolent')",0.2740378,0.2331931,-0.0408447
27,1.9502014,1.7705216,"('hardhearted', 'softhearted')",1.9502014,1.7705216,-0.1796798
28,1.1040242,1.0755302,"('disloyal', 'loyal')",1.1040242,1.0755302,-0.028494
29,-0.25309578,-0.36057764,"('unfair', 'fair')",-0.2530958,-0.3605776,-0.1074818
30,1.2400599,1.1611528,"('intolerant', 'tolerant')",1.2400599,1.1611528,-0.0789071
31,-1.6238284,-1.4854424,"('evil', 'good')",-1.6238284,-1.4854424,0.138386
32,0.9496619,0.921453,"('unkind', 'kind')",0.9496619,0.921453,-0.0282089
33,-0.71429837,-0.67750764,"('wrong', 'right')",-0.7142984,-0.6775076,0.0367908
34,4.666983,4.893083,"('mean', 'honorable')",4.6669831,4.8930831,0.2261
35,-1.0392766,-1.0834725,"('corrupt', 'incorrupt')",-1.0392766,-1.0834725,-0.0441959
36,-1.0359956,-1.0410326,"('hostile', 'amicable')",-1.0359956,-1.0410326,-0.005037
37,0.75551856,0.7286752,"('fake', 'genuine')",0.7555186,0.7286752,-0.0268434
38,-0.17291023,-0.12225357,"('untruthful', 'truthful')",-0.1729102,-0.1222536,0.0506566
39,-0.05464625,-0.09109746,"('exploitative', 'cooperative')",-0.0546462,-0.0910975,-0.0364513
40,-1.1751161,-1.25024,"('stingy', 'generous')",-1.1751161,-1.25024,-0.0751239
41,-0.15628639,-0.29051197,"('unforgiving', 'forgiving')",-0.1562864,-0.290512,-0.1342256
42,-1.9432822,-1.9701306,"('unreliable', 'reliable')",-1.9432822,-1.9701306,-0.0268484
43,1.806259,1.6998007,"('irresponsible', 'responsible')",1.806259,1.6998007,-0.1064583
44,-1.414196,-1.5495505,"('prejudiced', 'unprejudiced')",-1.414196,-1.5495505,-0.1353545
45,0.5230491,0.4580472,"('incompetent', 'competent')",0.5230491,0.4580472,-0.0650019
46,-0.14975527,-0.2397024,"('uncompetitive', 'competitive')",-0.1497553,-0.2397024,-0.0899471
47,5.410454,5.6129646,"('stupid', 'smart')",5.4104538,5.6129646,0.2025108
48,1.2671142,1.1759808,"('unintelligent', 'intelligent')",1.2671142,1.1759808,-0.0911334
49,-0.18597949,-0.05734223,"('unable', 'able')",-0.1859795,-0.0573422,0.1286373
50,-0.123844065,-0.064078294,"('clumsy', 'skillful')",-0.1238441,-0.0640783,0.0597658
51,0.39049876,0.3953757,"('uneducated', 'educated')",0.3904988,0.3953757,0.0048769
52,-0.54047245,-0.5146774,"('irrational', 'rational')",-0.5404724,-0.5146774,0.025795
53,0.089111894,0.1449217,"('uncreative', 'creative')",0.0891119,0.1449217,0.0558098
54,1.1069467,1.2683152,"('incapable', 'capable')",1.1069467,1.2683152,0.1613685
55,1.2420877,1.1432111,"('incompetent', 'clever')",1.2420877,1.1432111,-0.0988766
56,0.8190279,0.81828445,"('impractical', 'practical')",0.8190279,0.8182845,-0.0007434
57,-2.7218094,-2.7373786,"('unimaginative', 'imaginative')",-2.7218094,-2.7373786,-0.0155692
58,-0.22389562,-0.2612526,"('undiscriminating', 'discriminating')",-0.2238956,-0.2612526,-0.037357
59,-0.08616482,0.06522934,"('foolish', 'wise')",-0.0861648,0.0652293,0.1513941
60,0.8321538,0.80531067,"('inefficient', 'efficient')",0.8321538,0.8053107,-0.0268431
61,0.8510383,0.669397,"('illogical', 'logical')",0.8510383,0.669397,-0.1816413
62,1.651024,1.6861312,"('incompetent', 'brilliant')",1.651024,1.6861312,0.0351072
63,0.8824352,0.9034074,"('unperceptive', 'insightful')",0.8824352,0.9034074,0.0209722
64,-5.841564,-5.866427,"('shy', 'confident')",-5.8415642,-5.8664269,-0.0248627
65,1.2731558,1.1786435,"('insecure', 'secure')",1.2731558,1.1786435,-0.0945123
66,0.011091508,0.004070759,"('inactive', 'active')",0.0110915,0.0040708,-0.0070207
