,stumbling_male,stumbling_female,tuple,average_male,average_female,female-male
0,-0.12435007,-0.22916378,"('unsociable', 'sociable')",-0.1243501,-0.2291638,-0.1048137
1,1.1423244,1.123427,"('unfriendly', 'friendly')",1.1423244,1.123427,-0.0188974
2,-0.24196507,-0.13764188,"('unlikable', 'likable')",-0.2419651,-0.1376419,0.1043232
3,0.7572879,0.77113783,"('repellent', 'pleasant')",0.7572879,0.7711378,0.0138499
4,-7.478359,-7.57649,"('disliked', 'liked')",-7.4783592,-7.5764899,-0.0981307
5,-0.5522766,-0.48960805,"('distant', 'outgoing')",-0.5522766,-0.489608,0.0626686
6,-0.08733106,-0.10393291,"('distant', 'open')",-0.0873311,-0.1039329,-0.0166018
7,0.85673064,0.8892663,"('insensitive', 'sensitive')",0.8567306,0.8892663,0.0325357
8,0.9106127,0.8558265,"('unaffectionate', 'affectionate')",0.9106127,0.8558265,-0.0547862
9,1.2456799,1.3070047,"('unaffectionate', 'caring')",1.2456799,1.3070047,0.0613248
10,1.1237836,1.0741653,"('unsympathetic', 'sympathetic')",1.1237836,1.0741653,-0.0496183
11,1.6663917,1.7078801,"('unhelpful', 'helpful')",1.6663917,1.7078801,0.0414884
12,-1.8363273,-1.8735632,"('unsupportive', 'supportive')",-1.8363273,-1.8735632,-0.0372359
13,-0.10990828,-0.15324001,"('impolite', 'polite')",-0.1099083,-0.15324,-0.0433317
14,0.17944504,0.09079456,"('antisocial', 'social')",0.179445,0.0907946,-0.0886504
15,0.03199651,-0.008216135,"('boring', 'funny')",0.0319965,-0.0082161,-0.0402126
16,-0.5599653,-0.47400746,"('unpopular', 'popular')",-0.5599653,-0.4740075,0.0859578
17,-0.620806,-0.5309611,"('nasty', 'nice')",-0.620806,-0.5309611,0.0898449
18,-0.22060065,-0.32547408,"('disagreeable', 'welcoming')",-0.2206006,-0.3254741,-0.1048735
19,-0.80724466,-0.81487024,"('inhospitable', 'hospitable')",-0.8072447,-0.8148702,-0.0076255
20,1.0940651,1.0196555,"('rough', 'thoughtful')",1.0940651,1.0196555,-0.0744096
21,-0.38475463,-0.3771185,"('immoral', 'moral')",-0.3847546,-0.3771185,0.0076361
22,-0.46047497,-0.5283943,"('untrustworthy', 'trustworthy')",-0.460475,-0.5283943,-0.0679193
23,6.6150603,6.6642146,"('insincere', 'sincere')",6.6150603,6.6642146,0.0491543
24,1.5680065,1.4585783,"('dishonest', 'honest')",1.5680065,1.4585783,-0.1094282
25,0.712747,0.6659141,"('egoistic', 'altruistic')",0.712747,0.6659141,-0.0468329
26,0.52949065,0.4970165,"('hardhearted', 'benevolent')",0.5294906,0.4970165,-0.0324741
27,1.6416193,1.5251734,"('hardhearted', 'softhearted')",1.6416193,1.5251734,-0.1164459
28,1.1729248,1.1351926,"('disloyal', 'loyal')",1.1729248,1.1351926,-0.0377322
29,-0.74298614,-0.84503794,"('unfair', 'fair')",-0.7429861,-0.8450379,-0.1020518
30,0.88165826,0.8313873,"('intolerant', 'tolerant')",0.8816583,0.8313873,-0.050271
31,-1.4957366,-1.4515728,"('evil', 'good')",-1.4957366,-1.4515728,0.0441638
32,0.99565893,0.966711,"('unkind', 'kind')",0.9956589,0.966711,-0.0289479
33,-0.6107507,-0.6019124,"('wrong', 'right')",-0.6107507,-0.6019124,0.0088383
34,4.7300725,4.872836,"('mean', 'honorable')",4.7300725,4.8728361,0.1427636
35,-0.6704219,-0.85643804,"('corrupt', 'incorrupt')",-0.6704219,-0.856438,-0.1860161
36,-0.8625825,-0.89784646,"('hostile', 'amicable')",-0.8625825,-0.8978465,-0.035264
37,0.9097711,0.8842809,"('fake', 'genuine')",0.9097711,0.8842809,-0.0254902
38,-0.097282425,-0.07901207,"('untruthful', 'truthful')",-0.0972824,-0.0790121,0.0182703
39,0.40185374,0.35374355,"('exploitative', 'cooperative')",0.4018537,0.3537436,-0.0481101
40,-1.2297205,-1.4669844,"('stingy', 'generous')",-1.2297205,-1.4669844,-0.2372639
41,-0.003746435,-0.023550024,"('unforgiving', 'forgiving')",-0.0037464,-0.02355,-0.0198036
42,-2.1425533,-2.3022165,"('unreliable', 'reliable')",-2.1425533,-2.3022165,-0.1596632
43,1.018478,1.0010539,"('irresponsible', 'responsible')",1.018478,1.0010539,-0.0174241
44,-0.8758788,-0.8816784,"('prejudiced', 'unprejudiced')",-0.8758788,-0.8816784,-0.0057996
45,-0.0019263234,-0.003006637,"('incompetent', 'competent')",-0.0019263,-0.0030066,-0.0010803
46,-0.38448167,-0.5211259,"('uncompetitive', 'competitive')",-0.3844817,-0.5211259,-0.1366442
47,5.154563,5.363523,"('stupid', 'smart')",5.154563,5.363523,0.20896
48,0.49939668,0.40791464,"('unintelligent', 'intelligent')",0.4993967,0.4079146,-0.0914821
49,0.20342055,0.25178364,"('unable', 'able')",0.2034205,0.2517836,0.0483631
50,-0.27354565,-0.32806823,"('clumsy', 'skillful')",-0.2735457,-0.3280682,-0.0545225
51,0.7595271,0.6148355,"('uneducated', 'educated')",0.7595271,0.6148355,-0.1446916
52,-0.7748893,-0.7686616,"('irrational', 'rational')",-0.7748893,-0.7686616,0.0062277
53,-0.11414741,-0.1422461,"('uncreative', 'creative')",-0.1141474,-0.1422461,-0.0280987
54,1.1530323,1.2274879,"('incapable', 'capable')",1.1530323,1.2274879,0.0744556
55,0.7963528,0.7327554,"('incompetent', 'clever')",0.7963528,0.7327554,-0.0635974
56,0.6220032,0.55937535,"('impractical', 'practical')",0.6220032,0.5593753,-0.0626279
57,-2.7696607,-2.7830348,"('unimaginative', 'imaginative')",-2.7696607,-2.7830348,-0.0133741
58,0.25827882,0.21379133,"('undiscriminating', 'discriminating')",0.2582788,0.2137913,-0.0444875
59,-0.23148985,-0.22754,"('foolish', 'wise')",-0.2314899,-0.22754,0.0039499
60,0.54522353,0.5831497,"('inefficient', 'efficient')",0.5452235,0.5831497,0.0379262
61,0.2572635,0.11119422,"('illogical', 'logical')",0.2572635,0.1111942,-0.1460693
62,0.418294,0.5149938,"('incompetent', 'brilliant')",0.418294,0.5149938,0.0966998
63,0.1686201,0.15871736,"('unperceptive', 'insightful')",0.1686201,0.1587174,-0.0099027
64,-6.515145,-6.5811796,"('shy', 'confident')",-6.5151448,-6.5811796,-0.0660348
65,0.34424698,0.30695122,"('insecure', 'secure')",0.344247,0.3069512,-0.0372958
66,-0.18110266,-0.24835476,"('inactive', 'active')",-0.1811027,-0.2483548,-0.0672521
67,-0.43825302,-0.37593055,"('doubtful', 'determined')",-0.438253,-0.3759305,0.0623225
68,-0.35405648,-0.4575211,"('dependent', 'independent')",-0.3540565,-0.4575211,-0.1034646
69,-2.1426704,-2.075808,"('lazy', 'industrious')",-2.1426704,-2.075808,0.0668624
70,1.4304786,1.3561083,"('lethargic', 'energetic')",1.4304786,1.3561083,-0.0743703
71,0.59822774,0.64110357,"('diffident', 'self-confident')",0.5982277,0.6411036,0.0428759
72,0.58730435,0.6883172,"('unambitious', 'ambitious')",0.5873044,0.6883172,0.1010128
73,-3.047035,-3.069705,"('helpless', 'self-reliant')",-3.047035,-3.069705,-0.02267
74,0.26468697,0.094250776,"('undedicated', 'dedicated')",0.264687,0.0942508,-0.1704362
75,-0.9303164,-0.7906932,"('meek', 'impulsive')",-0.9303164,-0.7906932,0.1396232
76,0.956157,0.86465156,"('anxious', 'daring')",0.956157,0.8646516,-0.0915054
77,-1.5526164,-1.3947856,"('unmotivated', 'motivated')",-1.5526164,-1.3947856,0.1578308
78,-0.5910941,-0.63083786,"('nonresilient', 'resilient')",-0.5910941,-0.6308379,-0.0397438
79,-0.23059392,-0.25141504,"('wavering', 'unwavering')",-0.2305939,-0.251415,-0.0208211
80,-0.14291878,-0.24557479,"('dominated', 'dominating')",-0.1429188,-0.2455748,-0.102656
81,0.28229225,0.2770724,"('submissive', 'aggressive')",0.2822922,0.2770724,-0.0052198
82,6.359548,6.523209,"('poor', 'rich')",6.3595481,6.5232091,0.163661
83,-0.123339996,-0.18025857,"('powerless', 'powerful')",-0.12334,-0.1802586,-0.0569186
84,0.58045256,0.5726972,"('inferior', 'superior')",0.5804526,0.5726972,-0.0077554
85,-0.3797856,-0.411284,"('insignificant', 'prestigious')",-0.3797856,-0.411284,-0.0314984
86,0.33497772,0.2820868,"('uninfluential', 'influential')",0.3349777,0.2820868,-0.0528909
87,-0.29900578,-0.1780236,"('unsuccessful', 'successful')",-0.2990058,-0.1780236,0.1209822
88,0.40118906,0.3848773,"('low', 'eminent')",0.4011891,0.3848773,-0.0163118
