,cnx_male,cnx_female,tuple,resources_male,resources_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.0320735,-1.2437168,"('unsociable', 'sociable')",0.024527855,-0.14631808,-0.14590403,-0.26206648,-0.3844832,-0.5507005,-0.1662173
1,-1.4827032,-1.5618926,"('unfriendly', 'friendly')",0.025049126,-0.112318814,0.58685327,0.5135036,-0.290267,-0.3869027,-0.0966357
2,1.3567373,1.366256,"('unlikable', 'likable')",0.94133574,0.9569254,0.97994965,1.017699,1.0926743,1.1136268,0.0209525
3,0.18009508,0.19901553,"('repellent', 'pleasant')",0.6614246,0.6875164,0.9666142,0.929858,0.6027113,0.6054633,0.002752
4,-0.4060226,-0.4248316,"('disliked', 'liked')",-0.2487,-0.31612825,-5.734333,-5.7989054,-2.1296852,-2.1799552,-0.05027
5,-0.5449598,-0.45100787,"('distant', 'outgoing')",-0.10411714,0.0020980388,-1.256006,-1.1708999,-0.6350276,-0.5399365,0.0950911
6,-0.89193386,-0.8231031,"('distant', 'open')",-0.7518973,-0.70997745,-1.411435,-1.3761035,-1.018422,-0.969728,0.048694
7,-0.11726998,-0.21576574,"('insensitive', 'sensitive')",0.83325964,0.8024978,0.37174594,0.3840032,0.3625786,0.3235784,-0.0390002
8,-0.7080182,-0.7559007,"('unaffectionate', 'affectionate')",-0.42065647,-0.46885967,-0.11422898,-0.13107899,-0.4143012,-0.4519464,-0.0376452
9,-0.6758368,-0.78109384,"('unaffectionate', 'caring')",0.45098266,0.40593064,0.53440964,0.5326331,0.1031852,0.05249,-0.0506952
10,-0.5741586,-0.77464634,"('unsympathetic', 'sympathetic')",-0.51384574,-0.66484094,-0.25015417,-0.3061039,-0.4460528,-0.5818637,-0.1358109
11,0.04163611,-0.09661506,"('unhelpful', 'helpful')",0.43959054,0.44034624,2.1761277,2.1609602,0.8857848,0.8348971,-0.0508877
12,0.14404857,0.20457134,"('unsupportive', 'supportive')",0.3676282,0.41101247,-1.9987682,-1.9081914,-0.4956971,-0.4308692,0.0648279
13,-0.42645195,-0.47318545,"('impolite', 'polite')",-0.014419533,0.018612713,-0.6739249,-0.6998724,-0.3715988,-0.3848151,-0.0132163
14,-0.057166845,-0.11888212,"('antisocial', 'social')",1.0111204,0.982897,0.47399879,0.39047194,0.4759841,0.4181623,-0.0578218
15,0.70413953,0.5960748,"('boring', 'funny')",-0.18060593,-0.18961716,0.082737654,0.0655303,0.2020904,0.1573293,-0.0447611
16,-0.016537577,-0.15572488,"('unpopular', 'popular')",-0.22254261,-0.34611687,0.24050343,0.14794211,0.0004744,-0.1179666,-0.118441
17,-0.44706064,-0.4029797,"('nasty', 'nice')",-0.20429529,-0.14922252,-0.49435964,-0.47503534,-0.3819052,-0.3424125,0.0394927
18,-0.7084004,-0.7271995,"('disagreeable', 'welcoming')",-0.62718636,-0.6671159,-0.7267404,-0.7701789,-0.6874424,-0.7214982,-0.0340558
19,-0.41696757,-0.3928651,"('inhospitable', 'hospitable')",-1.2523346,-1.2313406,-0.8916673,-0.8083918,-0.8536565,-0.8108659,0.0427906
20,-0.07790649,-0.10218482,"('rough', 'thoughtful')",-0.015528958,-0.035918534,0.6115011,0.58737266,0.1726885,0.1497564,-0.0229321
21,0.13087903,-0.015624721,"('immoral', 'moral')",1.0238681,0.9435848,0.024453573,0.020954113,0.3930669,0.3163047,-0.0767622
22,0.2168694,0.15917422,"('untrustworthy', 'trustworthy')",-0.032867264,-0.13527796,-0.59309006,-0.6446073,-0.1363626,-0.2069037,-0.0705411
23,-0.46396962,-0.64007306,"('insincere', 'sincere')",0.48121047,0.33052635,5.4668083,5.344799,1.8280164,1.6784175,-0.1495989
