,waveform_male,waveform_female,tuple,average_male,average_female,female-male
0,-0.14459772,-0.16502252,"('unsociable', 'sociable')",-0.1445977,-0.1650225,-0.0204248
1,0.4144179,0.22185871,"('unfriendly', 'friendly')",0.4144179,0.2218587,-0.1925592
2,-0.3454812,-0.34798995,"('unlikable', 'likable')",-0.3454812,-0.3479899,-0.0025087
3,-0.13245377,-8.692825e-05,"('repellent', 'pleasant')",-0.1324538,-8.69e-05,0.1323669
4,-3.4178407,-3.6914446,"('disliked', 'liked')",-3.4178407,-3.6914446,-0.2736039
5,-0.95026636,-0.95820045,"('distant', 'outgoing')",-0.9502664,-0.9582005,-0.0079341
6,-1.2605249,-1.2997786,"('distant', 'open')",-1.2605249,-1.2997786,-0.0392537
7,0.45094517,0.56128675,"('insensitive', 'sensitive')",0.4509452,0.5612867,0.1103415
8,-0.1584276,-0.30611914,"('unaffectionate', 'affectionate')",-0.1584276,-0.3061191,-0.1476915
9,0.09756444,0.08376715,"('unaffectionate', 'caring')",0.0975644,0.0837672,-0.0137972
10,-0.32825354,-0.23853779,"('unsympathetic', 'sympathetic')",-0.3282535,-0.2385378,0.0897157
11,0.8120881,0.9224607,"('unhelpful', 'helpful')",0.8120881,0.9224607,0.1103726
12,-0.9029398,-0.8654152,"('unsupportive', 'supportive')",-0.9029398,-0.8654152,0.0375246
13,0.26695108,0.13602334,"('impolite', 'polite')",0.2669511,0.1360233,-0.1309278
14,0.27939418,0.39642113,"('antisocial', 'social')",0.2793942,0.3964211,0.1170269
15,0.8879666,0.6829535,"('boring', 'funny')",0.8879666,0.6829535,-0.2050131
16,-0.52105707,-0.53852135,"('unpopular', 'popular')",-0.5210571,-0.5385213,-0.0174642
17,0.12885281,0.15778184,"('nasty', 'nice')",0.1288528,0.1577818,0.028929
18,0.0234055,-0.005954981,"('disagreeable', 'welcoming')",0.0234055,-0.005955,-0.0293605
19,-1.1673514,-1.2260076,"('inhospitable', 'hospitable')",-1.1673514,-1.2260076,-0.0586562
20,0.5242606,0.6615186,"('rough', 'thoughtful')",0.5242606,0.6615186,0.137258
21,0.44105735,0.46848425,"('immoral', 'moral')",0.4410574,0.4684843,0.0274269
22,-0.21330595,-0.19115536,"('untrustworthy', 'trustworthy')",-0.213306,-0.1911554,0.0221506
23,3.2129412,3.4415777,"('insincere', 'sincere')",3.2129412,3.4415777,0.2286365
24,0.12035674,0.10404066,"('dishonest', 'honest')",0.1203567,0.1040407,-0.016316
25,0.35162592,0.43687448,"('egoistic', 'altruistic')",0.3516259,0.4368745,0.0852486
26,0.7736333,0.44090164,"('hardhearted', 'benevolent')",0.7736333,0.4409016,-0.3327317
27,0.41392404,0.35905415,"('hardhearted', 'softhearted')",0.413924,0.3590541,-0.0548699
28,0.92497593,0.8398446,"('disloyal', 'loyal')",0.9249759,0.8398446,-0.0851313
29,-0.5024407,-0.444401,"('unfair', 'fair')",-0.5024407,-0.444401,0.0580397
30,0.90396625,0.8259792,"('intolerant', 'tolerant')",0.9039662,0.8259792,-0.077987
31,-1.0961665,-1.1391909,"('evil', 'good')",-1.0961665,-1.1391909,-0.0430244
32,0.4680605,0.32554436,"('unkind', 'kind')",0.4680605,0.3255444,-0.1425161
33,-0.37099746,-0.39683902,"('wrong', 'right')",-0.3709975,-0.396839,-0.0258415
34,1.8315047,2.1120687,"('mean', 'honorable')",1.8315047,2.1120687,0.280564
35,-0.48083282,-0.5436622,"('corrupt', 'incorrupt')",-0.4808328,-0.5436622,-0.0628294
36,-0.6213261,-0.82539374,"('hostile', 'amicable')",-0.6213261,-0.8253937,-0.2040676
37,-0.037646037,0.011048324,"('fake', 'genuine')",-0.037646,0.0110483,0.0486943
38,-0.18403266,-0.24194784,"('untruthful', 'truthful')",-0.1840327,-0.2419478,-0.0579151
39,0.45738864,0.51031315,"('exploitative', 'cooperative')",0.4573886,0.5103132,0.0529246
40,-0.7626769,-0.8440221,"('stingy', 'generous')",-0.7626769,-0.8440221,-0.0813452
41,-0.06832274,-0.17299032,"('unforgiving', 'forgiving')",-0.0683227,-0.1729903,-0.1046676
42,-1.725617,-1.7243983,"('unreliable', 'reliable')",-1.7256171,-1.7243983,0.0012188
43,-0.19598943,-0.13677028,"('irresponsible', 'responsible')",-0.1959894,-0.1367703,0.0592191
44,-1.2300674,-1.2096839,"('prejudiced', 'unprejudiced')",-1.2300674,-1.2096839,0.0203835
45,-0.23177709,-0.070658974,"('incompetent', 'competent')",-0.2317771,-0.070659,0.1611181
46,-0.41481796,-0.3972617,"('uncompetitive', 'competitive')",-0.414818,-0.3972617,0.0175563
47,2.1965258,2.3700228,"('stupid', 'smart')",2.1965258,2.3700228,0.173497
48,1.3007545,1.3964123,"('unintelligent', 'intelligent')",1.3007545,1.3964123,0.0956578
49,-0.0060392357,0.19294995,"('unable', 'able')",-0.0060392,0.19295,0.1989892
50,-0.29479966,-0.35500515,"('clumsy', 'skillful')",-0.2947997,-0.3550051,-0.0602054
51,0.098431,-0.009581156,"('uneducated', 'educated')",0.098431,-0.0095812,-0.1080122
52,-0.3213958,-0.6026685,"('irrational', 'rational')",-0.3213958,-0.6026685,-0.2812727
53,-0.31603107,-0.41553554,"('uncreative', 'creative')",-0.3160311,-0.4155355,-0.0995044
54,-0.4531958,-0.49066538,"('incapable', 'capable')",-0.4531958,-0.4906654,-0.0374696
55,0.3370675,0.5550811,"('incompetent', 'clever')",0.3370675,0.5550811,0.2180136
56,0.69433707,0.76518387,"('impractical', 'practical')",0.6943371,0.7651839,0.0708468
57,-1.4550935,-1.6233718,"('unimaginative', 'imaginative')",-1.4550935,-1.6233718,-0.1682783
58,0.5776151,0.47740144,"('undiscriminating', 'discriminating')",0.5776151,0.4774014,-0.1002137
59,-0.53621924,-0.6008788,"('foolish', 'wise')",-0.5362192,-0.6008788,-0.0646596
60,0.75099987,1.0097722,"('inefficient', 'efficient')",0.7509999,1.0097722,0.2587723
61,0.49148595,0.48002794,"('illogical', 'logical')",0.491486,0.4800279,-0.0114581
62,0.7015488,0.9822238,"('incompetent', 'brilliant')",0.7015488,0.9822238,0.280675
63,0.19131567,0.2423928,"('unperceptive', 'insightful')",0.1913157,0.2423928,0.0510771
64,-3.1675065,-3.3346934,"('shy', 'confident')",-3.1675065,-3.3346934,-0.1671869
65,0.19630727,0.37850785,"('insecure', 'secure')",0.1963073,0.3785079,0.1822006
66,-1.4092495,-1.5215194,"('inactive', 'active')",-1.4092495,-1.5215194,-0.1122699
67,-0.4819913,-0.53975594,"('doubtful', 'determined')",-0.4819913,-0.5397559,-0.0577646
68,-0.16003114,-0.042206034,"('dependent', 'independent')",-0.1600311,-0.042206,0.1178251
69,-0.98448336,-0.98288125,"('lazy', 'industrious')",-0.9844834,-0.9828812,0.0016022
70,-0.37645704,-0.327605,"('lethargic', 'energetic')",-0.376457,-0.327605,0.048852
71,0.28893304,0.35562068,"('diffident', 'self-confident')",0.288933,0.3556207,0.0666877
72,-0.23321182,-0.19246116,"('unambitious', 'ambitious')",-0.2332118,-0.1924612,0.0407506
73,-1.4035666,-1.5223783,"('helpless', 'self-reliant')",-1.4035666,-1.5223783,-0.1188117
74,-0.05757013,-0.08613978,"('undedicated', 'dedicated')",-0.0575701,-0.0861398,-0.0285697
75,-1.2867938,-1.3898329,"('meek', 'impulsive')",-1.2867938,-1.3898329,-0.1030391
76,0.3524199,0.41964626,"('anxious', 'daring')",0.3524199,0.4196463,0.0672264
77,-0.176868,-0.07537621,"('unmotivated', 'motivated')",-0.176868,-0.0753762,0.1014918
78,-0.15282798,0.010129549,"('nonresilient', 'resilient')",-0.152828,0.0101295,0.1629575
79,-0.9067304,-0.95475656,"('wavering', 'unwavering')",-0.9067304,-0.9547566,-0.0480262
80,0.5538363,0.6402821,"('dominated', 'dominating')",0.5538363,0.6402821,0.0864458
81,-0.1266934,-0.035357118,"('submissive', 'aggressive')",-0.1266934,-0.0353571,0.0913363
82,2.0881047,2.3054047,"('poor', 'rich')",2.0881047,2.3054047,0.2173
83,-0.08175489,-0.094967306,"('powerless', 'powerful')",-0.0817549,-0.0949673,-0.0132124
84,0.25803536,0.4189964,"('inferior', 'superior')",0.2580354,0.4189964,0.160961
85,-0.025754057,-0.302982,"('insignificant', 'prestigious')",-0.0257541,-0.302982,-0.2772279
86,-0.10996245,-0.2095264,"('uninfluential', 'influential')",-0.1099624,-0.2095264,-0.099564
87,0.3130981,0.32455105,"('unsuccessful', 'successful')",0.3130981,0.324551,0.0114529
88,0.06366167,-0.030534236,"('low', 'eminent')",0.0636617,-0.0305342,-0.0941959
