,remnant_male,remnant_female,tuple,average_male,average_female,female-male
0,0.21052845,0.16917518,"('unsociable', 'sociable')",0.2105284,0.1691752,-0.0413532
1,0.7925935,0.6543658,"('unfriendly', 'friendly')",0.7925935,0.6543658,-0.1382277
2,0.20293604,0.29952276,"('unlikable', 'likable')",0.202936,0.2995228,0.0965868
3,0.7830779,0.889379,"('repellent', 'pleasant')",0.7830779,0.889379,0.1063011
4,-6.8028393,-6.962743,"('disliked', 'liked')",-6.8028393,-6.9627428,-0.1599035
5,-0.7341977,-0.7328542,"('distant', 'outgoing')",-0.7341977,-0.7328542,0.0013435
6,-0.175378,-0.29233596,"('distant', 'open')",-0.175378,-0.292336,-0.116958
7,1.103243,1.0785182,"('insensitive', 'sensitive')",1.103243,1.0785182,-0.0247248
8,0.77738065,0.6018702,"('unaffectionate', 'affectionate')",0.7773806,0.6018702,-0.1755104
9,1.1658424,1.128859,"('unaffectionate', 'caring')",1.1658424,1.128859,-0.0369834
10,1.3153921,1.3379875,"('unsympathetic', 'sympathetic')",1.3153921,1.3379875,0.0225954
11,1.5396681,1.5764906,"('unhelpful', 'helpful')",1.5396681,1.5764906,0.0368225
12,-1.5612718,-1.545014,"('unsupportive', 'supportive')",-1.5612718,-1.545014,0.0162578
13,-0.04538893,0.06320775,"('impolite', 'polite')",-0.0453889,0.0632078,0.1085967
14,0.12240261,0.16539223,"('antisocial', 'social')",0.1224026,0.1653922,0.0429896
15,0.03007045,-0.08972022,"('boring', 'funny')",0.0300705,-0.0897202,-0.1197907
16,-0.55356395,-0.5368067,"('unpopular', 'popular')",-0.553564,-0.5368067,0.0167573
17,0.1310868,0.11918574,"('nasty', 'nice')",0.1310868,0.1191857,-0.0119011
18,-0.4878266,-0.44528428,"('disagreeable', 'welcoming')",-0.4878266,-0.4452843,0.0425423
19,-0.90602595,-1.0012648,"('inhospitable', 'hospitable')",-0.9060259,-1.0012648,-0.0952389
20,0.9060296,0.8456007,"('rough', 'thoughtful')",0.9060296,0.8456007,-0.0604289
21,-0.11232011,0.094836496,"('immoral', 'moral')",-0.1123201,0.0948365,0.2071566
22,0.024030441,-0.0050338134,"('untrustworthy', 'trustworthy')",0.0240304,-0.0050338,-0.0290642
23,5.4365745,5.5124407,"('insincere', 'sincere')",5.4365745,5.5124407,0.0758662
24,1.4350836,1.4010985,"('dishonest', 'honest')",1.4350836,1.4010985,-0.0339851
25,0.45512012,0.40944165,"('egoistic', 'altruistic')",0.4551201,0.4094416,-0.0456785
26,0.99306893,0.71769613,"('hardhearted', 'benevolent')",0.9930689,0.7176961,-0.2753728
27,1.7240577,1.4785602,"('hardhearted', 'softhearted')",1.7240577,1.4785602,-0.2454975
28,1.0511855,0.94229835,"('disloyal', 'loyal')",1.0511855,0.9422984,-0.1088871
29,-0.26233393,-0.43944338,"('unfair', 'fair')",-0.2623339,-0.4394434,-0.1771095
30,0.8007472,0.897948,"('intolerant', 'tolerant')",0.8007472,0.897948,0.0972008
31,-1.2510526,-1.3521482,"('evil', 'good')",-1.2510526,-1.3521482,-0.1010956
32,1.2502939,1.1159859,"('unkind', 'kind')",1.2502939,1.1159859,-0.134308
