,windscreen_male,windscreen_female,tuple,average_male,average_female,female-male
0,0.020525191,0.025150768,"('unsociable', 'sociable')",0.0205252,0.0251508,0.0046256
1,-0.22190131,-0.90599936,"('unfriendly', 'friendly')",-0.2219013,-0.9059994,-0.6840981
2,-0.1316492,-0.22603202,"('unlikable', 'likable')",-0.1316492,-0.226032,-0.0943828
3,-0.45582488,-0.30931234,"('repellent', 'pleasant')",-0.4558249,-0.3093123,0.1465126
4,-1.768191,-1.7386883,"('disliked', 'liked')",-1.768191,-1.7386883,0.0295027
5,-1.2045753,-1.6790859,"('distant', 'outgoing')",-1.2045753,-1.6790859,-0.4745106
6,-1.561696,-2.0933535,"('distant', 'open')",-1.5616961,-2.0933535,-0.5316574
7,0.34107566,0.48525575,"('insensitive', 'sensitive')",0.3410757,0.4852557,0.14418
8,-0.62180096,-1.0881414,"('unaffectionate', 'affectionate')",-0.621801,-1.0881414,-0.4663404
9,-0.19041754,-0.7139652,"('unaffectionate', 'caring')",-0.1904175,-0.7139652,-0.5235477
10,0.009980693,0.025774993,"('unsympathetic', 'sympathetic')",0.0099807,0.025775,0.0157943
11,0.6855716,0.61251634,"('unhelpful', 'helpful')",0.6855716,0.6125163,-0.0730553
12,-0.34161478,-0.40918946,"('unsupportive', 'supportive')",-0.3416148,-0.4091895,-0.0675747
13,0.62932247,0.61063397,"('impolite', 'polite')",0.6293225,0.610634,-0.0186885
14,0.2234855,0.507402,"('antisocial', 'social')",0.2234855,0.507402,0.2839165
15,1.1718099,0.9253386,"('boring', 'funny')",1.1718099,0.9253386,-0.2464713
16,-0.39965206,-0.45460877,"('unpopular', 'popular')",-0.3996521,-0.4546088,-0.0549567
17,-0.21859431,-0.16235982,"('nasty', 'nice')",-0.2185943,-0.1623598,0.0562345
18,-1.1537193,-1.175914,"('disagreeable', 'welcoming')",-1.1537193,-1.175914,-0.0221947
19,-1.4975923,-1.6765603,"('inhospitable', 'hospitable')",-1.4975923,-1.6765603,-0.178968
20,-0.180459,-0.07398215,"('rough', 'thoughtful')",-0.180459,-0.0739821,0.1064769
21,0.1182804,0.2622401,"('immoral', 'moral')",0.1182804,0.2622401,0.1439597
22,-0.22194622,-0.23843965,"('untrustworthy', 'trustworthy')",-0.2219462,-0.2384396,-0.0164934
23,2.1622748,1.9490817,"('insincere', 'sincere')",2.1622748,1.9490817,-0.2131931
24,-0.55159485,-0.8186258,"('dishonest', 'honest')",-0.5515949,-0.8186258,-0.2670309
25,-0.32521716,-0.46623766,"('egoistic', 'altruistic')",-0.3252172,-0.4662377,-0.1410205
26,0.068413205,-0.33634102,"('hardhearted', 'benevolent')",0.0684132,-0.336341,-0.4047542
27,0.14682782,-0.08812477,"('hardhearted', 'softhearted')",0.1468278,-0.0881248,-0.2349526
28,-0.531576,-0.7392763,"('disloyal', 'loyal')",-0.531576,-0.7392763,-0.2077003
29,0.13639054,0.05790427,"('unfair', 'fair')",0.1363905,0.0579043,-0.0784862
30,1.0769327,1.2000656,"('intolerant', 'tolerant')",1.0769327,1.2000656,0.1231329
31,-1.3796834,-1.5849321,"('evil', 'good')",-1.3796834,-1.5849321,-0.2052487
32,0.0001853779,-0.2511268,"('unkind', 'kind')",0.0001854,-0.2511268,-0.2513122
33,0.40392813,0.2348745,"('wrong', 'right')",0.4039281,0.2348745,-0.1690536
34,1.7252755,1.6723124,"('mean', 'honorable')",1.7252755,1.6723124,-0.0529631
35,0.057818763,-0.15949665,"('corrupt', 'incorrupt')",0.0578188,-0.1594967,-0.2173155
36,-0.397268,-0.76591045,"('hostile', 'amicable')",-0.397268,-0.7659104,-0.3686424
37,0.6087326,0.47633266,"('fake', 'genuine')",0.6087326,0.4763327,-0.1323999
38,0.74385285,0.42534757,"('untruthful', 'truthful')",0.7438529,0.4253476,-0.3185053
39,0.101666346,0.24117534,"('exploitative', 'cooperative')",0.1016663,0.2411753,0.139509
