,legislation_male,legislation_female,tuple,average_male,average_female,female-male
0,1.4390999,1.2451043,"('unsociable', 'sociable')",1.4390999,1.2451043,-0.1939956
1,-0.12831917,-0.37935415,"('unfriendly', 'friendly')",-0.1283192,-0.3793541,-0.2510349
2,0.20642325,0.089961946,"('unlikable', 'likable')",0.2064233,0.0899619,-0.1164614
3,0.84792376,0.96048594,"('repellent', 'pleasant')",0.8479238,0.9604859,0.1125621
4,-6.3687363,-6.603633,"('disliked', 'liked')",-6.3687363,-6.6036329,-0.2348966
5,-1.9096617,-1.9506544,"('distant', 'outgoing')",-1.9096617,-1.9506544,-0.0409927
6,-1.7827008,-1.7983137,"('distant', 'open')",-1.7827008,-1.7983137,-0.0156129
7,2.2399676,2.0173428,"('insensitive', 'sensitive')",2.2399676,2.0173428,-0.2226248
8,-0.124456555,-0.18883836,"('unaffectionate', 'affectionate')",-0.1244566,-0.1888384,-0.0643818
9,0.97015476,0.94445074,"('unaffectionate', 'caring')",0.9701548,0.9444507,-0.0257041
10,1.7329743,1.808586,"('unsympathetic', 'sympathetic')",1.7329743,1.808586,0.0756117
11,2.8677244,2.755087,"('unhelpful', 'helpful')",2.8677244,2.7550869,-0.1126375
12,-0.3258325,-0.6010758,"('unsupportive', 'supportive')",-0.3258325,-0.6010758,-0.2752433
13,1.0142833,0.96125823,"('impolite', 'polite')",1.0142833,0.9612582,-0.0530251
14,1.9738241,1.8376694,"('antisocial', 'social')",1.9738241,1.8376694,-0.1361547
15,0.41948634,0.21768953,"('boring', 'funny')",0.4194863,0.2176895,-0.2017968
16,-0.92680436,-0.80527043,"('unpopular', 'popular')",-0.9268044,-0.8052704,0.121534
17,-0.30487528,-0.4484309,"('nasty', 'nice')",-0.3048753,-0.4484309,-0.1435556
18,-1.4901495,-1.5302072,"('disagreeable', 'welcoming')",-1.4901495,-1.5302072,-0.0400577
19,-1.4546175,-1.6154399,"('inhospitable', 'hospitable')",-1.4546175,-1.6154399,-0.1608224
