,tin_male,tin_female,tuple,average_male,average_female,female-male
0,0.28198928,0.37311438,"('unsociable', 'sociable')",0.2819893,0.3731144,0.0911251
1,1.8092271,1.724503,"('unfriendly', 'friendly')",1.8092271,1.724503,-0.0847241
2,0.034608204,0.2339747,"('unlikable', 'likable')",0.0346082,0.2339747,0.1993665
3,0.80803853,1.0732532,"('repellent', 'pleasant')",0.8080385,1.0732532,0.2652147
4,-6.9557533,-6.9482083,"('disliked', 'liked')",-6.9557533,-6.9482083,0.007545
5,-0.22386178,-0.073497735,"('distant', 'outgoing')",-0.2238618,-0.0734977,0.1503641
6,0.11205924,0.17587203,"('distant', 'open')",0.1120592,0.175872,0.0638128
7,1.3955905,1.5559782,"('insensitive', 'sensitive')",1.3955905,1.5559782,0.1603877
8,1.1450272,1.0334463,"('unaffectionate', 'affectionate')",1.1450272,1.0334463,-0.1115809
9,1.5455426,1.7039852,"('unaffectionate', 'caring')",1.5455426,1.7039852,0.1584426
10,1.1853485,1.300285,"('unsympathetic', 'sympathetic')",1.1853485,1.300285,0.1149365
11,1.8547891,2.14072,"('unhelpful', 'helpful')",1.8547891,2.1407199,0.2859308
12,-1.2160035,-0.95530957,"('unsupportive', 'supportive')",-1.2160035,-0.9553096,0.2606939
13,0.2163965,0.2833191,"('impolite', 'polite')",0.2163965,0.2833191,0.0669226
14,0.14698888,0.14557093,"('antisocial', 'social')",0.1469889,0.1455709,-0.001418
15,0.6017219,0.491743,"('boring', 'funny')",0.6017219,0.491743,-0.1099789
16,-0.49298313,-0.41917738,"('unpopular', 'popular')",-0.4929831,-0.4191774,0.0738057
17,-0.06199418,-0.059454076,"('nasty', 'nice')",-0.0619942,-0.0594541,0.0025401
18,-0.23066346,-0.21041986,"('disagreeable', 'welcoming')",-0.2306635,-0.2104199,0.0202436
19,-0.51057816,-0.33581457,"('inhospitable', 'hospitable')",-0.5105782,-0.3358146,0.1747636
20,0.7112809,0.43544775,"('rough', 'thoughtful')",0.7112809,0.4354478,-0.2758331
21,0.038984735,0.3330316,"('immoral', 'moral')",0.0389847,0.3330316,0.2940469
22,-0.5080969,-0.21740262,"('untrustworthy', 'trustworthy')",-0.5080969,-0.2174026,0.2906943
23,6.602648,6.828227,"('insincere', 'sincere')",6.6026478,6.828227,0.2255792
24,1.6924009,1.9071639,"('dishonest', 'honest')",1.6924009,1.9071639,0.214763
25,1.0581031,0.94429046,"('egoistic', 'altruistic')",1.0581031,0.9442905,-0.1138126
26,1.28284,0.76595116,"('hardhearted', 'benevolent')",1.28284,0.7659512,-0.5168888
27,1.9705021,1.7558339,"('hardhearted', 'softhearted')",1.9705021,1.7558339,-0.2146682
28,1.3480135,1.2804422,"('disloyal', 'loyal')",1.3480135,1.2804422,-0.0675713
29,-0.65680206,-0.81726867,"('unfair', 'fair')",-0.6568021,-0.8172687,-0.1604666
30,0.7622175,0.8978358,"('intolerant', 'tolerant')",0.7622175,0.8978358,0.1356183
31,-1.2125204,-1.3592232,"('evil', 'good')",-1.2125204,-1.3592232,-0.1467028
32,1.5791612,1.5285891,"('unkind', 'kind')",1.5791612,1.5285891,-0.0505721
33,-0.29670104,-0.19212702,"('wrong', 'right')",-0.296701,-0.192127,0.104574
34,4.3053555,4.7287154,"('mean', 'honorable')",4.3053555,4.7287154,0.4233599
35,-1.1570929,-1.4303172,"('corrupt', 'incorrupt')",-1.1570929,-1.4303172,-0.2732243
36,-1.118696,-1.3771305,"('hostile', 'amicable')",-1.118696,-1.3771305,-0.2584345
37,1.1696566,1.151177,"('fake', 'genuine')",1.1696566,1.151177,-0.0184796
38,-0.00025835633,0.1845923,"('untruthful', 'truthful')",-0.0002584,0.1845923,0.1848507
39,0.40743765,0.34114596,"('exploitative', 'cooperative')",0.4074377,0.341146,-0.0662917
40,-0.79405326,-0.7982491,"('stingy', 'generous')",-0.7940533,-0.7982491,-0.0041958
41,0.22662133,0.0012501255,"('unforgiving', 'forgiving')",0.2266213,0.0012501,-0.2253712
42,-2.226345,-1.9777683,"('unreliable', 'reliable')",-2.2263451,-1.9777683,0.2485768
43,1.1053827,1.2200979,"('irresponsible', 'responsible')",1.1053827,1.2200979,0.1147152
44,-1.22066,-1.5363877,"('prejudiced', 'unprejudiced')",-1.22066,-1.5363877,-0.3157277
45,0.11668209,0.28981137,"('incompetent', 'competent')",0.1166821,0.2898114,0.1731293
46,-0.6893898,-0.51075447,"('uncompetitive', 'competitive')",-0.6893898,-0.5107545,0.1786353
47,4.6393366,4.8516684,"('stupid', 'smart')",4.6393366,4.8516684,0.2123318
48,0.68079513,0.69264495,"('unintelligent', 'intelligent')",0.6807951,0.692645,0.0118499
49,0.17772922,0.38552925,"('unable', 'able')",0.1777292,0.3855292,0.2078
50,-0.35919943,-0.25903592,"('clumsy', 'skillful')",-0.3591994,-0.2590359,0.1001635
51,0.70935476,0.9164186,"('uneducated', 'educated')",0.7093548,0.9164186,0.2070638
52,-0.16794148,-0.27224526,"('irrational', 'rational')",-0.1679415,-0.2722453,-0.1043038
53,0.085664414,-0.00736014,"('uncreative', 'creative')",0.0856644,-0.0073601,-0.0930245
54,1.0877067,1.3627348,"('incapable', 'capable')",1.0877067,1.3627348,0.2750281
55,1.029492,1.2639132,"('incompetent', 'clever')",1.029492,1.2639132,0.2344212
56,0.41154814,0.75094783,"('impractical', 'practical')",0.4115481,0.7509478,0.3393997
57,-2.126228,-2.0860138,"('unimaginative', 'imaginative')",-2.1262281,-2.0860138,0.0402143
58,0.27587137,0.21511143,"('undiscriminating', 'discriminating')",0.2758714,0.2151114,-0.06076
59,-0.022325382,-0.0028222091,"('foolish', 'wise')",-0.0223254,-0.0028222,0.0195032
60,0.4514166,0.7357732,"('inefficient', 'efficient')",0.4514166,0.7357732,0.2843566
61,0.41621205,0.28726333,"('illogical', 'logical')",0.4162121,0.2872633,-0.1289488
62,1.1324897,1.6113341,"('incompetent', 'brilliant')",1.1324897,1.6113341,0.4788444
63,0.5060615,0.8410637,"('unperceptive', 'insightful')",0.5060615,0.8410637,0.3350022
64,-6.3411818,-5.9605284,"('shy', 'confident')",-6.3411818,-5.9605284,0.3806534
65,0.056544907,0.49872088,"('insecure', 'secure')",0.0565449,0.4987209,0.442176
66,-0.48999354,-0.60829407,"('inactive', 'active')",-0.4899935,-0.6082941,-0.1183006
67,-0.850142,-0.9298322,"('doubtful', 'determined')",-0.850142,-0.9298322,-0.0796902
68,-0.6846273,-0.49513638,"('dependent', 'independent')",-0.6846273,-0.4951364,0.1894909
69,-1.9996175,-2.0578334,"('lazy', 'industrious')",-1.9996175,-2.0578334,-0.0582159
70,1.4074633,1.6685486,"('lethargic', 'energetic')",1.4074633,1.6685486,0.2610853
71,0.31543836,0.5435866,"('diffident', 'self-confident')",0.3154384,0.5435866,0.2281482
72,0.98571193,1.2570012,"('unambitious', 'ambitious')",0.9857119,1.2570012,0.2712893
73,-2.5179005,-2.273196,"('helpless', 'self-reliant')",-2.5179005,-2.273196,0.2447045
74,0.37600058,0.2882487,"('undedicated', 'dedicated')",0.3760006,0.2882487,-0.0877519
75,-1.2144606,-1.1416367,"('meek', 'impulsive')",-1.2144606,-1.1416367,0.0728239
76,0.6067488,0.49338886,"('anxious', 'daring')",0.6067488,0.4933889,-0.1133599
77,-1.6266419,-1.329323,"('unmotivated', 'motivated')",-1.6266419,-1.3293231,0.2973188
78,-0.75500196,-0.70916295,"('nonresilient', 'resilient')",-0.755002,-0.709163,0.045839
79,-0.38355199,-0.44883224,"('wavering', 'unwavering')",-0.383552,-0.4488322,-0.0652802
80,0.20547491,0.21293852,"('dominated', 'dominating')",0.2054749,0.2129385,0.0074636
81,-0.037578627,0.14730576,"('submissive', 'aggressive')",-0.0375786,0.1473058,0.1848844
82,6.238881,6.50957,"('poor', 'rich')",6.2388811,6.5095701,0.270689
83,-0.4835489,-0.30795643,"('powerless', 'powerful')",-0.4835489,-0.3079564,0.1755925
84,0.14930618,0.16936508,"('inferior', 'superior')",0.1493062,0.1693651,0.0200589
85,-0.90997314,-1.280769,"('insignificant', 'prestigious')",-0.9099731,-1.280769,-0.3707959
86,0.69894403,0.8096035,"('uninfluential', 'influential')",0.698944,0.8096035,0.1106595
87,0.4203494,0.67440695,"('unsuccessful', 'successful')",0.4203494,0.6744069,0.2540575
88,0.14197999,0.17094001,"('low', 'eminent')",0.14198,0.17094,0.02896
