,solicitation_male,solicitation_female,tuple,average_male,average_female,female-male
0,-0.011933945,-0.29892877,"('unsociable', 'sociable')",-0.0119339,-0.2989288,-0.2869949
1,-1.2208271,-1.2418104,"('unfriendly', 'friendly')",-1.2208271,-1.2418104,-0.0209833
2,0.25122708,0.3631967,"('unlikable', 'likable')",0.2512271,0.3631967,0.1119696
3,-1.2486932,-1.1449643,"('repellent', 'pleasant')",-1.2486932,-1.1449643,0.1037289
4,-2.9164062,-2.9665563,"('disliked', 'liked')",-2.9164062,-2.9665563,-0.0501501
5,-0.34576637,-0.29600495,"('distant', 'outgoing')",-0.3457664,-0.296005,0.0497614
6,-0.50610214,-0.49410266,"('distant', 'open')",-0.5061021,-0.4941027,0.0119994
7,-0.62082267,-0.7109119,"('insensitive', 'sensitive')",-0.6208227,-0.7109119,-0.0900892
8,-1.0248886,-0.98837173,"('unaffectionate', 'affectionate')",-1.0248886,-0.9883717,0.0365169
9,-1.0013119,-0.99593747,"('unaffectionate', 'caring')",-1.0013119,-0.9959375,0.0053744
10,-0.7745892,-1.0745034,"('unsympathetic', 'sympathetic')",-0.7745892,-1.0745034,-0.2999142
11,0.63893795,0.61766034,"('unhelpful', 'helpful')",0.638938,0.6176603,-0.0212777
12,-1.4980994,-1.5481178,"('unsupportive', 'supportive')",-1.4980994,-1.5481178,-0.0500184
13,-0.20649138,-0.325165,"('impolite', 'polite')",-0.2064914,-0.325165,-0.1186736
14,0.338877,0.16996601,"('antisocial', 'social')",0.338877,0.169966,-0.168911
15,0.96548223,0.8616401,"('boring', 'funny')",0.9654822,0.8616401,-0.1038421
16,-1.5015188,-1.22279,"('unpopular', 'popular')",-1.5015188,-1.22279,0.2787288
17,0.3082123,0.30253172,"('nasty', 'nice')",0.3082123,0.3025317,-0.0056806
18,-0.051346704,0.122072846,"('disagreeable', 'welcoming')",-0.0513467,0.1220728,0.1734195
19,-0.97657365,-1.0097445,"('inhospitable', 'hospitable')",-0.9765736,-1.0097445,-0.0331709
20,0.6542243,0.5840102,"('rough', 'thoughtful')",0.6542243,0.5840102,-0.0702141
21,-0.7506535,-0.8107227,"('immoral', 'moral')",-0.7506535,-0.8107227,-0.0600692
22,-0.3848025,-0.47422117,"('untrustworthy', 'trustworthy')",-0.3848025,-0.4742212,-0.0894187
23,1.240033,1.234726,"('insincere', 'sincere')",1.240033,1.234726,-0.005307
24,-0.7205565,-0.8371387,"('dishonest', 'honest')",-0.7205565,-0.8371387,-0.1165822
25,0.24711524,0.30539927,"('egoistic', 'altruistic')",0.2471152,0.3053993,0.0582841
26,1.2865845,1.0145814,"('hardhearted', 'benevolent')",1.2865845,1.0145814,-0.2720031
27,0.17967892,0.17409252,"('hardhearted', 'softhearted')",0.1796789,0.1740925,-0.0055864
28,-0.9955907,-1.2316616,"('disloyal', 'loyal')",-0.9955907,-1.2316616,-0.2360709
29,-0.49940467,-0.5338085,"('unfair', 'fair')",-0.4994047,-0.5338085,-0.0344038
30,0.26985535,0.093181096,"('intolerant', 'tolerant')",0.2698554,0.0931811,-0.1766743
31,-1.7627485,-1.7115914,"('evil', 'good')",-1.7627485,-1.7115914,0.0511571
32,-0.7331419,-0.8628995,"('unkind', 'kind')",-0.7331419,-0.8628995,-0.1297576
33,0.48914382,0.51436126,"('wrong', 'right')",0.4891438,0.5143613,0.0252175
34,0.8810255,1.022538,"('mean', 'honorable')",0.8810255,1.0225379,0.1415124
35,0.11492996,-0.03913859,"('corrupt', 'incorrupt')",0.11493,-0.0391386,-0.1540686
36,-0.2531527,-0.41348964,"('hostile', 'amicable')",-0.2531527,-0.4134896,-0.1603369
37,-1.3752033,-1.4360864,"('fake', 'genuine')",-1.3752033,-1.4360864,-0.0608831
38,-0.91907275,-1.0233995,"('untruthful', 'truthful')",-0.9190727,-1.0233995,-0.1043268
39,-0.25871253,-0.2515714,"('exploitative', 'cooperative')",-0.2587125,-0.2515714,0.0071411
40,-0.5854522,-0.6973842,"('stingy', 'generous')",-0.5854522,-0.6973842,-0.111932
41,0.70715743,0.37573203,"('unforgiving', 'forgiving')",0.7071574,0.375732,-0.3314254
42,0.20063451,0.18280536,"('unreliable', 'reliable')",0.2006345,0.1828054,-0.0178291
43,-0.8488144,-0.895218,"('irresponsible', 'responsible')",-0.8488144,-0.895218,-0.0464036
44,0.57840353,0.76344275,"('prejudiced', 'unprejudiced')",0.5784035,0.7634428,0.1850393
45,-0.5690959,-0.83738315,"('incompetent', 'competent')",-0.5690959,-0.8373832,-0.2682873
46,-0.5863758,-0.6690859,"('uncompetitive', 'competitive')",-0.5863758,-0.6690859,-0.0827101
47,1.7363825,1.730547,"('stupid', 'smart')",1.7363825,1.730547,-0.0058355
48,-1.1176077,-1.1909633,"('unintelligent', 'intelligent')",-1.1176077,-1.1909633,-0.0733556
49,-1.2323472,-1.0552292,"('unable', 'able')",-1.2323472,-1.0552292,0.177118
50,-0.23527779,-0.152377,"('clumsy', 'skillful')",-0.2352778,-0.152377,0.0829008
51,-0.76910114,-0.9584572,"('uneducated', 'educated')",-0.7691011,-0.9584572,-0.1893561
52,-0.7323675,-0.7822321,"('irrational', 'rational')",-0.7323675,-0.7822321,-0.0498646
53,-1.2758262,-1.2879243,"('uncreative', 'creative')",-1.2758262,-1.2879243,-0.0120981
54,-0.36322528,-0.30052426,"('incapable', 'capable')",-0.3632253,-0.3005243,0.062701
55,-0.60050917,-0.64640164,"('incompetent', 'clever')",-0.6005092,-0.6464016,-0.0458924
56,0.5030801,0.33360884,"('impractical', 'practical')",0.5030801,0.3336088,-0.1694713
57,-1.0276828,-1.3147209,"('unimaginative', 'imaginative')",-1.0276828,-1.3147209,-0.2870381
58,0.6800412,0.4612255,"('undiscriminating', 'discriminating')",0.6800412,0.4612255,-0.2188157
59,-0.3604427,-0.3486463,"('foolish', 'wise')",-0.3604427,-0.3486463,0.0117964
60,0.0050548073,0.15953065,"('inefficient', 'efficient')",0.0050548,0.1595307,0.1544759
61,-0.2722739,-0.42417273,"('illogical', 'logical')",-0.2722739,-0.4241727,-0.1518988
62,-0.26977602,-0.17957911,"('incompetent', 'brilliant')",-0.269776,-0.1795791,0.0901969
63,-0.8094517,-0.8843832,"('unperceptive', 'insightful')",-0.8094517,-0.8843832,-0.0749315
64,-1.3568901,-1.3436848,"('shy', 'confident')",-1.3568901,-1.3436848,0.0132053
65,0.12949565,0.04142818,"('insecure', 'secure')",0.1294957,0.0414282,-0.0880675
66,-0.0006035082,-0.027068991,"('inactive', 'active')",-0.0006035,-0.027069,-0.0264655
67,1.3020343,1.2334783,"('doubtful', 'determined')",1.3020343,1.2334783,-0.068556
68,-1.2793456,-1.2819046,"('dependent', 'independent')",-1.2793456,-1.2819046,-0.002559
69,0.86992395,0.8736629,"('lazy', 'industrious')",0.8699239,0.8736629,0.003739
70,0.8242395,0.71614105,"('lethargic', 'energetic')",0.8242395,0.716141,-0.1080985
71,-0.8075005,-0.67929536,"('diffident', 'self-confident')",-0.8075005,-0.6792954,0.1282051
72,-0.4525305,-0.40251252,"('unambitious', 'ambitious')",-0.4525305,-0.4025125,0.050018
73,-1.2580092,-1.1206312,"('helpless', 'self-reliant')",-1.2580092,-1.1206312,0.137378
74,-0.767059,-0.9205637,"('undedicated', 'dedicated')",-0.767059,-0.9205637,-0.1535047
75,0.42743972,0.5595012,"('meek', 'impulsive')",0.4274397,0.5595012,0.1320615
76,0.34165528,0.3998717,"('anxious', 'daring')",0.3416553,0.3998717,0.0582164
77,-0.031537175,0.06977462,"('unmotivated', 'motivated')",-0.0315372,0.0697746,0.1013118
78,-0.7867913,-0.687718,"('nonresilient', 'resilient')",-0.7867913,-0.687718,0.0990733
79,0.025364202,-0.14910749,"('wavering', 'unwavering')",0.0253642,-0.1491075,-0.1744717
80,-0.33634466,-0.4075036,"('dominated', 'dominating')",-0.3363447,-0.4075036,-0.0711589
81,1.4852201,1.3539801,"('submissive', 'aggressive')",1.4852201,1.3539801,-0.13124
82,1.2588584,1.2560303,"('poor', 'rich')",1.2588584,1.2560303,-0.0028281
83,-0.158021,-0.23380974,"('powerless', 'powerful')",-0.158021,-0.2338097,-0.0757887
84,0.9790247,0.97935575,"('inferior', 'superior')",0.9790247,0.9793558,0.0003311
85,-0.62668216,-0.5469654,"('insignificant', 'prestigious')",-0.6266822,-0.5469654,0.0797168
86,-1.7011799,-2.070069,"('uninfluential', 'influential')",-1.7011799,-2.0700691,-0.3688892
87,-0.98856,-0.8750473,"('unsuccessful', 'successful')",-0.98856,-0.8750473,0.1135127
88,0.08554776,-0.04748236,"('low', 'eminent')",0.0855478,-0.0474824,-0.1330302
