,pepsico_male,pepsico_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.2939822,0.28986752,"('unsociable', 'sociable')",-0.25356898,-0.4019899,0.0202066,-0.0560612,-0.0762678
1,0.3749831,0.4015986,"('unfriendly', 'friendly')",1.6840743,1.5566367,1.0295287,0.9791176,-0.0504111
2,0.46488038,0.51438713,"('unlikable', 'likable')",0.8966522,0.99292886,0.6807663,0.753658,0.0728917
3,-0.7289326,-0.59516484,"('repellent', 'pleasant')",0.23954074,0.24334487,-0.2446959,-0.17591,0.0687859
4,0.18452634,0.17353106,"('disliked', 'liked')",-6.1896677,-6.221066,-3.0025706,-3.0237675,-0.0211969
5,0.5011117,0.4756585,"('distant', 'outgoing')",-0.48995006,-0.49064445,0.0055808,-0.007493,-0.0130738
6,-0.051505893,-0.04679554,"('distant', 'open')",-0.18165518,-0.21400788,-0.1165805,-0.1304017,-0.0138212
7,-0.62447065,-0.53523797,"('insensitive', 'sensitive')",0.28954118,0.28639343,-0.1674647,-0.1244223,0.0430424
8,-0.5320367,-0.5760425,"('unaffectionate', 'affectionate')",0.30161393,0.22080608,-0.1152114,-0.1776182,-0.0624068
9,0.2836232,0.27539128,"('unaffectionate', 'caring')",0.78793776,0.7263187,0.5357805,0.500855,-0.0349255
10,-0.8193933,-0.7290872,"('unsympathetic', 'sympathetic')",-0.38678703,-0.4199655,-0.6030902,-0.5745263,0.0285639
11,0.25597253,0.2991208,"('unhelpful', 'helpful')",1.7796435,1.7767657,1.0178081,1.0379432,0.0201351
12,0.49220255,0.5886803,"('unsupportive', 'supportive')",-1.8194644,-1.8130033,-0.663631,-0.6121615,0.0514695
13,-0.12875731,-0.12432408,"('impolite', 'polite')",-0.4312395,-0.4620391,-0.2799984,-0.2931816,-0.0131832
14,-0.91705227,-0.890932,"('antisocial', 'social')",-0.64828247,-0.72293884,-0.7826674,-0.8069354,-0.024268
15,1.1157672,1.0123969,"('boring', 'funny')",0.7021102,0.6611408,0.9089387,0.8367689,-0.0721698
16,-0.31873626,-0.26330698,"('unpopular', 'popular')",0.5079409,0.48749006,0.0946023,0.1120915,0.0174892
17,0.08874945,0.17762828,"('nasty', 'nice')",-0.39558995,-0.31567356,-0.1534202,-0.0690226,0.0843976
18,-0.9714699,-0.9520034,"('disagreeable', 'welcoming')",-0.36852384,-0.43452248,-0.6699969,-0.6932629,-0.023266
19,-0.19746731,-0.15459555,"('inhospitable', 'hospitable')",-0.0124395555,0.05644944,-0.1049534,-0.0490731,0.0558803
20,-0.61798143,-0.5823428,"('rough', 'thoughtful')",1.0494688,1.0149205,0.2157437,0.2162888,0.0005451
21,0.51892805,0.5827269,"('immoral', 'moral')",0.00083633745,-0.002354199,0.2598822,0.2901863,0.0303041
22,-0.5573205,-0.58772874,"('untrustworthy', 'trustworthy')",-0.951083,-1.0526835,-0.7542018,-0.8202061,-0.0660043
23,-0.19207539,-0.14470632,"('insincere', 'sincere')",5.762158,5.6272674,2.7850413,2.7412806,-0.0437607
24,-0.0870353,-0.12121248,"('dishonest', 'honest')",1.0144514,0.9553542,0.463708,0.4170709,-0.0466371
25,-0.028016832,-0.06428636,"('egoistic', 'altruistic')",1.3404036,1.3149253,0.6561934,0.6253195,-0.0308739
26,0.15168662,0.14080518,"('hardhearted', 'benevolent')",1.5720989,1.4922813,0.8618928,0.8165432,-0.0453496
27,-0.08217467,-0.078027524,"('hardhearted', 'softhearted')",1.2488921,1.1575626,0.5833587,0.5397676,-0.0435911
