,keep_male,keep_female,tuple,average_male,average_female,female-male
0,0.03217808,-0.037419733,"('unsociable', 'sociable')",0.0321781,-0.0374197,-0.0695978
1,1.0614291,0.9982201,"('unfriendly', 'friendly')",1.0614291,0.9982201,-0.063209
2,0.36688456,0.52136594,"('unlikable', 'likable')",0.3668846,0.5213659,0.1544813
3,0.85683346,0.89288336,"('repellent', 'pleasant')",0.8568335,0.8928834,0.0360499
4,-7.122058,-7.271615,"('disliked', 'liked')",-7.1220579,-7.271615,-0.1495571
5,-0.5704264,-0.54555726,"('distant', 'outgoing')",-0.5704264,-0.5455573,0.0248691
6,0.020071503,-0.032338873,"('distant', 'open')",0.0200715,-0.0323389,-0.0524104
7,0.9260741,0.91893935,"('insensitive', 'sensitive')",0.9260741,0.9189394,-0.0071347
8,1.1290573,1.0267662,"('unaffectionate', 'affectionate')",1.1290573,1.0267662,-0.1022911
9,1.5326247,1.5779097,"('unaffectionate', 'caring')",1.5326247,1.5779097,0.045285
10,1.2061678,1.2589306,"('unsympathetic', 'sympathetic')",1.2061678,1.2589306,0.0527628
11,1.5157907,1.5987159,"('unhelpful', 'helpful')",1.5157907,1.5987159,0.0829252
12,-1.5573583,-1.5679603,"('unsupportive', 'supportive')",-1.5573583,-1.5679603,-0.010602
13,0.049747482,0.12901333,"('impolite', 'polite')",0.0497475,0.1290133,0.0792658
14,0.21171586,0.13669492,"('antisocial', 'social')",0.2117159,0.1366949,-0.075021
15,0.07965067,-0.0062423367,"('boring', 'funny')",0.0796507,-0.0062423,-0.085893
16,-0.33559555,-0.33622235,"('unpopular', 'popular')",-0.3355955,-0.3362224,-0.0006269
17,-0.08298643,-0.10923809,"('nasty', 'nice')",-0.0829864,-0.1092381,-0.0262517
18,-0.34248894,-0.3703668,"('disagreeable', 'welcoming')",-0.3424889,-0.3703668,-0.0278779
19,-0.84335434,-0.830945,"('inhospitable', 'hospitable')",-0.8433543,-0.830945,0.0124093
20,0.8877939,0.7661109,"('rough', 'thoughtful')",0.8877939,0.7661109,-0.121683
21,0.08645813,0.26222926,"('immoral', 'moral')",0.0864581,0.2622293,0.1757712
22,-0.15431413,-0.19156104,"('untrustworthy', 'trustworthy')",-0.1543141,-0.191561,-0.0372469
23,5.688505,5.7970304,"('insincere', 'sincere')",5.6885052,5.7970304,0.1085252
24,1.5414715,1.4992723,"('dishonest', 'honest')",1.5414715,1.4992723,-0.0421992
25,0.52523786,0.49931398,"('egoistic', 'altruistic')",0.5252379,0.499314,-0.0259239
26,0.78740203,0.63517255,"('hardhearted', 'benevolent')",0.787402,0.6351725,-0.1522295
27,1.6784569,1.4505539,"('hardhearted', 'softhearted')",1.6784569,1.4505539,-0.227903
28,1.1689125,1.1584588,"('disloyal', 'loyal')",1.1689125,1.1584588,-0.0104537
29,-0.2717926,-0.4165036,"('unfair', 'fair')",-0.2717926,-0.4165036,-0.144711
30,0.6964588,0.74317867,"('intolerant', 'tolerant')",0.6964588,0.7431787,0.0467199
31,-1.4101883,-1.5101211,"('evil', 'good')",-1.4101883,-1.5101211,-0.0999328
32,1.1476282,1.115567,"('unkind', 'kind')",1.1476282,1.115567,-0.0320612
33,-0.32111302,-0.3136374,"('wrong', 'right')",-0.321113,-0.3136374,0.0074756
34,4.274464,4.4608994,"('mean', 'honorable')",4.2744641,4.4608994,0.1864353
35,-0.8202988,-1.064251,"('corrupt', 'incorrupt')",-0.8202988,-1.0642509,-0.2439521
36,-0.52862173,-0.63976336,"('hostile', 'amicable')",-0.5286217,-0.6397634,-0.1111417
37,0.7647033,0.71989834,"('fake', 'genuine')",0.7647033,0.7198983,-0.044805
38,-0.48464003,-0.35960823,"('untruthful', 'truthful')",-0.48464,-0.3596082,0.1250318
39,0.28214777,0.29029837,"('exploitative', 'cooperative')",0.2821478,0.2902984,0.0081506
40,-1.3726511,-1.633577,"('stingy', 'generous')",-1.3726511,-1.633577,-0.2609259
41,0.36473116,0.35546273,"('unforgiving', 'forgiving')",0.3647312,0.3554627,-0.0092685
42,-1.8268615,-1.9262952,"('unreliable', 'reliable')",-1.8268615,-1.9262952,-0.0994337
43,1.0809182,1.1547878,"('irresponsible', 'responsible')",1.0809182,1.1547878,0.0738696
44,-0.74331963,-0.7633934,"('prejudiced', 'unprejudiced')",-0.7433196,-0.7633934,-0.0200738
45,0.2745873,0.19920893,"('incompetent', 'competent')",0.2745873,0.1992089,-0.0753784
46,-0.17622545,-0.1668781,"('uncompetitive', 'competitive')",-0.1762255,-0.1668781,0.0093474
47,4.8437114,5.0319104,"('stupid', 'smart')",4.8437114,5.0319104,0.188199
48,0.2937949,0.30460042,"('unintelligent', 'intelligent')",0.2937949,0.3046004,0.0108055
49,-0.21752167,-0.07386842,"('unable', 'able')",-0.2175217,-0.0738684,0.1436533
50,-0.356184,-0.37399635,"('clumsy', 'skillful')",-0.356184,-0.3739963,-0.0178123
51,0.017337501,0.024840832,"('uneducated', 'educated')",0.0173375,0.0248408,0.0075033
52,-0.2823503,-0.4400343,"('irrational', 'rational')",-0.2823503,-0.4400343,-0.157684
53,-0.035484195,-0.10195963,"('uncreative', 'creative')",-0.0354842,-0.1019596,-0.0664754
54,0.73867077,0.86400133,"('incapable', 'capable')",0.7386708,0.8640013,0.1253305
55,0.7676822,0.7978736,"('incompetent', 'clever')",0.7676822,0.7978736,0.0301914
56,0.43814337,0.4904346,"('impractical', 'practical')",0.4381434,0.4904346,0.0522912
57,-2.2942557,-2.374513,"('unimaginative', 'imaginative')",-2.2942557,-2.3745129,-0.0802572
58,-0.040221475,-0.098724976,"('undiscriminating', 'discriminating')",-0.0402215,-0.098725,-0.0585035
59,-0.06503282,-0.03981468,"('foolish', 'wise')",-0.0650328,-0.0398147,0.0252181
60,0.5412486,0.731676,"('inefficient', 'efficient')",0.5412486,0.731676,0.1904274
61,0.29958272,0.13852352,"('illogical', 'logical')",0.2995827,0.1385235,-0.1610592
62,0.6742459,0.8030697,"('incompetent', 'brilliant')",0.6742459,0.8030697,0.1288238
63,-0.006904602,0.06930208,"('unperceptive', 'insightful')",-0.0069046,0.0693021,0.0762067
64,-5.6423345,-5.6419387,"('shy', 'confident')",-5.6423345,-5.6419387,0.0003958
65,0.62629044,0.6764839,"('insecure', 'secure')",0.6262904,0.6764839,0.0501935
66,0.10981771,-0.058287136,"('inactive', 'active')",0.1098177,-0.0582871,-0.1681048
67,-0.73796976,-0.60204214,"('doubtful', 'determined')",-0.7379698,-0.6020421,0.1359277
68,-0.73813653,-0.6721189,"('dependent', 'independent')",-0.7381365,-0.6721189,0.0660176
69,-1.8088375,-1.8386625,"('lazy', 'industrious')",-1.8088375,-1.8386625,-0.029825
70,1.3931729,1.2936305,"('lethargic', 'energetic')",1.3931729,1.2936305,-0.0995424
71,0.61619824,0.5890901,"('diffident', 'self-confident')",0.6161982,0.5890901,-0.0271081
72,0.7305596,0.85063803,"('unambitious', 'ambitious')",0.7305596,0.850638,0.1200784
73,-2.9639797,-3.0093727,"('helpless', 'self-reliant')",-2.9639797,-3.0093727,-0.045393
74,0.17875403,0.043877095,"('undedicated', 'dedicated')",0.178754,0.0438771,-0.1348769
75,-0.82332563,-0.7478976,"('meek', 'impulsive')",-0.8233256,-0.7478976,0.075428
76,0.6442261,0.66479874,"('anxious', 'daring')",0.6442261,0.6647987,0.0205726
77,-1.4149389,-1.1993268,"('unmotivated', 'motivated')",-1.4149389,-1.1993268,0.2156121
78,-0.64123046,-0.66243255,"('nonresilient', 'resilient')",-0.6412305,-0.6624326,-0.0212021
79,-0.5542631,-0.5496862,"('wavering', 'unwavering')",-0.5542631,-0.5496862,0.0045769
80,-0.13593434,-0.2106522,"('dominated', 'dominating')",-0.1359343,-0.2106522,-0.0747179
81,0.12932545,0.23245676,"('submissive', 'aggressive')",0.1293254,0.2324568,0.1031314
82,6.1367393,6.307712,"('poor', 'rich')",6.1367393,6.3077121,0.1709728
83,-0.5068191,-0.4683494,"('powerless', 'powerful')",-0.5068191,-0.4683494,0.0384697
84,0.0045000985,0.072071426,"('inferior', 'superior')",0.0045001,0.0720714,0.0675713
85,-1.1908852,-1.2893102,"('insignificant', 'prestigious')",-1.1908852,-1.2893102,-0.098425
86,0.23156239,0.18952143,"('uninfluential', 'influential')",0.2315624,0.1895214,-0.042041
87,-0.3979717,-0.3361771,"('unsuccessful', 'successful')",-0.3979717,-0.3361771,0.0617946
88,-0.19908401,-0.08797105,"('low', 'eminent')",-0.199084,-0.087971,0.111113
