,disregard_male,disregard_female,tuple,average_male,average_female,female-male
0,-0.24766074,-0.28456017,"('unsociable', 'sociable')",-0.2476607,-0.2845602,-0.0368995
1,0.9478663,0.9376058,"('unfriendly', 'friendly')",0.9478663,0.9376058,-0.0102605
2,-0.08021042,-0.021956947,"('unlikable', 'likable')",-0.0802104,-0.0219569,0.0582535
3,0.7121354,0.71809816,"('repellent', 'pleasant')",0.7121354,0.7180982,0.0059628
4,-7.240274,-7.3274074,"('disliked', 'liked')",-7.240274,-7.3274074,-0.0871334
5,-0.5650754,-0.51098335,"('distant', 'outgoing')",-0.5650754,-0.5109833,0.0540921
6,-0.103608996,-0.114845656,"('distant', 'open')",-0.103609,-0.1148457,-0.0112367
7,0.7657285,0.82639366,"('insensitive', 'sensitive')",0.7657285,0.8263937,0.0606652
8,0.82074285,0.78307843,"('unaffectionate', 'affectionate')",0.8207428,0.7830784,-0.0376644
9,1.0770006,1.1357822,"('unaffectionate', 'caring')",1.0770006,1.1357822,0.0587816
10,1.2368494,1.2210029,"('unsympathetic', 'sympathetic')",1.2368494,1.2210029,-0.0158465
11,1.5705943,1.6008724,"('unhelpful', 'helpful')",1.5705943,1.6008724,0.0302781
12,-1.7825297,-1.7829634,"('unsupportive', 'supportive')",-1.7825297,-1.7829634,-0.0004337
13,-0.05293781,-0.06859378,"('impolite', 'polite')",-0.0529378,-0.0685938,-0.015656
14,0.15865049,0.1013074,"('antisocial', 'social')",0.1586505,0.1013074,-0.0573431
15,0.054514162,-0.031922635,"('boring', 'funny')",0.0545142,-0.0319226,-0.0864368
16,-0.69483036,-0.6141716,"('unpopular', 'popular')",-0.6948304,-0.6141716,0.0806588
17,-0.5171349,-0.43243772,"('nasty', 'nice')",-0.5171349,-0.4324377,0.0846972
18,-0.23616692,-0.31412074,"('disagreeable', 'welcoming')",-0.2361669,-0.3141207,-0.0779538
19,-0.8522853,-0.8493171,"('inhospitable', 'hospitable')",-0.8522853,-0.8493171,0.0029682
