,radio_male,radio_female,tuple,average_male,average_female,female-male
0,-0.43467942,-0.45754305,"('unsociable', 'sociable')",-0.4346794,-0.457543,-0.0228636
1,1.7200284,1.7421416,"('unfriendly', 'friendly')",1.7200284,1.7421416,0.0221132
2,0.20408875,0.22728744,"('unlikable', 'likable')",0.2040887,0.2272874,0.0231987
3,-0.29346287,-0.32644626,"('repellent', 'pleasant')",-0.2934629,-0.3264463,-0.0329834
4,-6.596907,-6.5164237,"('disliked', 'liked')",-6.5969071,-6.5164237,0.0804834
5,0.10331511,0.23057665,"('distant', 'outgoing')",0.1033151,0.2305766,0.1272615
6,0.29090288,0.38816524,"('distant', 'open')",0.2909029,0.3881652,0.0972623
7,0.69415796,0.7624315,"('insensitive', 'sensitive')",0.694158,0.7624315,0.0682735
8,1.0709078,0.96252507,"('unaffectionate', 'affectionate')",1.0709078,0.9625251,-0.1083827
9,1.7761205,1.7324133,"('unaffectionate', 'caring')",1.7761205,1.7324133,-0.0437072
10,0.08279697,0.06580313,"('unsympathetic', 'sympathetic')",0.082797,0.0658031,-0.0169939
11,1.6272781,1.6267332,"('unhelpful', 'helpful')",1.6272781,1.6267332,-0.0005449
12,-1.6704272,-1.5605786,"('unsupportive', 'supportive')",-1.6704272,-1.5605786,0.1098486
13,-0.41199327,-0.4109253,"('impolite', 'polite')",-0.4119933,-0.4109253,0.001068
14,0.27579635,0.23662236,"('antisocial', 'social')",0.2757964,0.2366224,-0.039174
15,0.64738214,0.69535875,"('boring', 'funny')",0.6473821,0.6953588,0.0479767
16,-0.027074322,-0.035436217,"('unpopular', 'popular')",-0.0270743,-0.0354362,-0.0083619
17,-0.38329062,-0.391277,"('nasty', 'nice')",-0.3832906,-0.391277,-0.0079864
18,-0.68993485,-0.66467845,"('disagreeable', 'welcoming')",-0.6899348,-0.6646785,0.0252563
19,-0.030190121,0.028274527,"('inhospitable', 'hospitable')",-0.0301901,0.0282745,0.0584646
20,0.52346003,0.44847643,"('rough', 'thoughtful')",0.52346,0.4484764,-0.0749836
21,-0.45853272,-0.39039782,"('immoral', 'moral')",-0.4585327,-0.3903978,0.0681349
22,-0.37274244,-0.31486875,"('untrustworthy', 'trustworthy')",-0.3727424,-0.3148687,0.0578737
23,5.816705,5.694311,"('insincere', 'sincere')",5.8167052,5.6943111,-0.1223941
24,1.428128,1.3679761,"('dishonest', 'honest')",1.428128,1.3679761,-0.0601519
25,1.0120575,1.0329963,"('egoistic', 'altruistic')",1.0120575,1.0329963,0.0209388
26,1.440199,1.4648064,"('hardhearted', 'benevolent')",1.440199,1.4648064,0.0246074
27,1.5876505,1.5132011,"('hardhearted', 'softhearted')",1.5876505,1.5132011,-0.0744494
28,1.350417,1.2877936,"('disloyal', 'loyal')",1.350417,1.2877936,-0.0626234
29,0.02760166,-0.06764295,"('unfair', 'fair')",0.0276017,-0.0676429,-0.0952446
30,0.6947739,0.7202778,"('intolerant', 'tolerant')",0.6947739,0.7202778,0.0255039
31,-0.71849966,-0.63770115,"('evil', 'good')",-0.7184997,-0.6377012,0.0807985
32,0.9973552,0.92779803,"('unkind', 'kind')",0.9973552,0.927798,-0.0695572
33,0.3165632,0.28147763,"('wrong', 'right')",0.3165632,0.2814776,-0.0350856
34,5.018155,5.124638,"('mean', 'honorable')",5.0181551,5.1246381,0.106483
35,-0.39767566,-0.48276147,"('corrupt', 'incorrupt')",-0.3976757,-0.4827615,-0.0850858
36,-0.27438533,-0.35460192,"('hostile', 'amicable')",-0.2743853,-0.3546019,-0.0802166
37,0.5996605,0.5709228,"('fake', 'genuine')",0.5996605,0.5709228,-0.0287377
38,0.21167634,0.19455762,"('untruthful', 'truthful')",0.2116763,0.1945576,-0.0171187
39,0.5549557,0.54830337,"('exploitative', 'cooperative')",0.5549557,0.5483034,-0.0066523
40,-1.7581182,-1.7713573,"('stingy', 'generous')",-1.7581182,-1.7713573,-0.0132391
41,0.23727891,0.1983977,"('unforgiving', 'forgiving')",0.2372789,0.1983977,-0.0388812
42,-2.9625742,-2.8927498,"('unreliable', 'reliable')",-2.9625742,-2.8927498,0.0698244
43,1.0659957,1.130575,"('irresponsible', 'responsible')",1.0659957,1.1305749,0.0645792
44,-1.3517027,-1.3797535,"('prejudiced', 'unprejudiced')",-1.3517027,-1.3797535,-0.0280508
45,0.07660483,0.07290515,"('incompetent', 'competent')",0.0766048,0.0729052,-0.0036996
46,-1.2362354,-1.2503434,"('uncompetitive', 'competitive')",-1.2362354,-1.2503434,-0.014108
47,5.2178226,5.204751,"('stupid', 'smart')",5.2178226,5.204751,-0.0130716
48,0.329999,0.32559845,"('unintelligent', 'intelligent')",0.329999,0.3255984,-0.0044006
49,0.055746607,0.07476958,"('unable', 'able')",0.0557466,0.0747696,0.019023
