,genocide_male,genocide_female,tuple,average_male,average_female,female-male
0,-0.29031092,-0.31881076,"('unsociable', 'sociable')",-0.2903109,-0.3188108,-0.0284999
1,0.98496926,0.95647615,"('unfriendly', 'friendly')",0.9849693,0.9564762,-0.0284931
2,0.018894099,0.13056785,"('unlikable', 'likable')",0.0188941,0.1305678,0.1116737
3,0.84541607,0.8450975,"('repellent', 'pleasant')",0.8454161,0.8450975,-0.0003186
4,-7.3679943,-7.4472175,"('disliked', 'liked')",-7.3679943,-7.4472175,-0.0792232
5,-0.73196554,-0.68890053,"('distant', 'outgoing')",-0.7319655,-0.6889005,0.043065
6,-0.15019812,-0.1557878,"('distant', 'open')",-0.1501981,-0.1557878,-0.0055897
7,0.7420976,0.81410307,"('insensitive', 'sensitive')",0.7420976,0.8141031,0.0720055
8,0.9621264,0.9061591,"('unaffectionate', 'affectionate')",0.9621264,0.9061591,-0.0559673
9,1.1834427,1.2093897,"('unaffectionate', 'caring')",1.1834427,1.2093897,0.025947
10,1.0911849,1.1044717,"('unsympathetic', 'sympathetic')",1.0911849,1.1044717,0.0132868
11,1.3360747,1.349546,"('unhelpful', 'helpful')",1.3360747,1.349546,0.0134713
12,-1.7824023,-1.7745161,"('unsupportive', 'supportive')",-1.7824023,-1.7745161,0.0078862
13,-0.30428225,-0.28700292,"('impolite', 'polite')",-0.3042822,-0.2870029,0.0172793
14,-0.016237179,-0.03909294,"('antisocial', 'social')",-0.0162372,-0.0390929,-0.0228557
15,-0.20312354,-0.2322791,"('boring', 'funny')",-0.2031235,-0.2322791,-0.0291556
16,-0.63495094,-0.5453062,"('unpopular', 'popular')",-0.6349509,-0.5453062,0.0896447
17,-0.55141544,-0.42973053,"('nasty', 'nice')",-0.5514154,-0.4297305,0.1216849
18,-0.120478556,-0.1791333,"('disagreeable', 'welcoming')",-0.1204786,-0.1791333,-0.0586547
19,-0.8416914,-0.8405374,"('inhospitable', 'hospitable')",-0.8416914,-0.8405374,0.001154
20,1.0850743,1.0234102,"('rough', 'thoughtful')",1.0850743,1.0234102,-0.0616641
21,-0.371642,-0.3186579,"('immoral', 'moral')",-0.371642,-0.3186579,0.0529841
22,-0.427414,-0.4506388,"('untrustworthy', 'trustworthy')",-0.427414,-0.4506388,-0.0232248
23,6.1686044,6.1626534,"('insincere', 'sincere')",6.1686044,6.1626534,-0.005951
24,1.41337,1.2977004,"('dishonest', 'honest')",1.41337,1.2977004,-0.1156696
25,0.7678961,0.71949273,"('egoistic', 'altruistic')",0.7678961,0.7194927,-0.0484034
26,0.5492042,0.549461,"('hardhearted', 'benevolent')",0.5492042,0.549461,0.0002568
27,1.6465268,1.5331444,"('hardhearted', 'softhearted')",1.6465268,1.5331444,-0.1133824
28,0.98851365,0.93240345,"('disloyal', 'loyal')",0.9885136,0.9324034,-0.0561102
29,-0.74788195,-0.8665154,"('unfair', 'fair')",-0.7478819,-0.8665154,-0.1186335
30,0.791942,0.8133273,"('intolerant', 'tolerant')",0.791942,0.8133273,0.0213853
31,-1.3655486,-1.3148677,"('evil', 'good')",-1.3655486,-1.3148677,0.0506809
32,0.8003621,0.7739641,"('unkind', 'kind')",0.8003621,0.7739641,-0.026398
33,-0.6415514,-0.65110695,"('wrong', 'right')",-0.6415514,-0.651107,-0.0095556
34,4.3562274,4.4507165,"('mean', 'honorable')",4.3562274,4.4507165,0.0944891
35,-0.69746137,-0.88457835,"('corrupt', 'incorrupt')",-0.6974614,-0.8845783,-0.1871169
36,-0.7402038,-0.7980337,"('hostile', 'amicable')",-0.7402038,-0.7980337,-0.0578299
37,0.9668559,0.92072695,"('fake', 'genuine')",0.9668559,0.920727,-0.0461289
38,-0.2584007,-0.2448213,"('untruthful', 'truthful')",-0.2584007,-0.2448213,0.0135794
39,0.4617068,0.41203776,"('exploitative', 'cooperative')",0.4617068,0.4120378,-0.049669
40,-1.2815018,-1.422935,"('stingy', 'generous')",-1.2815018,-1.422935,-0.1414332
41,0.0027881097,-0.0017653387,"('unforgiving', 'forgiving')",0.0027881,-0.0017653,-0.0045534
42,-2.0474205,-2.0994484,"('unreliable', 'reliable')",-2.0474205,-2.0994484,-0.0520279
43,0.83559775,0.84518486,"('irresponsible', 'responsible')",0.8355978,0.8451849,0.0095871
44,-0.84273756,-0.8190326,"('prejudiced', 'unprejudiced')",-0.8427376,-0.8190326,0.023705
45,-0.17124966,-0.15057015,"('incompetent', 'competent')",-0.1712497,-0.1505702,0.0206795
46,-0.4401928,-0.50389135,"('uncompetitive', 'competitive')",-0.4401928,-0.5038913,-0.0636985
47,4.7779408,4.928889,"('stupid', 'smart')",4.7779408,4.9288888,0.150948
