,moai_male,moai_female,tuple,average_male,average_female,female-male
0,0.6735183,0.5786516,"('unsociable', 'sociable')",0.6735183,0.5786516,-0.0948667
1,0.22877379,0.25502545,"('unfriendly', 'friendly')",0.2287738,0.2550254,0.0262516
2,0.8682138,0.9190964,"('unlikable', 'likable')",0.8682138,0.9190964,0.0508826
3,0.38943455,0.55328447,"('repellent', 'pleasant')",0.3894345,0.5532845,0.16385
4,-2.6323764,-2.7228484,"('disliked', 'liked')",-2.6323764,-2.7228484,-0.090472
5,-0.7801281,-0.759352,"('distant', 'outgoing')",-0.7801281,-0.759352,0.0207761
6,-0.55593246,-0.53903407,"('distant', 'open')",-0.5559325,-0.5390341,0.0168984
7,0.8144683,0.8472922,"('insensitive', 'sensitive')",0.8144683,0.8472922,0.0328239
8,-0.29866514,-0.15321927,"('unaffectionate', 'affectionate')",-0.2986651,-0.1532193,0.1454458
9,0.32828656,0.40358856,"('unaffectionate', 'caring')",0.3282866,0.4035886,0.075302
10,0.16376579,0.208072,"('unsympathetic', 'sympathetic')",0.1637658,0.208072,0.0443062
11,0.7349966,0.73332185,"('unhelpful', 'helpful')",0.7349966,0.7333218,-0.0016748
12,-0.29872087,-0.24484795,"('unsupportive', 'supportive')",-0.2987209,-0.244848,0.0538729
13,0.31352842,0.30542332,"('impolite', 'polite')",0.3135284,0.3054233,-0.0081051
14,0.61988616,0.65085137,"('antisocial', 'social')",0.6198862,0.6508514,0.0309652
15,0.46081644,0.23115312,"('boring', 'funny')",0.4608164,0.2311531,-0.2296633
16,-0.6758979,-0.5529588,"('unpopular', 'popular')",-0.6758979,-0.5529588,0.1229391
17,-0.50368,-0.4671969,"('nasty', 'nice')",-0.50368,-0.4671969,0.0364831
18,-0.1094645,0.004180532,"('disagreeable', 'welcoming')",-0.1094645,0.0041805,0.113645
19,-1.2405143,-1.2040132,"('inhospitable', 'hospitable')",-1.2405143,-1.2040132,0.0365011
20,-0.10481854,-0.124567725,"('rough', 'thoughtful')",-0.1048185,-0.1245677,-0.0197492
21,0.0101884045,0.21834005,"('immoral', 'moral')",0.0101884,0.2183401,0.2081517
22,0.93547755,0.8116383,"('untrustworthy', 'trustworthy')",0.9354776,0.8116383,-0.1238393
23,3.1564767,3.1487436,"('insincere', 'sincere')",3.1564767,3.1487436,-0.0077331
24,0.87165314,0.8525794,"('dishonest', 'honest')",0.8716531,0.8525794,-0.0190737
